# c0 + a0 * ((lambda4w_low^2) * (exp(-1.0 * lambda3))) + a1 * ((w_log * lambda) * (PE_wtd_range * at_mass_wtd_mean)) + a2 * ((PE_range * lambda4w_low) - (lambda4w_low - w_log)) + a3 * ((ThermalCond_wtd_mean - ThermalCond_mean) / (at_mass_mean^3))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.77552660325552; Max AE: 5.75246691230009
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# all ,  2.724856655943647e+04,  4.671622878373361e+00, -5.713666335619399e+01, -8.727972461850757e+03,  2.665389322405006e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; eV^2;                                             2|sq|3|nexp|mult; ((lambda4w_low^2) * (exp(-1.0 * lambda3))); $\left(\left(lambda4w_{low}^2\right) \left(\exp{ \left(-lambda3 \right) } \right)\right)$; ((lambda4w_low)^2 .* exp(-1.0 * (lambda3))); ((newdata$lambda4w_low)^2 * exp(-1.0 * (newdata$lambda3))); lambda4w_low,lambda3
# 1;  2; eV * g * mol^-1;                                  1|0|mult|28|8|mult|mult; ((w_log * lambda) * (PE_wtd_range * at_mass_wtd_mean)); $\left(\left(w_{log} lambda\right) \left(PE_{wtd, range} at_{mass, wtd, mean}\right)\right)$; ((w_log .* lambda) .* (PE_wtd_range .* at_mass_wtd_mean)); ((newdata$w_log * newdata$lambda) * (newdata$PE_wtd_range * newdata$at_mass_wtd_mean)); w_log,lambda,PE_wtd_range,at_mass_wtd_mean
# 2;  2; eV;                                               27|2|mult|2|1|sub|sub; ((PE_range * lambda4w_low) - (lambda4w_low - w_log)); $\left(\left(PE_{range} lambda4w_{low}\right) - \left(lambda4w_{low} - w_{log}\right)\right)$; ((PE_range .* lambda4w_low) - (lambda4w_low - w_log)); ((newdata$PE_range * newdata$lambda4w_low) - (newdata$lambda4w_low - newdata$w_log)); PE_range,lambda4w_low,lambda4w_low,w_log
# 3;  2; W * g^-3 * mK^-1 * mol^3;                         38|37|sub|7|cb|div; ((ThermalCond_wtd_mean - ThermalCond_mean) / (at_mass_mean^3)); $\left(\frac{ \left(ThermalCond_{wtd, mean} - ThermalCond_{mean}\right) }{ \left(at_{mass, mean}^3\right) } \right)$; ((ThermalCond_wtd_mean - ThermalCond_mean) ./ (at_mass_mean).^3); ((newdata$ThermalCond_wtd_mean - newdata$ThermalCond_mean) / (newdata$at_mass_mean)^3); ThermalCond_wtd_mean,ThermalCond_mean,at_mass_mean
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
C8Cs1       ,  6.750000000000000e-02,  7.076879182971505e-01,  1.008002175961553e-06,  1.036440141769725e-01,  2.697800000000000e-02,  1.063157412972671e-04
Se2Ta1      ,  1.250000000000000e-01,  1.751470888710776e+00,  1.898215558857736e-42,  1.121135546095164e+00,  1.083170000000000e-01, -4.288632248378643e-06
Ti1         ,  1.620000000000000e-01,  1.616828105304752e+00,  1.317230883394068e-06,  0.000000000000000e+00,  1.898000000000000e-02,  0.000000000000000e+00
B1Mo1       ,  2.500000000000000e-01,  1.671610613844645e+00,  9.106738263108162e-06,  5.422512897539999e-02,  2.616960000000000e-02,  0.000000000000000e+00
Al1Hf1Ni2   ,  3.700000000000000e-01,  2.743635918740689e+00,  1.440640612518695e-06,  1.187181361125760e-01,  1.044130000000000e-02, -9.276597449271520e-06
Pt1Te1      ,  5.900000000000000e-01,  2.989168327574006e+00,  6.611995429587254e-06,  9.062953162704000e-02,  4.896600000000000e-03,  0.000000000000000e+00
Sb1V3       ,  6.500000000000000e-01,  2.096575233001114e+00,  1.809872185748586e-06,  1.147684837488840e-01,  1.980480000000000e-02,  2.601451388777252e-06
Al1Ni2Zr1   ,  6.899999999999999e-01,  3.436871587904403e+00,  1.460812059919391e-05,  9.921918555823998e-02,  6.276799999999999e-03, -3.076919771969048e-05
Rh1Te2      ,  7.550000000000000e-01,  2.293952971737161e+00,  1.635009359724516e-08,  3.706048143720000e-02,  1.198340000000000e-02, -1.600337673223591e-05
Zr1         ,  9.966666670000000e-01,  2.264362671260154e+00,  5.978744453416590e-06,  0.000000000000000e+00,  9.869999999999999e-03,  0.000000000000000e+00
Be2Ta3      ,  1.000000000000000e+00,  2.020457245062543e+00,  8.547378069114569e-08,  2.215670123221632e-02,  1.551100000000000e-02, -1.552226684715963e-05
C1Si1       ,  1.075000000000000e+00,  1.804662265315423e+00,  2.178468611538401e-05,  1.567531453256925e-01,  3.827000000000001e-02,  0.000000000000000e+00
Nb3Sb1      ,  1.100000000000000e+00,  2.894607819293079e+00,  9.401555995136507e-06,  2.045218250871418e-01,  1.626750000000000e-02,  6.065394190454105e-06
Nb1O1       ,  1.380000000000000e+00,  4.225603454631194e+00,  2.615755110501327e-06,  6.425023914603359e-01,  2.647320000000000e-02,  0.000000000000000e+00
Sb1         ,  1.416666667000000e+00,  4.253879188584229e+00,  4.894423876212077e-05,  0.000000000000000e+00, -4.460000000000000e-03,  0.000000000000000e+00
Sb1Sn1      ,  1.430000000000000e+00,  2.872021587150154e+00,  9.636792456848234e-06,  3.637441921185000e-02,  3.953400000000000e-03,  0.000000000000000e+00
S2Ta1       ,  1.488116666500000e+00,  5.174792782137961e+00,  2.481808644552210e-06,  8.320334771324158e-01,  2.649000000000001e-02, -7.834731027649989e-06
B2C2Y1      ,  1.800000000000000e+00, -6.942049249607971e-02,  2.295356186281689e-06,  1.667934306132032e-01,  3.645469999999999e-02,  1.711337967681722e-04
Re2Y1       ,  1.830000000000000e+00,  3.493681852395866e+00,  1.022024426807913e-06,  3.379524049708745e-01,  1.332120000000000e-02,  1.972214929220701e-06
S1Y1        ,  1.900000000000000e+00,  3.939053341044978e+00,  8.522069308342744e-06,  4.133514273877121e-01,  1.556920000000000e-02,  0.000000000000000e+00
Ga2Pt1      ,  1.900000000000000e+00,  3.134553431187276e+00,  5.131680814461109e-06,  1.430550633647520e-01,  6.404200000000001e-03, -3.087598551581606e-06
Mo0.5Rh0.5  ,  1.940000000000000e+00,  2.213022222129180e+00,  4.931116440584933e-06,  6.482037131942400e-02,  1.556880000000000e-02,  0.000000000000000e+00
Pd2Sc1Sn1   ,  2.122500000000000e+00,  3.608325165831303e+00,  1.761005288884410e-06,  2.997048257066710e-01,  8.381400000000001e-03,  3.010059528808160e-06
Be2Nb1      ,  2.150000000000000e+00, -1.146639808002818e-01,  1.700269891791022e-06,  5.981636118088400e-03,  2.379140000000000e-02,  1.712844492374312e-04
In1Te1      ,  2.206000000000000e+00,  3.139102232298029e+00,  6.805345309253436e-06,  9.741162007104000e-02,  2.919200000000000e-03,  0.000000000000000e+00
C2Cl2Y2     ,  2.300000000000000e+00,  3.546495114849310e+00,  4.677613907573311e-05,  3.299933991813889e-01,  3.386760000000000e-02,  0.000000000000000e+00
Be2Nb3      ,  2.300000000000000e+00,  2.549158720538887e+00,  5.698827351974639e-07,  7.446527158717440e-03,  1.861370000000000e-02, -1.027705184093434e-04
Pb1Pd2Sc1   ,  2.400000000000000e+00,  3.304110624857887e+00,  1.052745464362901e-06,  1.788796399227300e-01,  3.589800000000000e-03,  2.350319815371540e-06
As1Pt1Sr1   ,  2.425000000000000e+00,  4.199712988228138e+00,  4.153292793081731e-06,  4.152020959668863e-01,  9.075000000000000e-03,  0.000000000000000e+00
Bi1Nb3      ,  2.516666667000000e+00,  2.933041841462745e+00,  5.988243344024067e-06,  1.829967404106555e-01,  1.262280000000000e-02,  3.343916741393739e-06
Re1         ,  2.581333333000000e+00,  2.562149462911788e+00,  1.541849828808787e-05,  0.000000000000000e+00,  9.160000000000000e-03,  0.000000000000000e+00
Hf1In1Pd2   ,  2.630000000000000e+00,  3.348377711321631e+00,  2.730772021890044e-06,  2.186969822294400e-01,  7.020000000000000e-03,  1.373936866401634e-06
Nb3Rh1      ,  2.742333333000000e+00,  3.235672421253412e+00,  4.109123011606450e-06,  2.528272848395520e-01,  1.655680000000000e-02, -2.557317494569287e-05
Ga1Ni2Zr1   ,  2.870000000000000e+00,  3.640873063929940e+00,  2.479274497586542e-05,  9.760487256492499e-02, -1.495399999999999e-03,  2.766946656792411e-05
N1Ni3Zn1    ,  3.000000000000000e+00,  2.539681909290395e+00,  5.846351913851942e-05,  3.530520396569780e-01,  4.516669999999999e-02,  9.021636605853664e-05
B1Hf1       ,  3.100000000000000e+00,  3.129259313818598e+00,  1.007327040699228e-06,  4.067305362960300e-01,  2.561700000000000e-02,  0.000000000000000e+00
C2Y1        ,  3.150000000000000e+00,  1.440873194029873e+00,  5.312795530962307e-06,  2.910771141711141e-01,  2.342820000000000e-02,  1.593125467095566e-04
Pb1Pd2Y1    ,  3.215000000000000e+00,  3.058027629857436e+00,  2.322077265614947e-07,  1.681967718134100e-01,  6.507200000000000e-03,  3.166968255440470e-06
In1Sb1      ,  3.320000000000000e+00,  4.652514016158531e+00,  3.509070811042702e-05,  1.296898641561600e-01, -7.439900000000001e-03,  0.000000000000000e+00
Bi2K1       ,  3.575000000000000e+00,  4.319559245412234e+00,  5.795733127942233e-06,  3.758922974629875e-01,  5.774000000000000e-03, -8.034459435168938e-06
Al1Hf1Pd2   ,  3.621666666500000e+00,  4.099759273179767e+00,  1.592176822818469e-05,  2.279729676740122e-01,  2.420000000000000e-03, -8.454607719386218e-06
Hg0.5In0.5  ,  3.810000000000000e+00,  4.387820156271382e+00,  8.200834097843004e-07,  7.932887160825002e-02, -2.326860000000000e-02,  0.000000000000000e+00
C1W2        ,  3.835000000000000e+00,  2.762886627715194e+00,  1.381822612108835e-05,  1.409252362310374e-01,  1.548410000000000e-02,  6.034539838122221e-06
C1Ga1Mo2    ,  3.900000000000000e+00,  3.416721058532098e+00,  4.116076370016013e-05,  1.925112286468200e-01,  1.554180000000000e-02,  4.371843980978818e-05
Ba1Ge3      ,  4.000000000000000e+00,  5.714406957295238e+00,  6.683208531633544e-05,  4.267256903582399e-01,  1.201240000000000e-02,  9.075868819635278e-06
Bi2Rb1      ,  4.250000000000000e+00,  3.548791317290080e+00,  9.177378703826156e-08,  2.582185162660042e-01,  6.094000000000000e-03, -2.611441445872221e-06
Ba1Sn3      ,  4.300000000000000e+00,  3.006060414593703e+00,  1.000129852380914e-07,  1.903373651839063e-01,  8.763099999999999e-03,  5.791060141753881e-06
Rh1Se2      ,  4.350000000000000e+00,  3.464655297069963e+00,  1.955909696830733e-05,  1.177408053893760e-01,  1.002630000000000e-02, -3.312766028747826e-05
Al1Au2Sc1   ,  4.400000000000000e+00,  4.279434320129753e+00,  7.071948598634439e-06,  4.384767185617500e-01,  8.032500000000001e-03,  1.926026769256447e-05
B2Nb1       ,  4.597500000000000e+00,  3.640787138678709e+00,  5.086674881469260e-05,  1.666345999796898e-01,  2.574040000000000e-02, -3.226618629073483e-05
Pb3Y1       ,  4.720000000000000e+00,  4.849135805468253e+00,  1.547562660316474e-05,  4.637594032233558e-01,  6.869200000000001e-03,  1.371226681456777e-06
Bi2Cs1      ,  4.750000000000000e+00,  3.800103063031106e+00,  1.751757729246053e-07,  3.142879168063311e-01,  6.063500000000000e-03, -9.342361774314200e-07
Al1Si1Sr1   ,  4.750000000000000e+00,  3.575541516753900e+00,  2.670939750393930e-05,  1.757795705547651e-01,  1.118050000000000e-02,  0.000000000000000e+00
Pd2Sn1Y1    ,  4.814444444333330e+00,  3.525230275152531e+00,  1.151116778442690e-05,  1.830166526677500e-01,  4.736600000000000e-03,  4.373653909100503e-06
Br2C2Y2     ,  5.050000000000000e+00,  4.263492515997506e+00,  1.755337943442170e-05,  4.665135413851605e-01,  1.854460000000000e-02,  0.000000000000000e+00
Ir1Mo1      ,  5.325000000000000e+00,  1.898900911429107e+00,  2.673227993771894e-06,  3.010352126517999e-02,  1.715120000000000e-02,  0.000000000000000e+00
N1Ti1       ,  5.387500000000000e+00,  4.167785426519821e+00,  4.142756163533139e-05,  5.376308066122499e-01,  3.742000000000000e-02,  0.000000000000000e+00
Ga1         ,  5.527454545000000e+00,  4.353796187591978e+00,  3.571034967453891e-05,  0.000000000000000e+00, -1.252000000000000e-02,  0.000000000000000e+00
B6Y1        ,  5.692857143000000e+00,  3.134695067722665e+00,  1.624391143385917e-05,  3.741468285894976e-02, -1.721600000000004e-03,  2.823924178447241e-05
Bi3Sr1      ,  5.700000000000000e+00,  3.982693961739703e+00,  3.692405571566373e-06,  3.263862434904591e-01,  5.707800000000001e-03, -2.069562577162871e-06
Ba1Bi3      ,  5.745000000000000e+00,  4.770565787845951e+00,  1.483021398211574e-05,  4.324705248065001e-01,  5.661299999999998e-03, -4.815536514568087e-07
Nb1S2       ,  5.821818182000000e+00,  7.347436919167555e+00,  9.339431851082649e-05,  5.268848253162753e-01,  1.128799999999999e-02, -3.674825346877017e-05
C1Mo2       ,  6.021666667000000e+00,  1.944089479152650e+00,  1.302002043883198e-06,  1.404201033935608e-01,  2.488800000000000e-02, -1.059808271261910e-06
Rh2Sr1      ,  6.200000000000000e+00,  4.453376865156903e+00,  2.178389730146430e-05,  4.140026219433542e-01,  9.558700000000000e-03,  2.217059345581709e-05
Pb1         ,  6.470100000000000e+00,  2.696324363079782e+00,  5.161278264377696e-06,  0.000000000000000e+00,  1.920000000000000e-03,  0.000000000000000e+00
Sn1Ta3      ,  6.692500000000000e+00,  7.383415500711335e+00,  1.392814992864901e-05,  4.109652933825750e-01, -4.222160000000000e-02, -7.135500953525671e-07
Ag1B2       ,  6.700000000000000e+00,  5.071680226724244e+00,  1.225049148017203e-05,  2.703293989468380e-02,  1.504210000000000e-02, -3.214549871104354e-04
Nb1Se2      ,  6.814619048000000e+00,  6.651522803270226e+00,  2.739338590277806e-07,  7.730711208033872e-01, -4.281000000000035e-03, -1.404339736721855e-05
Li1Pb1      ,  7.200000000000000e+00,  3.934600390281751e+00,  2.797029977661572e-06,  3.395355319861875e-01,  6.881500000000000e-03,  0.000000000000000e+00
Tc1         ,  7.794166667000000e+00,  7.320493712523382e+00,  1.436630886429668e-04,  0.000000000000000e+00, -1.296000000000000e-02,  0.000000000000000e+00
P1Ru1Zr1    ,  8.496153846000000e+00,  8.486955073236453e+00,  1.503285661316029e-04,  4.767200471988183e-01,  8.781200000000003e-03,  0.000000000000000e+00
C1Ta1       ,  8.637499999999999e+00,  5.970276092280254e+00,  2.606489746304691e-05,  8.429120510202001e-01,  2.350700000000000e-02,  0.000000000000000e+00
Hf1N1       ,  8.830000000000000e+00,  9.476382252129083e+00,  4.538921933263601e-05,  1.568384988871008e+00,  3.067560000000000e-02,  0.000000000000000e+00
N1Zr1       ,  9.850000000000000e+00,  6.303970848014687e+00,  4.242466554734782e-05,  9.682313760927360e-01,  3.571510000000000e-02,  0.000000000000000e+00
C2I2Y2      ,  9.917500000000000e+00,  4.165033087699913e+00,  2.668732853791234e-05,  4.967790714381514e-01,  2.709839999999999e-02,  0.000000000000000e+00
C1Mo1       ,  1.015200000000000e+01,  1.124456579744633e+01,  2.390696034586144e-04,  2.278763433754081e-01, -1.750750000000000e-02,  0.000000000000000e+00
Mo3Os1      ,  1.102250000000000e+01,  9.855635060896379e+00,  1.923222357601946e-04,  3.467298685680000e-02, -3.195400000000000e-02,  4.351934334295172e-06
C6Ca        ,  1.130300000000000e+01,  1.360028748802178e+01,  6.382633264583084e-05,  1.393033791581016e-01,  3.573600000000000e-02, -1.212971865703441e-03
Nb3Sn1      ,  1.670900000000000e+01,  1.636989235170565e+01,  1.082964270376450e-07,  3.346353575863831e-01, -2.120364000000000e-01, -2.659209630795652e-06
B2Mg0.98    ,  3.840000000000000e+01,  3.753817954276609e+01,  5.897715522516906e-05,  1.853967961931904e-01,  5.851260000000000e-02, -4.095207478091083e-03
