# FEAT_ID     Feature Postfix Expression (RPN)
0             42|5|mult|8|sp|div
1             1|cb|3|4|div|mult
2             40|5|mult|8|sp|div
3             39|6|mult|7|sp|div
4             41|6|mult|7|sp|div
5             42|19|mult|8|sp|div
6             1|cb|40|2|mult|mult
7             42|39|mult|8|sp|div
8             42|41|mult|8|sp|div
9             40|20|mult|8|sp|div
10            2|3|div|cb
11            2|1|mult|1|0|div|mult
12            1|0|mult|cb
13            39|sq|8|sp|div
14            41|39|mult|8|sp|div
15            41|sq|8|sp|div
16            40|19|mult|8|sp|div
17            1|cb|42|2|mult|mult
18            6|2|mult|1|cb|mult
19            1|cb|39|2|mult|mult
20            1|cb|41|2|mult|mult
21            1|cb|38|2|mult|mult
22            38|37|sub|7|cb|div
23            1|cb|38|37|sub|mult
24            1|cb|3|5|div|mult
25            1|cb|37|2|mult|mult
26            20|2|mult|1|cb|mult
27            19|2|mult|1|cb|mult
28            1|cb|3|26|div|mult
29            1|cb|3|25|div|mult
#-----------------------------------------------------------------------
30            37|2|mult|42|38|sub|mult
31            2|1|mult|41|37|abd|mult
32            41|37|abd|3|mult
33            41|37|abd|30|3|abd|mult
34            3|1|mult|42|38|sub|mult
35            3|4|div|41|37|abd|mult
36            2|0|div|42|38|sub|mult
37            41|37|abd|30|3|sub|mult
38            3|20|div|41|37|abd|mult
39            37|2|mult|41|38|sub|mult
40            26|2|mult|41|37|abd|mult
41            41|37|abd|28|3|abd|mult
42            3|1|mult|41|38|sub|mult
43            2|0|div|41|38|sub|mult
44            2|1|mult|40|38|sub|mult
45            41|37|abd|29|3|sub|mult
46            41|37|abd|28|3|add|mult
47            3|0|add|41|37|abd|mult
48            25|3|mult|41|37|abd|mult
49            2|1|mult|42|38|sub|mult
50            26|3|mult|41|37|abd|mult
51            41|37|abd|30|3|add|mult
52            3|1|mult|41|37|abd|mult
53            2|0|div|41|37|abd|mult
54            3|0|div|41|37|abd|mult
55            27|3|abd|41|37|abd|mult
56            2|1|mult|41|38|sub|mult
57            3|5|div|41|37|abd|mult
58            41|37|abd|29|3|add|mult
59            27|3|add|41|37|abd|mult
#-----------------------------------------------------------------------
60            30|12|mult|4|sp|div
61            22|10|mult|0|sin|mult
62            30|11|mult|4|sp|div
63            27|10|mult|4|sp|div
64            29|10|mult|4|sp|div
65            29|12|mult|4|sp|div
66            0|sin|30|28|add|add
67            28|0|mult|29|cos|abd
68            0|sin|29|28|add|add
69            25|sin|28|0|mult|abd
70            0|sin|29|28|mult|add
71            0|sin|30|26|add|add
72            0|sin|30|4|div|mult
73            28|cos|29|0|mult|abd
74            0|sin|28|10|mult|mult
75            26|sin|29|0|mult|abd
76            25|sin|29|0|mult|abd
77            0|sin|28|5|mult|mult
78            0|sin|30|28|mult|add
79            0|sin|29|exp|add
80            30|cos|29|0|mult|abd
81            0|sin|30|exp|add
82            26|sin|28|0|mult|abd
83            0|sin|28|26|add|add
84            29|cos|29|0|mult|abd
85            0|sin|28|sin|add
86            0|sin|28|sq|add
87            0|sin|28|add
88            0|sin|28|4|div|mult
89            0|sin|28|exp|add
#-----------------------------------------------------------------------
90            10|abs|4|sp|div
91            13|12|mult|4|sp|div
92            5|20|div|26|3|abd|div
93            19|12|mult|4|sp|div
94            20|12|mult|4|sp|div
95            25|10|mult|4|sp|div
96            14|5|mult|26|3|abd|div
97            26|10|mult|4|sp|div
98            11|4|div|4|sp|div
99            12|4|div|4|sp|div
100           19|10|mult|4|sp|div
101           14|10|mult|4|sp|div
102           20|10|mult|4|sp|div
103           13|10|mult|4|sp|div
104           10|4|div|4|sp|div
105           33|24|abd|32|23|abd|abd
106           5|cb|26|3|abd|div
107           5|cb|25|3|abd|div
108           5|1|mult|26|3|abd|div
109           32|8|div|2|1|add|div
110           8|1|mult|26|3|abd|div
111           33|22|abd|32|23|abd|abd
112           5|4|div|26|3|abd|div
113           7|5|mult|26|3|abd|div
114           5|sq|25|3|abd|div
115           8|5|mult|26|3|abd|div
116           33|22|abd|31|23|abd|abd
117           33|24|abd|31|23|abd|abd
118           5|sq|26|3|abd|div
119           33|22|abd|31|24|abd|abd
#-----------------------------------------------------------------------
120           11|25|div|4|sp|div
121           10|14|div|4|sp|div
122           11|0|mult|4|sp|div
123           20|9|mult|4|sp|div
124           12|26|div|4|sp|div
125           12|11|add|4|sp|div
126           12|25|div|4|sp|div
127           12|4|sp|div
128           14|12|mult|4|sp|div
129           19|11|mult|4|sp|div
130           11|10|add|4|sp|div
131           12|10|add|4|sp|div
132           13|11|mult|4|sp|div
133           20|11|mult|4|sp|div
134           9|4|div|4|sp|div
135           12|0|mult|4|sp|div
136           10|26|div|4|sp|div
137           10|25|div|4|sp|div
138           27|9|mult|4|sp|div
139           10|0|mult|4|sp|div
140           30|9|mult|4|sp|div
141           28|9|mult|4|sp|div
142           29|9|mult|4|sp|div
143           27|12|mult|4|sp|div
144           27|11|mult|4|sp|div
145           28|12|mult|4|sp|div
146           28|11|mult|4|sp|div
147           28|10|mult|4|sp|div
148           30|10|mult|4|sp|div
149           29|11|mult|4|sp|div
#-----------------------------------------------------------------------
