# c0 + a0 * ((|ThermalCond_std - ThermalCond_mean|) * (PE_wtd_std + lambda3)) + a1 * ((w_log^3) * (ThermalCond_wtd_mean - ThermalCond_mean))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 2.30637719767125; Max AE: 6.59927717851664
# Coefficients
# Task   a0                      a1                      c0
# all ,  1.736428754024189e-02, -6.906541363492032e+03,  3.250177123326092e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; W * mK^-1;                                        41|37|abd|30|3|add|mult; ((|ThermalCond_std - ThermalCond_mean|) * (PE_wtd_std + lambda3)); $\left(\left(\left|ThermalCond_{std} - ThermalCond_{mean}\right|\right) \left(PE_{wtd, std} + lambda3\right)\right)$; (abs(ThermalCond_std - ThermalCond_mean) .* (PE_wtd_std + lambda3)); (abs(newdata$ThermalCond_std - newdata$ThermalCond_mean) * (newdata$PE_wtd_std + newdata$lambda3)); ThermalCond_std,ThermalCond_mean,PE_wtd_std,lambda3
# 1;  2; W * eV^3 * mK^-1;                                 1|cb|38|37|sub|mult; ((w_log^3) * (ThermalCond_wtd_mean - ThermalCond_mean)); $\left(\left(w_{log}^3\right) \left(ThermalCond_{wtd, mean} - ThermalCond_{mean}\right)\right)$; ((w_log).^3 .* (ThermalCond_wtd_mean - ThermalCond_mean)); ((newdata$w_log)^3 * (newdata$ThermalCond_wtd_mean - newdata$ThermalCond_mean)); w_log,ThermalCond_wtd_mean,ThermalCond_mean
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
C8Cs1       ,  6.750000000000000e-02, -1.360250422273305e+00,  2.313756000000000e+01,  7.257170451354206e-04
Se2Ta1      ,  1.250000000000000e-01,  4.141666930243360e+00,  5.097121120000031e+01, -9.282561312024003e-07
Ti1         ,  1.620000000000000e-01,  3.296635674018623e+00,  2.675523000000000e+00,  0.000000000000000e+00
B1Mo1       ,  2.500000000000000e-01,  3.370635096064380e+00,  6.937110000000000e+00,  0.000000000000000e+00
Al1Hf1Ni2   ,  3.700000000000000e-01,  3.529936582518386e+00,  1.279480883100000e+01, -8.337996776908792e-06
Pt1Te1      ,  5.900000000000000e-01,  3.283044594068013e+00,  1.892820000000000e+00,  0.000000000000000e+00
Sb1V3       ,  6.500000000000000e-01,  3.280952625753907e+00,  7.630320000000001e+00,  1.472800389119997e-05
Al1Ni2Zr1   ,  6.899999999999999e-01,  3.737454682482455e+00,  2.648277559200000e+01, -3.970587805081901e-06
Rh1Te2      ,  7.550000000000000e-01,  3.555346734531184e+00,  3.539400000000000e-01, -4.329572206050000e-05
Zr1         ,  9.966666670000000e-01,  3.379216335959604e+00,  7.431298999999999e+00,  0.000000000000000e+00
Be2Ta3      ,  1.000000000000000e+00,  3.696823052188584e+00,  4.896300000000000e+00, -5.235980626869998e-05
C1Si1       ,  1.075000000000000e+00,  4.565615671652132e+00,  7.575539999999999e+01,  0.000000000000000e+00
Nb3Sb1      ,  1.100000000000000e+00,  3.140209555707218e+00,  1.171008000000000e+01,  4.536348186000001e-05
Nb1O1       ,  1.380000000000000e+00,  3.250664274141419e+00,  2.805475400000207e-02,  0.000000000000000e+00
