# FEAT_ID     Score                   Feature Expression
0             0.160846606802034942    (EA_range + 2.124747e+02*w_log)
1             0.163152123990254166    (ThermalCond_wtd_std / at_mass_wtd_mean)
2             0.166300258478789487    (1.0 / at_mass_wtd_mean)
3             0.169073879067457494    (at_rad_wtd_mean / at_mass_wtd_mean)
4             0.170776805037081397    (ThermalCond_wtd_range / at_mass_wtd_mean)
5             0.172637891310918001    (ThermalCond_range * w_log)
6             0.178714225848634306    (ThermalCond_wtd_std / at_mass_mean)
7             0.179319363393633829    w_log
8             0.180584827114446206    (ThermalCond_std / at_mass_mean)
9             0.184636926072651447    (ThermalCond_std * w_log)
10            0.185780883537182112    (ThermalCond_wtd_range / at_mass_mean)
11            0.187200803019044265    (ThermalCond_wtd_std * w_log)
12            0.189925105525779458    (w_log / PE_wtd_mean)
13            0.190428030817729549    (ThermalCond_wtd_range * w_log)
14            0.190961278842644688    (w_log / at_rad_mean)
15            0.191349193991441791    (at_rad_wtd_mean / at_mass_mean)
16            0.191607634806058247    (w_log / IP_mean)
17            0.194703828172161697    (w_log / IP_wtd_mean)
18            0.195039506363480386    (w_log / at_rad_wtd_mean)
19            0.206838142333357733    (w_log / PE_mean)
20            0.207014810838977548    (1.0 / at_mass_mean)
21            0.207491011361244565    (at_rad_mean / at_mass_mean)
22            0.208388314845818823    (w_log / L_avg)
23            0.320162686357086335    (lambda4w_low / lambda3)
24            0.32020656012633314     (w_log * lambda)
25            0.332092521139539132    (w_log / density)
26            0.360960894316571745    (w_log / at_mass_wtd_mean)
27            0.371980421925808602    (w_log^2)
28            0.374321764109648958    (w_log / at_mass_mean)
29            0.507886726853992276    (w_log^3)
#-----------------------------------------------------------------------
30            0.141974528328231347    (EA_wtd_mean / lambda)
31            0.149639360625493961    (PE_mean / lambda3)
32            0.151772208060790226    sin(lambda)
33            0.153618379022861101    (1.0 / lambda3)
34            0.153656288100603139    (at_rad_wtd_mean / lambda)
35            0.154707061219926195    (PE_wtd_mean / lambda3)
36            0.154864951868079914    (lambda / IP_mean)
37            0.157744370891031577    (|PE_wtd_mean - lambda|)
38            0.160955314148766265    (lambda / IP_wtd_mean)
39            0.163188230641191118    (at_rad_mean / lambda)
40            0.16435244280836625     sqrt(lambda)
41            0.164370483281557817    (IP_mean / lambda3)
42            0.168810008257020305    (IP_wtd_mean / lambda3)
43            0.171266415209966272    (|PE_mean - lambda|)
44            0.178569478590723502    (IP_wtd_range / lambda3)
45            0.181022285819940648    cbrt(lambda)
46            0.181866474826851698    (IP_std / lambda3)
47            0.187618723225755291    (IP_wtd_std / lambda3)
48            0.190987859554848483    (IP_range / lambda3)
49            0.199105541038338746    (w_log / lambda3)
50            0.203397448343357518    (lambda / lambda3)
51            0.208050071409778436    ln(lambda3)
52            0.222930828570456319    cos(lambda)
53            0.230828139872566507    (exp(-1.0 * lambda))
54            0.234177420687785798    (1.0 / lambda)
55            0.236162122426535642    (PE_wtd_mean / lambda)
56            0.239187623168691049    (exp(-1.0 * lambda3))
57            0.241481569026760656    (PE_mean / lambda)
58            0.25892605097193        (IP_mean / lambda)
59            0.261568800417867509    (IP_wtd_mean / lambda)
#-----------------------------------------------------------------------
60            0.104020265345544594    (ThermalCond_wtd_std * lambda4w_low)
61            0.104067284939617796    (ThermalCond_range * lambda4w_low)
62            0.10406805567200135     (IP_range * lambda3)
63            0.10427214083506034     (IP_wtd_range * lambda3)
64            0.104312516186450571    (ThermalCond_wtd_range * lambda4w_low)
65            0.104437097021599798    (IP_wtd_std * lambda3)
66            0.105026546313597202    (lambda4w_low^3)
67            0.105269855963866996    (EA_mean / at_mass_wtd_mean)
68            0.1054627277714901      (lambda3^3)
69            0.105524535090065777    (at_mass_range * lambda4w_low)
70            0.105689410294091596    (at_mass_std * lambda4w_low)
71            0.105996071617237952    (lambda4w_low^6)
72            0.106232891691374176    (at_mass_wtd_std * lambda4w_low)
73            0.106836684105815413    (at_mass_wtd_range * lambda4w_low)
74            0.107100838566336343    (at_mass_range * lambda3)
75            0.107395786715141175    (at_mass_std * lambda3)
76            0.107449457850578217    (ThermalCond_wtd_std * lambda3)
77            0.107607523840220695    (ThermalCond_range * lambda3)
78            0.107670144332089657    (ThermalCond_wtd_range * lambda3)
79            0.107799843070718618    (at_mass_wtd_std * lambda3)
80            0.107826485838689326    (ThermalCond_std * lambda3)
81            0.107839531671381966    (EA_range * lambda3)
82            0.107908136149032483    (EA_range * lambda4w_low)
83            0.108280993141279022    (EA_std * lambda4w_low)
84            0.108317030560805563    (at_mass_wtd_range * lambda3)
85            0.108662440663338647    (EA_std * lambda3)
86            0.109043262426570614    (EA_wtd_std * lambda4w_low)
87            0.109371834518997874    (EA_wtd_std * lambda3)
88            0.109951018808435011    (EA_wtd_range * lambda4w_low)
89            0.110517691908118887    (EA_wtd_range * lambda3)
#-----------------------------------------------------------------------
90            0.0780042652362612776   (IP_mean * at_mass_wtd_range)
91            0.0787951514193131891   (IP_wtd_range * at_mass_std)
92            0.0790124024177637913   (IP_wtd_range * at_mass_range)
93            0.0799628655005573258   (at_mass_wtd_range + 3.017939e+00*density)
94            0.0799887344665303479   (at_mass_wtd_range / L_avg)
95            0.080039082446448917    (PE_wtd_mean * at_mass_wtd_range)
96            0.0806785179822511328   (at_rad_wtd_std * at_mass_wtd_range)
97            0.0817830440722901036   (IP_wtd_std * at_mass_wtd_std)
98            0.0823013482020078097   (at_rad_range + 7.565984e-03*at_mass_wtd_mean)
99            0.0825717851025487698   (IP_range * at_mass_wtd_range)
100           0.0829592985813696893   (PE_wtd_range * at_mass_wtd_range)
101           0.0830807407092551131   (PE_mean * at_mass_wtd_range)
102           0.0836374960007714996   (at_rad_std + 3.920748e-03*at_mass_wtd_mean)
103           0.0838406950211155466   (at_mass_range / V_molar)
104           0.0844294765969840627   (at_rad_wtd_range * at_mass_wtd_mean)
105           0.0847809314754103954   (IP_std * at_mass_wtd_range)
106           0.0851584861066098375   (at_rad_wtd_std * density)
107           0.0861511614524021058   (at_mass_std / V_molar)
108           0.0870311685607810664   (at_rad_wtd_range * at_mass_wtd_range)
109           0.0897410490284586831   (IP_wtd_range * at_mass_wtd_std)
110           0.0922161974682063901   (at_rad_wtd_std + 3.297452e-03*at_mass_mean)
111           0.0926437602027584406   (IP_wtd_std * at_mass_wtd_range)
112           0.0930968082468711378   (at_rad_wtd_range * density)
113           0.0934729352411471787   (at_mass_wtd_std / V_molar)
114           0.0979016060214448897   (IP_wtd_range * at_mass_wtd_range)
115           0.10033643508793072     (at_mass_wtd_range / V_molar)
116           0.10090050462709603     (at_rad_wtd_std + 3.884904e-03*at_mass_wtd_mean)
117           0.104807995822085553    (at_rad_wtd_range + 3.294841e-03*at_mass_mean)
118           0.108853171927704218    (at_rad_wtd_range + 3.734607e-03*at_mass_wtd_mean)
119           0.115520964482065502    (at_rad_wtd_range + 3.540023e-02*density)
#-----------------------------------------------------------------------
120           0.0788449565056823787   (ThermalCond_mean^3)
121           0.0788657561289580616   (ThermalCond_mean + 3.811909e+01*at_rad_wtd_range)
122           0.0792621470041262599   (at_rad_wtd_std * at_mass_wtd_mean)
123           0.079935474364786166    (at_rad_wtd_std * at_mass_wtd_std)
124           0.0805425116540185587   (at_rad_std * at_mass_wtd_range)
125           0.0819156453293235359   (ThermalCond_mean * at_mass_wtd_std)
126           0.0819357126864470875   (ThermalCond_mean * at_rad_wtd_std)
127           0.0823615182893185221   (IP_wtd_range * at_mass_wtd_mean)
128           0.0824948136068850701   (at_rad_range * at_mass_wtd_range)
129           0.0834455834143135317   (IP_std * density)
130           0.0836106284281561835   (at_mass_wtd_range / at_rad_mean)
131           0.0842047775815091132   (ThermalCond_mean + 4.051250e+01*PE_wtd_std)
132           0.0858767054325836748   (ThermalCond_wtd_mean + 1.704548e+00*at_mass_wtd_std)
133           0.0860790140589041131   (ThermalCond_mean + 7.129409e-01*at_mass_range)
134           0.0862504350667427505   (at_mass_wtd_mean - at_mass_mean)
135           0.0863664863925852205   (ThermalCond_mean + 3.999134e+01*PE_wtd_range)
136           0.08673901165672529     (ThermalCond_mean + 5.604829e+01*PE_std)
137           0.08855946050080582     (ThermalCond_wtd_mean * at_mass_wtd_range)
138           0.0886618173428307121   (IP_wtd_std * density)
139           0.0902907598581467463   (ThermalCond_mean + 1.283853e+00*at_mass_std)
140           0.0908473424961884907   (at_rad_wtd_range * at_mass_wtd_std)
141           0.0936818860967811584   (at_mass_wtd_std / L_avg)
142           0.0941454444577119187   (ThermalCond_mean * at_rad_wtd_range)
143           0.0948722881682004388   (at_rad_range * density)
144           0.0972264848191979336   (ThermalCond_wtd_mean + 1.498913e+00*at_mass_wtd_range)
145           0.0977292520846062829   (at_rad_std * density)
146           0.0978979117701791468   (IP_wtd_range * density)
147           0.0981751795313706155   (ThermalCond_mean * at_mass_wtd_range)
148           0.103021061011760992    (ThermalCond_mean + 1.351220e+00*at_mass_wtd_std)
149           0.114000129212461609    (ThermalCond_mean + 1.268325e+00*at_mass_wtd_range)
#-----------------------------------------------------------------------
