# c0 + a0 * (ThermalCond_range + 6.983074e+01*EA_mean) + a1 * (EA_wtd_range * lambda4w_low) + a2 * (EA_wtd_std * lambda4w_low) + a3 * (PE_std / ThermalCond_wtd_mean) + a4 * (ThermalCond_mean * lambda)
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 2.01154659851492; Max AE: 4.98316818093813
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# all , -1.320228456195750e-02, -1.653857741656572e+03,  1.554263955232747e+03,  6.961214096716043e+01,  4.887041242911052e-02,  1.944539029325911e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; W * mK^-1;                                        39|31|add:6.9830742876795e+01,0.0000000000000e+00; (ThermalCond_range + 6.983074e+01*EA_mean); $\left(ThermalCond_{range} + 69.8EA_{mean}\right)$; (ThermalCond_range + (6.983074e+01.*EA_mean)); (newdata$ThermalCond_range + (6.983074e+01*newdata$EA_mean)); ThermalCond_range,EA_mean
# 1;  1; eV^2;                                             34|2|mult; (EA_wtd_range * lambda4w_low); $\left(EA_{wtd, range} lambda4w_{low}\right)$; (EA_wtd_range .* lambda4w_low); (newdata$EA_wtd_range * newdata$lambda4w_low); EA_wtd_range,lambda4w_low
# 2;  1; eV^2;                                             36|2|mult; (EA_wtd_std * lambda4w_low); $\left(EA_{wtd, std} lambda4w_{low}\right)$; (EA_wtd_std .* lambda4w_low); (newdata$EA_wtd_std * newdata$lambda4w_low); EA_wtd_std,lambda4w_low
# 3;  1; W^-1 * mK;                                        29|38|div; (PE_std / ThermalCond_wtd_mean); $\left(\frac{ PE_{std} }{ ThermalCond_{wtd, mean} } \right)$; (PE_std ./ ThermalCond_wtd_mean); (newdata$PE_std / newdata$ThermalCond_wtd_mean); PE_std,ThermalCond_wtd_mean
# 4;  1; W * mK^-1;                                        37|0|mult; (ThermalCond_mean * lambda); $\left(ThermalCond_{mean} lambda\right)$; (ThermalCond_mean .* lambda); (newdata$ThermalCond_mean * newdata$lambda); ThermalCond_mean,lambda
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
C8Cs1       ,  6.750000000000000e-02,  2.307635993115410e+00,  1.645781694456196e+02,  1.640100000000000e-04,  2.610300000000000e-04,  6.851213443326451e-03,  3.938000000000000e+01
Se2Ta1      ,  1.250000000000000e-01,  1.443914195009933e-01,  1.382867152801652e+02,  1.566032094000000e+00,  1.661018546000000e+00,  2.713641086076696e-02,  1.323822800000000e+02
Ti1         ,  1.620000000000000e-01,  2.402770947950367e+00,  5.516628687266798e+00,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  1.086678000000000e+01
B1Mo1       ,  2.500000000000000e-01,  2.326791977333769e+00,  1.477184249814806e+02,  7.808849999999999e-04,  7.808849999999999e-04,  7.228915662650603e-04,  4.828940000000000e+01
Al1Hf1Ni2   ,  3.700000000000000e-01,  2.156557902442193e+00,  2.491709044333179e+02,  6.221740000000000e-04,  6.558230000000000e-04,  2.263636363636364e-03,  6.862501367000000e+01
Pt1Te1      ,  5.900000000000000e-01,  7.780529648870437e-01,  2.121181075259912e+02,  2.645450000000000e-04,  2.645450000000000e-04,  2.400000000000000e-03,  3.055500000000000e+01
Sb1V3       ,  6.500000000000000e-01,  2.353329541216487e+00,  6.239001744424395e+01,  2.943360000000000e-04,  3.398400000000000e-04,  7.235142118863050e-03,  1.406610500000000e+01
Al1Ni2Zr1   ,  6.899999999999999e-01,  3.548939473879506e+00,  2.593868699218228e+02,  1.972698000000000e-03,  1.972698000000000e-03,  2.154196042756425e-03,  1.038544535500000e+02
Rh1Te2      ,  7.550000000000000e-01, -1.085532451195973e-01,  2.555169744305393e+02,  4.819099999999999e-05,  5.111600000000000e-05,  1.730769230769231e-03,  2.455650000000000e+01
Zr1         ,  9.966666670000000e-01,  2.316368618255983e+00,  2.974789646551463e+01,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  1.564484000000000e+01
Be2Ta3      ,  1.000000000000000e+00,  2.306155764510430e+00,  1.442427496031640e+02,  4.637999999999999e-05,  4.731000000000000e-05,  3.176043557168784e-04,  4.597905000000000e+01
C1Si1       ,  1.075000000000000e+00,  4.968757601128928e+00,  1.024559035688765e+02,  3.172000000000000e-04,  3.172000000000000e-04,  2.241379310344827e-03,  8.701450000000000e+01
Nb3Sb1      ,  1.100000000000000e+00,  2.279166752727578e+00,  9.853887413357421e+01,  2.357200000000000e-04,  2.719300000000000e-04,  4.838709677419355e-03,  2.590380000000000e+01
Nb1O1       ,  1.380000000000000e+00,  3.145439169638836e+00,  1.361641843659876e+02,  4.913200000000000e-04,  4.913200000000000e-04,  3.405729770150259e-02,  1.384701758000000e+01
Sb1         ,  1.416666667000000e+00,  2.252480208751708e+00,  7.471889487817056e+01,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  2.648640000000000e+01
Sb1Sn1      ,  1.430000000000000e+00,  2.278104227446187e+00,  1.218578931651622e+02,  2.769000000000000e-04,  2.769000000000000e-04,  9.933774834437086e-04,  3.889458000000000e+01
S2Ta1       ,  1.488116666500000e+00,  4.177577632141405e+00,  1.405569760807155e+02,  1.614600000000000e-01,  1.712511000000000e-01,  2.821803132201477e-02,  6.111782200000000e+01
B2C2Y1      ,  1.800000000000000e+00,  1.625396295576517e+00,  1.657947883892426e+02,  7.449150000000001e-04,  7.604970000000001e-04,  7.800398633257405e-03,  2.817032000000000e+01
Re2Y1       ,  1.830000000000000e+00,  2.801603948409391e+00,  4.675632474734764e+01,  7.608200000000001e-05,  8.066000000000000e-05,  9.010608666615431e-03,  1.734320000000000e+01
S1Y1        ,  1.900000000000000e+00,  6.053241433847989e+00,  1.002332455091395e+02,  3.070950000000000e-03,  3.070950000000000e-03,  7.813846595805803e-02,  6.107414500000000e+00
Ga2Pt1      ,  1.900000000000000e+00,  2.536534198256979e+00,  1.277745218524290e+02,  2.323464000000000e-03,  2.464462000000000e-03,  5.423081094677764e-03,  3.915770000000000e+01
Mo0.5Rh0.5  ,  1.940000000000000e+00,  5.232137828607888e+00,  7.674564441850241e+01,  4.867950000000000e-04,  4.867950000000000e-04,  4.152249134948097e-04,  8.840510000000000e+01
Pd2Sc1Sn1   ,  2.122500000000000e+00,  3.018256149202041e+00,  1.078842419574586e+02,  3.877720000000000e-04,  4.509120000000000e-04,  1.087378640776699e-02,  3.440878441000000e+01
Be2Nb1      ,  2.150000000000000e+00,  2.627448628104668e+00,  1.671794266944889e+02,  5.477219999999999e-04,  5.809799999999999e-04,  1.036866120537760e-04,  5.904800000000000e+01
In1Te1      ,  2.206000000000000e+00,  1.693135533634961e+00,  1.582928085366006e+02,  3.183255000000000e-03,  3.183255000000000e-03,  3.764705882352941e-03,  3.874299999999999e+01
C2Cl2Y2     ,  2.300000000000000e+00,  5.498810578095553e+00,  2.607284544339784e+02,  3.592329800000000e-02,  3.969628600000000e-02,  1.545713031696659e-02,  7.435985700000001e+01
Be2Nb3      ,  2.300000000000000e+00,  2.404828279113929e+00,  1.671794266944889e+02,  3.385940000000000e-04,  3.456250000000000e-04,  1.383763837638376e-04,  5.485120000000000e+01
Pb1Pd2Sc1   ,  2.400000000000000e+00,  3.455860618991502e+00,  8.833163395195605e+01,  9.658499999999998e-05,  1.108330000000000e-04,  1.430358974358974e-02,  3.415710000000000e+01
As1Pt1Sr1   ,  2.425000000000000e+00,  3.497070212783591e+00,  1.053852464992453e+02,  1.914500000000000e-03,  2.192500000000000e-03,  1.155669525904157e-02,  3.883654193000000e+01
Bi1Nb3      ,  2.516666667000000e+00,  1.852808654107655e+00,  1.102093680752129e+02,  5.651600000000001e-05,  6.503600000000001e-05,  4.941176470588235e-03,  2.070180000000000e+01
Re1         ,  2.581333333000000e+00,  3.610624048073709e+00,  1.047461143151924e+01,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  3.692160000000000e+01
Hf1In1Pd2   ,  2.630000000000000e+00,  3.445269354228573e+00,  7.895064323990030e+01,  4.070000000000000e-04,  4.590000000000000e-04,  5.906827309236948e-03,  4.279860000000000e+01
Nb3Rh1      ,  2.742333333000000e+00,  3.071935405528522e+00,  1.668782040199468e+02,  2.067900000000000e-04,  2.388820000000000e-04,  4.358974358974360e-03,  6.134280000000000e+01
Ga1Ni2Zr1   ,  2.870000000000000e+00,  3.277771350478045e+00,  1.121048250066135e+02,  6.292455000000000e-03,  6.332130000000000e-03,  4.333761232349165e-03,  6.295452744999999e+01
N1Ni3Zn1    ,  3.000000000000000e+00,  3.001592231071124e+00,  1.428799852304291e+02,  4.912529699999999e-02,  5.013453900000000e-02,  7.755265714887952e-03,  1.171973053800000e+02
B1Hf1       ,  3.100000000000000e+00,  3.327901166993268e+00,  1.367155788843610e+01,  1.454250000000000e-04,  1.454250000000000e-04,  1.480000000000000e-02,  1.121500000000000e+01
Pt0.25V0.75 ,  3.102500000000000e+00,  5.060991550748605e+00,  1.339304804260685e+02,  1.294168300000000e-02,  1.494397300000000e-02,  7.921998781230958e-03,  5.136027000000000e+01
C2Y1        ,  3.150000000000000e+00,  2.285684072236036e+00,  1.776171331582840e+02,  1.079246000000000e-03,  1.144778000000000e-03,  6.712649154559504e-03,  4.551725999999999e+01
Pb1Pd2Y1    ,  3.215000000000000e+00,  2.623955617010176e+00,  8.329094309373232e+01,  5.813599999999999e-05,  5.891600000000000e-05,  1.010193679918451e-02,  2.210760000000000e+01
In1Sb1      ,  3.320000000000000e+00,  3.425090041494561e+00,  1.058340588706045e+02,  7.172550000000001e-03,  7.172550000000001e-03,  2.547169811320755e-03,  6.987520000000001e+01
Bi2K1       ,  3.575000000000000e+00,  3.547502240800391e+00,  1.425225424713611e+02,  6.962560000000000e-04,  7.384959999999999e-04,  1.551722800238965e-02,  4.927500000000000e+01
Al1Hf1Pd2   ,  3.621666666500000e+00,  7.344168933593042e+00,  2.352326881551097e+02,  3.285359999999999e-03,  3.876859999999999e-03,  3.714427860696518e-03,  1.566290000000000e+02
Hg0.5In0.5  ,  3.810000000000000e+00,  4.769232432292291e+00,  8.417461143151924e+01,  4.930500000000000e-03,  4.930500000000000e-03,  2.436323366555925e-03,  8.711692499999999e+01
C1W2        ,  3.835000000000000e+00,  5.890329125389524e+00,  1.065541418489899e+02,  8.740490000000000e-04,  9.271679999999999e-04,  5.840162737671571e-04,  1.087853000000000e+02
C1Ga1Mo2    ,  3.900000000000000e+00,  5.142844907615164e+00,  1.647487227922691e+02,  2.139072000000000e-03,  2.921513000000000e-03,  2.705145413870246e-03,  8.557269445000000e+01
Ba1Ge3      ,  4.000000000000000e+00,  5.028908794595682e+00,  8.913575144183656e+01,  8.996951000000000e-03,  1.038834200000000e-02,  1.131313131313131e-02,  4.516200000000000e+01
Bi2Rb1      ,  4.250000000000000e+00,  3.097224651006882e+00,  9.937033521389401e+01,  6.796800000000001e-05,  7.209600000000001e-05,  2.432429145366020e-02,  1.579050000000000e+01
Ba1Sn3      ,  4.300000000000000e+00,  2.364006888685421e+00,  9.049844572607695e+01,  1.485000000000000e-04,  1.714680000000000e-04,  9.825528007346190e-03,  1.860777000000000e+01
Rh1Se2      ,  4.350000000000000e+00,  1.616771723890287e+00,  2.597427430024592e+02,  2.235601000000000e-03,  2.371023000000000e-03,  2.681407123009055e-03,  5.989190800000000e+01
Al1Au2Sc1   ,  4.400000000000000e+00,  5.667310722990347e+00,  3.789982178496778e+02,  3.807093000000000e-03,  3.807093000000000e-03,  3.209427609427609e-03,  1.817492681700000e+02
B2Nb1       ,  4.597500000000000e+00,  2.905309814209370e+00,  6.785098458292502e+01,  2.371108000000000e-03,  2.514864000000000e-03,  6.111111111111111e-03,  2.954475000000000e+01
Pb3Y1       ,  4.720000000000000e+00,  3.989713521398450e+00,  4.108855274941111e+01,  1.337280000000000e-04,  1.538880000000000e-04,  1.816693944353519e-02,  2.670291000000000e+01
Bi2Cs1      ,  4.750000000000000e+00,  3.955342497541049e+00,  7.750999669964759e+01,  9.481499999999999e-05,  1.005300000000000e-04,  3.548083746314896e-02,  1.155660000000000e+01
Al1Si1Sr1   ,  4.750000000000000e+00,  5.368584929386963e+00,  2.425059731891051e+02,  3.825064000000000e-03,  4.269203000000000e-03,  2.839285714285714e-03,  1.252020000000000e+02
Pd2Sn1Y1    ,  4.814444444333330e+00,  4.182392990472565e+00,  1.028435510992349e+02,  1.680708000000000e-03,  2.040419000000000e-03,  7.323968393327480e-03,  5.512719795000001e+01
Br2C2Y2     ,  5.050000000000000e+00,  2.024226965828503e+00,  2.547515720323276e+02,  6.066043000000001e-03,  6.756917000000001e-03,  1.416285278413425e-02,  4.066721999999999e+01
Ir1Mo1      ,  5.325000000000000e+00,  4.582586110624270e+00,  9.168942339413653e+01,  7.289099999999999e-04,  7.289099999999999e-04,  1.384083044982699e-04,  8.003854999999999e+01
N1Ti1       ,  5.387500000000000e+00,  6.720998252699490e+00,  2.463251434363340e+01,  2.994100000000000e-04,  2.994100000000000e-04,  6.841255507210683e-02,  7.553438099999999e+00
Ga1         ,  5.527454545000000e+00,  3.534894262229363e+00,  2.094922286303848e+01,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  3.820170000000000e+01
B6Y1        ,  5.692857143000000e+00,  4.604992757169952e+00,  3.019057692002411e+01,  2.782760000000000e-04,  4.002600000000000e-04,  1.601562500000000e-02,  3.646942000000000e+01
Bi3Sr1      ,  5.700000000000000e+00,  4.668562316303559e+00,  6.002994138072399e+01,  9.011920000000001e-04,  1.040384000000000e-03,  3.627118644067797e-02,  1.770095000000000e+01
Ba1Bi3      ,  5.745000000000000e+00,  6.625321050368854e+00,  4.302994138072399e+01,  4.615948000000000e-03,  5.328896000000001e-03,  5.380952380952381e-02,  1.748890000000000e+01
Nb1S2       ,  5.821818182000000e+00,  3.678994652753371e+00,  1.574936531720405e+02,  6.003942000000000e-02,  6.367921000000000e-02,  2.701704279168757e-02,  4.615013700000000e+01
C1Mo2       ,  6.021666667000000e+00,  4.273294300758960e+00,  7.114498121974049e+01,  2.757600000000000e-04,  2.924400000000000e-04,  1.399521865914322e-03,  6.490935000000000e+01
Rh2Sr1      ,  6.200000000000000e+00,  5.062162536665705e+00,  1.546987773254579e+02,  4.239466999999999e-03,  4.497040000000000e-03,  5.955222102918776e-03,  9.755050000000000e+01
Pb1         ,  6.470100000000000e+00,  3.134104022367555e+00,  2.513906743564617e+01,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  3.113250000000000e+01
