# FEAT_ID     Feature Postfix Expression (RPN)
0             0|7|div
1             42|8|div
2             1
3             40|8|div
4             8|inv
5             41|1|mult
6             42|1|mult
7             40|1|mult
8             14|8|div
9             1|19|div
10            42|7|div
11            1|20|div
12            41|7|div
13            1|13|div
14            40|7|div
15            1|26|div
16            1|14|div
17            14|7|div
18            1|25|div
19            1|4|div
20            7|inv
21            1|exp:8.2859487528616e+00,0.0000000000000e+00
22            13|7|div
23            1|0|mult
24            2|3|div
25            1|5|div
26            1|sq
27            1|8|div
28            1|7|div
29            1|cb
#-----------------------------------------------------------------------
30            25|3|div
31            3|inv
32            1|0|div
33            26|3|div
34            14|0|div
35            0|19|div
36            0|sin
37            0|20|div
38            19|3|div
39            13|0|div
40            26|0|abd
41            22|3|div
42            20|3|div
43            0|sqrt
44            24|3|div
45            23|3|div
46            25|0|abd
47            21|3|div
48            0|cbrt
49            0|3|div
50            1|3|div
51            3|log
52            0|cos
53            0|nexp
54            0|inv
55            26|0|div
56            3|nexp
57            25|0|div
58            19|0|div
59            20|0|div
#-----------------------------------------------------------------------
60            41|2|mult
61            40|2|mult
62            9|2|mult
63            11|2|mult
64            39|2|mult
65            12|2|mult
66            16|14|add
67            10|2|mult
68            33|2|mult
69            35|2|mult
70            9|3|mult
71            11|3|mult
72            33|3|mult
73            12|3|mult
74            36|2|mult
75            10|3|mult
76            35|3|mult
77            34|2|mult
78            36|3|mult
79            23|3|mult
80            22|3|mult
81            42|3|mult
82            24|3|mult
83            40|3|mult
84            34|3|mult
85            21|3|mult
86            41|3|mult
87            39|3|mult
88            31|7|div
89            31|8|div
#-----------------------------------------------------------------------
90            32|2|mult
91            2|sq
92            16|3|mult
93            15|2|mult
94            3|2|mult
95            32|3|mult
96            0|sp
97            17|2|mult
98            2|cb
99            18|2|mult
100           3|cb
101           2|sp
102           16|2|mult
103           3|37|div
104           2|37|div
105           29|3|mult
106           27|3|mult
107           30|3|mult
108           28|3|mult
109           22|2|mult
110           29|2|mult
111           23|2|mult
112           21|2|mult
113           24|2|mult
114           27|2|mult
115           30|2|mult
116           3|38|div
117           28|2|mult
118           2|38|div
119           42|2|mult
#-----------------------------------------------------------------------
120           21|5|mult
121           9|6|div
122           11|6|div
123           22|8|mult
124           37|16|mult
125           18|8|mult
126           16|12|mult
127           12|4|div
128           37|10|mult
129           18|10|mult
130           12|6|div
131           23|5|mult
132           22|9|mult
133           16|8|mult
134           16|10|mult
135           22|11|mult
136           21|10|mult
137           15|5|mult
138           24|5|mult
139           24|12|mult
140           10|6|div
141           17|5|mult
142           10|4|div
143           23|10|mult
144           22|5|mult
145           22|12|mult
146           18|5|mult
147           24|10|mult
148           16|5|mult
149           22|10|mult
#-----------------------------------------------------------------------
