# c0 + a0 * (w_log^3)
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 3.48974893239103; Max AE: 13.2221048708714
# Coefficients
# Task   a0                      c0
# all ,  1.283997849854281e+05,  3.343709126258503e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; eV^3;                                             1|cb; (w_log^3); $\left(w_{log}^3\right)$; (w_log).^3; (newdata$w_log)^3; w_log
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
C8Cs1       ,  6.750000000000000e-02,  5.647660045437627e+00,  1.794357303199999e-05
Se2Ta1      ,  1.250000000000000e-01,  3.356370773890873e+00,  9.861112800000000e-08
Ti1         ,  1.620000000000000e-01,  4.402032541220675e+00,  8.242407999999999e-06
B1Mo1       ,  2.500000000000000e-01,  6.507758584232653e+00,  2.464217100000000e-05
Al1Hf1Ni2   ,  3.700000000000000e-01,  3.512751646487180e+00,  1.316532736000000e-06
Pt1Te1      ,  5.900000000000000e-01,  3.401419063945508e+00,  4.494550960000001e-07
Sb1V3       ,  6.500000000000000e-01,  4.472707653359773e+00,  8.792838143999999e-06
Al1Ni2Zr1   ,  6.899999999999999e-01,  3.424526877544630e+00,  6.294227929999998e-07
Rh1Te2      ,  7.550000000000000e-01,  3.570613673334301e+00,  1.767172329000000e-06
Zr1         ,  9.966666670000000e-01,  3.609839749353847e+00,  2.072671874999999e-06
Be2Ta3      ,  1.000000000000000e+00,  3.849196935790815e+00,  3.936827538999999e-06
C1Si1       ,  1.075000000000000e+00,  1.161688897063405e+01,  6.443297272900001e-05
Nb3Sb1      ,  1.100000000000000e+00,  4.120330635193752e+00,  6.048464248000001e-06
Nb1O1       ,  1.380000000000000e+00,  5.354774611613518e+00,  1.566253000800000e-05
Sb1         ,  1.416666667000000e+00,  3.445002307317467e+00,  7.888890240000000e-07
Sb1Sn1      ,  1.430000000000000e+00,  3.405347274451840e+00,  4.800486870000000e-07
S2Ta1       ,  1.488116666500000e+00,  3.469431346486504e+00,  9.791466569999998e-07
B2C2Y1      ,  1.800000000000000e+00,  9.299452114182087e+00,  4.638436885699999e-05
Re2Y1       ,  1.830000000000000e+00,  3.671706102613438e+00,  2.554497863000000e-06
S1Y1        ,  1.900000000000000e+00,  3.720754269000795e+00,  2.936493567999999e-06
Ga2Pt1      ,  1.900000000000000e+00,  3.407497251939950e+00,  4.967930880000000e-07
Mo0.5Rh0.5  ,  1.940000000000000e+00,  4.062981170144710e+00,  5.601816576000001e-06
Pd2Sc1Sn1   ,  2.122500000000000e+00,  3.403477219922579e+00,  4.654843749999999e-07
Be2Nb1      ,  2.150000000000000e+00,  5.381416243067811e+00,  1.587001969700000e-05
In1Te1      ,  2.206000000000000e+00,  3.365188375278373e+00,  1.672841510000000e-07
C2Cl2Y2     ,  2.300000000000000e+00,  3.388509565694581e+00,  3.489136640000000e-07
Be2Nb3      ,  2.300000000000000e+00,  4.278308777489717e+00,  7.278825672000002e-06
Pb1Pd2Sc1   ,  2.400000000000000e+00,  3.346681468931104e+00,  2.314912500000000e-08
As1Pt1Sr1   ,  2.425000000000000e+00,  3.415807611774461e+00,  5.615156250000001e-07
Bi1Nb3      ,  2.516666667000000e+00,  3.716818547877440e+00,  2.905841483000000e-06
Re1         ,  2.581333333000000e+00,  3.702876828090242e+00,  2.797260929000000e-06
Hf1In1Pd2   ,  2.630000000000000e+00,  3.392034574297303e+00,  3.763670480000000e-07
Nb3Rh1      ,  2.742333333000000e+00,  4.006223814027339e+00,  5.159780352000000e-06
Ga1Ni2Zr1   ,  2.870000000000000e+00,  3.361452488775180e+00,  1.381884130000000e-07
N1Ni3Zn1    ,  3.000000000000000e+00,  3.498373105752269e+00,  1.204550144000000e-06
B1Hf1       ,  3.100000000000000e+00,  5.571941335944793e+00,  1.735386246900000e-05
Pt0.25V0.75 ,  3.102500000000000e+00,  4.621575751688355e+00,  9.952248951000003e-06
C2Y1        ,  3.150000000000000e+00,  4.823883868904224e+00,  1.152785997900000e-05
Pb1Pd2Y1    ,  3.215000000000000e+00,  3.378163427012326e+00,  2.683361250000000e-07
In1Sb1      ,  3.320000000000000e+00,  3.373721920646344e+00,  2.337448960000000e-07
Bi2K1       ,  3.575000000000000e+00,  3.360442679678178e+00,  1.303238430000000e-07
Al1Hf1Pd2   ,  3.621666666500000e+00,  3.352623477911187e+00,  6.942653100000000e-08
Hg0.5In0.5  ,  3.810000000000000e+00,  3.345418391001417e+00,  1.331205300000000e-08
C1W2        ,  3.835000000000000e+00,  4.229977248437100e+00,  6.902411264000002e-06
C1Ga1Mo2    ,  3.900000000000000e+00,  4.064196840947782e+00,  5.611284433000001e-06
Bi2Rb1      ,  4.250000000000000e+00,  3.371861578662019e+00,  2.192562270000000e-07
Ba1Sn3      ,  4.300000000000000e+00,  3.429432369630435e+00,  6.676276239999998e-07
Rh1Se2      ,  4.350000000000000e+00,  3.709803444756329e+00,  2.851206632000000e-06
Al1Au2Sc1   ,  4.400000000000000e+00,  3.359282399129950e+00,  1.212873750000000e-07
B2Nb1       ,  4.597500000000000e+00,  7.019093185830095e+00,  2.862453437900000e-05
Pb3Y1       ,  4.720000000000000e+00,  3.373285554105471e+00,  2.303463970000000e-07
Bi2Cs1      ,  4.750000000000000e+00,  3.370892482440440e+00,  2.117087360000000e-07
Al1Si1Sr1   ,  4.750000000000000e+00,  3.541547370514292e+00,  1.540798875000000e-06
Pd2Sn1Y1    ,  4.814444444333330e+00,  3.358448298847110e+00,  1.147912560000000e-07
Br2C2Y2     ,  5.050000000000000e+00,  3.745775057325306e+00,  3.131359847000001e-06
Ir1Mo1      ,  5.325000000000000e+00,  4.205078371984839e+00,  6.708494455999999e-06
N1Ti1       ,  5.387500000000000e+00,  8.227363252307136e+00,  3.803475314700000e-05
Ga1         ,  5.527454545000000e+00,  3.374607487800199e+00,  2.406418480000000e-07
B6Y1        ,  5.692857143000000e+00,  3.361145398989824e+00,  1.357967440000000e-07
Bi3Sr1      ,  5.700000000000000e+00,  3.365423119103677e+00,  1.691123770000000e-07
Ba1Bi3      ,  5.745000000000000e+00,  3.351743200058075e+00,  6.257077299999998e-08
Nb1S2       ,  5.821818182000000e+00,  3.664560452991337e+00,  2.498846293000000e-06
C1Mo2       ,  6.021666667000000e+00,  5.502952883766462e+00,  1.681656832800000e-05
Rh2Sr1      ,  6.200000000000000e+00,  3.383904273076471e+00,  3.130468390000000e-07
Pb1         ,  6.470100000000000e+00,  3.361247365239474e+00,  1.365908750000000e-07
Sn1Ta3      ,  6.692500000000000e+00,  3.403477219922579e+00,  4.654843749999999e-07
Ag1B2       ,  6.700000000000000e+00,  4.183341385434569e+00,  6.539203000000002e-06
Nb1Se2      ,  6.814619048000000e+00,  3.451380281974295e+00,  8.385618069999998e-07
Li1Pb1      ,  7.200000000000000e+00,  3.373575991594313e+00,  2.326083750000000e-07
Tc1         ,  7.794166667000000e+00,  3.705175903151877e+00,  2.815166528000000e-06
P1Ru1Zr1    ,  8.496153846000000e+00,  3.637015581565183e+00,  2.284322013000000e-06
C1Ta1       ,  8.637499999999999e+00,  4.947058812535420e+00,  1.248716800000000e-05
Hf1N1       ,  8.830000000000000e+00,  5.215833499471891e+00,  1.458043230700000e-05
N1Zr1       ,  9.850000000000000e+00,  6.869773420842262e+00,  2.746160591300000e-05
C2I2Y2      ,  9.917500000000000e+00,  3.378646424246313e+00,  2.720977919999999e-07
C1Mo1       ,  1.015200000000000e+01,  3.858861835418253e+00,  4.012099469000001e-06
Mo3Os1      ,  1.102250000000000e+01,  3.716818547877440e+00,  2.905841483000000e-06
C6Ca        ,  1.130300000000000e+01,  6.908482365828982e+00,  2.776307795200001e-05
Nb3Sn1      ,  1.670900000000000e+01,  3.486895129128557e+00,  1.115157653000000e-06
B2Mg0.98    ,  3.840000000000000e+01,  3.225928943545635e+01,  2.251996007040000e-04
