# c0 + a0 * (w_log / at_mass_wtd_mean)
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 3.93021846203098; Max AE: 14.6551202561161
# Coefficients
# Task   a0                      c0
# all ,  5.222070252031383e+03,  2.991678742277704e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; eV * g^-1 * mol;                                  1|8|div; (w_log / at_mass_wtd_mean); $\left(\frac{ w_{log} }{ at_{mass, wtd, mean} } \right)$; (w_log ./ at_mass_wtd_mean); (newdata$w_log / newdata$at_mass_wtd_mean); w_log,at_mass_wtd_mean
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
C8Cs1       ,  6.750000000000000e-02,  8.364909594879807e+00,  1.028946489280170e-03
Ti1         ,  1.620000000000000e-01,  5.195406134657296e+00,  4.220026322936470e-04
B1Mo1       ,  2.500000000000000e-01,  5.838453207374758e+00,  5.451428892573131e-04
Al1Hf1Ni2   ,  3.700000000000000e-01,  3.700777208487413e+00,  1.357887642231297e-04
Pt1Te1      ,  5.900000000000000e-01,  3.239605866836470e+00,  4.747678843698479e-05
Sb1V3       ,  6.500000000000000e-01,  4.561812078358381e+00,  3.006725800883079e-04
Al1Ni2Zr1   ,  6.899999999999999e-01,  3.751525358437088e+00,  1.455067778653120e-04
Rh1Te2      ,  7.550000000000000e-01,  3.520585692998031e+00,  1.012830017969565e-04
Zr1         ,  9.966666670000000e-01,  3.721561837511311e+00,  1.397689153932165e-04
Be2Ta3      ,  1.000000000000000e+00,  3.726758023673465e+00,  1.407639587211251e-04
C1Si1       ,  1.075000000000000e+00,  1.343420428853586e+01,  1.999690743761254e-03
Nb3Sb1      ,  1.100000000000000e+00,  3.942001455587277e+00,  1.819819855812736e-04
Nb1O1       ,  1.380000000000000e+00,  5.391113808285671e+00,  4.594796604037618e-04
Sb1         ,  1.416666667000000e+00,  3.387965939458798e+00,  7.588699080157686e-05
Sb1Sn1      ,  1.430000000000000e+00,  3.331752847766170e+00,  6.512246849918909e-05
S2Ta1       ,  1.488116666500000e+00,  3.626432848216277e+00,  1.215521958349094e-04
B2C2Y1      ,  1.800000000000000e+00,  9.964193742593114e+00,  1.335201302127849e-03
Re2Y1       ,  1.830000000000000e+00,  3.455905629164238e+00,  8.889709722038871e-05
S1Y1        ,  1.900000000000000e+00,  4.228000695147537e+00,  2.367493911804238e-04
Ga2Pt1      ,  1.900000000000000e+00,  3.362576387296882e+00,  7.102502017756255e-05
Mo0.5Rh0.5  ,  1.940000000000000e+00,  3.924455769186450e+00,  1.786220755161032e-04
Pd2Sc1Sn1   ,  2.122500000000000e+00,  3.340224820337637e+00,  6.674480833044106e-05
Be2Nb1      ,  2.150000000000000e+00,  6.540668123041063e+00,  6.796134884211494e-04
In1Te1      ,  2.206000000000000e+00,  3.229067113509980e+00,  4.545867056076694e-05
C2Cl2Y2     ,  2.300000000000000e+00,  3.800439985453603e+00,  1.548736811538089e-04
Be2Nb3      ,  2.300000000000000e+00,  4.696917803695531e+00,  3.265446420898857e-04
Pb1Pd2Sc1   ,  2.400000000000000e+00,  3.099341414470335e+00,  2.061685634174501e-05
As1Pt1Sr1   ,  2.425000000000000e+00,  3.353079813336051e+00,  6.920647437053567e-05
Bi1Nb3      ,  2.516666667000000e+00,  3.602865977177940e+00,  1.170392594129665e-04
Re1         ,  2.581333333000000e+00,  3.386824842322934e+00,  7.566847648047603e-05
Hf1In1Pd2   ,  2.630000000000000e+00,  3.289644121455698e+00,  5.705886071947904e-05
Nb3Rh1      ,  2.742333333000000e+00,  3.937501696709411e+00,  1.811203045504380e-04
Ga1Ni2Zr1   ,  2.870000000000000e+00,  3.379677293691156e+00,  7.429975712458503e-05
N1Ni3Zn1    ,  3.000000000000000e+00,  4.079154374778456e+00,  2.082460748354973e-04
B1Hf1       ,  3.100000000000000e+00,  4.420115524953526e+00,  2.735384078986988e-04
Pt0.25V0.75 ,  3.102500000000000e+00,  4.283130528106331e+00,  2.473064749227096e-04
C2Y1        ,  3.150000000000000e+00,  6.125553495040252e+00,  6.001211399910739e-04
Pb1Pd2Y1    ,  3.215000000000000e+00,  3.256401153893887e+00,  5.069300082916458e-05
In1Sb1      ,  3.320000000000000e+00,  3.263622479670981e+00,  5.207584813465326e-05
Bi2K1       ,  3.575000000000000e+00,  3.165458688703433e+00,  3.327797942935157e-05
Al1Hf1Pd2   ,  3.621666666500000e+00,  3.196912486401397e+00,  3.930122235407628e-05
Hg0.5In0.5  ,  3.810000000000000e+00,  3.070156320650707e+00,  1.502805871722520e-05
C1W2        ,  3.835000000000000e+00,  3.777277584272381e+00,  1.504381986605944e-04
C1Ga1Mo2    ,  3.900000000000000e+00,  4.348181574950266e+00,  2.597634208664433e-04
Ba1Ge3      ,  4.000000000000000e+00,  3.572664731583065e+00,  1.112558738709725e-04
Bi2Rb1      ,  4.250000000000000e+00,  3.179326543026465e+00,  3.593360328229331e-05
Ba1Sn3      ,  4.300000000000000e+00,  3.361647152934225e+00,  7.084707650430473e-05
Rh1Se2      ,  4.350000000000000e+00,  3.843313445918508e+00,  1.630837316502050e-04
Al1Au2Sc1   ,  4.400000000000000e+00,  3.178376570074139e+00,  3.575168827416850e-05
B2Nb1       ,  4.597500000000000e+00,  7.176054019208559e+00,  8.012866688844591e-04
Pb3Y1       ,  4.720000000000000e+00,  3.171895605442561e+00,  3.451061637762383e-05
Bi2Cs1      ,  4.750000000000000e+00,  3.161176524418890e+00,  3.245796666087579e-05
Al1Si1Sr1   ,  4.750000000000000e+00,  4.259803105711820e+00,  2.428393917030926e-04
Pd2Sn1Y1    ,  4.814444444333330e+00,  3.233123853536647e+00,  4.623551572578343e-05
Br2C2Y2     ,  5.050000000000000e+00,  4.259215682843942e+00,  2.427269031995819e-04
Ir1Mo1      ,  5.325000000000000e+00,  3.675228523850972e+00,  1.308963205363557e-04
N1Ti1       ,  5.387500000000000e+00,  8.668337443563722e+00,  1.087051385238986e-03
Ga1         ,  5.527454545000000e+00,  3.457540466065195e+00,  8.921016020538416e-05
B6Y1        ,  5.692857143000000e+00,  4.213554844840652e+00,  2.339830840245090e-04
Bi3Sr1      ,  5.700000000000000e+00,  3.153333466848439e+00,  3.095606086644503e-05
Ba1Bi3      ,  5.745000000000000e+00,  3.100183131052980e+00,  2.077804080346642e-05
Nb1S2       ,  5.821818182000000e+00,  4.345427986635276e+00,  2.592361226528815e-04
C1Mo2       ,  6.021666667000000e+00,  4.960033107235348e+00,  3.769298898634990e-04
Rh2Sr1      ,  6.200000000000000e+00,  3.354195338293595e+00,  6.942009174902848e-05
Pb1         ,  6.470100000000000e+00,  3.121474407325781e+00,  2.485521235521236e-05
Sn1Ta3      ,  6.692500000000000e+00,  3.236381783441674e+00,  4.685939279901130e-05
Ag1B2       ,  6.700000000000000e+00,  5.254074978741627e+00,  4.332374187390242e-04
Nb1Se2      ,  6.814619048000000e+00,  3.580609850959596e+00,  1.127773239842566e-04
Li1Pb1      ,  7.200000000000000e+00,  3.291628140571286e+00,  5.743879032973602e-05
Tc1         ,  7.794166667000000e+00,  3.744083150019369e+00,  1.440816326530612e-04
P1Ru1Zr1    ,  8.496153846000000e+00,  3.915797385032771e+00,  1.769640388111564e-04
