# c0 + a0 * ((lambda-1.039955e+00) * (EA_range-1.824350e+00)) + a1 * (w_log^3)
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 2.9093827519665; Max AE: 9.43734607999799
# Coefficients
# Task   a0                      a1                      c0
# all , -3.613069080659034e+00,  1.448907383092640e+05,  3.882025052219868e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; eV;                                               0|33|mult:-1.0399550219034e+00,-1.8243500595166e+00; ((lambda-1.039955e+00) * (EA_range-1.824350e+00)); $\left(\left(lambda-1.040e+00\right) * \left(EA_{range}-1.824e+00\right)\right)$; ((lambda-1.039955e+00) .* (EA_range-1.824350e+00)); ((newdata$lambda-1.039955e+00) * (newdata$EA_range-1.824350e+00)); lambda,EA_range
# 1;  1; eV^3;                                             1|cb; (w_log^3); $\left(w_{log}^3\right)$; (w_log).^3; (newdata$w_log)^3; w_log
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
C8Cs1       ,  6.750000000000000e-02,  4.269913174286153e+00,  6.122134321447633e-01,  1.794357303199999e-05
Se2Ta1      ,  1.250000000000000e-01,  5.510010347644633e+00, -4.466279000646712e-01,  9.861112800000000e-08
Ti1         ,  1.620000000000000e-01,  1.492110887562156e+00,  9.919995065718850e-01,  8.242407999999999e-06
B1Mo1       ,  2.500000000000000e-01,  5.208874449589698e+00,  6.209604362045770e-01,  2.464217100000000e-05
Al1Hf1Ni2   ,  3.700000000000000e-01,  2.985987864940409e+00,  3.007943006748657e-01,  1.316532736000000e-06
Pt1Te1      ,  5.900000000000000e-01,  2.590756579066201e+00,  3.754122391710700e-01,  4.494550960000001e-07
Sb1V3       ,  6.500000000000000e-01,  2.726248527224395e+00,  6.724967835572889e-01,  8.792838143999999e-06
Al1Ni2Zr1   ,  6.899999999999999e-01,  3.394144940861092e+00,  1.602730619364741e-01,  6.294227929999998e-07
Rh1Te2      ,  7.550000000000000e-01,  1.565504810706633e+00,  7.120171487317655e-01,  1.767172329000000e-06
Zr1         ,  9.966666670000000e-01,  1.870333304158770e+00,  6.398999450851844e-01,  2.072671874999999e-06
Be2Ta3      ,  1.000000000000000e+00,  8.283403163591142e-01,  1.003051561893099e+00,  3.936827538999999e-06
C1Si1       ,  1.075000000000000e+00,  1.051234607999799e+01,  7.487872227158988e-01,  6.443297272900001e-05
Nb3Sb1      ,  1.100000000000000e+00,  2.521901533361478e+00,  6.190000576961995e-01,  6.048464248000001e-06
Nb1O1       ,  1.380000000000000e+00,  3.757568719968652e+00,  6.625425131546891e-01,  1.566253000800000e-05
Sb1         ,  1.416666667000000e+00,  4.415843816193406e+00, -1.161107195784872e-01,  7.888890240000000e-07
Sb1Sn1      ,  1.430000000000000e+00,  2.841359796517004e+00,  3.072788921556350e-01,  4.800486870000000e-07
S2Ta1       ,  1.488116666500000e+00,  4.298727002653251e+00, -7.606626451146506e-02,  9.791466569999998e-07
B2C2Y1      ,  1.800000000000000e+00,  8.842362247601423e+00,  4.872113472010655e-01,  4.638436885699999e-05
Re2Y1       ,  1.830000000000000e+00,  1.192099612029898e+00,  8.469388360023594e-01,  2.554497863000000e-06
S1Y1        ,  1.900000000000000e+00,  4.241092095980965e+00,  1.837874556628041e-02,  2.936493567999999e-06
Mo0.5Rh0.5  ,  1.940000000000000e+00,  2.476350254864835e+00,  6.136960261275436e-01,  5.601816576000001e-06
Pd2Sc1Sn1   ,  2.122500000000000e+00,  2.474897114551769e+00,  4.081218154191252e-01,  4.654843749999999e-07
Be2Nb1      ,  2.150000000000000e+00,  4.310637426399828e+00,  5.177887427382626e-01,  1.587001969700000e-05
In1Te1      ,  2.206000000000000e+00,  3.835146033487279e+00,  1.968325024813668e-02,  1.672841510000000e-07
C2Cl2Y2     ,  2.300000000000000e+00,  1.897958506461231e+00,  5.631281491497713e-01,  3.489136640000000e-07
Be2Nb3      ,  2.300000000000000e+00,  2.950095876805601e+00,  5.498271847856330e-01,  7.278825672000002e-06
Pb1Pd2Sc1   ,  2.400000000000000e+00,  2.669127843859232e+00,  3.366255322057810e-01,  2.314912500000000e-08
As1Pt1Sr1   ,  2.425000000000000e+00,  4.290162656006821e+00, -9.044365967365048e-02,  5.615156250000001e-07
Bi1Nb3      ,  2.516666667000000e+00,  1.921258659593809e+00,  6.592168201979599e-01,  2.905841483000000e-06
Re1         ,  2.581333333000000e+00,  2.502639770550668e+00,  4.939519403238579e-01,  2.797260929000000e-06
Hf1In1Pd2   ,  2.630000000000000e+00,  2.496202372719272e+00,  3.986513257304976e-01,  3.763670480000000e-07
Nb3Rh1      ,  2.742333333000000e+00,  2.125518005377703e+00,  6.930704549663139e-01,  5.159780352000000e-06
Ga1Ni2Zr1   ,  2.870000000000000e+00,  4.894090528385932e+00, -2.745707964154832e-01,  1.381884130000000e-07
N1Ni3Zn1    ,  3.000000000000000e+00,  5.646321330568139e+00, -4.400049052933146e-01,  1.204550144000000e-06
B1Hf1       ,  3.100000000000000e+00,  3.090360732788374e+00,  9.150332283376360e-01,  1.735386246900000e-05
Pt0.25V0.75 ,  3.102500000000000e+00,  5.292219550307629e+00,  8.799776464397781e-03,  9.952248951000003e-06
C2Y1        ,  3.150000000000000e+00,  4.106414616936028e+00,  4.001834856983222e-01,  1.152785997900000e-05
Pb1Pd2Y1    ,  3.215000000000000e+00,  1.042913143273462e+00,  7.965503188463113e-01,  2.683361250000000e-07
