# c0 + a0 * ((lambda3+1.137497e+02) * (lambda-9.763832e+00)) + a1 * (w_log^3)
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 2.91925938130331; Max AE: 10.0161086126515
# Coefficients
# Task   a0                      a1                      c0
# all ,  5.491547127464156e-02,  1.437958758987020e+05,  5.917698531040308e+01, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         3|0|mult:1.1374965914126e+02,-9.7638324896558e+00; ((lambda3+1.137497e+02) * (lambda-9.763832e+00)); $\left(\left(lambda3+1.137e+02\right) * \left(lambda-9.764e+00\right)\right)$; ((lambda3+1.137497e+02) .* (lambda-9.763832e+00)); ((newdata$lambda3+1.137497e+02) * (newdata$lambda-9.763832e+00)); lambda3,lambda
# 1;  1; eV^3;                                             1|cb; (w_log^3); $\left(w_{log}^3\right)$; (w_log).^3; (newdata$w_log)^3; w_log
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
C8Cs1       ,  6.750000000000000e-02,  3.515798781621496e+00, -1.060564481699433e+03,  1.794357303199999e-05
Se2Ta1      ,  1.250000000000000e-01, -6.865326576552453e-01, -1.090361176035874e+03,  9.861112800000000e-08
Ti1         ,  1.620000000000000e-01,  2.408690146709205e+00, -1.055322263406117e+03,  8.242407999999999e-06
B1Mo1       ,  2.500000000000000e-01,  5.264496409156290e+00, -1.046261283580551e+03,  2.464217100000000e-05
Al1Hf1Ni2   ,  3.700000000000000e-01,  1.956849396805288e+00, -1.045414826805471e+03,  1.316532736000000e-06
Pt1Te1      ,  5.900000000000000e-01,  3.074604584950479e+00, -1.022790284977403e+03,  4.494550960000001e-07
Sb1V3       ,  6.500000000000000e-01,  2.593984834663175e+00, -1.053389381818967e+03,  8.792838143999999e-06
Al1Ni2Zr1   ,  6.899999999999999e-01,  3.510460262814662e+00, -1.015324682739553e+03,  6.294227929999998e-07
Rh1Te2      ,  7.550000000000000e-01,  4.281936895878106e-01, -1.074431345925163e+03,  1.767172329000000e-06
Zr1         ,  9.966666670000000e-01,  2.626140392749431e+00, -1.035207114968730e+03,  2.072671874999999e-06
Be2Ta3      ,  1.000000000000000e+00,  1.051174247803896e+00, -1.068768222588925e+03,  3.936827538999999e-06
C1Si1       ,  1.075000000000000e+00,  1.109110861265155e+01, -1.044351821388418e+03,  6.443297272900001e-05
Nb3Sb1      ,  1.100000000000000e+00,  3.058393153330303e+00, -1.037746468321242e+03,  6.048464248000001e-06
Nb1O1       ,  1.380000000000000e+00,  3.571867014668497e+00, -1.053570590838971e+03,  1.566253000800000e-05
Sb1         ,  1.416666667000000e+00,  4.554043420703404e+00, -9.967387988741228e+02,  7.888890240000000e-07
Sb1Sn1      ,  1.430000000000000e+00,  3.308910611826436e+00, -1.018603727176389e+03,  4.800486870000000e-07
S2Ta1       ,  1.488116666500000e+00,  7.588226471961798e+00, -9.419851070913991e+02,  9.791466569999998e-07
B2C2Y1      ,  1.800000000000000e+00,  7.672548695923399e+00, -1.059342954034590e+03,  4.638436885699999e-05
Re2Y1       ,  1.830000000000000e+00,  1.800263207066970e+00, -1.051507835965566e+03,  2.554497863000000e-06
S1Y1        ,  1.900000000000000e+00,  2.820191306860127e+00, -1.033935398355461e+03,  2.936493567999999e-06
Ga2Pt1      ,  1.900000000000000e+00,  2.871011529060278e+00, -1.026621629023617e+03,  4.967930880000000e-07
Mo0.5Rh0.5  ,  1.940000000000000e+00,  2.698176883774695e+00, -1.043136391588257e+03,  5.601816576000001e-06
Pd2Sc1Sn1   ,  2.122500000000000e+00,  2.275175392758687e+00, -1.037389706921650e+03,  4.654843749999999e-07
Be2Nb1      ,  2.150000000000000e+00,  3.433698124747712e+00, -1.056629929994057e+03,  1.587001969700000e-05
In1Te1      ,  2.206000000000000e+00,  3.536278115345230e+00, -1.013644437060113e+03,  1.672841510000000e-07
C2Cl2Y2     ,  2.300000000000000e+00,  5.790832377930699e+00, -9.730650404720408e+02,  3.489136640000000e-07
Be2Nb3      ,  2.300000000000000e+00,  1.994730722449530e+00, -1.060337248309499e+03,  7.278825672000002e-06
Pb1Pd2Sc1   ,  2.400000000000000e+00,  3.109876808041015e+00, -1.021031704720333e+03,  2.314912500000000e-08
As1Pt1Sr1   ,  2.425000000000000e+00,  2.699955736938715e+00, -1.029905997195891e+03,  5.615156250000001e-07
Bi1Nb3      ,  2.516666667000000e+00,  2.626650040268399e+00, -1.037379484671959e+03,  2.905841483000000e-06
Re1         ,  2.581333333000000e+00,  3.168404347643308e+00, -1.027229926991658e+03,  2.797260929000000e-06
Hf1In1Pd2   ,  2.630000000000000e+00,  2.582025403499877e+00, -1.031568674935304e+03,  3.763670480000000e-07
Nb3Rh1      ,  2.742333333000000e+00,  2.575294571976170e+00, -1.044216584918345e+03,  5.159780352000000e-06
Ga1Ni2Zr1   ,  2.870000000000000e+00,  5.398791188030930e+00, -9.796522509513815e+02,  1.381884130000000e-07
N1Ni3Zn1    ,  3.000000000000000e+00,  6.798350723080590e+00, -9.569588079745727e+02,  1.204550144000000e-06
B1Hf1       ,  3.100000000000000e+00,  3.437534786758014e+00, -1.060445499709146e+03,  1.735386246900000e-05
Pt0.25V0.75 ,  3.102500000000000e+00,  5.383481755038924e+00, -1.005629099206808e+03,  9.952248951000003e-06
C2Y1        ,  3.150000000000000e+00,  3.363189430591852e+00, -1.046543956898861e+03,  1.152785997900000e-05
Pb1Pd2Y1    ,  3.215000000000000e+00,  1.483170684006705e+00, -1.051295726222516e+03,  2.683361250000000e-07
In1Sb1      ,  3.320000000000000e+00,  5.392407844323952e+00, -9.800187045465281e+02,  2.337448960000000e-07
Bi2K1       ,  3.575000000000000e+00,  3.535529102137858e+00, -1.013561296069988e+03,  1.303238430000000e-07
Al1Hf1Pd2   ,  3.621666666500000e+00,  5.768418200362486e+00, -9.727413626611914e+02,  6.942653100000000e-08
Hg0.5In0.5  ,  3.810000000000000e+00,  7.150315759065987e+00, -9.474303427071487e+02,  1.331205300000000e-08
C1W2        ,  3.835000000000000e+00,  3.341175882653079e+00, -1.034833105903103e+03,  6.902411264000002e-06
C1Ga1Mo2    ,  3.900000000000000e+00,  3.915531923904129e+00, -1.020993385744642e+03,  5.611284433000001e-06
Ba1Ge3      ,  4.000000000000000e+00,  4.824472433301933e+00, -9.922739932484041e+02,  9.644302719999999e-07
Bi2Rb1      ,  4.250000000000000e+00,  1.150740099716747e+00, -1.057220706739223e+03,  2.192562270000000e-07
Ba1Sn3      ,  4.300000000000000e+00,  9.863712837277966e-01, -1.061387888927354e+03,  6.676276239999998e-07
Rh1Se2      ,  4.350000000000000e+00,  3.318918629274764e+00, -1.024630347880270e+03,  2.851206632000000e-06
Al1Au2Sc1   ,  4.400000000000000e+00,  3.747203005888068e+00, -1.009683093704826e+03,  1.212873750000000e-07
B2Nb1       ,  4.597500000000000e+00,  6.666462665563579e+00, -1.031159549826333e+03,  2.862453437900000e-05
Pb3Y1       ,  4.720000000000000e+00,  4.096069188775712e+00, -1.003615879173821e+03,  2.303463970000000e-07
Bi2Cs1      ,  4.750000000000000e+00,  1.424323306215870e+00, -1.052219046948221e+03,  2.117087360000000e-07
Al1Si1Sr1   ,  4.750000000000000e+00,  3.645605832404629e+00, -1.015250141858620e+03,  1.540798875000000e-06
Pd2Sn1Y1    ,  4.814444444333330e+00,  4.261763353661834e+00, -1.000296040276526e+03,  1.147912560000000e-07
Br2C2Y2     ,  5.050000000000000e+00,  3.250389737879751e+00, -1.026611825336551e+03,  3.131359847000001e-06
Ir1Mo1      ,  5.325000000000000e+00,  2.524776039958085e+00, -1.049191817339697e+03,  6.708494455999999e-06
N1Ti1       ,  5.387500000000000e+00,  7.796230970757443e+00, -1.035227298673137e+03,  3.803475314700000e-05
B6Y1        ,  5.692857143000000e+00,  6.511507201190693e+00, -9.593836472325519e+02,  1.357967440000000e-07
Bi3Sr1      ,  5.700000000000000e+00,  3.079240638561907e+00, -1.021971787395601e+03,  1.691123770000000e-07
Ba1Bi3      ,  5.745000000000000e+00,  5.473028944455719e+00, -9.781023915178472e+02,  6.257077299999998e-08
Nb1S2       ,  5.821818182000000e+00,  6.996503357677065e+00, -9.567395949568331e+02,  2.498846293000000e-06
C1Mo2       ,  6.021666667000000e+00,  3.459334165144771e+00, -1.058641635375329e+03,  1.681656832800000e-05
