# c0 + a0 * (w_log / lambda) + a1 * ((lambda3-1.502718e+00) * (EA_std-8.275966e-01)) + a2 * (w_log^3)
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 2.60592329181216; Max AE: 8.44408494559998
# Coefficients
# Task   a0                      a1                      a2                      c0
# all , -9.989521834086112e+01, -1.082591469846995e+00,  1.884289498747654e+05,  5.119370634916943e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; eV;                                               1|0|div; (w_log / lambda); $\left(\frac{ w_{log} }{ lambda } \right)$; (w_log ./ lambda); (newdata$w_log / newdata$lambda); w_log,lambda
# 1;  1; eV;                                               3|35|mult:-1.5027177406812e+00,-8.2759659418817e-01; ((lambda3-1.502718e+00) * (EA_std-8.275966e-01)); $\left(\left(lambda3-1.503e+00\right) * \left(EA_{std}-8.276e-01\right)\right)$; ((lambda3-1.502718e+00) .* (EA_std-8.275966e-01)); ((newdata$lambda3-1.502718e+00) * (newdata$EA_std-8.275966e-01)); lambda3,EA_std
# 2;  1; eV^3;                                             1|cb; (w_log^3); $\left(w_{log}^3\right)$; (w_log).^3; (newdata$w_log)^3; w_log
# Number of Samples Per Task
# Task, n_samples               
# all , 81                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
C8Cs1       ,  6.750000000000000e-02,  1.995280634142052e+00,  5.850279329608938e-02,  6.105990419692851e-01,  1.794357303199999e-05
Se2Ta1      ,  1.250000000000000e-01,  2.760728044272241e+00,  1.003693243536824e-03,  2.103249184617312e+00,  9.861112800000000e-08
Ti1         ,  1.620000000000000e-01,  1.368904992786884e+00,  4.070939137444579e-02,  1.142536608301936e+00,  8.242407999999999e-06
B1Mo1       ,  2.500000000000000e-01,  3.927769211414544e+00,  5.001718803712616e-02,  7.744582617306855e-01,  2.464217100000000e-05
Al1Hf1Ni2   ,  3.700000000000000e-01,  3.018015020631777e+00,  1.857942024071876e-02,  4.557889724384401e-01,  1.316532736000000e-06
Pt1Te1      ,  5.900000000000000e-01,  3.484969399321518e+00,  9.401080019636722e-03,  7.204644299102826e-01,  4.494550960000001e-07
Sb1V3       ,  6.500000000000000e-01,  1.945877949021662e+00,  4.013221854948473e-02,  7.586437101708590e-01,  8.792838143999999e-06
Al1Ni2Zr1   ,  6.899999999999999e-01,  3.863642729860659e+00,  9.591494124230554e-03,  3.844340111715818e-01,  6.294227929999998e-07
Rh1Te2      ,  7.550000000000000e-01,  1.036682093123639e+00,  3.766355140186916e-02,  6.034282510140963e-01,  1.767172329000000e-06
Zr1         ,  9.966666670000000e-01,  2.608837820600409e+00,  1.849970980847359e-02,  9.727137871745242e-01,  2.072671874999999e-06
Be2Ta3      ,  1.000000000000000e+00,  5.772218762281974e-01,  4.241203330647327e-02,  9.673101437041204e-01,  3.936827538999999e-06
C1Si1       ,  1.075000000000000e+00,  9.519084945599978e+00,  6.680553241126480e-02,  9.863091120623459e-01,  6.443297272900001e-05
Nb3Sb1      ,  1.100000000000000e+00,  2.550873916598881e+00,  2.743149653718759e-02,  8.940834801346007e-01,  6.048464248000001e-06
Nb1O1       ,  1.380000000000000e+00,  2.389685480448702e+00,  4.880998829496684e-02,  7.436552205892372e-01,  1.566253000800000e-05
Sb1         ,  1.416666667000000e+00,  4.289533134528411e+00,  8.372598767669446e-03,  1.312632259996474e-01,  7.888890240000000e-07
Sb1Sn1      ,  1.430000000000000e+00,  3.580768230165665e+00,  9.119496855345912e-03,  6.632819167782257e-01,  4.800486870000000e-07
S2Ta1       ,  1.488116666500000e+00,  4.393735658200765e+00,  4.647135904155747e-03,  4.118893503990034e-01,  9.791466569999998e-07
B2C2Y1      ,  1.800000000000000e+00,  5.473656232035709e+00,  7.831299040976460e-02,  5.198443336892863e-01,  4.638436885699999e-05
Re2Y1       ,  1.830000000000000e+00,  1.937310247690601e+00,  2.569548872180451e-02,  1.012889267383517e+00,  2.554497863000000e-06
S1Y1        ,  1.900000000000000e+00,  3.706267024053983e+00,  2.040467369620975e-02, -6.641962907010425e-02,  2.936493567999999e-06
Ga2Pt1      ,  1.900000000000000e+00,  4.289597287168359e+00,  1.021408305390766e-02, -8.955779894518469e-02,  4.967930880000000e-07
Mo0.5Rh0.5  ,  1.940000000000000e+00,  2.403439236220125e+00,  2.902909447531873e-02,  8.051126458416380e-01,  5.601816576000001e-06
Pd2Sc1Sn1   ,  2.122500000000000e+00,  3.391927443312588e+00,  1.160700913583945e-02,  6.056478643345784e-01,  4.654843749999999e-07
