# c0 + a0 * (lambda3 - (2.169506e+01*lambda)) + a1 * (w_log^3)
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 2.91319745045311; Max AE: 10.0374291068655
# Coefficients
# Task   a0                      a1                      c0
# all , -2.485778126786340e-01,  1.431104925328200e+05, -1.291170319439494e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         3|0|sub:2.1695056563064e+01,0.0000000000000e+00; (lambda3 - (2.169506e+01*lambda)); $\left(lambda3 - \left(2.170e+01lambda\right)\right)$; (lambda3 - (2.169506e+01.*lambda)); (newdata$lambda3 - (2.169506e+01*newdata$lambda)); lambda3,lambda
# 1;  1; eV^3;                                             1|cb; (w_log^3); $\left(w_{log}^3\right)$; (w_log).^3; (newdata$w_log)^3; w_log
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
C8Cs1       ,  6.750000000000000e-02,  3.667795290782127e+00, -9.618927811971185e+00,  1.794357303199999e-05
Se2Ta1      ,  1.250000000000000e-01, -6.964336167203043e-01, -2.335785359784040e+00,  9.861112800000000e-08
Ti1         ,  1.620000000000000e-01,  2.533997794030605e+00, -1.064291706659241e+01,  8.242407999999999e-06
B1Mo1       ,  2.500000000000000e-01,  5.324025347972885e+00, -1.242525390839069e+01,  2.464217100000000e-05
Al1Hf1Ni2   ,  3.700000000000000e-01,  2.027491197033437e+00, -1.259264386655151e+01,  1.316532736000000e-06
Pt1Te1      ,  5.900000000000000e-01,  3.032828567493153e+00, -1.713619208758463e+01,  4.494550960000001e-07
Sb1V3       ,  6.500000000000000e-01,  2.706936500245212e+00, -1.102173759038387e+01,  8.792838143999999e-06
Al1Ni2Zr1   ,  6.899999999999999e-01,  3.440155983793833e+00, -1.867121303909777e+01,  6.294227929999998e-07
Rh1Te2      ,  7.550000000000000e-01,  6.846316446604721e-01, -6.931033156743576e+00,  1.767172329000000e-06
Zr1         ,  9.966666670000000e-01,  2.640867224555111e+00, -1.462486298326378e+01,  2.072671874999999e-06
