# c0 + a0 * (EA_mean / at_mass_mean) + a1 * (lambda3 - (2.168035e+01*lambda)) + a2 * (w_log^3)
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 2.75417894149595; Max AE: 8.25202346463643
# Coefficients
# Task   a0                      a1                      a2                      c0
# all , -1.051805970655223e+02, -2.553027251967069e-01,  1.499843294159217e+05, -4.312616381684076e-01, 
# Feature Rung, Units, and Expressions
# 0;  1; eV * g^-1 * mol;                                  31|7|div; (EA_mean / at_mass_mean); $\left(\frac{ EA_{mean} }{ at_{mass, mean} } \right)$; (EA_mean ./ at_mass_mean); (newdata$EA_mean / newdata$at_mass_mean); EA_mean,at_mass_mean
# 1;  1; Unitless;                                         3|0|sub:2.1680351061971e+01,0.0000000000000e+00; (lambda3 - (2.168035e+01*lambda)); $\left(lambda3 - \left(2.168e+01lambda\right)\right)$; (lambda3 - (2.168035e+01.*lambda)); (newdata$lambda3 - (2.168035e+01*newdata$lambda)); lambda3,lambda
# 2;  1; eV^3;                                             1|cb; (w_log^3); $\left(w_{log}^3\right)$; (w_log).^3; (newdata$w_log)^3; w_log
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
C8Cs1       ,  6.750000000000000e-02,  3.454783522873427e+00,  1.197243648398178e-02, -9.612347100232201e+00,  1.794357303199999e-05
Se2Ta1      ,  1.250000000000000e-01, -7.855555459688698e-01,  9.014353713544384e-03, -2.268095938254348e+00,  9.861112800000000e-08
Ti1         ,  1.620000000000000e-01,  3.346682495288805e+00,  1.650406334217728e-03, -1.063562019695021e+01,  8.242407999999999e-06
B1Mo1       ,  2.500000000000000e-01,  5.426838414461465e+00,  9.582150785399162e-03, -1.241669824785496e+01,  2.464217100000000e-05
Pt1Te1      ,  5.900000000000000e-01,  2.671915829195261e+00,  1.270283001326375e-02, -1.712421004529430e+01,  4.494550960000001e-07
Sb1V3       ,  6.500000000000000e-01,  2.728070915308157e+00,  9.235583225633115e-03, -1.101417455117189e+01,  8.792838143999999e-06
Al1Ni2Zr1   ,  6.899999999999999e-01,  3.223808251149261e+00,  1.143548102622546e-02, -1.865807367387145e+01,  6.294227929999998e-07
Rh1Te2      ,  7.550000000000000e-01,  1.839005998045235e-01,  1.348340344008996e-02, -6.926312690892820e+00,  1.767172329000000e-06
Zr1         ,  9.966666670000000e-01,  3.119600920278517e+00,  4.669926114314530e-03, -1.461472795191069e+01,  2.072671874999999e-06
Be2Ta3      ,  1.000000000000000e+00,  2.028436335500575e+00,  1.695093703937671e-03, -8.019994700371953e+00,  3.936827538999999e-06
C1Si1       ,  1.075000000000000e+00,  5.552836432818626e+00,  6.604117098378399e-02, -1.279426867228904e+01,  6.443297272900001e-05
Nb3Sb1      ,  1.100000000000000e+00,  3.115670729191199e+00,  9.144421297417760e-03, -1.410706917536140e+01,  6.048464248000001e-06
Nb1O1       ,  1.380000000000000e+00,  2.447274016974337e+00,  2.161501040348632e-02, -1.097865795436654e+01,  1.566253000800000e-05
Sb1         ,  1.416666667000000e+00,  4.528084710029647e+00,  8.787779237844941e-03, -2.258232543199163e+01,  7.888890240000000e-07
Sb1Sn1      ,  1.430000000000000e+00,  3.238651798437949e+00,  9.439846966357550e-03, -1.798179942180865e+01,  4.800486870000000e-07
S2Ta1       ,  1.488116666500000e+00,  7.867484436548346e+00,  1.126218113568229e-02, -3.657012414922049e+01,  9.791466569999998e-07
B2C2Y1      ,  1.800000000000000e+00,  7.301626494169511e+00,  1.653218768879640e-02, -9.850365067232479e+00,  4.638436885699999e-05
Re2Y1       ,  1.830000000000000e+00,  2.683360758973004e+00,  1.661136813699690e-03, -1.138337676496879e+01,  2.554497863000000e-06
S1Y1        ,  1.900000000000000e+00,  1.732619361691671e+00,  1.970707222675036e-02, -1.486962037529153e+01,  2.936493567999999e-06
Ga2Pt1      ,  1.900000000000000e+00,  2.851709942894689e+00,  9.168941908635346e-03, -1.634473421345262e+01,  4.967930880000000e-07
Mo0.5Rh0.5  ,  1.940000000000000e+00,  2.740829701761970e+00,  9.469182663198824e-03, -1.303503877971410e+01,  5.601816576000001e-06
Pd2Sc1Sn1   ,  2.122500000000000e+00,  2.603493591292430e+00,  6.225637897460476e-03, -1.417829040407830e+01,  4.654843749999999e-07
Be2Nb1      ,  2.150000000000000e+00,  3.677430638760544e+00,  8.761894296036249e-03, -1.037990991399416e+01,  1.587001969700000e-05
In1Te1      ,  2.206000000000000e+00,  3.460833775060521e+00,  9.368116228992895e-03, -1.900625802809313e+01,  1.672841510000000e-07
C2Cl2Y2     ,  2.300000000000000e+00,  2.745152256998450e+00,  3.803644811291700e-02, -2.790717815693742e+01,  3.489136640000000e-07
Be2Nb3      ,  2.300000000000000e+00,  2.204224662154386e+00,  8.761894296036249e-03, -9.656605837462342e+00,  7.278825672000002e-06
Pb1Pd2Sc1   ,  2.400000000000000e+00,  3.708657900569552e+00,  3.110685304800130e-03, -1.748368046972837e+01,  2.314912500000000e-08
As1Pt1Sr1   ,  2.425000000000000e+00,  2.792121882429995e+00,  8.215018224371583e-03, -1.568030852308897e+01,  5.615156250000001e-07
Bi1Nb3      ,  2.516666667000000e+00,  2.984118230388086e+00,  6.091687347707817e-03, -1.418032843918450e+01,  2.905841483000000e-06
Re1         ,  2.581333333000000e+00,  4.044926619999838e+00,  8.055551080249400e-04, -1.622141603686840e+01,  2.797260929000000e-06
Hf1In1Pd2   ,  2.630000000000000e+00,  3.317331755853212e+00,  2.144230054795323e-03, -1.534521666035405e+01,  3.763670480000000e-07
Nb3Rh1      ,  2.742333333000000e+00,  2.525454315539029e+00,  1.036709738636793e-02, -1.282104312866960e+01,  5.159780352000000e-06
Ga1Ni2Zr1   ,  2.870000000000000e+00,  5.422030214714852e+00,  8.568173871235631e-03, -2.637563463051914e+01,  1.381884130000000e-07
N1Ni3Zn1    ,  3.000000000000000e+00,  7.018547031230328e+00,  8.371228004614713e-03, -3.192146020854603e+01,  1.204550144000000e-06
B1Hf1       ,  3.100000000000000e+00,  4.477609990186098e+00,  1.463308980068358e-03, -9.635525486400370e+00,  1.735386246900000e-05
Pt0.25V0.75 ,  3.102500000000000e+00,  5.207915883970848e+00,  1.078343066737770e-02, -2.068408713218379e+01,  9.952248951000003e-06
C2Y1        ,  3.150000000000000e+00,  2.817166680472504e+00,  1.555740086368348e-02, -1.236088129998764e+01,  1.152785997900000e-05
Pb1Pd2Y1    ,  3.215000000000000e+00,  2.205994814596224e+00,  3.040798120071280e-03, -1.142503746709273e+01,  2.683361250000000e-07
In1Sb1      ,  3.320000000000000e+00,  5.707065123251867e+00,  5.790901943545047e-03, -2.629176484010310e+01,  2.337448960000000e-07
Bi2K1       ,  3.575000000000000e+00,  3.831541562701071e+00,  5.832824086540245e-03, -1.902352034404890e+01,  1.303238430000000e-07
Al1Hf1Pd2   ,  3.621666666500000e+00,  6.386871011937269e+00,  3.200192377059036e-03, -2.798371187714108e+01,  6.942653100000000e-08
Hg0.5In0.5  ,  3.810000000000000e+00,  8.316617912392278e+00,  9.511429567864049e-04, -3.464876737407382e+01,  1.331205300000000e-08
C1W2        ,  3.835000000000000e+00,  3.238319857994375e+00,  1.061011749760532e-02, -1.468964525083998e+01,  6.902411264000002e-06
C1Ga1Mo2    ,  3.900000000000000e+00,  3.509095242073848e+00,  1.299556459033665e-02, -1.749152261015317e+01,  5.611284433000001e-06
Ba1Ge3      ,  4.000000000000000e+00,  5.050235081568796e+00,  6.429888024690771e-03, -2.355300652976288e+01,  9.644302719999999e-07
Bi2Rb1      ,  4.250000000000000e+00,  1.717076546583049e+00,  4.802202900204518e-03, -1.026448798315331e+01,  2.192562270000000e-07
Ba1Sn3      ,  4.300000000000000e+00,  1.589045008945682e+00,  4.686822607669986e-03, -9.452056432161219e+00,  6.676276239999998e-07
Rh1Se2      ,  4.350000000000000e+00,  2.446207153361596e+00,  1.736342113279003e-02, -1.674924337511684e+01,  2.851206632000000e-06
Al1Au2Sc1   ,  4.400000000000000e+00,  3.700390335412884e+00,  9.028912696971531e-03, -1.983185722907649e+01,  1.212873750000000e-07
B2Nb1       ,  4.597500000000000e+00,  6.614171464624115e+00,  1.128065300518524e-02, -1.542759609970814e+01,  2.862453437900000e-05
Pb3Y1       ,  4.720000000000000e+00,  4.755865899347813e+00,  2.252573235647529e-03, -2.111025717150294e+01,  2.303463970000000e-07
Bi2Cs1      ,  4.750000000000000e+00,  2.034803074070479e+00,  4.147583783824891e-03, -1.124373841285358e+01,  2.117087360000000e-07
Al1Si1Sr1   ,  4.750000000000000e+00,  3.221132803754281e+00,  1.279795131858636e-02, -1.867349795472102e+01,  1.540798875000000e-06
Pd2Sn1Y1    ,  4.814444444333330e+00,  4.464751843558696e+00,  6.572499059024480e-03, -2.181761265228264e+01,  1.147912560000000e-07
Br2C2Y2     ,  5.050000000000000e+00,  1.341139862445850e+00,  2.729225945067069e-02, -1.634672224855882e+01,  3.131359847000001e-06
Ir1Mo1      ,  5.325000000000000e+00,  2.753874825301247e+00,  8.019655269340349e-03, -1.183880645322596e+01,  6.708494455999999e-06
N1Ti1       ,  5.387500000000000e+00,  8.869208417422202e+00,  1.276792438802854e-03, -1.461068188169829e+01,  3.803475314700000e-05
Ga1         ,  5.527454545000000e+00,  5.859999557385707e+00,  4.302740845918850e-03, -2.627364645393493e+01,  2.406418480000000e-07
B6Y1        ,  5.692857143000000e+00,  6.959781355407143e+00,  5.856585851130401e-03, -3.128315532246520e+01,  1.357967440000000e-07
Bi3Sr1      ,  5.700000000000000e+00,  3.673168737519175e+00,  3.189476480813917e-03, -1.729138302932105e+01,  1.691123770000000e-07
Ba1Bi3      ,  5.745000000000000e+00,  6.115506560764618e+00,  2.731677116919823e-03, -2.673180628367012e+01,  6.257077299999998e-08
Nb1S2       ,  5.821818182000000e+00,  5.608459742270293e+00,  2.376524736661855e-02, -3.197998178832491e+01,  2.498846293000000e-06
C1Mo2       ,  6.021666667000000e+00,  2.683436615953158e+00,  1.860860608665367e-02, -9.987127349135292e+00,  1.681656832800000e-05
Rh2Sr1      ,  6.200000000000000e+00,  4.525823492750655e+00,  5.967701978106879e-03, -2.169118822995504e+01,  3.130468390000000e-07
Pb1         ,  6.470100000000000e+00,  4.150231074526418e+00,  1.737451737451738e-03, -1.858089226962356e+01,  1.365908750000000e-07
Sn1Ta3      ,  6.692500000000000e+00,  7.752937331578691e+00,  5.079126924111436e-03, -3.387589851888625e+01,  4.654843749999999e-07
Ag1B2       ,  6.700000000000000e+00,  2.859046148587594e+00,  1.330477455190126e-02, -1.452759244234421e+01,  6.539203000000002e-06
Nb1Se2      ,  6.814619048000000e+00,  7.567695731787711e+00,  1.695394507945780e-02, -3.782338123610998e+01,  8.385618069999998e-07
Li1Pb1      ,  7.200000000000000e+00,  3.237677787857024e+00,  4.567084304266815e-03, -1.611585017623995e+01,  2.326083750000000e-07
Tc1         ,  7.794166667000000e+00,  5.498699411710213e+00,  5.612244897959184e-03, -2.388548516483414e+01,  2.815166528000000e-06
P1Ru1Zr1    ,  8.496153846000000e+00,  5.350846108732865e+00,  9.952715531315380e-03, -2.540641819871242e+01,  2.284322013000000e-06
C1Ta1       ,  8.637499999999999e+00,  4.453714994905778e+00,  8.214197242310008e-03, -1.518225581675209e+01,  1.248716800000000e-05
Hf1N1       ,  8.830000000000000e+00,  5.884237251025309e+00,  0.000000000000000e+00, -1.617163515921347e+01,  1.458043230700000e-05
N1Zr1       ,  9.850000000000000e+00,  7.117755339727655e+00,  4.048321372095852e-03, -1.510368244761040e+01,  2.746160591300000e-05
C2I2Y2      ,  9.917500000000000e+00,  5.423439267460041e+00,  2.031859236795220e-02, -3.114346770652690e+01,  2.720977919999999e-07
C1Mo1       ,  1.015200000000000e+01,  5.108572391219136e+00,  1.860860608665367e-02, -2.700851028682984e+01,  4.012099469000001e-06
Mo3Os1      ,  1.102250000000000e+01,  6.192191571563780e+00,  6.450485708295478e-03, -2.689390979428984e+01,  2.905841483000000e-06
C6Ca        ,  1.130300000000000e+01,  5.259181878713552e+00,  2.424705502910414e-02, -1.596824557838136e+01,  2.776307795200001e-05
Nb3Sn1      ,  1.670900000000000e+01,  8.456976535363566e+00,  9.890537784406123e-03, -3.823411858489080e+01,  1.115157653000000e-06
B2Mg0.98    ,  3.840000000000000e+01,  3.585279826317678e+01,  7.888142157421119e-03, -1.307204341162565e+01,  2.251996007040000e-04
