# c0 + a0 * (exp(-1.0 * lambda)) + a1 * (w_log^3)
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 3.01523214745252; Max AE: 10.0374495206817
# Coefficients
# Task   a0                      a1                      c0
# all , -1.130718476525249e+01,  1.441469801300614e+05,  8.029525131198902e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         0|nexp; (exp(-1.0 * lambda)); $\left(\exp{ \left(-lambda \right) } \right)$; exp(-1.0 * (lambda)); exp(-1.0 * (newdata$lambda)); lambda
# 1;  1; eV^3;                                             1|cb; (w_log^3); $\left(w_{log}^3\right)$; (w_log).^3; (newdata$w_log)^3; w_log
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
C8Cs1       ,  6.750000000000000e-02,  3.388210676938716e+00,  6.392242162503299e-01,  1.794357303199999e-05
Se2Ta1      ,  1.250000000000000e-01,  7.930422126455003e+00,  1.002172542546118e-02,  9.861112800000000e-08
Ti1         ,  1.620000000000000e-01,  2.333378553490601e+00,  6.088398609231033e-01,  8.242407999999999e-06
B1Mo1       ,  2.500000000000000e-01,  5.262130708018847e+00,  5.588914559969618e-01,  2.464217100000000e-05
Al1Hf1Ni2   ,  3.700000000000000e-01,  1.950791500978528e+00,  5.543827202347094e-01,  1.316532736000000e-06
Pt1Te1      ,  5.900000000000000e-01,  3.088306966110953e+00,  4.427278640802002e-01,  4.494550960000001e-07
Sb1V3       ,  6.500000000000000e-01,  2.536205685379342e+00,  5.979189914562790e-01,  8.792838143999999e-06
Al1Ni2Zr1   ,  6.899999999999999e-01,  3.493117408968542e+00,  4.092209699522862e-01,  6.294227929999998e-07
Rh1Te2      ,  7.550000000000000e-01,  8.176295383799927e-02,  7.254232509901412e-01,  1.767172329000000e-06
Zr1         ,  9.966666670000000e-01,  2.652342290056012e+00,  5.019774904684602e-01,  2.072671874999999e-06
Be2Ta3      ,  1.000000000000000e+00,  8.046891893187954e-01,  6.891474672693042e-01,  3.936827538999999e-06
C1Si1       ,  1.075000000000000e+00,  1.111244952068171e+01,  5.487567576743838e-01,  6.443297272900001e-05
Nb3Sb1      ,  1.100000000000000e+00,  3.081753339385767e+00,  5.146851111402196e-01,  6.048464248000001e-06
Nb1O1       ,  1.380000000000000e+00,  3.514947920264066e+00,  5.989363182245016e-01,  1.566253000800000e-05
Sb1         ,  1.416666667000000e+00,  4.392931700320676e+00,  3.316749022153112e-01,  7.888890240000000e-07
Sb1Sn1      ,  1.430000000000000e+00,  3.307247477473585e+00,  4.237549241254282e-01,  4.800486870000000e-07
S2Ta1       ,  1.488116666500000e+00,  6.836057193542502e+00,  1.180319415553118e-01,  9.791466569999998e-07
B2C2Y1      ,  1.800000000000000e+00,  7.569080217716752e+00,  6.320416405876234e-01,  4.638436885699999e-05
Re2Y1       ,  1.830000000000000e+00,  1.755580766231069e+00,  5.874289361645234e-01,  2.554497863000000e-06
S1Y1        ,  1.900000000000000e+00,  2.847927905910786e+00,  4.956922542303133e-01,  2.936493567999999e-06
Ga2Pt1      ,  1.900000000000000e+00,  2.893956869201922e+00,  4.605195363379551e-01,  4.967930880000000e-07
Mo0.5Rh0.5  ,  1.940000000000000e+00,  2.704290241553925e+00,  5.423737172106741e-01,  5.601816576000001e-06
Pd2Sc1Sn1   ,  2.122500000000000e+00,  2.297316785589429e+00,  5.128868620228965e-01,  4.654843749999999e-07
Be2Nb1      ,  2.150000000000000e+00,  3.348373297839419e+00,  6.163132019122897e-01,  1.587001969700000e-05
In1Te1      ,  2.206000000000000e+00,  3.509499305282451e+00,  4.018807002315090e-01,  1.672841510000000e-07
C2Cl2Y2     ,  2.300000000000000e+00,  5.343980460726900e+00,  2.419558518112377e-01,  3.489136640000000e-07
Be2Nb3      ,  2.300000000000000e+00,  1.866082060209022e+00,  6.378832538994762e-01,  7.278825672000002e-06
Pb1Pd2Sc1   ,  2.400000000000000e+00,  3.117633012450544e+00,  4.346996265873792e-01,  2.314912500000000e-08
As1Pt1Sr1   ,  2.425000000000000e+00,  2.726967940637535e+00,  4.761130275985851e-01,  5.615156250000001e-07
Bi1Nb3      ,  2.516666667000000e+00,  2.649666794802249e+00,  5.128355759010430e-01,  2.905841483000000e-06
Re1         ,  2.581333333000000e+00,  3.193177559412214e+00,  4.633836269695772e-01,  2.797260929000000e-06
Hf1In1Pd2   ,  2.630000000000000e+00,  2.609620017964642e+00,  4.841308778685802e-01,  3.763670480000000e-07
Nb3Rh1      ,  2.742333333000000e+00,  2.576458958270063e+00,  5.480438373879961e-01,  5.159780352000000e-06
Ga1Ni2Zr1   ,  2.870000000000000e+00,  5.039449796438336e+00,  2.662019627054593e-01,  1.381884130000000e-07
N1Ni3Zn1    ,  3.000000000000000e+00,  6.134006468491289e+00,  1.829943501709675e-01,  1.204550144000000e-06
B1Hf1       ,  3.100000000000000e+00,  3.311151917851000e+00,  6.385214562013430e-01,  1.735386246900000e-05
