# c0 + a0 * (lambda4w_low - (4.628933e-01*lambda)) + a1 * (w_log^3)
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 2.92384883039299; Max AE: 9.89462422007475
# Coefficients
# Task   a0                      a1                      c0
# all , -1.070682143103352e+01,  1.419392456511334e+05, -1.094433201505781e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; eV;                                               2|0|sub:4.6289333025355e-01,0.0000000000000e+00; (lambda4w_low - (4.628933e-01*lambda)); $\left(lambda4w_{low} - \left(4.629e-01lambda\right)\right)$; (lambda4w_low - (4.628933e-01.*lambda)); (newdata$lambda4w_low - (4.628933e-01*newdata$lambda)); lambda4w_low,lambda
# 1;  1; eV^3;                                             1|cb; (w_log^3); $\left(w_{log}^3\right)$; (w_log).^3; (newdata$w_log)^3; w_log
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
C8Cs1       ,  6.750000000000000e-02,  3.659083868756679e+00, -2.060947652884650e-01,  1.794357303199999e-05
Se2Ta1      ,  1.250000000000000e-01, -4.727386506267864e-01, -5.675799915710433e-02,  9.861112800000000e-08
Ti1         ,  1.620000000000000e-01,  2.521650522868998e+00, -2.284676704718130e-01,  8.242407999999999e-06
B1Mo1       ,  2.500000000000000e-01,  5.251072667898574e+00, -2.659813395415171e-01,  2.464217100000000e-05
Al1Hf1Ni2   ,  3.700000000000000e-01,  2.001807352689262e+00, -2.717307755165709e-01,  1.316532736000000e-06
Pt1Te1      ,  5.900000000000000e-01,  2.971523630648798e+00, -3.737954854905949e-01,  4.494550960000001e-07
Sb1V3       ,  6.500000000000000e-01,  2.687128365315581e+00, -2.366260397494023e-01,  8.792838143999999e-06
Al1Ni2Zr1   ,  6.899999999999999e-01,  3.364737200205754e+00, -4.081351905815495e-01,  6.294227929999998e-07
Rh1Te2      ,  7.550000000000000e-01,  7.459193284158322e-01, -1.484587590113905e-01,  1.767172329000000e-06
Zr1         ,  9.966666670000000e-01,  2.584679939972190e+00, -3.161460832107487e-01,  2.072671874999999e-06
Be2Ta3      ,  1.000000000000000e+00,  1.306307155132302e+00, -1.720351868533978e-01,  3.936827538999999e-06
C1Si1       ,  1.075000000000000e+00,  1.096962422007475e+01, -2.725822874851571e-01,  6.443297272900001e-05
Nb3Sb1      ,  1.100000000000000e+00,  3.017924434186517e+00, -3.039037499544099e-01,  6.048464248000001e-06
Nb1O1       ,  1.380000000000000e+00,  3.650676870543780e+00, -2.355491210879712e-01,  1.566253000800000e-05
Sb1         ,  1.416666667000000e+00,  4.340427527786527e+00, -4.971490792678210e-01,  7.888890240000000e-07
Sb1Sn1      ,  1.430000000000000e+00,  3.183414881617963e+00, -3.931802133557006e-01,  4.800486870000000e-07
S2Ta1       ,  1.488116666500000e+00,  7.418463257507244e+00, -7.821104680857920e-01,  9.791466569999998e-07
B2C2Y1      ,  1.800000000000000e+00,  7.746171403685969e+00, -2.107854599203301e-01,  4.638436885699999e-05
Re2Y1       ,  1.830000000000000e+00,  1.893133696463173e+00, -2.451692516948902e-01,  2.554497863000000e-06
S1Y1        ,  1.900000000000000e+00,  2.763420179290265e+00, -3.213885391719435e-01,  2.936493567999999e-06
Ga2Pt1      ,  1.900000000000000e+00,  2.788432249045281e+00, -3.560674882786050e-01,  4.967930880000000e-07
Mo0.5Rh0.5  ,  1.940000000000000e+00,  2.706176340887098e+00, -2.807081394491237e-01,  5.601816576000001e-06
Pd2Sc1Sn1   ,  2.122500000000000e+00,  2.264347600404058e+00, -3.075338766102973e-01,  4.654843749999999e-07
Be2Nb1      ,  2.150000000000000e+00,  3.542130263842551e+00, -2.226603718427196e-01,  1.587001969700000e-05
In1Te1      ,  2.206000000000000e+00,  3.406513549073646e+00, -4.181635598591389e-01,  1.672841510000000e-07
C2Cl2Y2     ,  2.300000000000000e+00,  5.682247585559945e+00, -6.283056356297917e-01,  3.489136640000000e-07
Be2Nb3      ,  2.300000000000000e+00,  2.158529291070578e+00, -2.073268412819974e-01,  7.278825672000002e-06
Pb1Pd2Sc1   ,  2.400000000000000e+00,  3.023124652554686e+00, -3.842664334342349e-01,  2.314912500000000e-08
As1Pt1Sr1   ,  2.425000000000000e+00,  2.636434702425108e+00, -3.410131403811617e-01,  5.615156250000001e-07
Bi1Nb3      ,  2.516666667000000e+00,  2.597306791195480e+00, -3.062801659433226e-01,  2.905841483000000e-06
Re1         ,  2.581333333000000e+00,  3.062067878061697e+00, -3.511275496310329e-01,  2.797260929000000e-06
Hf1In1Pd2   ,  2.630000000000000e+00,  2.532741122769556e+00, -3.337828217659273e-01,  3.763670480000000e-07
Nb3Rh1      ,  2.742333333000000e+00,  2.594353012853332e+00, -2.761240488144868e-01,  5.159780352000000e-06
Ga1Ni2Zr1   ,  2.870000000000000e+00,  5.314683730089317e+00, -5.967693225905772e-01,  1.381884130000000e-07
N1Ni3Zn1    ,  3.000000000000000e+00,  6.545637027094527e+00, -6.976017427696090e-01,  1.204550144000000e-06
B1Hf1       ,  3.100000000000000e+00,  3.580832524143460e+00, -2.066039479517439e-01,  1.735386246900000e-05
Pt0.25V0.75 ,  3.102500000000000e+00,  5.044771093608237e+00, -4.414559089196037e-01,  9.952248951000003e-06
C2Y1        ,  3.150000000000000e+00,  3.384714129456673e+00, -2.655215275498325e-01,  1.152785997900000e-05
Pb1Pd2Y1    ,  3.215000000000000e+00,  1.584652744607941e+00, -2.466650383553973e-01,  2.683361250000000e-07
In1Sb1      ,  3.320000000000000e+00,  5.273419925287689e+00, -5.916485666062842e-01,  2.337448960000000e-07
Bi2K1       ,  3.575000000000000e+00,  3.408832913657869e+00, -4.188701638563671e-01,  1.303238430000000e-07
Al1Hf1Pd2   ,  3.621666666500000e+00,  5.791489763710299e+00, -6.422138129480340e-01,  6.942653100000000e-08
Hg0.5In0.5  ,  3.810000000000000e+00,  8.118349343980265e+00, -8.602826807242304e-01,  1.331205300000000e-08
C1W2        ,  3.835000000000000e+00,  3.272379835223528e+00, -3.163487885326868e-01,  6.902411264000002e-06
C1Ga1Mo2    ,  3.900000000000000e+00,  3.741193694956685e+00, -3.772515907663364e-01,  5.611284433000001e-06
Ba1Ge3      ,  4.000000000000000e+00,  4.591379679722081e+00, -5.182604764336143e-01,  9.644302719999999e-07
Bi2Rb1      ,  4.250000000000000e+00,  1.304763294505805e+00, -2.211744585263251e-01,  2.192562270000000e-07
Ba1Sn3      ,  4.300000000000000e+00,  1.176991637727669e+00, -2.032967759785380e-01,  6.676276239999998e-07
Rh1Se2      ,  4.350000000000000e+00,  3.193420397845909e+00, -3.626805122157775e-01,  2.851206632000000e-06
Al1Au2Sc1   ,  4.400000000000000e+00,  3.611372587656677e+00, -4.379068410591177e-01,  1.212873750000000e-07
B2Nb1       ,  4.597500000000000e+00,  6.491277330565431e+00, -3.290206844199669e-01,  2.862453437900000e-05
Pb3Y1       ,  4.720000000000000e+00,  3.936914665829140e+00, -4.668661661824099e-01,  2.303463970000000e-07
Bi2Cs1      ,  4.750000000000000e+00,  1.534246362041081e+00, -2.427078663821914e-01,  2.117087360000000e-07
Al1Si1Sr1   ,  4.750000000000000e+00,  3.477397961410337e+00, -4.065755052457524e-01,  1.540798875000000e-06
Pd2Sn1Y1    ,  4.814444444333330e+00,  4.116716471251381e+00, -4.851912700641465e-01,  1.147912560000000e-07
Br2C2Y2     ,  5.050000000000000e+00,  3.136858702980745e+00, -3.536837776116303e-01,  3.131359847000001e-06
Ir1Mo1      ,  5.325000000000000e+00,  2.583900077930800e+00, -2.546166156274430e-01,  6.708494455999999e-06
N1Ti1       ,  5.387500000000000e+00,  7.637797343793036e+00, -3.113535045446980e-01,  3.803475314700000e-05
Ga1         ,  5.527454545000000e+00,  5.267769395242943e+00, -5.910293839430053e-01,  2.406418480000000e-07
B6Y1        ,  5.692857143000000e+00,  6.695280653452198e+00, -7.257465735844130e-01,  1.357967440000000e-07
Bi3Sr1      ,  5.700000000000000e+00,  2.982745646321359e+00, -3.785600787977502e-01,  1.691123770000000e-07
Ba1Bi3      ,  5.745000000000000e+00,  5.442615462386932e+00, -6.097203971901047e-01,  6.257077299999998e-08
Nb1S2       ,  5.821818182000000e+00,  6.477877545170112e+00, -6.741147627557500e-01,  2.498846293000000e-06
C1Mo2       ,  6.021666667000000e+00,  3.585730516880799e+00, -2.141842665669782e-01,  1.681656832800000e-05
Rh2Sr1      ,  6.200000000000000e+00,  4.086890373594009e+00, -4.797773060853969e-01,  3.130468390000000e-07
Pb1         ,  6.470100000000000e+00,  3.298836756408672e+00, -4.085136172605353e-01,  1.365908750000000e-07
Sn1Ta3      ,  6.692500000000000e+00,  7.192761278491699e+00, -7.678398329422789e-01,  4.654843749999999e-07
Ag1B2       ,  6.700000000000000e+00,  3.184175308388670e+00, -3.129256418906584e-01,  6.539203000000002e-06
Nb1Se2      ,  6.814619048000000e+00,  7.597660162144274e+00, -8.007108915148006e-01,  8.385618069999998e-07
Li1Pb1      ,  7.200000000000000e+00,  2.702182986042022e+00, -3.515142149806891e-01,  2.326083750000000e-07
Tc1         ,  7.794166667000000e+00,  4.848061876996322e+00, -5.176991603754065e-01,  2.815166528000000e-06
P1Ru1Zr1    ,  8.496153846000000e+00,  5.139313314431760e+00, -5.519389307698206e-01,  2.284322013000000e-06
C1Ta1       ,  8.637499999999999e+00,  4.167268291950991e+00, -3.258933857908736e-01,  1.248716800000000e-05
Hf1N1       ,  8.830000000000000e+00,  4.684591101038513e+00, -3.464603163053991e-01,  1.458043230700000e-05
N1Zr1       ,  9.850000000000000e+00,  6.255519468290417e+00, -3.224181018028847e-01,  2.746160591300000e-05
C2I2Y2      ,  9.917500000000000e+00,  6.570001504924540e+00, -7.122387722828014e-01,  2.720977919999999e-07
C1Mo1       ,  1.015200000000000e+01,  5.641055447153104e+00, -5.758958731374406e-01,  4.012099469000001e-06
Mo3Os1      ,  1.102250000000000e+01,  5.519510619346188e+00, -5.792093304926402e-01,  2.905841483000000e-06
Nb3Sn1      ,  1.670900000000000e+01,  7.266548341909713e+00, -7.661187739239979e-01,  1.115157653000000e-06
B2Mg0.98    ,  3.840000000000000e+01,  3.381900836051516e+01, -2.754113474435801e-01,  2.251996007040000e-04
