# c0 + a0 * (EA_wtd_mean / at_mass_wtd_mean) + a1 * (lambda3 - (2.173329e+01*lambda)) + a2 * (w_log^3)
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 2.59713416306973; Max AE: 8.05372254090256
# Coefficients
# Task   a0                      a1                      a2                      c0
# all , -1.211198578018735e+02, -2.614802103638871e-01,  1.519702263846898e+05, -3.627442605012635e-01, 
# Feature Rung, Units, and Expressions
# 0;  1; eV * g^-1 * mol;                                  32|8|div; (EA_wtd_mean / at_mass_wtd_mean); $\left(\frac{ EA_{wtd, mean} }{ at_{mass, wtd, mean} } \right)$; (EA_wtd_mean ./ at_mass_wtd_mean); (newdata$EA_wtd_mean / newdata$at_mass_wtd_mean); EA_wtd_mean,at_mass_wtd_mean
# 1;  1; Unitless;                                         3|0|sub:2.1733292921211e+01,0.0000000000000e+00; (lambda3 - (2.173329e+01*lambda)); $\left(lambda3 - \left(2.173e+01lambda\right)\right)$; (lambda3 - (2.173329e+01.*lambda)); (newdata$lambda3 - (2.173329e+01*newdata$lambda)); lambda3,lambda
# 2;  1; eV^3;                                             1|cb; (w_log^3); $\left(w_{log}^3\right)$; (w_log).^3; (newdata$w_log)^3; w_log
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
C8Cs1       ,  6.750000000000000e-02, -7.101043328157013e-01,  4.618468371096744e-02, -9.636038582242067e+00,  1.794357303199999e-05
Se2Ta1      ,  1.250000000000000e-01, -1.250712792891958e+00,  1.287763370935516e-02, -2.511787316335713e+00,  9.861112800000000e-08
Ti1         ,  1.620000000000000e-01,  3.477832595048188e+00,  1.650406334217728e-03, -1.066188994750506e+01,  8.242407999999999e-06
B1Mo1       ,  2.500000000000000e-01,  5.476318176261469e+00,  9.582150785399162e-03, -1.244749982156075e+01,  2.464217100000000e-05
Al1Hf1Ni2   ,  3.700000000000000e-01,  2.103082774503659e+00,  8.527683067041986e-03, -1.261519949422256e+01,  1.316532736000000e-06
Pt1Te1      ,  5.900000000000000e-01,  2.655916091129232e+00,  1.270283001326375e-02, -1.716734707220299e+01,  4.494550960000001e-07
Sb1V3       ,  6.500000000000000e-01,  2.693809343372923e+00,  9.633467888197581e-03, -1.104140254937898e+01,  8.792838143999999e-06
Al1Ni2Zr1   ,  6.899999999999999e-01,  2.989530283190525e+00,  1.349460759012252e-02, -1.870537722510232e+01,  6.294227929999998e-07
Rh1Te2      ,  7.550000000000000e-01,  3.511243325188003e-03,  1.418297121937530e-02, -6.943307027708835e+00,  1.767172329000000e-06
Zr1         ,  9.966666670000000e-01,  3.217622272789296e+00,  4.669926114314530e-03, -1.465121548129884e+01,  2.072671874999999e-06
Be2Ta3      ,  1.000000000000000e+00,  2.129151642951663e+00,  1.722330387898757e-03, -8.039704954566975e+00,  3.936827538999999e-06
C1Si1       ,  1.075000000000000e+00,  4.784007350440024e+00,  6.604117098378399e-02, -1.282603908201891e+01,  6.443297272900001e-05
Nb3Sb1      ,  1.100000000000000e+00,  3.120458304434030e+00,  9.361784582070680e-03, -1.414223315826856e+01,  6.048464248000001e-06
