# FEAT_ID     Score                   Feature Expression
0             0.153459531900644597    (ThermalCond_wtd_std / at_mass_wtd_mean)
1             0.15841715439263826     w_log
2             0.159365997130800408    (ThermalCond_wtd_range / at_mass_wtd_mean)
3             0.160293465499051185    (1.0 / at_mass_wtd_mean)
4             0.160538546171006935    (at_rad_wtd_mean + 7.331467e+01*w_log)
5             0.161213056312124015    (ThermalCond_std * w_log)
6             0.161238546090803542    (ThermalCond_wtd_std * w_log)
7             0.161486889398198025    (ThermalCond_wtd_range * w_log)
8             0.162855299386460206    (at_rad_wtd_mean / at_mass_wtd_mean)
9             0.165410696188915601    (ThermalCond_wtd_std / at_mass_mean)
10            0.165533311566871788    (w_log / IP_mean)
11            0.167307552235156837    (w_log / IP_wtd_mean)
12            0.16847662046379791     (ThermalCond_std / at_mass_mean)
13            0.16918798077837352     (w_log / at_rad_mean)
14            0.170258370665090392    (ThermalCond_wtd_range / at_mass_mean)
15            0.171306586517760984    (w_log / PE_wtd_mean)
16            0.175659464113112562    (w_log / at_rad_wtd_mean)
17            0.181478028156782989    (at_rad_wtd_mean / at_mass_mean)
18            0.188864445447399082    (w_log / PE_mean)
19            0.18992855562912131     (w_log / L_avg)
20            0.196766114074571563    (1.0 / at_mass_mean)
21            0.198839471209750318    (at_rad_mean / at_mass_mean)
22            0.255935345886813381    (exp(1.849594e+01*w_log))
23            0.303911432872138287    (w_log * lambda)
24            0.303919019981104932    (lambda4w_low / lambda3)
25            0.322950235939341634    (w_log / density)
26            0.347708621805763174    (w_log^2)
27            0.349733607010456415    (w_log / at_mass_wtd_mean)
28            0.35992119884625895     (w_log / at_mass_mean)
29            0.491178999841053343    (w_log^3)
#-----------------------------------------------------------------------
30            0.146846340281763438    (PE_mean / lambda3)
31            0.14881293496133885     (w_log / lambda)
32            0.149601837664870035    (1.0 / lambda3)
33            0.150998075600789428    (PE_wtd_mean / lambda3)
34            0.151529747719622493    (at_rad_wtd_mean / lambda)
35            0.152066517956058661    (lambda / IP_mean)
36            0.15254442958465278     sin(lambda)
37            0.157695367302491979    (lambda / IP_wtd_mean)
38            0.157813225009013292    (IP_mean / lambda3)
39            0.159140380348156307    (at_rad_mean / lambda)
40            0.159718388050412941    (|PE_wtd_mean - lambda|)
41            0.161407655464539612    (IP_wtd_range / lambda3)
42            0.161498881420512053    (IP_wtd_mean / lambda3)
43            0.162989725075144726    sqrt(lambda)
44            0.169075988329263599    (IP_wtd_std / lambda3)
45            0.170643448356719601    (IP_std / lambda3)
46            0.174813734056514153    (|PE_mean - lambda|)
47            0.177964041309368187    (IP_range / lambda3)
48            0.179329072856171501    cbrt(lambda)
49            0.199317968038337984    (lambda / lambda3)
50            0.203466531792437261    (w_log / lambda3)
51            0.205697295617330522    ln(lambda3)
52            0.224345624931462539    cos(lambda)
53            0.229317169810560106    (exp(-1.0 * lambda))
54            0.230659168410122739    (1.0 / lambda)
55            0.235296138012344863    (PE_wtd_mean / lambda)
56            0.240143385140285159    (exp(-1.0 * lambda3))
57            0.242519081577573653    (PE_mean / lambda)
58            0.249781861241245656    (IP_mean / lambda)
59            0.250885142958591212    (IP_wtd_mean / lambda)
#-----------------------------------------------------------------------
60            0.0839694076363241143   (ThermalCond_wtd_std * lambda4w_low)
61            0.0839833957876378184   (ThermalCond_std * lambda4w_low)
62            0.0841333623941123154   (ThermalCond_wtd_range * lambda4w_low)
63            0.0842374226362009454   (at_mass_range * lambda4w_low)
64            0.0842742523258968868   (ThermalCond_range * lambda4w_low)
65            0.0843107753268495103   (at_mass_std * lambda4w_low)
66            0.0847363929445734687   (at_mass_wtd_std * lambda4w_low)
67            0.0851927230672746838   (at_mass_wtd_range * lambda4w_low)
68            0.0862074334357992578   (EA_range * lambda4w_low)
69            0.0864512892881617867   (EA_std * lambda4w_low)
70            0.0866520379517741884   (at_mass_range * lambda3)
71            0.086757357423653092    (at_mass_std * lambda3)
72            0.0868702612382951517   (EA_range * lambda3)
73            0.0870290739013848264   (at_mass_wtd_std * lambda3)
74            0.0871550034333723744   (EA_wtd_std * lambda4w_low)
75            0.087344759842928929    (at_mass_wtd_range * lambda3)
76            0.0874225392032628723   (EA_std * lambda3)
77            0.0879333741801344021   (EA_wtd_range * lambda4w_low)
78            0.0881094741621526317   (EA_wtd_std * lambda3)
79            0.0885201877796652353   (IP_std * lambda3)
80            0.0886692977436112362   (IP_wtd_range * lambda3)
81            0.0889438344050140078   (ThermalCond_wtd_std * lambda3)
82            0.089026276146258812    (ThermalCond_wtd_range * lambda3)
83            0.0890419172987800683   (IP_wtd_std * lambda3)
84            0.0890770589000950824   (EA_wtd_range * lambda3)
85            0.0891625361496855007   (IP_range * lambda3)
86            0.0892885475694528974   (ThermalCond_std * lambda3)
87            0.0895048331247272067   (ThermalCond_range * lambda3)
