# c0 + a0 * ((EA_range-1.831103e+00) * (lambda-1.036225e+00)) + a1 * (w_log^3)
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 2.88070548106129; Max AE: 9.55362780007945
# Coefficients
# Task   a0                      a1                      c0
# all , -3.507107061212372e+00,  1.454149921260494e+05,  3.873243739731468e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; eV;                                               33|0|mult:-1.8311028144797e+00,-1.0362250092618e+00; ((EA_range-1.831103e+00) * (lambda-1.036225e+00)); $\left(\left(EA_{range}-1.831e+00\right) * \left(lambda-1.036e+00\right)\right)$; ((EA_range-1.831103e+00) .* (lambda-1.036225e+00)); ((newdata$EA_range-1.831103e+00) * (newdata$lambda-1.036225e+00)); EA_range,lambda
# 1;  1; eV^3;                                             1|cb; (w_log^3); $\left(w_{log}^3\right)$; (w_log).^3; (newdata$w_log)^3; w_log
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
Se2Ta1      ,  1.250000000000000e-01,  5.540065540570900e+00, -4.711810148922357e-01,  9.861112800000000e-08
Ti1         ,  1.620000000000000e-01,  1.603841078180579e+00,  9.888413143486222e-01,  8.242407999999999e-06
B1Mo1       ,  2.500000000000000e-01,  5.285778214215407e+00,  6.189735840853964e-01,  2.464217100000000e-05
Al1Hf1Ni2   ,  3.700000000000000e-01,  3.007942426364528e+00,  3.013152699252814e-01,  1.316532736000000e-06
Pt1Te1      ,  5.900000000000000e-01,  2.638557935822912e+00,  3.706882312013015e-01,  4.494550960000001e-07
Sb1V3       ,  6.500000000000000e-01,  2.797711338131604e+00,  6.712492233588806e-01,  8.792838143999999e-06
Al1Ni2Zr1   ,  6.899999999999999e-01,  3.413612157776958e+00,  1.571549093947623e-01,  6.294227929999998e-07
Rh1Te2      ,  7.550000000000000e-01,  1.629113624915454e+00,  7.131528697211528e-01,  1.767172329000000e-06
Zr1         ,  9.966666670000000e-01,  1.946090554964132e+00,  6.354384711540449e-01,  2.072671874999999e-06
Be2Ta3      ,  1.000000000000000e+00,  9.318378493766335e-01,  1.001931100080367e+00,  3.936827538999999e-06
