# c0 + a0 * ((density+3.009623e+02) * (ThermalCond_mean+1.521696e+03)) + a1 * (w_log / lambda) + a2 * ((lambda4w_low-4.292665e-02) * (PE_wtd_range-4.532682e-01)) + a3 * (w_log^3)
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 2.36251650560069; Max AE: 9.27331660992637
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# all ,  5.493335957435930e-05, -1.231602703191415e+02, -1.125556334846977e+02,  1.927023626873494e+05, -2.122158804549769e+01, 
# Feature Rung, Units, and Expressions
# 0;  1; W * cm^-3 * g * mK^-1;                            5|37|mult:3.0096230913074e+02,1.5216961034398e+03; ((density+3.009623e+02) * (ThermalCond_mean+1.521696e+03)); $\left(\left(density+3.010e+02\right) * \left(ThermalCond_{mean}+1.522e+03\right)\right)$; ((density+3.009623e+02) .* (ThermalCond_mean+1.521696e+03)); ((newdata$density+3.009623e+02) * (newdata$ThermalCond_mean+1.521696e+03)); density,ThermalCond_mean
# 1;  1; eV;                                               1|0|div; (w_log / lambda); $\left(\frac{ w_{log} }{ lambda } \right)$; (w_log ./ lambda); (newdata$w_log / newdata$lambda); w_log,lambda
# 2;  1; eV;                                               2|28|mult:-4.2926652806049e-02,-4.5326818406669e-01; ((lambda4w_low-4.292665e-02) * (PE_wtd_range-4.532682e-01)); $\left(\left(lambda4w_{low}-4.293e-02\right) * \left(PE_{wtd, range}-4.533e-01\right)\right)$; ((lambda4w_low-4.292665e-02) .* (PE_wtd_range-4.532682e-01)); ((newdata$lambda4w_low-4.292665e-02) * (newdata$PE_wtd_range-4.532682e-01)); lambda4w_low,PE_wtd_range
# 3;  1; eV^3;                                             1|cb; (w_log^3); $\left(w_{log}^3\right)$; (w_log).^3; (newdata$w_log)^3; w_log
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
C8Cs1       ,  6.750000000000000e-02,  1.413809711396981e+00,  4.893281528205730e+05,  5.850279329608938e-02,  4.420842191525971e-03,  1.794357303199999e-05
Se2Ta1      ,  1.250000000000000e-01,  1.983416646019415e+00,  4.802210775735156e+05,  1.003693243536824e-03,  2.728019743759822e-02,  9.861112800000000e-08
Ti1         ,  1.620000000000000e-01, -8.451363193056597e-01,  4.720207429937397e+05,  4.070939137444579e-02,  1.890429878089780e-02,  8.242407999999999e-06
B1Mo1       ,  2.500000000000000e-01,  2.913714651457737e+00,  4.969577090479020e+05,  5.001718803712616e-02,  1.557210374415415e-02,  2.464217100000000e-05
Al1Hf1Ni2   ,  3.700000000000000e-01,  3.651167218112135e+00,  5.090592580221948e+05,  1.857942024071876e-02,  9.391200767274364e-03,  1.316532736000000e-06
Pt1Te1      ,  5.900000000000000e-01,  2.931485541257203e+00,  4.886227601679115e+05,  9.401080019636722e-03,  1.436967343261002e-02,  4.494550960000001e-07
Sb1V3       ,  6.500000000000000e-01,  4.304314285115150e-01,  4.784236777143797e+05,  4.013221854948473e-02,  1.227043196345045e-02,  8.792838143999999e-06
Al1Ni2Zr1   ,  6.899999999999999e-01,  4.448722666233509e+00,  5.045025815395776e+05,  9.591494124230554e-03,  8.739778063124287e-03,  6.294227929999998e-07
Rh1Te2      ,  7.550000000000000e-01, -1.166802789778505e-01,  4.951646383723855e+05,  3.766355140186916e-02,  1.597462887704660e-02,  1.767172329000000e-06
Zr1         ,  9.966666670000000e-01,  9.618266585861376e-01,  4.752218147818590e+05,  1.849970980847359e-02,  1.815187359534709e-02,  2.072671874999999e-06
Be2Ta3      ,  1.000000000000000e+00,  7.230585658035494e-01,  5.174087604065427e+05,  4.241203330647327e-02,  1.788904997595592e-02,  3.936827538999999e-06
C1Si1       ,  1.075000000000000e+00,  1.034831660992637e+01,  5.083609937636754e+05,  6.680553241126480e-02,  4.839129246346501e-03,  6.443297272900001e-05
Nb3Sb1      ,  1.100000000000000e+00,  1.902283000173003e+00,  4.841788242303171e+05,  2.743149653718759e-02,  1.120140491836137e-02,  6.048464248000001e-06
Nb1O1       ,  1.380000000000000e+00,  4.180558798022085e+00,  4.775094029880757e+05,  4.880998829496684e-02, -1.922778857454112e-02,  1.566253000800000e-05
Sb1         ,  1.416666667000000e+00,  2.560962145448869e+00,  4.760819878837230e+05,  8.372598767669446e-03,  1.324751184374547e-02,  7.888890240000000e-07
Sb1Sn1      ,  1.430000000000000e+00,  2.488426591983306e+00,  4.827214690518213e+05,  9.119496855345912e-03,  1.578636412506286e-02,  4.800486870000000e-07
S2Ta1       ,  1.488116666500000e+00,  4.149678226257226e+00,  4.778260733638817e+05,  4.647135904155747e-03,  4.385978516750217e-03,  9.791466569999998e-07
B2C2Y1      ,  1.800000000000000e+00,  4.275944958268878e+00,  4.835624183965070e+05,  7.831299040976460e-02,  3.194008097718775e-03,  4.638436885699999e-05
Re2Y1       ,  1.830000000000000e+00,  2.294089111836993e+00,  4.896743181073464e+05,  2.569548872180451e-02,  6.320187166838524e-03,  2.554497863000000e-06
S1Y1        ,  1.900000000000000e+00,  3.555565575046419e+00,  4.681562926792116e+05,  2.040467369620975e-02, -8.946078541365449e-03,  2.936493567999999e-06
Ga2Pt1      ,  1.900000000000000e+00,  3.433893852517163e+00,  4.900437921816668e+05,  1.021408305390766e-02,  9.791015187844832e-03,  4.967930880000000e-07
Mo0.5Rh0.5  ,  1.940000000000000e+00,  3.101769245878326e+00,  5.207949335244943e+05,  2.902909447531873e-02,  1.590244901877018e-02,  5.601816576000001e-06
Pd2Sc1Sn1   ,  2.122500000000000e+00,  4.451785603056241e+00,  4.878837813648347e+05,  1.160700913583945e-02, -1.884409457660685e-03,  4.654843749999999e-07
Be2Nb1      ,  2.150000000000000e+00,  1.049062068822299e+00,  5.036020375948601e+05,  5.192148760330578e-02,  1.827920538912669e-02,  1.587001969700000e-05
C2Cl2Y2     ,  2.300000000000000e+00,  5.027318560892691e+00,  4.796708266864190e+05,  4.961240310077520e-03, -3.933768601959930e-03,  3.489136640000000e-07
Be2Nb3      ,  2.300000000000000e+00,  6.078767012135771e-01,  5.063784046831803e+05,  4.310498220640570e-02,  1.849243629963938e-02,  7.278825672000002e-06
Pb1Pd2Sc1   ,  2.400000000000000e+00,  5.555122481796661e+00,  4.872177179382620e+05,  3.420957868203097e-03, -3.812067226008803e-03,  2.314912500000000e-08
As1Pt1Sr1   ,  2.425000000000000e+00,  4.807216250534238e+00,  4.872017802776467e+05,  1.111710012127746e-02, -4.674607276068730e-03,  5.615156250000001e-07
