# c0 + a0 * (w_log / lambda) + a1 * ((PE_std-5.112787e-01) * (lambda3-2.421003e+00)) + a2 * (w_log^3)
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 2.63986993663841; Max AE: 8.33155979716379
# Coefficients
# Task   a0                      a1                      a2                      c0
# all , -1.137664522271681e+02, -1.715171097012884e+00,  1.888589344697552e+05,  5.542508520042428e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; eV;                                               1|0|div; (w_log / lambda); $\left(\frac{ w_{log} }{ lambda } \right)$; (w_log ./ lambda); (newdata$w_log / newdata$lambda); w_log,lambda
# 1;  1; Unitless;                                         29|3|mult:-5.1127870326591e-01,-2.4210027109127e+00; ((PE_std-5.112787e-01) * (lambda3-2.421003e+00)); $\left(\left(PE_{std}-5.113e-01\right) * \left(lambda3-2.421e+00\right)\right)$; ((PE_std-5.112787e-01) .* (lambda3-2.421003e+00)); ((newdata$PE_std-5.112787e-01) * (newdata$lambda3-2.421003e+00)); PE_std,lambda3
# 2;  1; eV^3;                                             1|cb; (w_log^3); $\left(w_{log}^3\right)$; (w_log).^3; (newdata$w_log)^3; w_log
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
C8Cs1       ,  6.750000000000000e-02,  3.750077001817373e+00,  5.850279329608938e-02, -8.596341435641386e-01,  1.794357303199999e-05
Se2Ta1      ,  1.250000000000000e-01,  3.208695969372550e+00,  1.003693243536824e-03,  1.304971572624653e+00,  9.861112800000000e-08
Ti1         ,  1.620000000000000e-01,  4.518814697113296e-01,  4.070939137444579e-02,  1.175344207460700e+00,  8.242407999999999e-06
B1Mo1       ,  2.500000000000000e-01,  2.784647465735525e+00,  5.001718803712616e-02,  1.003676648949779e+00,  2.464217100000000e-05
Al1Hf1Ni2   ,  3.700000000000000e-01,  2.680679087024333e+00,  1.857942024071876e-02,  5.811395022020406e-01,  1.316532736000000e-06
Pt1Te1      ,  5.900000000000000e-01,  3.199396992331021e+00,  9.401080019636722e-03,  7.920303809118924e-01,  4.494550960000001e-07
Sb1V3       ,  6.500000000000000e-01,  1.456667302678718e+00,  4.013221854948473e-02,  6.884136153417676e-01,  8.792838143999999e-06
Al1Ni2Zr1   ,  6.899999999999999e-01,  3.766251033583355e+00,  9.591494124230554e-03,  4.687225360809304e-01,  6.294227929999998e-07
Rh1Te2      ,  7.550000000000000e-01, -1.340233245922360e-01,  3.766355140186916e-02,  1.005980983152517e+00,  1.767172329000000e-06
Zr1         ,  9.966666670000000e-01,  1.993334485274720e+00,  1.849970980847359e-02,  1.070429817550536e+00,  2.072671874999999e-06
Be2Ta3      ,  1.000000000000000e+00, -4.746167959681328e-01,  4.241203330647327e-02,  1.128496050668231e+00,  3.936827538999999e-06
C1Si1       ,  1.075000000000000e+00,  9.406559797163787e+00,  6.680553241126480e-02,  4.107245550292728e-01,  6.443297272900001e-05
Nb3Sb1      ,  1.100000000000000e+00,  2.519155396387353e+00,  2.743149653718759e-02,  6.091961310523619e-01,  6.048464248000001e-06
