# FEAT_ID     Feature Postfix Expression (RPN)
0             40|1|mult
1             14|8|div
2             42|7|div
3             1|19|div
4             1|20|div
5             41|7|div
6             1|13|div
7             40|7|div
8             1|26|div
9             1|14|div
10            13|1|mult:-1.3212539542790e+00,-1.0245330757994e-02
11            14|7|div
12            1|36|mult:-9.6896270993669e-03,-5.7830775157648e-01
13            1|25|div
14            1|4|div
15            34|1|mult:-5.4296545196574e-01,-9.7826067092315e-03
16            7|inv
17            13|7|div
18            1|22|mult:-1.3563893366173e-02,-2.5195990491070e+00
19            24|1|mult:-2.5601389184763e+00,-1.4321234821044e-02
20            1|23|mult:-1.3721868418744e-02,-2.6509048639834e+00
21            21|1|mult:-5.2321878104421e+00,-1.4153315628360e-02
22            1|5|mult:-2.0314004187041e-02,-1.2723142703083e+01
23            1|0|mult
24            2|3|div
25            1|5|div
26            1|sq
27            1|8|div
28            1|7|div
29            1|cb
#-----------------------------------------------------------------------
30            23|3|div
31            25|0|abd
32            21|3|div
33            0|cbrt
34            0|3|div
35            1|3|div
36            3|log
37            38|0|mult:-2.4751511595251e+01,-5.3632481006486e-01
38            0|cos
39            0|nexp
40            0|inv
41            26|0|div
42            3|nexp
43            33|3|mult:-1.6684937208184e+00,-5.6426190354370e-01
44            25|0|div
45            19|0|div
46            20|0|div
47            27|3|mult:-1.0235968737569e+00,-2.1333102358197e+00
48            36|3|mult:-7.8645240880461e-01,-4.6939902869087e-01
49            1|3|mult:-5.1129083721942e-03,-1.1468088004070e+00
50            29|3|mult:-5.1329014663073e-01,-2.0842417942431e+00
51            30|3|mult:-4.8393871205036e-01,-1.9985066708167e+00
52            28|3|mult:-4.5598821997209e-01,-2.0763252161987e+00
53            2|0|mult:-1.9578436775594e+00,-2.9481719190648e-01
54            0|33|mult:-1.0343261498625e+00,-1.8344857603089e+00
55            2|28|mult:-4.2973827442331e-02,-4.5314470760409e-01
56            35|3|mult:-8.2619794522367e-01,-1.8108103669169e+00
57            3|0|mult:1.0959760831267e+02,-9.5806453199183e+00
58            0|3|mult:-9.6345806344213e+00,1.1078041365512e+02
59            0|36|mult:-1.0352660897663e+00,-7.9586579841211e-01
#-----------------------------------------------------------------------
60            0|8|mult:-7.7547044783189e+00,-4.5528008816634e+02
61            24|8|div
62            20|3|div
63            28|0|div
64            21|1|mult
65            22|7|div
66            8|0|mult:-2.0021711427942e+02,-3.2559490968219e+00
67            16|3|div
68            18|0|div
69            31|1|mult
70            17|0|div
71            30|0|div
72            29|0|div
73            15|0|div
74            22|8|div
75            1|0|div
76            18|3|div
77            27|0|div
78            17|3|div
79            15|3|div
80            22|0|div
81            23|0|div
82            24|0|div
83            28|3|div
84            29|3|div
85            21|0|div
86            30|3|div
87            27|3|div
88            22|3|div
89            24|3|div
#-----------------------------------------------------------------------
90            5|1|mult
91            16|5|mult
92            37|sq
93            12|6|div
94            40|37|sub
95            37|34|mult:1.4994078438766e+02,-8.8712036212070e+00
96            41|38|abd
97            34|37|mult:-1.3765377946250e+01,2.7558431495078e+02
98            37|26|mult
99            17|5|add:7.7814951035498e-02,0.0000000000000e+00
100           37|7|mult
101           37|25|mult
102           37|4|add:4.7708210239273e+01,0.0000000000000e+00
103           16|10|mult
104           40|37|abd
105           10|6|div
106           42|37|sub
107           41|37|sub
108           31|7|div
109           37|26|mult:-6.0706335008062e+01,-1.6995966098135e+00
110           8|1|mult
111           36|37|mult:3.3512528427327e-01,-1.1487012177706e+02
112           37|5|mult
113           16|5|add:3.4564687216641e-02,0.0000000000000e+00
114           35|37|mult:3.1487705703537e-01,-1.0212182825847e+02
115           42|37|abd
116           9|4|mult:-6.1660710684208e+01,-5.0087786050073e+00
117           41|37|abd
118           37|4|mult
119           32|37|mult:-4.5664777554339e+00,2.4723522451230e+02
#-----------------------------------------------------------------------
120           32|13|mult:-6.5265626895835e-01,-1.5226283566481e+00
121           37|5|add:3.2459393202370e-01,0.0000000000000e+00
122           33|37|mult:-2.9623734089670e+01,1.4387293757556e+02
123           14|37|mult:1.9485772235733e+01,-8.5170918715882e+01
124           37|24|add:8.8772013803970e-01,0.0000000000000e+00
125           37|23|add:1.9218522697943e+00,0.0000000000000e+00
126           37|22|add:5.4367294403337e-01,0.0000000000000e+00
127           37|33|mult:2.4950183244226e+02,-4.3763216233683e+01
128           31|37|mult:1.1796085288545e+02,-5.4451385425419e+01
129           23|37|mult:1.0088408950616e+02,9.9592443746466e+01
130           37
131           37|38|mult:-7.3613359043663e+01,1.5118733633656e+03
132           37|16|add:3.0709512534789e+01,0.0000000000000e+00
133           38|37|mult:9.8963246398743e+02,-1.0208322270349e+02
134           37|18|add:3.4694771089463e+01,0.0000000000000e+00
135           39|37|mult:2.6411597858163e+02,-9.2162323475965e+01
136           38|4|mult
137           37|15|add:1.7503740126061e+01,0.0000000000000e+00
138           39|40|mult:-1.0034858015555e+02,-1.2474129874762e+02
139           37|17|add:3.5581827876412e+01,0.0000000000000e+00
140           5|37|mult:-2.6187818699379e+01,-6.6614341246098e+01
141           37|19|mult
142           39|1|div
143           37|cb
144           37|14|div
145           37|20|mult
146           31|8|div
147           32|4|div
148           32|7|div
149           4|32|mult:-5.1645479013689e+00,-6.0631829428504e-01
#-----------------------------------------------------------------------
