# c0 + a0 * (w_log / lambda) + a1 * ((lambda4w_low-5.141344e-02) * (at_mass_wtd_range-4.233377e+01)) + a2 * (w_log^2)
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 2.5759627485454; Max AE: 9.98983178335124
# Coefficients
# Task   a0                      a1                      a2                      c0
# all , -2.501978075321123e+02, -7.341389504240163e-01,  1.447984232165839e+04,  5.670885592357966e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; eV;                                               1|0|div; (w_log / lambda); $\left(\frac{ w_{log} }{ lambda } \right)$; (w_log ./ lambda); (newdata$w_log / newdata$lambda); w_log,lambda
# 1;  1; eV * g * mol^-1;                                  2|10|mult:-5.1413435675210e-02,-4.2333774056856e+01; ((lambda4w_low-5.141344e-02) * (at_mass_wtd_range-4.233377e+01)); $\left(\left(lambda4w_{low}-5.141e-02\right) * \left(at_{mass, wtd, range}-4.233e+01\right)\right)$; ((lambda4w_low-5.141344e-02) .* (at_mass_wtd_range-4.233377e+01)); ((newdata$lambda4w_low-5.141344e-02) * (newdata$at_mass_wtd_range-4.233377e+01)); lambda4w_low,at_mass_wtd_range
# 2;  1; eV^2;                                             1|sq; (w_log^2); $\left(w_{log}^2\right)$; (w_log)^2; (newdata$w_log)^2; w_log
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
C8Cs1       ,  6.750000000000000e-02,  2.756982356402157e-01,  5.850279329608938e-02,  9.293753173030439e-01,  6.853923999999999e-04
Se2Ta1      ,  1.250000000000000e-01,  1.290229707804471e+00,  1.003693243536824e-03,  6.045991129434821e+00,  2.134440000000000e-05
Ti1         ,  1.620000000000000e-01, -1.661153999227774e-01,  4.070939137444579e-02,  2.124877565011674e+00,  4.080400000000000e-04
B1Mo1       ,  2.500000000000000e-01,  5.426691190593099e+00,  5.001718803712616e-02, -1.133451322416252e-02,  8.468100000000000e-04
Al1Hf1Ni2   ,  3.700000000000000e-01,  3.002618123799099e+00,  1.857942024071876e-02, -3.281680032400535e-01,  1.201216000000000e-04
Pt1Te1      ,  5.900000000000000e-01,  3.865332758744075e+00,  9.401080019636722e-03,  4.127783442364837e-01,  5.867560000000000e-05
Sb1V3       ,  6.500000000000000e-01,  1.219631126443739e+00,  4.013221854948473e-02,  7.884246008361696e-01,  4.260096000000000e-04
Al1Ni2Zr1   ,  6.899999999999999e-01,  3.451655722035011e+00,  9.591494124230554e-03,  1.202673744940720e+00,  7.344489999999999e-05
Rh1Te2      ,  7.550000000000000e-01, -2.816581798530561e+00,  3.766355140186916e-02,  1.608170287167510e+00,  1.461681000000000e-04
Zr1         ,  9.966666670000000e-01,  1.887813668627897e+00,  1.849970980847359e-02,  2.054603500077294e+00,  1.625625000000000e-04
Be2Ta3      ,  1.000000000000000e+00,  1.779655436483353e-01,  4.241203330647327e-02, -2.054521207039030e+00,  2.493241000000000e-04
C1Si1       ,  1.075000000000000e+00,  1.106483178335124e+01,  6.680553241126480e-02,  1.584953276369453e+00,  1.607208100000000e-03
Nb3Sb1      ,  1.100000000000000e+00,  2.507094912998711e+00,  2.743149653718759e-02,  1.508352711109856e+00,  3.319684000000000e-04
Nb1O1       ,  1.380000000000000e+00,  2.381589388643254e+00,  4.880998829496684e-02,  1.927853465059727e-01,  6.260004000000001e-04
Sb1         ,  1.416666667000000e+00,  3.640242866006188e+00,  8.372598767669446e-03,  1.596552064782117e+00,  8.537759999999999e-05
Sb1Sn1      ,  1.430000000000000e+00,  2.864266255178059e+00,  9.119496855345912e-03,  1.924273902474138e+00,  6.130890000000000e-05
S2Ta1       ,  1.488116666500000e+00,  3.213374905861098e+00,  4.647135904155747e-03,  3.708549824993958e+00,  9.860489999999999e-05
B2C2Y1      ,  1.800000000000000e+00,  4.128718213451309e+00,  7.831299040976460e-02,  8.736725813624987e-01,  1.290964900000000e-03
