# c0 + a0 * ((at_rad_wtd_std-2.274614e-01) * (lambda4w_low-3.574319e-02)) + a1 * (w_log / lambda) + a2 * (w_log^3)
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 2.54922368578142; Max AE: 7.31049185222945
# Coefficients
# Task   a0                      a1                      a2                      c0
# all , -2.148360699580049e+02, -1.555299916085800e+02,  2.044061840706022e+05,  5.851071131079384e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; AA * eV;                                          18|2|mult:-2.2746140708903e-01,-3.5743189583004e-02; ((at_rad_wtd_std-2.274614e-01) * (lambda4w_low-3.574319e-02)); $\left(\left(at_{rad, wtd, std}-2.275e-01\right) * \left(lambda4w_{low}-3.574e-02\right)\right)$; ((at_rad_wtd_std-2.274614e-01) .* (lambda4w_low-3.574319e-02)); ((newdata$at_rad_wtd_std-2.274614e-01) * (newdata$lambda4w_low-3.574319e-02)); at_rad_wtd_std,lambda4w_low
# 1;  1; eV;                                               1|0|div; (w_log / lambda); $\left(\frac{ w_{log} }{ lambda } \right)$; (w_log ./ lambda); (newdata$w_log / newdata$lambda); w_log,lambda
# 2;  1; eV^3;                                             1|cb; (w_log^3); $\left(w_{log}^3\right)$; (w_log).^3; (newdata$w_log)^3; w_log
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
C8Cs1       ,  6.750000000000000e-02,  2.729989820627535e+00, -1.075275836294950e-02,  5.850279329608938e-02,  1.794357303199999e-05
Se2Ta1      ,  1.250000000000000e-01,  2.107623280699518e+00,  1.679187379345353e-02,  1.003693243536824e-03,  9.861112800000000e-08
Ti1         ,  1.620000000000000e-01, -4.827027637530170e-01,  7.852693279751508e-03,  4.070939137444579e-02,  8.242407999999999e-06
B1Mo1       ,  2.500000000000000e-01,  3.962210656740397e+00, -3.971866643257620e-03,  5.001718803712616e-02,  2.464217100000000e-05
Al1Hf1Ni2   ,  3.700000000000000e-01,  3.216020425801848e+00,  6.749827400439820e-05,  1.857942024071876e-02,  1.316532736000000e-06
Pt1Te1      ,  5.900000000000000e-01,  2.968364027758042e+00,  7.039919358680046e-03,  9.401080019636722e-03,  4.494550960000001e-07
Sb1V3       ,  6.500000000000000e-01,  1.769224511353309e-01,  5.723878481461901e-03,  4.013221854948473e-02,  8.792838143999999e-06
Al1Ni2Zr1   ,  6.899999999999999e-01,  4.475203281283360e+00,  5.939766272668491e-05,  9.591494124230554e-03,  6.294227929999998e-07
Rh1Te2      ,  7.550000000000000e-01, -1.241222593623041e+00,  7.427536930359787e-03,  3.766355140186916e-02,  1.767172329000000e-06
Zr1         ,  9.966666670000000e-01,  1.791555684309850e+00,  7.475107343983709e-03,  1.849970980847359e-02,  2.072671874999999e-06
Be2Ta3      ,  1.000000000000000e+00,  1.087687906355554e+00, -4.786198449565390e-03,  4.241203330647327e-02,  3.936827538999999e-06
