# c0 + a0 * ((lambda-9.169007e+00) * (lambda3+1.006755e+02)) + a1 * (w_log^3)
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 2.90635700907471; Max AE: 10.026659844436
# Coefficients
# Task   a0                      a1                      c0
# all ,  6.315497401697240e-02,  1.433887888434898e+05,  5.646213477188157e+01, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         0|3|mult:-9.1690066538681e+00,1.0067553950695e+02; ((lambda-9.169007e+00) * (lambda3+1.006755e+02)); $\left(\left(lambda-9.169e+00\right) * \left(lambda3+1.007e+02\right)\right)$; ((lambda-9.169007e+00) .* (lambda3+1.006755e+02)); ((newdata$lambda-9.169007e+00) * (newdata$lambda3+1.006755e+02)); lambda,lambda3
# 1;  1; eV^3;                                             1|cb; (w_log^3); $\left(w_{log}^3\right)$; (w_log).^3; (newdata$w_log)^3; w_log
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
C8Cs1       ,  6.750000000000000e-02,  3.532940023196402e+00, -8.788239219028513e+02,  1.794357303199999e-05
Se2Ta1      ,  1.250000000000000e-01, -6.784783848113722e-01, -9.049921051593413e+02,  9.861112800000000e-08
Ti1         ,  1.620000000000000e-01,  2.433985654898573e+00, -8.741990457065129e+02,  8.242407999999999e-06
B1Mo1       ,  2.500000000000000e-01,  5.289902653411098e+00, -8.662127413421615e+02,  2.464217100000000e-05
Al1Hf1Ni2   ,  3.700000000000000e-01,  1.992350756509599e+00, -8.654672240886484e+02,  1.316532736000000e-06
Sb1V3       ,  6.500000000000000e-01,  2.620557828764475e+00, -8.724945613986599e+02,  8.792838143999999e-06
Al1Ni2Zr1   ,  6.899999999999999e-01,  3.562573463515666e+00, -8.390441814778369e+02,  6.294227929999998e-07
Rh1Te2      ,  7.550000000000000e-01,  4.399909550642963e-01, -8.910705354993371e+02,  1.767172329000000e-06
Zr1         ,  9.966666670000000e-01,  2.668035660335992e+00, -8.564851440970459e+02,  2.072671874999999e-06
Be2Ta3      ,  1.000000000000000e+00,  1.067087132520642e+00, -8.860670983258603e+02,  3.936827538999999e-06
C1Si1       ,  1.075000000000000e+00,  1.110165984443600e+01, -8.645311267798056e+02,  6.443297272900001e-05
Nb3Sb1      ,  1.100000000000000e+00,  3.097098911220340e+00, -8.587180767261593e+02,  6.048464248000001e-06
Nb1O1       ,  1.380000000000000e+00,  3.595503717865609e+00, -8.726543414819055e+02,  1.566253000800000e-05
Sb1         ,  1.416666667000000e+00,  4.609447871991724e+00, -8.228299599586207e+02,  7.888890240000000e-07
Sb1Sn1      ,  1.430000000000000e+00,  3.359864508283189e+00, -8.419147452918579e+02,  4.800486870000000e-07
S2Ta1       ,  1.488116666500000e+00,  7.557607615604206e+00, -7.765805714106432e+02,  9.791466569999998e-07
B2C2Y1      ,  1.800000000000000e+00,  7.679108313457906e+00, -8.777459858538003e+02,  4.638436885699999e-05
Re2Y1       ,  1.830000000000000e+00,  1.830810150019300e+00, -8.708357786951342e+02,  2.554497863000000e-06
S1Y1        ,  1.900000000000000e+00,  2.862496181021400e+00, -8.553672879748910e+02,  2.936493567999999e-06
Ga2Pt1      ,  1.900000000000000e+00,  2.918329175999341e+00, -8.489440616453702e+02,  4.967930880000000e-07
Mo0.5Rh0.5  ,  1.940000000000000e+00,  2.733515643769410e+00, -8.634609968743425e+02,  5.601816576000001e-06
Pd2Sc1Sn1   ,  2.122500000000000e+00,  2.316378569654075e+00, -8.584043028568919e+02,  4.654843749999999e-07
Be2Nb1      ,  2.150000000000000e+00,  3.454857288894730e+00, -8.753524365540103e+02,  1.587001969700000e-05
In1Te1      ,  2.206000000000000e+00,  3.589140297152967e+00, -8.375742682170618e+02,  1.672841510000000e-07
C2Cl2Y2     ,  2.300000000000000e+00,  5.837894075112242e+00, -8.023797300722969e+02,  3.489136640000000e-07
Be2Nb3      ,  2.300000000000000e+00,  2.016399482908091e+00, -8.786233887353372e+02,  7.278825672000002e-06
Pb1Pd2Sc1   ,  2.400000000000000e+00,  3.160010616066792e+00, -8.440418876031190e+02,  2.314912500000000e-08
As1Pt1Sr1   ,  2.425000000000000e+00,  2.745519957872626e+00, -8.518272819641544e+02,  5.615156250000001e-07
Bi1Nb3      ,  2.516666667000000e+00,  2.666866319668141e+00, -8.583953106918062e+02,  2.905841483000000e-06
Re1         ,  2.581333333000000e+00,  3.214475759446248e+00, -8.494779026384552e+02,  2.797260929000000e-06
Hf1In1Pd2   ,  2.630000000000000e+00,  2.626741315492934e+00, -8.532876643584656e+02,  3.763670480000000e-07
Nb3Rh1      ,  2.742333333000000e+00,  2.610068998329270e+00, -8.644120479608284e+02,  5.159780352000000e-06
Ga1Ni2Zr1   ,  2.870000000000000e+00,  5.450271710254302e+00, -8.080389316142413e+02,  1.381884130000000e-07
N1Ni3Zn1    ,  3.000000000000000e+00,  6.823828781189055e+00, -7.887110358648174e+02,  1.204550144000000e-06
B1Hf1       ,  3.100000000000000e+00,  3.455013348411159e+00, -8.787189229108518e+02,  1.735386246900000e-05
Pt0.25V0.75 ,  3.102500000000000e+00,  5.434376832192032e+00, -8.305727249439690e+02,  9.952248951000003e-06
C2Y1        ,  3.150000000000000e+00,  3.393732451779857e+00, -8.664617324637317e+02,  1.152785997900000e-05
Pb1Pd2Y1    ,  3.215000000000000e+00,  1.514808443803984e+00, -8.706488059874317e+02,  2.683361250000000e-07
In1Sb1      ,  3.320000000000000e+00,  5.444038101523043e+00, -8.083545890490684e+02,  2.337448960000000e-07
Bi2K1       ,  3.575000000000000e+00,  3.588432768280415e+00, -8.375015555764768e+02,  1.303238430000000e-07
Al1Hf1Pd2   ,  3.621666666500000e+00,  5.815330424930730e+00, -8.021024491203327e+02,  6.942653100000000e-08
Hg0.5In0.5  ,  3.810000000000000e+00,  7.149733655820746e+00, -7.808460170051640e+02,  1.331205300000000e-08
C1W2        ,  3.835000000000000e+00,  3.381330701452843e+00, -8.561563566971356e+02,  6.902411264000002e-06
C1Ga1Mo2    ,  3.900000000000000e+00,  3.963407505368679e+00, -8.440083045698387e+02,  5.611284433000001e-06
Ba1Ge3      ,  4.000000000000000e+00,  4.879516551965940e+00, -8.189522284443048e+02,  9.644302719999999e-07
Bi2Rb1      ,  4.250000000000000e+00,  1.177800603813604e+00, -8.758735778758806e+02,  2.192562270000000e-07
Ba1Sn3      ,  4.300000000000000e+00,  1.009867863522716e+00, -8.795506306412950e+02,  6.676276239999998e-07
Rh1Se2      ,  4.350000000000000e+00,  3.366259675147894e+00, -8.471970259707449e+02,  2.851206632000000e-06
Al1Au2Sc1   ,  4.400000000000000e+00,  3.801221780978616e+00, -8.341117237503627e+02,  1.212873750000000e-07
B2Nb1       ,  4.597500000000000e+00,  6.699909305476691e+00, -8.529282708238038e+02,  2.862453437900000e-05
Pb3Y1       ,  4.720000000000000e+00,  4.151242707627914e+00, -8.288170800460932e+02,  2.303463970000000e-07
Bi2Cs1      ,  4.750000000000000e+00,  1.455284982446453e+00, -8.714627359974360e+02,  2.117087360000000e-07
Al1Si1Sr1   ,  4.750000000000000e+00,  3.697373774068034e+00, -8.389789578270069e+02,  1.540798875000000e-06
Pd2Sn1Y1    ,  4.814444444333330e+00,  4.317333183410939e+00, -8.259248329928910e+02,  1.147912560000000e-07
Br2C2Y2     ,  5.050000000000000e+00,  3.296639856650847e+00, -8.489354583016172e+02,  3.131359847000001e-06
Ir1Mo1      ,  5.325000000000000e+00,  2.555359708461769e+00, -8.687945615128174e+02,  6.708494455999999e-06
N1Ti1       ,  5.387500000000000e+00,  7.823474481828085e+00, -8.565028854770176e+02,  3.803475314700000e-05
Ga1         ,  5.527454545000000e+00,  5.440715230609404e+00, -8.084228626343995e+02,  2.406418480000000e-07
B6Y1        ,  5.692857143000000e+00,  6.541960544393026e+00, -7.907476289154788e+02,  1.357967440000000e-07
Bi3Sr1      ,  5.700000000000000e+00,  3.128903320317402e+00, -8.448658415430785e+02,  1.691123770000000e-07
Ba1Bi3      ,  5.745000000000000e+00,  5.523685115584206e+00, -8.067048145718993e+02,  6.257077299999998e-08
Nb1S2       ,  5.821818182000000e+00,  7.021011685098741e+00, -7.885274343848031e+02,  2.498846293000000e-06
C1Mo2       ,  6.021666667000000e+00,  3.478498222018704e+00, -8.771271744966854e+02,  1.681656832800000e-05
Rh2Sr1      ,  6.200000000000000e+00,  4.313242102231829e+00, -8.264397363653189e+02,  3.130468390000000e-07
Pb1         ,  6.470100000000000e+00,  3.471282438482434e+00, -8.393707504223868e+02,  1.365908750000000e-07
Sn1Ta3      ,  6.692500000000000e+00,  7.084140350092921e+00, -7.829112501773429e+02,  4.654843749999999e-07
Ag1B2       ,  6.700000000000000e+00,  3.284320257771506e+00, -8.568677883984036e+02,  6.539203000000002e-06
Nb1Se2      ,  6.814619048000000e+00,  7.634323152171704e+00, -7.750466648665172e+02,  8.385618069999998e-07
Li1Pb1      ,  7.200000000000000e+00,  2.817840646042005e+00, -8.499353913846949e+02,  2.326083750000000e-07
Tc1         ,  7.794166667000000e+00,  5.227907734755236e+00, -8.176377420738344e+02,  2.815166528000000e-06
P1Ru1Zr1    ,  8.496153846000000e+00,  5.525480768751794e+00, -8.117207071627569e+02,  2.284322013000000e-06
C1Ta1       ,  8.637499999999999e+00,  4.318350181917075e+00, -8.539993139903005e+02,  1.248716800000000e-05
Hf1N1       ,  8.830000000000000e+00,  4.890428634984280e+00, -8.496935910668125e+02,  1.458043230700000e-05
N1Zr1       ,  9.850000000000000e+00,  6.443822369992928e+00, -8.543428234005873e+02,  2.746160591300000e-05
C2I2Y2      ,  9.917500000000000e+00,  6.532853708237803e+00, -7.912012888020040e+02,  2.720977919999999e-07
C1Mo1       ,  1.015200000000000e+01,  6.154997997723046e+00, -8.056756835029937e+02,  4.012099469000001e-06
Mo3Os1      ,  1.102250000000000e+01,  5.969504496316851e+00, -8.061011212307964e+02,  2.905841483000000e-06
C6Ca        ,  1.130300000000000e+01,  6.724959085519673e+00, -8.505757566146772e+02,  2.776307795200001e-05
Nb3Sn1      ,  1.670900000000000e+01,  7.672917715517602e+00, -7.750635468307295e+02,  1.115157653000000e-06
B2Mg0.98    ,  3.840000000000000e+01,  3.423175522572525e+01, -8.632966506246710e+02,  2.251996007040000e-04
