# c0 + a0 * (lambda3 - (2.174968e+01*lambda)) + a1 * (w_log^3)
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 2.90352057676202; Max AE: 9.99279444070828
# Coefficients
# Task   a0                      a1                      c0
# all , -2.521875600372098e-01,  1.437784494317725e+05, -1.433326152146743e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         3|0|sub:2.1749681300748e+01,0.0000000000000e+00; (lambda3 - (2.174968e+01*lambda)); $\left(lambda3 - \left(2.175e+01lambda\right)\right)$; (lambda3 - (2.174968e+01.*lambda)); (newdata$lambda3 - (2.174968e+01*newdata$lambda)); lambda3,lambda
# 1;  1; eV^3;                                             1|cb; (w_log^3); $\left(w_{log}^3\right)$; (w_log).^3; (newdata$w_log)^3; w_log
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
C8Cs1       ,  6.750000000000000e-02,  3.578511507228101e+00, -9.643372382084534e+00,  1.794357303199999e-05
Se2Ta1      ,  1.250000000000000e-01, -7.666825345289716e-01, -2.587223027341011e+00,  9.861112800000000e-08
Ti1         ,  1.620000000000000e-01,  2.442601268455251e+00, -1.067002186143094e+01,  8.242407999999999e-06
B1Mo1       ,  2.500000000000000e-01,  5.251196141090626e+00, -1.245703458077493e+01,  2.464217100000000e-05
Al1Hf1Ni2   ,  3.700000000000000e-01,  1.939797287612034e+00, -1.262486699931098e+01,  1.316532736000000e-06
Pt1Te1      ,  5.900000000000000e-01,  2.964054699047354e+00, -1.718070032384911e+01,  4.494550960000001e-07
Sb1V3       ,  6.500000000000000e-01,  2.617524424462649e+00, -1.104983109297447e+01,  8.792838143999999e-06
Al1Ni2Zr1   ,  6.899999999999999e-01,  3.378127509799934e+00, -1.872002024221795e+01,  6.294227929999998e-07
Rh1Te2      ,  7.550000000000000e-01,  5.730974785915888e-01, -6.948567697539967e+00,  1.767172329000000e-06
Zr1         ,  9.966666670000000e-01,  2.562382106032657e+00, -1.466251035247522e+01,  2.072671874999999e-06
Be2Ta3      ,  1.000000000000000e+00,  1.161757078592658e+00, -8.045806348268316e+00,  3.936827538999999e-06
C1Si1       ,  1.075000000000000e+00,  1.106779444070828e+01, -1.283587374857861e+01,  6.443297272900001e-05
Nb3Sb1      ,  1.100000000000000e+00,  3.005553034901981e+00, -1.415311831995653e+01,  6.048464248000001e-06
Nb1O1       ,  1.380000000000000e+00,  3.596251501673084e+00, -1.101419663476320e+01,  1.566253000800000e-05
Sb1         ,  1.416666667000000e+00,  4.394376228492569e+00, -2.265883828350501e+01,  7.888890240000000e-07
Sb1Sn1      ,  1.430000000000000e+00,  3.185492579501284e+00, -1.804132636482186e+01,  4.800486870000000e-07
S2Ta1       ,  1.488116666500000e+00,  7.967344704729807e+00, -3.671826900343738e+01,  9.791466569999998e-07
B2C2Y1      ,  1.800000000000000e+00,  7.727907773623464e+00, -9.882173780782981e+00,  4.638436885699999e-05
Re2Y1       ,  1.830000000000000e+00,  1.814003208050917e+00, -1.142026045199770e+01,  2.554497863000000e-06
S1Y1        ,  1.900000000000000e+00,  2.751082049181408e+00, -1.491827633686464e+01,  2.936493567999999e-06
Ga2Pt1      ,  1.900000000000000e+00,  2.773597895580304e+00, -1.639849288059966e+01,  4.967930880000000e-07
Mo0.5Rh0.5  ,  1.940000000000000e+00,  2.670065822090796e+00, -1.307745501979736e+01,  5.601816576000001e-06
Pd2Sc1Sn1   ,  2.122500000000000e+00,  2.220863148229351e+00, -1.422458220450915e+01,  4.654843749999999e-07
Be2Nb1      ,  2.150000000000000e+00,  3.474587191252656e+00, -1.041346574956182e+01,  1.587001969700000e-05
In1Te1      ,  2.206000000000000e+00,  3.399806159614910e+00, -1.906945947376148e+01,  1.672841510000000e-07
C2Cl2Y2     ,  2.300000000000000e+00,  5.679493393877083e+00, -2.800555776576079e+01,  3.489136640000000e-07
Be2Nb3      ,  2.300000000000000e+00,  2.056348888047991e+00, -9.687776712816103e+00,  7.278825672000002e-06
Pb1Pd2Sc1   ,  2.400000000000000e+00,  2.993735018091732e+00, -1.754143949165280e+01,  2.314912500000000e-08
As1Pt1Sr1   ,  2.425000000000000e+00,  2.614761483263607e+00, -1.573175849328477e+01,  5.615156250000001e-07
Bi1Nb3      ,  2.516666667000000e+00,  2.572249624800473e+00, -1.422662717263922e+01,  2.905841483000000e-06
Re1         ,  2.581333333000000e+00,  3.073147882478655e+00, -1.627474485653502e+01,  2.797260929000000e-06
Hf1In1Pd2   ,  2.630000000000000e+00,  2.503343122159917e+00, -1.539550881556228e+01,  3.763670480000000e-07
Nb3Rh1      ,  2.742333333000000e+00,  2.552361662188874e+00, -1.286273833426958e+01,  5.159780352000000e-06
Ga1Ni2Zr1   ,  2.870000000000000e+00,  5.261289675645489e+00, -2.646739320153939e+01,  1.381884130000000e-07
N1Ni3Zn1    ,  3.000000000000000e+00,  6.819750819839507e+00, -3.203920375305958e+01,  1.204550144000000e-06
B1Hf1       ,  3.100000000000000e+00,  3.499588370165904e+00, -9.666627031515356e+00,  1.735386246900000e-05
Pt0.25V0.75 ,  3.102500000000000e+00,  5.231349956448010e+00, -2.075343123700771e+01,  9.952248951000003e-06
C2Y1        ,  3.150000000000000e+00,  3.351517289829720e+00, -1.240103044126291e+01,  1.152785997900000e-05
Pb1Pd2Y1    ,  3.215000000000000e+00,  1.495843697476613e+00, -1.146205981459920e+01,  2.683361250000000e-07
In1Sb1      ,  3.320000000000000e+00,  5.253788551257384e+00, -2.638316982690559e+01,  2.337448960000000e-07
Bi2K1       ,  3.575000000000000e+00,  3.398861140983006e+00, -1.908678418693215e+01,  1.303238430000000e-07
Al1Hf1Pd2   ,  3.621666666500000e+00,  5.658695692113335e+00, -2.808243120413445e+01,  6.942653100000000e-08
Hg0.5In0.5  ,  3.810000000000000e+00,  7.340311746289784e+00, -3.478254006979242e+01,  1.331205300000000e-08
C1W2        ,  3.835000000000000e+00,  3.275752448992080e+00, -1.473768417328798e+01,  6.902411264000002e-06
C1Ga1Mo2    ,  3.900000000000000e+00,  3.799173131839611e+00, -1.754930936417309e+01,  5.611284433000001e-06
Ba1Ge3      ,  4.000000000000000e+00,  4.665360116334702e+00, -2.363329094626567e+01,  9.644302719999999e-07
Bi2Rb1      ,  4.250000000000000e+00,  1.195140548768446e+00, -1.029766250240771e+01,  2.192562270000000e-07
Ba1Sn3      ,  4.300000000000000e+00,  1.054046671419827e+00, -9.482554804198854e+00,  6.676276239999998e-07
Rh1Se2      ,  4.350000000000000e+00,  3.214480680915161e+00, -1.680441637913491e+01,  2.851206632000000e-06
Al1Au2Sc1   ,  4.400000000000000e+00,  3.602155729435971e+00, -1.989806067408385e+01,  1.212873750000000e-07
B2Nb1       ,  4.597500000000000e+00,  6.585667575425679e+00, -1.547817250889535e+01,  2.862453437900000e-05
Pb3Y1       ,  4.720000000000000e+00,  3.941425052807917e+00, -2.118118893879483e+01,  2.303463970000000e-07
Bi2Cs1      ,  4.750000000000000e+00,  1.441828420418540e+00, -1.128015758728269e+01,  2.117087360000000e-07
Al1Si1Sr1   ,  4.750000000000000e+00,  3.513067548850884e+00, -1.873549998725854e+01,  1.540798875000000e-06
Pd2Sn1Y1    ,  4.814444444333330e+00,  4.103868360779994e+00, -2.189120670074354e+01,  1.147912560000000e-07
Br2C2Y2     ,  5.050000000000000e+00,  3.152894925258890e+00, -1.640048784872973e+01,  3.131359847000001e-06
N1Ti1       ,  5.387500000000000e+00,  7.731930524240849e+00, -1.465845041621507e+01,  3.803475314700000e-05
Ga1         ,  5.527454545000000e+00,  5.250191720076057e+00, -2.636497517747476e+01,  2.406418480000000e-07
B6Y1        ,  5.692857143000000e+00,  6.504273570219464e+00, -3.139756408249362e+01,  1.357967440000000e-07
Bi3Sr1      ,  5.700000000000000e+00,  2.966055020447801e+00, -1.734846261490546e+01,  1.691123770000000e-07
Ba1Bi3      ,  5.745000000000000e+00,  5.340620704856995e+00, -2.682507625389569e+01,  6.257077299999998e-08
Nb1S2       ,  5.821818182000000e+00,  7.020679806669091e+00, -3.209803731891295e+01,  2.498846293000000e-06
C1Mo2       ,  6.021666667000000e+00,  3.511298654088493e+00, -1.001938670923784e+01,  1.681656832800000e-05
Rh2Sr1      ,  6.200000000000000e+00,  4.100369933355113e+00, -2.176430389976838e+01,  3.130468390000000e-07
Pb1         ,  6.470100000000000e+00,  3.287734773886874e+00, -1.864256151701496e+01,  1.365908750000000e-07
Sn1Ta3      ,  6.692500000000000e+00,  7.209178587762633e+00, -3.400476263369949e+01,  4.654843749999999e-07
Ag1B2       ,  6.700000000000000e+00,  3.182523351811598e+00, -1.457507672288200e+01,  6.539203000000002e-06
Nb1Se2      ,  6.814619048000000e+00,  8.266429054909160e+00, -3.798437991659598e+01,  8.385618069999998e-07
Li1Pb1      ,  7.200000000000000e+00,  2.677691051732288e+00, -1.616881154564106e+01,  2.326083750000000e-07
Tc1         ,  7.794166667000000e+00,  5.015633533101616e+00, -2.396707992284981e+01,  2.815166528000000e-06
P1Ru1Zr1    ,  8.496153846000000e+00,  5.324415528019139e+00, -2.549414174983589e+01,  2.284322013000000e-06
C1Ta1       ,  8.637499999999999e+00,  4.203376984673320e+00, -1.523198639702623e+01,  1.248716800000000e-05
Hf1N1       ,  8.830000000000000e+00,  4.754716163964646e+00, -1.622479065328315e+01,  1.458043230700000e-05
N1Zr1       ,  9.850000000000000e+00,  6.336495034196424e+00, -1.515314263995331e+01,  2.746160591300000e-05
C2I2Y2      ,  9.917500000000000e+00,  6.488463157021270e+00, -3.125716236509592e+01,  2.720977919999999e-07
C1Mo1       ,  1.015200000000000e+01,  5.978558104389732e+00, -2.710296580413848e+01,  4.012099469000001e-06
Mo3Os1      ,  1.102250000000000e+01,  5.790477089909761e+00, -2.698787306690317e+01,  2.905841483000000e-06
C6Ca        ,  1.130300000000000e+01,  6.598625853001928e+00, -1.602069390401553e+01,  2.776307795200001e-05
Nb3Sn1      ,  1.670900000000000e+01,  8.411242107677309e+00, -3.840091327333849e+01,  1.115157653000000e-06
B2Mg0.98    ,  3.840000000000000e+01,  3.425285830210235e+01, -1.311458444613870e+01,  2.251996007040000e-04
