# FEAT_ID     Feature Postfix Expression (RPN)
0             42|8|div
1             20|7|div
2             40|8|div
3             42|1|mult
4             40|1|mult
5             41|1|mult
6             14|1|sub:1.2813028953448e+03,0.0000000000000e+00
7             25|1|sub:2.4680803392971e+06,0.0000000000000e+00
8             8|inv
9             42|7|div
10            14|8|div
11            41|7|div
12            1|19|div
13            40|7|div
14            1|20|div
15            1|13|div
16            1|26|div
17            1|14|div
18            14|7|div
19            1|25|div
20            1|4|div
21            7|inv
22            13|7|div
23            1|0|mult
24            2|3|div
25            1|5|div
26            1|sq
27            1|8|div
28            1|7|div
29            1|cb
#-----------------------------------------------------------------------
30            3|inv
31            0|sin
32            14|0|div
33            1|0|div
34            26|3|div
35            0|19|div
36            13|0|div
37            19|3|div
38            26|0|abd
39            0|20|div
40            20|3|div
41            22|3|div
42            0|sqrt
43            24|3|div
44            23|3|div
45            25|0|abd
46            21|3|div
47            0|cbrt
48            0|3|div
49            1|3|div
50            3|log
51            0|cos
52            0|nexp
53            0|inv
54            26|0|div
55            3|nexp
56            25|0|div
57            19|0|div
58            20|0|div
59            2|0|sub:4.6285018518874e-01,0.0000000000000e+00
#-----------------------------------------------------------------------
60            41|2|mult
61            42|2|mult
62            10|2|mult
63            40|2|mult
64            39|2|mult
65            33|2|mult
66            35|2|mult
67            33|3|mult
68            9|3|mult
69            11|3|mult
70            36|2|mult
71            12|3|mult
72            35|3|mult
73            10|3|mult
74            34|2|mult
75            36|3|mult
76            23|3|mult
77            34|3|mult
78            22|3|mult
79            24|3|mult
80            21|3|mult
81            8|2|sub:8.6930860317801e+01,0.0000000000000e+00
82            42|3|mult
83            40|3|mult
84            41|3|mult
85            14|2|sub:4.4284230481890e-01,0.0000000000000e+00
86            39|3|mult
87            8|3|sub:1.8274176917477e+00,0.0000000000000e+00
88            31|7|div
89            31|8|div
#-----------------------------------------------------------------------
90            2|sq
91            15|2|mult
92            32|3|mult
93            3|2|mult
94            17|2|mult
95            0|sp
96            18|2|mult
97            2|cb
98            3|cb
99            2|sp
100           16|2|mult
101           3|37|div
102           2|37|div
103           29|3|mult
104           27|3|mult
105           30|3|mult
106           28|3|mult
107           29|2|mult
108           23|2|mult
109           22|2|mult
110           3|38|div
111           27|2|mult
112           21|2|mult
113           24|2|mult
114           30|2|mult
115           28|2|mult
116           2|38|div
117           9|2|mult
118           11|2|mult
119           12|2|mult
#-----------------------------------------------------------------------
120           12|4|div
121           18|10|mult
122           17|5|mult
123           37|31|sub:9.2657557815764e+01,0.0000000000000e+00
124           24|5|mult
125           37|10|mult
126           18|8|add:4.0569798609462e-03,0.0000000000000e+00
127           22|9|mult
128           38|10|add:1.4986670044688e+00,0.0000000000000e+00
129           37|32|sub:8.1032120922308e+01,0.0000000000000e+00
130           12|6|div
131           16|10|mult
132           21|10|mult
133           22|11|mult
134           24|12|mult
135           10|6|div
136           37|30|add:7.1122647103352e+01,0.0000000000000e+00
137           16|8|add:3.9604097173823e-03,0.0000000000000e+00
138           37|12|add:1.3742621816101e+00,0.0000000000000e+00
139           22|5|mult
140           23|10|mult
141           18|5|mult
142           10|4|div
143           37|28|add:7.0683523653483e+01,0.0000000000000e+00
144           16|5|add:3.7388198078186e-02,0.0000000000000e+00
145           22|12|mult
146           16|5|mult
147           37|10|add:1.2834844618129e+00,0.0000000000000e+00
148           24|10|mult
149           22|10|mult
#-----------------------------------------------------------------------
