# FEAT_ID     Score                   Feature Expression
0             0.156382341187892931    (ThermalCond_std / at_mass_wtd_mean)
1             0.156607111762772616    (ThermalCond_range * w_log)
2             0.160602006692168231    (lambda / at_mass_mean)
3             0.161197808707002399    (ThermalCond_wtd_std / at_mass_wtd_mean)
4             0.165081897539687189    (w_log / IP_mean)
5             0.165450542689623087    (w_log / at_rad_mean)
6             0.166370944996938108    (ThermalCond_wtd_range * w_log)
7             0.166512576247408478    (ThermalCond_wtd_std * w_log)
8             0.166631048530667014    (w_log / IP_wtd_mean)
9             0.166783159536803116    (ThermalCond_std * w_log)
10            0.166933778500771707    (1.0 / at_mass_wtd_mean)
11            0.167001793235589308    (ThermalCond_wtd_range / at_mass_wtd_mean)
12            0.16875315589733858     (w_log / PE_wtd_mean)
13            0.171539695646275359    (at_rad_wtd_mean / at_mass_wtd_mean)
14            0.172571242500668048    (w_log / at_rad_wtd_mean)
15            0.173846083106237087    (ThermalCond_wtd_std / at_mass_mean)
16            0.177168772175786415    (ThermalCond_std / at_mass_mean)
17            0.178561477285766684    (ThermalCond_wtd_range / at_mass_mean)
18            0.184446542250379764    (w_log / L_avg)
19            0.186733377247332744    (w_log / PE_mean)
20            0.190436441342198226    (at_rad_wtd_mean / at_mass_mean)
21            0.203752536217287922    (1.0 / at_mass_mean)
22            0.208595952506038462    (at_rad_mean / at_mass_mean)
23            0.29929825456548026     (w_log * lambda)
24            0.299307356750125819    (lambda4w_low / lambda3)
25            0.329716422963964029    (w_log / density)
26            0.346169406227486598    (w_log^2)
27            0.355384272287773917    (w_log / at_mass_wtd_mean)
28            0.364763916124235255    (w_log / at_mass_mean)
29            0.493739613877136108    (w_log^3)
#-----------------------------------------------------------------------
30            0.151474812734429726    (at_rad_wtd_mean / lambda)
31            0.153682697658220457    (w_log / lambda)
32            0.154133412928191799    sin(lambda)
33            0.15666988576844354     (IP_mean / lambda3)
34            0.157317231901646065    (IP_wtd_mean - (2.944536e+00*lambda))
35            0.157602747249000585    (lambda / IP_mean)
36            0.158501981308081713    (at_rad_mean / lambda)
37            0.160274250686005593    (IP_wtd_mean / lambda3)
38            0.16320662081324358     (lambda / IP_wtd_mean)
39            0.165393161134737954    sqrt(lambda)
40            0.165522007766375934    (|PE_wtd_mean - lambda|)
41            0.167999508865448927    (IP_wtd_range / lambda3)
42            0.174497145165062373    (IP_wtd_std / lambda3)
43            0.181506211754836472    (IP_std / lambda3)
44            0.181918816776851233    (|PE_mean - lambda|)
45            0.1824457683804179      cbrt(lambda)
46            0.188791123232410429    (IP_range / lambda3)
47            0.199073839734169949    (lambda / lambda3)
48            0.201922050391147662    (w_log / lambda3)
49            0.209713579395767874    ln(lambda3)
50            0.233268490780793786    (1.0 / lambda)
51            0.233314826938742975    cos(lambda)
52            0.235380920028943064    (exp(-1.0 * lambda))
53            0.237409833839333201    (PE_wtd_mean / lambda)
54            0.245473941370606324    (PE_mean / lambda)
55            0.248109914552215177    (exp(-1.0 * lambda3))
56            0.257399392801152038    (IP_mean / lambda)
57            0.257684994880063301    (IP_wtd_mean / lambda)
58            0.269422886239771897    (lambda4w_low - (4.629560e-01*lambda))
59            0.29454371719931477     (lambda3 - (2.173616e+01*lambda))
#-----------------------------------------------------------------------
60            0.0857756066472475237   (at_mass_std * lambda4w_low)
61            0.0858675678490166822   (ThermalCond_mean + 1.724382e+00*at_mass_mean)
62            0.0862508941787523686   (at_mass_wtd_std * lambda4w_low)
63            0.0867644226621359094   (at_mass_wtd_range * lambda4w_low)
64            0.0871915152523123488   (EA_range * lambda4w_low)
