# c0 + a0 * ((lambda3-1.784073e+00) * (EA_std-8.288378e-01)) + a1 * (w_log^3)
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 2.93573335448973; Max AE: 9.79671018762371
# Coefficients
# Task   a0                      a1                      c0
# all , -1.457064444108140e+00,  1.392103387450475e+05,  3.656193978955550e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; eV;                                               3|35|mult:-1.7840727246916e+00,-8.2883782449980e-01; ((lambda3-1.784073e+00) * (EA_std-8.288378e-01)); $\left(\left(lambda3-1.784e+00\right) * \left(EA_{std}-8.288e-01\right)\right)$; ((lambda3-1.784073e+00) .* (EA_std-8.288378e-01)); ((newdata$lambda3-1.784073e+00) * (newdata$EA_std-8.288378e-01)); lambda3,EA_std
# 1;  1; eV^3;                                             1|cb; (w_log^3); $\left(w_{log}^3\right)$; (w_log).^3; (newdata$w_log)^3; w_log
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
C8Cs1       ,  6.750000000000000e-02,  5.084239169136966e+00,  7.342747908138494e-01,  1.794357303199999e-05
Se2Ta1      ,  1.250000000000000e-01,  7.874867359141083e-01,  1.978248074908364e+00,  9.861112800000000e-08
Ti1         ,  1.620000000000000e-01,  2.796592119088606e+00,  1.377447838863657e+00,  8.242407999999999e-06
B1Mo1       ,  2.500000000000000e-01,  5.712191585002357e+00,  9.432989541638762e-01,  2.464217100000000e-05
Al1Hf1Ni2   ,  3.700000000000000e-01,  3.028484831639584e+00,  5.565876778771229e-01,  1.316532736000000e-06
Pt1Te1      ,  5.900000000000000e-01,  2.359657495988229e+00,  9.327695042095878e-01,  4.494550960000001e-07
Sb1V3       ,  6.500000000000000e-01,  3.544311458210601e+00,  9.168685041376335e-01,  8.792838143999999e-06
Al1Ni2Zr1   ,  6.899999999999999e-01,  2.982089102821319e+00,  5.227819808806489e-01,  6.294227929999998e-07
Rh1Te2      ,  7.550000000000000e-01,  2.851476990040315e+00,  7.211250344519540e-01,  1.767172329000000e-06
Zr1         ,  9.966666670000000e-01,  2.185514972606774e+00,  1.207370317276299e+00,  2.072671874999999e-06
Be2Ta3      ,  1.000000000000000e+00,  2.518401753580487e+00,  1.157010815463263e+00,  3.936827538999999e-06
C1Si1       ,  1.075000000000000e+00,  1.087171018762371e+01,  1.203941087423960e+00,  6.443297272900001e-05
Nb3Sb1      ,  1.100000000000000e+00,  2.889774458857638e+00,  1.103882730412662e+00,  6.048464248000001e-06
Nb1O1       ,  1.380000000000000e+00,  4.527194813400785e+00,  8.986460954885100e-01,  1.566253000800000e-05
Sb1         ,  1.416666667000000e+00,  3.234685648930515e+00,  3.646577475943751e-01,  7.888890240000000e-07
Sb1Sn1      ,  1.430000000000000e+00,  2.441867095149179e+00,  8.792710777606979e-01,  4.800486870000000e-07
S2Ta1       ,  1.488116666500000e+00,  3.227228470822241e+00,  3.879532221248868e-01,  9.791466569999998e-07
B2C2Y1      ,  1.800000000000000e+00,  9.201321080521987e+00,  6.259548801563312e-01,  4.638436885699999e-05
Re2Y1       ,  1.830000000000000e+00,  2.225913374738245e+00,  1.225678880759574e+00,  2.554497863000000e-06
S1Y1        ,  1.900000000000000e+00,  4.182693120826090e+00, -8.078494950760869e-02,  2.936493567999999e-06
Ga2Pt1      ,  1.900000000000000e+00,  3.888882052249313e+00, -1.122320566453602e-01,  4.967930880000000e-07
Mo0.5Rh0.5  ,  1.940000000000000e+00,  3.000981841556269e+00,  9.848863763951393e-01,  5.601816576000001e-06
Pd2Sc1Sn1   ,  2.122500000000000e+00,  2.629797376790059e+00,  7.489008767609333e-01,  4.654843749999999e-07
Be2Nb1      ,  2.150000000000000e+00,  4.934737167252201e+00,  6.387690217662184e-01,  1.587001969700000e-05
In1Te1      ,  2.206000000000000e+00,  3.689446343222857e+00, -6.838874546841764e-03,  1.672841510000000e-07
C2Cl2Y2     ,  2.300000000000000e+00,  2.825884425867202e+00,  6.031867334354738e-01,  3.489136640000000e-07
Be2Nb3      ,  2.300000000000000e+00,  3.726219592688905e+00,  6.473716228174639e-01,  7.278825672000002e-06
Pb1Pd2Sc1   ,  2.400000000000000e+00,  2.344934580910958e+00,  9.021440341179140e-01,  2.314912500000000e-08
As1Pt1Sr1   ,  2.425000000000000e+00,  3.830881484956527e+00, -6.624190578829822e-02,  5.615156250000001e-07
Bi1Nb3      ,  2.516666667000000e+00,  2.323189952227691e+00,  1.192484801164186e+00,  2.905841483000000e-06
Hf1In1Pd2   ,  2.630000000000000e+00,  2.480059157385508e+00,  8.431535137531755e-01,  3.763670480000000e-07
Nb3Rh1      ,  2.742333333000000e+00,  2.761083155856285e+00,  1.107298719885228e+00,  5.159780352000000e-06
Ga1Ni2Zr1   ,  2.870000000000000e+00,  4.026916467580596e+00, -2.412283370594616e-01,  1.381884130000000e-07
N1Ni3Zn1    ,  3.000000000000000e+00,  5.112276281595889e+00, -8.842412387925125e-01,  1.204550144000000e-06
B1Hf1       ,  3.100000000000000e+00,  4.368301355868421e+00,  1.169289184717171e+00,  1.735386246900000e-05
Pt0.25V0.75 ,  3.102500000000000e+00,  5.010441879548519e+00,  2.141843984799640e-02,  9.952248951000003e-06
C2Y1        ,  3.150000000000000e+00,  4.448264067492461e+00,  5.577839795841151e-01,  1.152785997900000e-05
Pb1Pd2Y1    ,  3.215000000000000e+00,  1.978703993067504e+00,  1.176917847169399e+00,  2.683361250000000e-07
In1Sb1      ,  3.320000000000000e+00,  4.016958199923455e+00, -2.252642401254422e-01,  2.337448960000000e-07
Bi2K1       ,  3.575000000000000e+00,  2.769418816265656e+00,  6.210552955839742e-01,  1.303238430000000e-07
Al1Hf1Pd2   ,  3.621666666500000e+00,  4.612091042571542e+00, -6.494099671046270e-01,  6.942653100000000e-08
Hg0.5In0.5  ,  3.810000000000000e+00,  8.998647462997326e+00, -3.665315099980498e+00,  1.331205300000000e-08
C1W2        ,  3.835000000000000e+00,  3.337977636804490e+00,  8.778632664755353e-01,  6.902411264000002e-06
C1Ga1Mo2    ,  3.900000000000000e+00,  3.672978476418399e+00,  5.245919714400518e-01,  5.611284433000001e-06
Ba1Ge3      ,  4.000000000000000e+00,  3.738621453000143e+00,  3.557233931971369e-02,  9.644302719999999e-07
Bi2Rb1      ,  4.250000000000000e+00,  2.247587358315359e+00,  9.876909426293112e-01,  2.192562270000000e-07
Ba1Sn3      ,  4.300000000000000e+00,  3.182653697667541e+00,  3.887823570681798e-01,  6.676276239999998e-07
Rh1Se2      ,  4.350000000000000e+00,  3.331590177139899e+00,  4.951882847777099e-01,  2.851206632000000e-06
Al1Au2Sc1   ,  4.400000000000000e+00,  3.732383042040309e+00, -4.070143003304975e-02,  1.212873750000000e-07
B2Nb1       ,  4.597500000000000e+00,  6.581720464449331e+00,  7.270128964504784e-01,  2.862453437900000e-05
Pb3Y1       ,  4.720000000000000e+00,  2.854532050041403e+00,  5.721974290433927e-01,  2.303463970000000e-07
Bi2Cs1      ,  4.750000000000000e+00,  2.272175343290153e+00,  9.700948274696467e-01,  2.117087360000000e-07
Al1Si1Sr1   ,  4.750000000000000e+00,  3.479577572051222e+00,  2.684243252332348e-01,  1.540798875000000e-06
Pd2Sn1Y1    ,  4.814444444333330e+00,  3.284294014167852e+00,  2.662065469985755e-01,  1.147912560000000e-07
Br2C2Y2     ,  5.050000000000000e+00,  4.953135990965352e+00, -5.909308613342223e-01,  3.131359847000001e-06
Ir1Mo1      ,  5.325000000000000e+00,  3.603847063646120e+00,  6.768669052260986e-01,  6.708494455999999e-06
N1Ti1       ,  5.387500000000000e+00,  7.275314089754517e+00,  1.150059467620086e+00,  3.803475314700000e-05
Ga1         ,  5.527454545000000e+00,  4.295711466533000e+00, -4.159168503847990e-01,  2.406418480000000e-07
B6Y1        ,  5.692857143000000e+00,  6.888283822737352e+00, -2.205245997211785e+00,  1.357967440000000e-07
Bi3Sr1      ,  5.700000000000000e+00,  3.044069572948899e+00,  4.362652591415667e-01,  1.691123770000000e-07
Ba1Bi3      ,  5.745000000000000e+00,  4.002277117081230e+00, -2.315427028536926e-01,  6.257077299999998e-08
Nb1S2       ,  5.821818182000000e+00,  5.092206928790682e+00, -7.468082247939584e-01,  2.498846293000000e-06
C1Mo2       ,  6.021666667000000e+00,  4.598352733450622e+00,  9.600683241099136e-01,  1.681656832800000e-05
Rh2Sr1      ,  6.200000000000000e+00,  3.467941597879343e+00,  1.591087741615753e-01,  3.130468390000000e-07
Pb1         ,  6.470100000000000e+00,  2.370571592137753e+00,  8.953874717563302e-01,  1.365908750000000e-07
Sn1Ta3      ,  6.692500000000000e+00,  6.355066403293118e+00, -1.807793881365070e+00,  4.654843749999999e-07
Ag1B2       ,  6.700000000000000e+00,  3.892281497455286e+00,  4.627366682230662e-01,  6.539203000000002e-06
Nb1Se2      ,  6.814619048000000e+00,  7.916825564515983e+00, -2.844002630841601e+00,  8.385618069999998e-07
Li1Pb1      ,  7.200000000000000e+00,  2.323896389854780e+00,  9.365948673703086e-01,  2.326083750000000e-07
Tc1         ,  7.794166667000000e+00,  3.862170158822095e+00,  1.276018414091881e-01,  2.815166528000000e-06
P1Ru1Zr1    ,  8.496153846000000e+00,  4.176319806876983e+00, -1.387204165925920e-01,  2.284322013000000e-06
C1Ta1       ,  8.637499999999999e+00,  4.655728578542646e+00,  5.070525814055125e-01,  1.248716800000000e-05
Hf1N1       ,  8.830000000000000e+00,  4.075654418980382e+00,  1.105158036758984e+00,  1.458043230700000e-05
N1Zr1       ,  9.850000000000000e+00,  6.204054789106026e+00,  8.751010682041038e-01,  2.746160591300000e-05
C2I2Y2      ,  9.917500000000000e+00,  2.500396567035652e+00,  8.192336602151039e-01,  2.720977919999999e-07
C1Mo1       ,  1.015200000000000e+01,  4.833602194803317e+00, -4.247461340450639e-01,  4.012099469000001e-06
Mo3Os1      ,  1.102250000000000e+01,  4.730682126970233e+00, -4.598046253451227e-01,  2.905841483000000e-06
C6Ca        ,  1.130300000000000e+01,  7.132604966278205e+00,  2.666295925011205e-01,  2.776307795200001e-05
Nb3Sn1      ,  1.670900000000000e+01,  1.575771666128836e+01, -8.198869484470052e+00,  1.115157653000000e-06
B2Mg0.98    ,  3.840000000000000e+01,  3.344414266142435e+01,  1.072131039297070e+00,  2.251996007040000e-04
