# FEAT_ID     Feature Postfix Expression (RPN)
0             42|7|div
1             1|19|div
2             1|20|div
3             41|7|div
4             1|13|div
5             40|7|div
6             1|26|div
7             6|1|mult:-3.7219874026843e+01,-1.6910526460783e-02
8             1|14|div
9             13|1|mult:-1.3291364345712e+00,-1.0176814229847e-02
10            14|7|div
11            1|36|mult:-9.6395822406778e-03,-5.7426954064415e-01
12            1|25|div
13            1|34|mult:-9.5958901519485e-03,-5.3616060839095e-01
14            1|4|div
15            7|inv
16            13|7|div
17            1|22|mult:-1.1736311757703e-02,-2.3699833495494e+00
18            1|exp:9.9134095607903e+00,0.0000000000000e+00
19            1|23|mult:-1.1055542389638e-02,-2.4589398453473e+00
20            24|1|mult:-2.4059192508857e+00,-1.1931656832480e-02
21            1|21|mult:-1.1895449703171e-02,-4.8187020466316e+00
22            5|1|mult:-1.0574348819875e+01,-1.5972027790477e-02
23            1|0|mult
24            2|3|div
25            1|5|div
26            1|sq
27            1|8|div
28            1|7|div
29            1|cb
#-----------------------------------------------------------------------
30            26|0|abd
31            22|3|div
32            20|3|div
33            0|sqrt
34            24|3|div
35            33|0|mult:-3.8926780637634e+00,-5.5131855550104e-01
36            23|3|div
37            25|0|abd
38            21|3|div
39            0|cbrt
40            0|37|mult:-5.2926115805622e-01,-3.3939513914487e+01
41            1|0|mult:4.9758915684659e-03,-4.4340149532026e-01
42            0|3|div
43            1|3|div
44            3|log
45            0|cos
46            0|nexp
47            0|inv
48            26|0|div
49            3|nexp
50            25|0|div
51            19|0|div
52            20|0|div
53            3|36|mult:-3.7807379870851e-01,-7.8662007074674e-01
54            36|3|mult:-7.8661916691357e-01,-3.7837253858957e-01
55            27|3|mult:-1.0230732902841e+00,-2.1335918926170e+00
56            35|3|mult:-8.3429539815901e-01,-4.5332530720786e-01
57            33|3|mult:-1.6497518844517e+00,-2.0216599215620e+00
58            3|35|mult:-1.6348226348818e+00,-8.2578533383759e-01
59            0|3|mult:-9.1670663890494e+00,1.0060264679331e+02
#-----------------------------------------------------------------------
60            30|8|mult
61            8|35|mult:-4.5135147208348e+02,-3.1842165118308e+00
62            35|8|mult:-3.1545274107058e+00,-4.4696542847849e+02
63            16|8|mult:1.7154943227801e+00,3.9832320951025e+02
64            25|3|div
65            8|29|mult:3.3472936111350e+02,1.7017363263159e+00
66            3|inv
67            29|8|mult:1.2864659612857e+00,2.3379921506647e+02
68            26|3|div
69            33|8|mult:-6.2997472653406e+00,-3.7563618329404e+02
70            28|8|mult
71            28|8|mult:6.1592997554492e-01,2.4298281179357e+02
72            30|8|mult:8.1751871357745e-01,1.1208888153639e+02
73            8|30|mult:1.2851733318134e+02,8.9021594315807e-01
74            19|3|div
75            0|8|mult:-2.8633412076292e+00,-1.8325767208420e+02
76            8|28|mult:-2.7893915183790e+04,-9.1771360573058e+01
77            31|7|div
78            8|0|mult:-1.6999980193249e+02,-2.5761048373336e+00
79            1|0|div
80            31|8|div
81            4|3|mult:-6.2119453222335e+00,-8.8289343149614e+00
82            4|9|mult:-5.0145233331680e+00,-6.0004730324585e+01
83            32|1|mult
84            4|11|mult:-5.5963125877015e+00,-7.9783134663096e+01
85            4|12|mult:-5.6412935711914e+00,-7.4702176390186e+01
86            31|1|mult
87            4|10|mult:-5.6738883409602e+00,-6.9639166727182e+01
88            2|18|mult:-3.7164638075734e-02,-2.2695782981894e-01
89            18|2|mult:-2.2746140708903e-01,-3.5743189583004e-02
#-----------------------------------------------------------------------
90            5|1|mult
91            16|11|mult
92            19|16|mult
93            21|10|mult
94            16|2|mult:2.1530765642175e-02,-1.0917721199511e+00
95            2|16|mult:-9.7044690332486e-01,-5.6884151643939e-03
96            18|12|mult
97            12|6|div
98            17|10|mult
99            16|sq
100           37|5|mult
101           42|37|abd
102           22|12|mult
103           23|10|mult
104           15|10|mult
105           16|5|mult
106           16|sp
107           41|37|abd
108           10|6|div
109           24|10|mult
110           16|cb
111           16|12|mult
112           8|1|mult
113           20|18|mult:-3.5752990109008e+00,-4.2646617691664e-01
114           18|20|mult:-4.2640378979963e-01,-3.5807535038253e+00
115           4|5|mult:-4.5272008885915e+00,-1.1137978166541e+01
116           22|10|mult
117           18|10|mult
118           5|4|mult:-1.1452231941569e+01,-4.6363138040911e+00
119           16|10|mult
#-----------------------------------------------------------------------
120           0|1|div
121           32|14|div
122           31|38|div
123           32|13|div
124           38|31|mult:4.5837680209629e+02,-6.0631000142081e+00
125           31|38|mult:-6.5933352968309e+00,5.0669923174276e+02
126           26|37|mult:-1.6854456895959e+00,-5.8068596133190e+01
127           37|5|div
128           4|14|div
129           37|3|mult:-7.0537012329310e+01,2.5506509956253e+01
130           39|37|abd
131           3|37|mult:2.0001417081609e+01,-6.1726674400534e+01
132           36|35|sub
133           8|6|div
134           39|42|mult:-2.5465388244436e+02,-3.7181198916532e+01
135           31|14|div
136           42|39|mult:-4.4452399322620e+01,-2.3672237552679e+02
137           41|39|mult:-9.2753378491479e+01,-1.2081688843936e+02
138           39|41|mult:-1.2065268816138e+02,-9.2819058611772e+01
139           35|37|mult:-2.4632818736564e-03,-5.6578893344667e+01
140           32|7|div
141           14|17|mult:-1.2066641640180e+00,-1.4771853979633e-01
142           17|14|mult:-1.5088525626260e-01,-1.2117452022897e+00
143           5|6|div
144           32|37|mult:-4.8887612195144e+00,2.5290519080944e+02
145           37|32|mult:2.7724797556707e+02,-5.1995236925113e+00
146           37|0|mult
147           39|38|abd
148           37|4|mult
149           31|42|mult:-8.6234299449685e-01,-4.9532057175713e+01
#-----------------------------------------------------------------------
