# c0 + a0 * (EA_mean / at_mass_wtd_mean) + a1 * (lambda3 - (2.166462e+01*lambda)) + a2 * (w_log^3)
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 2.75572016026975; Max AE: 8.24195557078697
# Coefficients
# Task   a0                      a1                      a2                      c0
# all , -9.599860239192294e+01, -2.558364307688579e-01,  1.511488021871354e+05, -4.623836879105181e-01, 
# Feature Rung, Units, and Expressions
# 0;  1; eV * g^-1 * mol;                                  31|8|div; (EA_mean / at_mass_wtd_mean); $\left(\frac{ EA_{mean} }{ at_{mass, wtd, mean} } \right)$; (EA_mean ./ at_mass_wtd_mean); (newdata$EA_mean / newdata$at_mass_wtd_mean); EA_mean,at_mass_wtd_mean
# 1;  1; Unitless;                                         3|0|sub:2.1664618602654e+01,0.0000000000000e+00; (lambda3 - (2.166462e+01*lambda)); $\left(lambda3 - \left(2.166e+01lambda\right)\right)$; (lambda3 - (2.166462e+01.*lambda)); (newdata$lambda3 - (2.166462e+01*newdata$lambda)); lambda3,lambda
# 2;  1; eV^3;                                             1|cb; (w_log^3); $\left(w_{log}^3\right)$; (w_log).^3; (newdata$w_log)^3; w_log
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
C8Cs1       ,  6.750000000000000e-02,  1.434066356629364e+00,  3.409515200345865e-02, -9.605306824687879e+00,  1.794357303199999e-05
Se2Ta1      ,  1.250000000000000e-01, -8.813094323858578e-01,  1.037062479584077e-02, -2.195679428018551e+00,  9.861112800000000e-08
Ti1         ,  1.620000000000000e-01,  3.343991643802663e+00,  1.650406334217728e-03, -1.062781375063715e+01,  8.242407999999999e-06
B1Mo1       ,  2.500000000000000e-01,  5.516679912484437e+00,  9.582150785399162e-03, -1.240754510302438e+01,  2.464217100000000e-05
Al1Hf1Ni2   ,  3.700000000000000e-01,  2.320568667377565e+00,  6.594923284304008e-03, -1.257468851370588e+01,  1.316532736000000e-06
Pt1Te1      ,  5.900000000000000e-01,  2.763814243468188e+00,  1.270283001326375e-02, -1.711139123744287e+01,  4.494550960000001e-07
Sb1V3       ,  6.500000000000000e-01,  2.567131081941592e+00,  1.161755729750124e-02, -1.100608334734520e+01,  8.792838143999999e-06
Al1Ni2Zr1   ,  6.899999999999999e-01,  3.303513860845558e+00,  1.144868381733721e-02, -1.864401672147178e+01,  6.294227929999998e-07
Rh1Te2      ,  7.550000000000000e-01,  3.256746491393506e-01,  1.301850990839292e-02, -6.921262571452088e+00,  1.767172329000000e-06
Zr1         ,  9.966666670000000e-01,  3.138797652893828e+00,  4.669926114314530e-03, -1.460388514094947e+01,  2.072671874999999e-06
Be2Ta3      ,  1.000000000000000e+00,  2.045186989113733e+00,  1.435275323248964e-03, -8.014137505768263e+00,  3.936827538999999e-06
C1Si1       ,  1.075000000000000e+00,  6.207547513844219e+00,  6.604117098378399e-02, -1.278482762345295e+01,  6.443297272900001e-05
Nb3Sb1      ,  1.100000000000000e+00,  3.117164455971237e+00,  9.803255699671793e-03, -1.409661967588310e+01,  6.048464248000001e-06
Nb1O1       ,  1.380000000000000e+00,  2.636655655958413e+00,  2.161501040348632e-02, -1.097059349572068e+01,  1.566253000800000e-05
Sb1         ,  1.416666667000000e+00,  4.586181035512132e+00,  8.787779237844941e-03, -2.256496308988948e+01,  7.888890240000000e-07
Sb1Sn1      ,  1.430000000000000e+00,  3.300906553179433e+00,  9.439846966357550e-03, -1.796829153223914e+01,  4.800486870000000e-07
S2Ta1       ,  1.488116666500000e+00,  7.623438429777108e+00,  1.468296665699635e-02, -3.653650703015209e+01,  9.791466569999998e-07
B2C2Y1      ,  1.800000000000000e+00,  6.870332211544662e+00,  2.288014032062669e-02, -9.843147014897875e+00,  4.638436885699999e-05
Re2Y1       ,  1.830000000000000e+00,  2.691217343977321e+00,  1.485953673362021e-03, -1.137500709661218e+01,  2.554497863000000e-06
S1Y1        ,  1.900000000000000e+00,  1.890978309968233e+00,  1.970707222675036e-02, -1.485857933534291e+01,  2.936493567999999e-06
