# c0 + a0 * (w_log / density)
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 4.02386698297785; Max AE: 15.6259524760738
# Coefficients
# Task   a0                      c0
# all ,  8.948597035244321e+02,  2.492694386380913e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; cm^3 * eV * g^-1;                                 1|5|div; (w_log / density); $\left(\frac{ w_{log} }{ density } \right)$; (w_log ./ density); (newdata$w_log / newdata$density); w_log,density
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
C8Cs1       ,  6.750000000000000e-02,  1.023576255080107e+01,  8.652829190904283e-03
Se2Ta1      ,  1.250000000000000e-01,  2.964285633875138e+00,  5.270002053247553e-04
Ti1         ,  1.620000000000000e-01,  6.234706975126313e+00,  4.181675154225148e-03
B1Mo1       ,  2.500000000000000e-01,  5.476482885981130e+00,  3.334364580110688e-03
Al1Hf1Ni2   ,  3.700000000000000e-01,  3.492140264913464e+00,  1.116874382203381e-03
Pt1Te1      ,  5.900000000000000e-01,  3.044645471339899e+00,  6.168018101442156e-04
Sb1V3       ,  6.500000000000000e-01,  4.834154324103622e+00,  2.616566517076139e-03
Al1Ni2Zr1   ,  6.899999999999999e-01,  3.580472951111113e+00,  1.215585594530574e-03
Rh1Te2      ,  7.550000000000000e-01,  3.713109034669149e+00,  1.363805570282801e-03
Zr1         ,  9.966666670000000e-01,  4.184263011554972e+00,  1.890317128497087e-03
Be2Ta3      ,  1.000000000000000e+00,  3.536688558169155e+00,  1.166656815226386e-03
C1Si1       ,  1.075000000000000e+00,  1.135310721808693e+01,  9.901454716095730e-03
Nb3Sb1      ,  1.100000000000000e+00,  4.251466356890513e+00,  1.965416437439996e-03
Nb1O1       ,  1.380000000000000e+00,  5.532665843567782e+00,  3.397148676171079e-03
Sb1         ,  1.416666667000000e+00,  3.666764141949276e+00,  1.312015448839917e-03
Sb1Sn1      ,  1.430000000000000e+00,  3.480534718905417e+00,  1.103905258705766e-03
S2Ta1       ,  1.488116666500000e+00,  3.717802870360068e+00,  1.369050901670987e-03
B2C2Y1      ,  1.800000000000000e+00,  9.651492317410424e+00,  7.999910938926368e-03
Re2Y1       ,  1.830000000000000e+00,  3.361286640181770e+00,  9.706462927986141e-04
S1Y1        ,  1.900000000000000e+00,  5.085388560274664e+00,  2.897319170460293e-03
Ga2Pt1      ,  1.900000000000000e+00,  3.153113605680498e+00,  7.380142570936029e-04
Mo0.5Rh0.5  ,  1.940000000000000e+00,  3.862413020049557e+00,  1.530651819803670e-03
Pd2Sc1Sn1   ,  2.122500000000000e+00,  3.250321022566360e+00,  8.466429242500381e-04
Be2Nb1      ,  2.150000000000000e+00,  6.640515020431558e+00,  4.635163051497713e-03
In1Te1      ,  2.206000000000000e+00,  3.205230256324065e+00,  7.962542811312302e-04
C2Cl2Y2     ,  2.300000000000000e+00,  4.165995752369917e+00,  1.869903583096497e-03
Be2Nb3      ,  2.300000000000000e+00,  4.931607721819547e+00,  2.725470066238205e-03
Pb1Pd2Sc1   ,  2.400000000000000e+00,  2.728447180827583e+00,  2.634522411928378e-04
As1Pt1Sr1   ,  2.425000000000000e+00,  3.354854700535763e+00,  9.634586413481413e-04
Bi1Nb3      ,  2.516666667000000e+00,  3.669945973851517e+00,  1.315571125656864e-03
Re1         ,  2.581333333000000e+00,  3.085706921603976e+00,  6.626877184071038e-04
Hf1In1Pd2   ,  2.630000000000000e+00,  3.021062644431812e+00,  5.904481517827936e-04
Nb3Rh1      ,  2.742333333000000e+00,  4.115426404819400e+00,  1.813392660377161e-03
Ga1Ni2Zr1   ,  2.870000000000000e+00,  3.041935736828044e+00,  6.137736991440410e-04
N1Ni3Zn1    ,  3.000000000000000e+00,  3.638349106203307e+00,  1.280261827982866e-03
B1Hf1       ,  3.100000000000000e+00,  4.516906534863932e+00,  2.262044140003844e-03
Pt0.25V0.75 ,  3.102500000000000e+00,  4.273802207497831e+00,  1.990376607754234e-03
C2Y1        ,  3.150000000000000e+00,  6.843817032717881e+00,  4.862351751006263e-03
Pb1Pd2Y1    ,  3.215000000000000e+00,  3.023687779855792e+00,  5.933817238429057e-04
In1Sb1      ,  3.320000000000000e+00,  3.263262460317183e+00,  8.611048982330574e-04
Bi2K1       ,  3.575000000000000e+00,  3.116491487598945e+00,  6.970892741746985e-04
