# c0 + a0 * (EA_mean / at_mass_mean) + a1 * (lambda3 - (2.172115e+01*lambda)) + a2 * (w_log^3)
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 2.7137859309259; Max AE: 8.52508912257835
# Coefficients
# Task   a0                      a1                      a2                      c0
# all , -1.115476617915187e+02, -2.454418996390102e-01,  1.508265130597414e+05, -2.893641219788415e-01, 
# Feature Rung, Units, and Expressions
# 0;  1; eV * g^-1 * mol;                                  31|7|div; (EA_mean / at_mass_mean); $\left(\frac{ EA_{mean} }{ at_{mass, mean} } \right)$; (EA_mean ./ at_mass_mean); (newdata$EA_mean / newdata$at_mass_mean); EA_mean,at_mass_mean
# 1;  1; Unitless;                                         3|0|sub:2.1721150340725e+01,0.0000000000000e+00; (lambda3 - (2.172115e+01*lambda)); $\left(lambda3 - \left(2.172e+01lambda\right)\right)$; (lambda3 - (2.172115e+01.*lambda)); (newdata$lambda3 - (2.172115e+01*newdata$lambda)); lambda3,lambda
# 2;  1; eV^3;                                             1|cb; (w_log^3); $\left(w_{log}^3\right)$; (w_log).^3; (newdata$w_log)^3; w_log
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
C8Cs1       ,  6.750000000000000e-02,  3.445259065790700e+00,  1.197243648398178e-02, -9.630604777474261e+00,  1.794357303199999e-05
Se2Ta1      ,  1.250000000000000e-01, -6.772414900821647e-01,  9.014353713544384e-03, -2.455895018355349e+00,  9.861112800000000e-08
Ti1         ,  1.620000000000000e-01,  3.385106266868574e+00,  1.650406334217728e-03, -1.065586479906755e+01,  8.242407999999999e-06
B1Mo1       ,  2.500000000000000e-01,  5.411866153699385e+00,  9.582150785399162e-03, -1.244043526823357e+01,  2.464217100000000e-05
Al1Hf1Ni2   ,  3.700000000000000e-01,  2.329418500930106e+00,  6.045181571224799e-03, -1.260803658599344e+01,  1.316532736000000e-06
Pt1Te1      ,  5.900000000000000e-01,  2.572612567149116e+00,  1.270283001326375e-02, -1.715745329762241e+01,  4.494550960000001e-07
Sb1V3       ,  6.500000000000000e-01,  2.715111330205315e+00,  9.235583225633115e-03, -1.103515762023466e+01,  8.792838143999999e-06
Al1Ni2Zr1   ,  6.899999999999999e-01,  3.118388776504411e+00,  1.143548102622546e-02, -1.869452782943743e+01,  6.294227929999998e-07
Rh1Te2      ,  7.550000000000000e-01,  1.763519826390831e-01,  1.348340344008996e-02, -6.939409259372598e+00,  1.767172329000000e-06
Zr1         ,  9.966666670000000e-01,  3.096298549207733e+00,  4.669926114314530e-03, -1.464284681482740e+01,  2.072671874999999e-06
Be2Ta3      ,  1.000000000000000e+00,  2.087501000687114e+00,  1.695093703937671e-03, -8.035184271851771e+00,  3.936827538999999e-06
C1Si1       ,  1.075000000000000e+00,  5.208357195887039e+00,  6.604117098378399e-02, -1.281875231946884e+01,  6.443297272900001e-05
Nb3Sb1      ,  1.100000000000000e+00,  3.071982893307559e+00,  9.144421297417760e-03, -1.413416805630928e+01,  6.048464248000001e-06
Nb1O1       ,  1.380000000000000e+00,  2.361612559301570e+00,  2.161501040348632e-02, -1.099957166465543e+01,  1.566253000800000e-05
Sb1         ,  1.416666667000000e+00,  4.403065172273012e+00,  8.787779237844941e-03, -2.262735151602367e+01,  7.888890240000000e-07
Sb1Sn1      ,  1.430000000000000e+00,  3.152131993569961e+00,  9.439846966357550e-03, -1.801682968254615e+01,  4.800486870000000e-07
S2Ta1       ,  1.488116666500000e+00,  7.599285522913369e+00,  1.126218113568229e-02, -3.665730404806034e+01,  9.791466569999998e-07
B2C2Y1      ,  1.800000000000000e+00,  7.284788281973166e+00,  1.653218768879640e-02, -9.869083776324450e+00,  4.638436885699999e-05
Re2Y1       ,  1.830000000000000e+00,  2.709910942852443e+00,  1.661136813699690e-03, -1.140508198126549e+01,  2.554497863000000e-06
S1Y1        ,  1.900000000000000e+00,  1.611914729348088e+00,  1.970707222675036e-02, -1.489825330912053e+01,  2.936493567999999e-06
Ga2Pt1      ,  1.900000000000000e+00,  2.782238771844213e+00,  9.168941908635346e-03, -1.637636997419786e+01,  4.967930880000000e-07
Mo0.5Rh0.5  ,  1.940000000000000e+00,  2.704744308732008e+00,  9.469182663198824e-03, -1.305999977845531e+01,  5.601816576000001e-06
Pd2Sc1Sn1   ,  2.122500000000000e+00,  2.573020692275970e+00,  6.225637897460476e-03, -1.420553208250182e+01,  4.654843749999999e-07
Be2Nb1      ,  2.150000000000000e+00,  3.679398301495161e+00,  8.761894296036249e-03, -1.039965676491071e+01,  1.587001969700000e-05
In1Te1      ,  2.206000000000000e+00,  3.364936005837436e+00,  9.368116228992895e-03, -1.904345065060455e+01,  1.672841510000000e-07
C2Cl2Y2     ,  2.300000000000000e+00,  2.384184936544537e+00,  3.803644811291700e-02, -2.796507233348822e+01,  3.489136640000000e-07
Be2Nb3      ,  2.300000000000000e+00,  2.205744860598768e+00,  8.761894296036249e-03, -9.674949193189782e+00,  7.278825672000002e-06
Pb1Pd2Sc1   ,  2.400000000000000e+00,  3.666707995179189e+00,  3.110685304800130e-03, -1.751767034885767e+01,  2.314912500000000e-08
As1Pt1Sr1   ,  2.425000000000000e+00,  2.734997238024042e+00,  8.215018224371583e-03, -1.571058566785173e+01,  5.615156250000001e-07
Bi1Nb3      ,  2.516666667000000e+00,  2.956534336710006e+00,  6.091687347707817e-03, -1.420757419753589e+01,  2.905841483000000e-06
Re1         ,  2.581333333000000e+00,  4.031797023568222e+00,  8.055551080249400e-04, -1.625279884208537e+01,  2.797260929000000e-06
Hf1In1Pd2   ,  2.630000000000000e+00,  3.301841334625337e+00,  2.144230054795323e-03, -1.537481245716163e+01,  3.763670480000000e-07
Nb3Rh1      ,  2.742333333000000e+00,  2.485285595389648e+00,  1.036709738636793e-02, -1.284557981491178e+01,  5.159780352000000e-06
Ga1Ni2Zr1   ,  2.870000000000000e+00,  5.262657794997490e+00,  8.568173871235631e-03, -2.642963247594901e+01,  1.381884130000000e-07
N1Ni3Zn1    ,  3.000000000000000e+00,  6.810393424313079e+00,  8.371228004614713e-03, -3.199074962365260e+01,  1.204550144000000e-06
B1Hf1       ,  3.100000000000000e+00,  4.534283640758806e+00,  1.463308980068358e-03, -9.653828042849058e+00,  1.735386246900000e-05
Pt0.25V0.75 ,  3.102500000000000e+00,  5.095589900639601e+00,  1.078343066737770e-02, -2.072489457079275e+01,  9.952248951000003e-06
C2Y1        ,  3.150000000000000e+00,  2.753628321250507e+00,  1.555740086368348e-02, -1.238450816231362e+01,  1.152785997900000e-05
Pb1Pd2Y1    ,  3.215000000000000e+00,  2.221444456403880e+00,  3.040798120071280e-03, -1.144682428194694e+01,  2.683361250000000e-07
In1Sb1      ,  3.320000000000000e+00,  5.566232204492048e+00,  5.790901943545047e-03, -2.634555460921132e+01,  2.337448960000000e-07
Bi2K1       ,  3.575000000000000e+00,  3.757960891788291e+00,  5.832824086540245e-03, -1.906074968591120e+01,  1.303238430000000e-07
Al1Hf1Pd2   ,  3.621666666500000e+00,  6.246767389285804e+00,  3.200192377059036e-03, -2.804180597015776e+01,  6.942653100000000e-08
Hg0.5In0.5  ,  3.810000000000000e+00,  8.130126928502918e+00,  9.511429567864049e-04, -3.472748958242813e+01,  1.331205300000000e-08
C1W2        ,  3.835000000000000e+00,  3.180561736256883e+00,  1.061011749760532e-02, -1.471791507108808e+01,  6.902411264000002e-06
C1Ga1Mo2    ,  3.900000000000000e+00,  3.408840582181925e+00,  1.299556459033665e-02, -1.752552880899396e+01,  5.611284433000001e-06
Ba1Ge3      ,  4.000000000000000e+00,  4.931349264348747e+00,  6.429888024690771e-03, -2.360025209455909e+01,  9.644302719999999e-07
Bi2Rb1      ,  4.250000000000000e+00,  1.732158083059083e+00,  4.802202900204518e-03, -1.028401043803672e+01,  2.192562270000000e-07
Ba1Sn3      ,  4.300000000000000e+00,  1.612863501365429e+00,  4.686822607669986e-03, -9.470004034884754e+00,  6.676276239999998e-07
Rh1Se2      ,  4.350000000000000e+00,  2.322759539583590e+00,  1.736342113279003e-02, -1.678171144114864e+01,  2.851206632000000e-06
Al1Au2Sc1   ,  4.400000000000000e+00,  3.598906069412010e+00,  9.028912696971531e-03, -1.987081646035793e+01,  1.212873750000000e-07
B2Nb1       ,  4.597500000000000e+00,  6.563527719115238e+00,  1.128065300518524e-02, -1.545735917355860e+01,  2.862453437900000e-05
Pb3Y1       ,  4.720000000000000e+00,  4.685695738941026e+00,  2.252573235647529e-03, -2.115199891359534e+01,  2.303463970000000e-07
Bi2Cs1      ,  4.750000000000000e+00,  2.044858687089445e+00,  4.147583783824891e-03, -1.126517027398264e+01,  2.117087360000000e-07
Al1Si1Sr1   ,  4.750000000000000e+00,  3.107661853539526e+00,  1.279795131858636e-02, -1.870998474971001e+01,  1.540798875000000e-06
Pd2Sn1Y1    ,  4.814444444333330e+00,  4.360388540105280e+00,  6.572499059024480e-03, -2.186092108667917e+01,  1.147912560000000e-07
Br2C2Y2     ,  5.050000000000000e+00,  1.158476542306292e+00,  2.729225945067069e-02, -1.637836208923193e+01,  3.131359847000001e-06
Ir1Mo1      ,  5.325000000000000e+00,  2.739166729258923e+00,  8.019655269340349e-03, -1.186140517372736e+01,  6.708494455999999e-06
N1Ti1       ,  5.387500000000000e+00,  8.897834919554411e+00,  1.276792438802854e-03, -1.463879258475925e+01,  3.803475314700000e-05
Ga1         ,  5.527454545000000e+00,  5.728815312165011e+00,  4.302740845918850e-03, -2.632739134383652e+01,  2.406418480000000e-07
B6Y1        ,  5.692857143000000e+00,  6.772551098041021e+00,  5.856585851130401e-03, -3.135048229226374e+01,  1.357967440000000e-07
Bi3Sr1      ,  5.700000000000000e+00,  3.632638167235461e+00,  3.189476480813917e-03, -1.732497307551857e+01,  1.691123770000000e-07
Ba1Bi3      ,  5.745000000000000e+00,  5.989937965159230e+00,  2.731677116919823e-03, -2.678669355337681e+01,  6.257077299999998e-08
Nb1S2       ,  5.821818182000000e+00,  5.302849443975475e+00,  2.376524736661855e-02, -3.204945480018586e+01,  2.498846293000000e-06
C1Mo2       ,  6.021666667000000e+00,  2.627192696466571e+00,  1.860860608665367e-02, -1.000611125353916e+01,  1.681656832800000e-05
Rh2Sr1      ,  6.200000000000000e+00,  4.426655492659520e+00,  5.967701978106879e-03, -2.173421514932817e+01,  3.130468390000000e-07
Pb1         ,  6.470100000000000e+00,  4.106865542050969e+00,  1.737451737451738e-03, -1.861718322807454e+01,  1.365908750000000e-07
Sn1Ta3      ,  6.692500000000000e+00,  7.547456162919591e+00,  5.079126924111436e-03, -3.395173213830482e+01,  4.654843749999999e-07
Ag1B2       ,  6.700000000000000e+00,  2.785342946567660e+00,  1.330477455190126e-02, -1.455553586836228e+01,  6.539203000000002e-06
