# FEAT_ID     Score                   Feature Expression
0             0.143450274000421013    (at_rad_wtd_mean / at_mass_wtd_mean)
1             0.145974860411147239    (ThermalCond_wtd_std / at_mass_wtd_mean)
2             0.146177419803839803    (at_rad_wtd_mean - (1.978863e+03*w_log))
3             0.146709914516277046    (PE_mean - (9.419083e+06*w_log))
4             0.148767608607458746    (ThermalCond_range * w_log)
5             0.152967584151485314    (exp(1.423644e+00*w_log))
6             0.154515594390892158    (w_log / IP_mean)
7             0.156232533012894886    (ThermalCond_wtd_range / at_mass_wtd_mean)
8             0.158325609172781073    (w_log / at_rad_mean)
9             0.158570150173911933    (ThermalCond_std * w_log)
10            0.159119251627831859    (w_log / at_rad_wtd_mean)
11            0.160758021127575257    (w_log / IP_wtd_mean)
12            0.161372580081726447    (ThermalCond_std / at_mass_mean)
13            0.162707543301085167    (ThermalCond_wtd_std * w_log)
14            0.163301544641163282    (ThermalCond_wtd_std / at_mass_mean)
15            0.163675988376939335    (w_log / PE_wtd_mean)
16            0.166174827409471954    (ThermalCond_wtd_range * w_log)
17            0.166804157694310978    (at_rad_wtd_mean / at_mass_mean)
18            0.172181327851954613    (ThermalCond_wtd_range / at_mass_mean)
19            0.175434655456800259    (w_log / PE_mean)
20            0.178502437687923288    (1.0 / at_mass_mean)
21            0.180398586305354797    (at_rad_mean / at_mass_mean)
22            0.185354429032884294    (w_log / L_avg)
23            0.290633895925605901    (lambda4w_low / lambda3)
24            0.290634786730043781    (w_log * lambda)
25            0.308875651516874183    (w_log / density)
26            0.336098071031148471    (w_log / at_mass_wtd_mean)
27            0.338540809585411773    (w_log^2)
28            0.345764875456685716    (w_log / at_mass_mean)
29            0.489667626783029553    (w_log^3)
#-----------------------------------------------------------------------
30            0.147730669063789455    (1.0 / lambda3)
31            0.148663432491994457    (PE_wtd_mean / lambda3)
32            0.154549117889369952    sin(lambda)
33            0.154778900350387272    (IP_mean / lambda3)
34            0.154857692911532813    (lambda / IP_mean)
35            0.15755667175028501     (w_log / lambda)
36            0.157981907177827702    (IP_wtd_range / lambda3)
37            0.159087136342593777    (at_rad_mean / lambda)
38            0.159203196686029558    (IP_wtd_mean / lambda3)
39            0.1626486550933961      (lambda / IP_wtd_mean)
40            0.166068321244573075    sqrt(lambda)
41            0.16700494648527292     (IP_wtd_std / lambda3)
42            0.169555633200962952    (|PE_wtd_mean - lambda|)
43            0.173229840687682574    (|PE_mean - lambda|)
44            0.174120271469958676    (IP_std / lambda3)
45            0.181828041070671076    (IP_range / lambda3)
46            0.183140880812205475    cbrt(lambda)
47            0.199019584602056793    (lambda / lambda3)
48            0.201939888081540897    (w_log / lambda3)
49            0.210389882620116958    ln(lambda3)
50            0.233579116393647285    (1.0 / lambda)
51            0.234701188384775994    cos(lambda)
52            0.236208186182330804    (exp(-1.0 * lambda))
53            0.23853657656157487     (PE_wtd_mean / lambda)
54            0.239219086984489654    (PE_mean / lambda)
55            0.249266547515195447    (IP_mean / lambda)
56            0.249281122918241949    (exp(-1.0 * lambda3))
57            0.25646431644279144     (IP_wtd_mean / lambda)
58            0.270878408509044821    (lambda4w_low - (4.628933e-01*lambda))
59            0.295943684661691575    (lambda3 - (2.173327e+01*lambda))
#-----------------------------------------------------------------------
60            0.0897113545857164407   (EA_wtd_std * lambda3)
61            0.0897909289203761563   (IP_wtd_mean / at_mass_wtd_mean)
62            0.0898177237914771776   (IP_wtd_range * lambda3)
63            0.090066256413368781    (at_mass_wtd_std + at_mass_wtd_mean)
64            0.0901103620567504787   (ThermalCond_wtd_std * lambda3)
65            0.0901366557928175854   (ThermalCond_wtd_range * lambda3)
66            0.0901687961618414524   (IP_std * lambda3)
67            0.0903934512620524766   (IP_wtd_std * lambda3)
68            0.0905791251773528788   (ThermalCond_std * lambda3)
69            0.0906494321040631074   (EA_wtd_range * lambda3)
70            0.0907322088823197953   (ThermalCond_range * lambda3)
71            0.0907539994811207146   (IP_range * lambda3)
72            0.0913336646650086542   (PE_wtd_mean / at_mass_wtd_mean)
73            0.091653197085343141    (IP_wtd_mean - (6.266219e+00*at_rad_wtd_range))
74            0.0934352981644745312   (IP_wtd_mean / at_rad_wtd_mean)
75            0.0937959700172684152   (IP_range / at_mass_wtd_mean)
76            0.0944787026408268615   (PE_mean / at_mass_wtd_mean)
77            0.0963545632697250937   (at_mass_wtd_range + at_mass_wtd_mean)
78            0.098370934662203327    (1.0 / at_rad_wtd_mean)
79            0.0991087698753571472   (density - (9.279806e+00*lambda4w_low))
80            0.103852856484089998    (EA_wtd_mean * w_log)
81            0.10439038389758809     (at_rad_wtd_std + at_rad_wtd_mean)
82            0.105262824592320836    (at_mass_wtd_mean - (8.673575e+01*lambda4w_low))
