# c0 + a0 * ((at_rad_wtd_std-2.266750e-01) * (lambda4w_low-4.069434e-02)) + a1 * (w_log^3) + a2 * (w_log^2) + a3 * (lambda4w_low / lambda3)
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 2.43305702144968; Max AE: 5.89976382225455
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# all , -1.849357376111162e+02,  3.850815607664241e+05, -1.740456146457922e+04,  3.224617654045869e+02,  2.520386953449373e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; AA * eV;                                          18|2|mult:-2.2667498453308e-01,-4.0694336018494e-02; ((at_rad_wtd_std-2.266750e-01) * (lambda4w_low-4.069434e-02)); $\left(\left(at_{rad, wtd, std}-2.267e-01\right) * \left(lambda4w_{low}-4.069e-02\right)\right)$; ((at_rad_wtd_std-2.266750e-01) .* (lambda4w_low-4.069434e-02)); ((newdata$at_rad_wtd_std-2.266750e-01) * (newdata$lambda4w_low-4.069434e-02)); at_rad_wtd_std,lambda4w_low
# 1;  1; eV^3;                                             1|cb; (w_log^3); $\left(w_{log}^3\right)$; (w_log).^3; (newdata$w_log)^3; w_log
# 2;  1; eV^2;                                             1|sq; (w_log^2); $\left(w_{log}^2\right)$; (w_log)^2; (newdata$w_log)^2; w_log
# 3;  1; eV;                                               2|3|div; (lambda4w_low / lambda3); $\left(\frac{ lambda4w_{low} }{ lambda3 } \right)$; (lambda4w_low ./ lambda3); (newdata$lambda4w_low / newdata$lambda3); lambda4w_low,lambda3
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
C8Cs1       ,  6.750000000000000e-02,  3.557727488332709e+00, -1.231848692252254e-02,  1.794357303199999e-05,  6.853923999999999e-04,  1.171744224974891e-02
Se2Ta1      ,  1.250000000000000e-01,  5.650560066630734e+00,  1.835007356548766e-02,  9.861112800000000e-08,  2.134440000000000e-05,  2.126538657776917e-02
Ti1         ,  1.620000000000000e-01,  1.579833935617309e-01,  8.947844506445674e-03,  8.242407999999999e-06,  4.080400000000000e-04,  9.986084963575345e-03
B1Mo1       ,  2.500000000000000e-01,  3.576139055964699e+00, -4.607957317392127e-03,  2.464217100000000e-05,  8.468100000000000e-04,  1.690956177321891e-02
Al1Hf1Ni2   ,  3.700000000000000e-01,  3.017459157100447e+00,  4.625248597656750e-05,  1.316532736000000e-06,  1.201216000000000e-04,  6.479271203780387e-03
Pt1Te1      ,  5.900000000000000e-01,  2.185522502558683e+00,  8.087249929514614e-03,  4.494550960000001e-07,  5.867560000000000e-05,  6.229896106777092e-03
Sb1V3       ,  6.500000000000000e-01,  6.997583150101693e-01,  6.519163247127642e-03,  8.792838143999999e-06,  4.260096000000000e-04,  1.058590016908035e-02
Al1Ni2Zr1   ,  6.899999999999999e-01,  3.945068274313061e+00,  4.139979985496046e-05,  6.294227929999998e-07,  7.344489999999999e-05,  7.654348679414568e-03
Rh1Te2      ,  7.550000000000000e-01,  3.654471748689805e-01,  8.428254288837185e-03,  1.767172329000000e-06,  1.461681000000000e-04,  3.929866989117291e-03
Zr1         ,  9.966666670000000e-01,  1.740837503690313e+00,  8.571564032120765e-03,  2.072671874999999e-06,  1.625625000000000e-04,  8.797385221614688e-03
Be2Ta3      ,  1.000000000000000e+00,  2.586448993068929e+00, -5.486561314488082e-03,  3.936827538999999e-06,  2.493241000000000e-04,  5.813953488372093e-03
C1Si1       ,  1.075000000000000e+00,  6.877860691357556e+00,  1.301754224490108e-03,  6.443297272900001e-05,  1.607208100000000e-03,  2.406182036925640e-02
Nb3Sb1      ,  1.100000000000000e+00,  2.165312793849943e+00,  4.396960201680671e-03,  6.048464248000001e-06,  3.319684000000000e-04,  1.211521397856802e-02
Nb1O1       ,  1.380000000000000e+00,  3.695767881934785e+00, -1.026028438472841e-02,  1.566253000800000e-05,  6.260004000000001e-04,  1.284430915435444e-02
Sb1         ,  1.416666667000000e+00,  3.493332718687808e+00,  6.118940699472874e-03,  7.888890240000000e-07,  8.537759999999999e-05,  1.019261816369196e-02
Sb1Sn1      ,  1.430000000000000e+00,  2.281145100180873e+00,  8.258752553465119e-03,  4.800486870000000e-07,  6.130890000000000e-05,  6.730389446243779e-03
S2Ta1       ,  1.488116666500000e+00,  5.570837123778972e+00,  1.325872163316248e-02,  9.791466569999998e-07,  9.860489999999999e-05,  2.121673354550067e-02
B2C2Y1      ,  1.800000000000000e+00,  4.827811868141337e+00, -8.682140809329960e-03,  4.638436885699999e-05,  1.290964900000000e-03,  1.646303582522261e-02
Re2Y1       ,  1.830000000000000e+00,  2.272029937772511e+00,  1.698035294235719e-03,  2.554497863000000e-06,  1.868689000000000e-04,  7.239157866772929e-03
S1Y1        ,  1.900000000000000e+00,  4.684658559474441e+00, -7.382517016613830e-03,  2.936493567999999e-06,  2.050624000000000e-04,  1.003905684941415e-02
Ga2Pt1      ,  1.900000000000000e+00,  2.473902918118412e+00,  6.079031354590802e-03,  4.967930880000000e-07,  6.272640000000000e-05,  6.134574547950494e-03
Mo0.5Rh0.5  ,  1.940000000000000e+00,  1.516465255284829e+00,  6.367707114979007e-03,  5.601816576000001e-06,  3.154176000000001e-04,  1.087336244541485e-02
Pd2Sc1Sn1   ,  2.122500000000000e+00,  4.973616789436893e+00, -8.928168076214273e-03,  4.654843749999999e-07,  6.006250000000000e-05,  5.173340499865627e-03
Be2Nb1      ,  2.150000000000000e+00,  2.248087935732819e+00, -3.692599618608895e-03,  1.587001969700000e-05,  6.315169000000000e-04,  1.217145881107779e-02
In1Te1      ,  2.206000000000000e+00,  2.268402625051446e+00,  7.623069576135118e-03,  1.672841510000000e-07,  3.036010000000000e-05,  5.029370998613953e-03
C2Cl2Y2     ,  2.300000000000000e+00,  5.621862962267044e+00, -3.291698240198903e-03,  3.489136640000000e-07,  4.956160000000000e-05,  9.988660385546891e-03
Be2Nb3      ,  2.300000000000000e+00,  2.374925170064617e+00, -4.246819577965559e-03,  7.278825672000002e-06,  3.755844000000001e-04,  8.692781690140846e-03
Pb1Pd2Sc1   ,  2.400000000000000e+00,  4.743353862509265e+00, -8.605148437473502e-03,  2.314912500000000e-08,  8.122500000000001e-06,  2.369340389471136e-03
As1Pt1Sr1   ,  2.425000000000000e+00,  4.224062296964704e+00, -3.782194714980261e-03,  5.615156250000001e-07,  6.806250000000001e-05,  6.117255554468044e-03
Bi1Nb3      ,  2.516666667000000e+00,  2.068595383777357e+00,  5.957325545420432e-03,  2.905841483000000e-06,  2.036329000000000e-04,  9.536281521775629e-03
Re1         ,  2.581333333000000e+00,  2.136096048259216e+00,  8.106880313827959e-03,  2.797260929000000e-06,  1.985281000000000e-04,  1.083254597789545e-02
Hf1In1Pd2   ,  2.630000000000000e+00,  2.913239551060018e+00,  2.889498943698738e-03,  3.763670480000000e-07,  5.212840000000000e-05,  5.239579785701187e-03
Nb3Rh1      ,  2.742333333000000e+00,  1.726880212140368e+00,  5.049310299968766e-03,  5.159780352000000e-06,  2.985984000000000e-04,  1.038984920926811e-02
Ga1Ni2Zr1   ,  2.870000000000000e+00,  4.303069536971217e+00,  6.888714849522265e-05,  1.381884130000000e-07,  2.672890000000000e-05,  6.845503836846669e-03
N1Ni3Zn1    ,  3.000000000000000e+00,  6.988578919636885e+00, -7.928753906229141e-04,  1.204550144000000e-06,  1.132096000000000e-04,  1.807369117322815e-02
B1Hf1       ,  3.100000000000000e+00,  2.961285539155809e+00, -9.051793634598614e-03,  1.735386246900000e-05,  6.702921000000000e-04,  1.163048294195835e-02
C2Y1        ,  3.150000000000000e+00,  4.587219357963315e+00, -1.239348278733760e-02,  1.152785997900000e-05,  5.103080999999999e-04,  1.307862622933938e-02
Pb1Pd2Y1    ,  3.215000000000000e+00,  2.897018036692582e+00,  5.614357244850870e-04,  2.683361250000000e-07,  4.160250000000000e-05,  3.414986537072306e-03
In1Sb1      ,  3.320000000000000e+00,  3.707737920559491e+00,  4.670467985447391e-03,  2.337448960000000e-07,  3.794560000000000e-05,  8.129655569664995e-03
Bi2K1       ,  3.575000000000000e+00,  3.841382525873812e+00, -1.212813287575977e-03,  1.303238430000000e-07,  2.570490000000000e-05,  4.632798104764412e-03
Al1Hf1Pd2   ,  3.621666666500000e+00,  4.006694194335985e+00,  7.251320221384453e-04,  6.942653100000000e-08,  1.689210000000000e-05,  5.853949164166903e-03
Hg0.5In0.5  ,  3.810000000000000e+00,  3.647619978475255e+00,  1.382364445049077e-03,  1.331205300000000e-08,  5.616900000000000e-06,  4.575783012944998e-03
C1W2        ,  3.835000000000000e+00,  4.419430867090573e+00, -7.004014587884392e-03,  6.902411264000002e-06,  3.625216000000001e-04,  1.319626055851144e-02
C1Ga1Mo2    ,  3.900000000000000e+00,  4.579932615312796e+00, -3.364221586401454e-03,  5.611284433000001e-06,  3.157729000000001e-04,  1.480010361799499e-02
Ba1Ge3      ,  4.000000000000000e+00,  5.666089383999106e+00, -4.234698325585306e-03,  9.644302719999999e-07,  9.761439999999999e-05,  1.144354859483269e-02
Bi2Rb1      ,  4.250000000000000e+00,  3.755490001443528e+00, -4.551197652151525e-03,  2.192562270000000e-07,  3.636090000000000e-05,  2.920774005111355e-03
Ba1Sn3      ,  4.300000000000000e+00,  3.462567083269148e+00, -4.134317741006366e-03,  6.676276239999998e-07,  7.638759999999999e-05,  3.876424292258898e-03
Rh1Se2      ,  4.350000000000000e+00,  2.963307497700292e+00,  4.304657680464959e-03,  2.851206632000000e-06,  2.010724000000000e-04,  1.129013056073654e-02
