# c0 + a0 * (IP_wtd_mean / w_log) + a1 * ((L_avg-4.704793e+00) * (at_mass_range-8.652184e+01)) + a2 * (w_log / lambda) + a3 * ((PE_range-1.026910e+00) * (lambda3-1.967418e+00)) + a4 * (w_log^3)
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 2.2516589812237; Max AE: 7.14225805969074
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# all , -2.633615342521977e-03, -1.577586118793190e-02, -1.818769040052660e+02, -9.215822561943459e-01,  2.159596124274842e+05,  8.825049064177140e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         20|1|div; (IP_wtd_mean / w_log); $\left(\frac{ IP_{wtd, mean} }{ w_{log} } \right)$; (IP_wtd_mean ./ w_log); (newdata$IP_wtd_mean / newdata$w_log); IP_wtd_mean,w_log
# 1;  1; AA * g * mol^-1;                                  4|9|mult:-4.7047925913571e+00,-8.6521842241789e+01; ((L_avg-4.704793e+00) * (at_mass_range-8.652184e+01)); $\left(\left(L_{avg}-4.705e+00\right) * \left(at_{mass, range}-8.652e+01\right)\right)$; ((L_avg-4.704793e+00) .* (at_mass_range-8.652184e+01)); ((newdata$L_avg-4.704793e+00) * (newdata$at_mass_range-8.652184e+01)); L_avg,at_mass_range
# 2;  1; eV;                                               1|0|div; (w_log / lambda); $\left(\frac{ w_{log} }{ lambda } \right)$; (w_log ./ lambda); (newdata$w_log / newdata$lambda); w_log,lambda
# 3;  1; Unitless;                                         27|3|mult:-1.0269100627245e+00,-1.9674184134794e+00; ((PE_range-1.026910e+00) * (lambda3-1.967418e+00)); $\left(\left(PE_{range}-1.027e+00\right) * \left(lambda3-1.967e+00\right)\right)$; ((PE_range-1.026910e+00) .* (lambda3-1.967418e+00)); ((newdata$PE_range-1.026910e+00) * (newdata$lambda3-1.967418e+00)); PE_range,lambda3
# 4;  1; eV^3;                                             1|cb; (w_log^3); $\left(w_{log}^3\right)$; (w_log).^3; (newdata$w_log)^3; w_log
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
C8Cs1       ,  6.750000000000000e-02,  1.969650392781452e+00,  3.988388082505730e+02,  1.955159302983945e+01,  5.850279329608938e-02, -1.376602452053003e+00,  1.794357303199999e-05
Se2Ta1      ,  1.250000000000000e-01,  9.473882996623008e-01,  1.976471861471861e+03,  3.028120916666574e+01,  1.003693243536824e-03,  2.206454585333450e+00,  9.861112800000000e-08
Ti1         ,  1.620000000000000e-01, -4.771342054527119e-01,  3.380198019801981e+02,  6.602417680527769e+01,  4.070939137444579e-02,  1.894904164028388e+00,  8.242407999999999e-06
B1Mo1       ,  2.500000000000000e-01,  2.858895275861305e+00,  2.644329896907216e+02,  9.331316997751966e-01,  5.001718803712616e-02,  1.605673758121580e+00,  2.464217100000000e-05
Al1Hf1Ni2   ,  3.700000000000000e-01,  3.822422556345966e+00,  6.407664233576643e+02, -2.895579086375286e+01,  1.857942024071876e-02,  7.346574055935635e-01,  1.316532736000000e-06
Pt1Te1      ,  5.900000000000000e-01,  3.000580399935915e+00,  1.172898172323760e+03,  5.938396333691450e-01,  9.401080019636722e-03,  1.208098922634962e+00,  4.494550960000001e-07
Sb1V3       ,  6.500000000000000e-01,  1.520603520611284e+00,  3.497819767441861e+02, -2.617863492161252e+00,  4.013221854948473e-02,  1.111488056897689e+00,  8.792838143999999e-06
Al1Ni2Zr1   ,  6.899999999999999e-01,  4.407666747727122e+00,  8.138856476079346e+02,  9.435983364889939e+00,  9.591494124230554e-03,  5.604692006307629e-01,  6.294227929999998e-07
Rh1Te2      ,  7.550000000000000e-01,  6.987897183364697e-01,  7.024813895781638e+02, -1.078891702686225e+02,  3.766355140186916e-02,  1.638210667090227e+00,  1.767172329000000e-06
Zr1         ,  9.966666670000000e-01,  1.787971089667801e+00,  5.203137254901961e+02,  7.591362337351423e+01,  1.849970980847359e-02,  1.684182219157321e+00,  2.072671874999999e-06
Be2Ta3      ,  1.000000000000000e+00, -2.076787981943200e+00,  5.359848005066499e+02,  5.940597087160588e+01,  4.241203330647327e-02,  1.833265918211300e+00,  3.936827538999999e-06
C1Si1       ,  1.075000000000000e+00,  7.287192597193394e+00,  2.421052631578947e+02,  1.303546850472282e+02,  6.680553241126480e-02,  6.600857639744548e-01,  6.443297272900001e-05
Nb3Sb1      ,  1.100000000000000e+00,  3.689384282568463e+00,  3.967782656421515e+02, -3.058189610423418e+01,  2.743149653718759e-02,  9.659772937461888e-01,  6.048464248000001e-06
Nb1O1       ,  1.380000000000000e+00,  3.553188014656570e+00,  4.072142286171063e+02,  4.931381352881155e+00,  4.880998829496684e-02, -1.490173030758973e+00,  1.566253000800000e-05
Sb1         ,  1.416666667000000e+00,  2.177805064300134e+00,  9.350649350649352e+02,  1.421374414253799e+02,  8.372598767669446e-03,  6.400816819828138e-01,  7.888890240000000e-07
Sb1Sn1      ,  1.430000000000000e+00,  2.899212250998299e+00,  1.020689655172414e+03,  3.363018682614596e+01,  9.119496855345912e-03,  1.250276884976825e+00,  4.800486870000000e-07
S2Ta1       ,  1.488116666500000e+00,  3.824697675701502e+00,  9.603927492447131e+02,  9.230581949710208e+01,  4.647135904155747e-03,  4.135191983652737e-01,  9.791466569999998e-07
B2C2Y1      ,  1.800000000000000e+00,  4.459001896548884e+00,  2.523406623991094e+02, -1.348951088152675e-01,  7.831299040976460e-02, -5.670322973940612e-01,  4.638436885699999e-05
Re2Y1       ,  1.830000000000000e+00,  2.408198794988860e+00,  5.358961228968544e+02,  1.920027189933683e+01,  2.569548872180451e-02,  6.302829970810372e-01,  2.554497863000000e-06
