# c0 + a0 * (IP_wtd_std * at_mass_wtd_range) + a1 * (w_log / lambda) + a2 * ((EA_range-1.668140e+00) * (lambda3-4.983304e-01)) + a3 * (w_log^3)
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 2.40290275956691; Max AE: 7.76533431358932
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# all ,  2.081321597169990e-02, -1.182921680125585e+02, -6.272409548561603e-01,  1.969786966021818e+05,  4.064721063574019e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; eV * g * mol^-1;                                  24|10|mult; (IP_wtd_std * at_mass_wtd_range); $\left(IP_{wtd, std} at_{mass, wtd, range}\right)$; (IP_wtd_std .* at_mass_wtd_range); (newdata$IP_wtd_std * newdata$at_mass_wtd_range); IP_wtd_std,at_mass_wtd_range
# 1;  1; eV;                                               1|0|div; (w_log / lambda); $\left(\frac{ w_{log} }{ lambda } \right)$; (w_log ./ lambda); (newdata$w_log / newdata$lambda); w_log,lambda
# 2;  1; eV;                                               33|3|mult:-1.6681399603100e+00,-4.9833043555510e-01; ((EA_range-1.668140e+00) * (lambda3-4.983304e-01)); $\left(\left(EA_{range}-1.668e+00\right) * \left(lambda3-4.983e-01\right)\right)$; ((EA_range-1.668140e+00) .* (lambda3-4.983304e-01)); ((newdata$EA_range-1.668140e+00) * (newdata$lambda3-4.983304e-01)); EA_range,lambda3
# 3;  1; eV^3;                                             1|cb; (w_log^3); $\left(w_{log}^3\right)$; (w_log).^3; (newdata$w_log)^3; w_log
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
C8Cs1       ,  6.750000000000000e-02,  1.604501341036598e+00,  5.528073796000001e+01,  5.850279329608938e-02,  3.585050266206717e-01,  1.794357303199999e-05
Se2Ta1      ,  1.250000000000000e-01,  2.915317670370602e+00,  3.978461718000000e+01,  1.003693243536824e-03,  2.994295015412762e+00,  9.861112800000000e-08
Ti1         ,  1.620000000000000e-01,  4.791113524992416e-01,  0.000000000000000e+00,  4.070939137444579e-02,  6.274882540370637e-01,  8.242407999999999e-06
B1Mo1       ,  2.500000000000000e-01,  3.309626875487803e+00,  2.566940850000000e+01,  5.001718803712616e-02,  3.614213063289487e-01,  2.464217100000000e-05
Al1Hf1Ni2   ,  3.700000000000000e-01,  2.728878395673660e+00,  3.347726976000000e+01,  1.857942024071876e-02,  1.500879598336097e-01,  1.316532736000000e-06
Pt1Te1      ,  5.900000000000000e-01,  3.099545789015430e+00,  8.637952000000000e-01,  9.401080019636722e-03, -6.438901552409042e-02,  4.494550960000001e-07
Sb1V3       ,  6.500000000000000e-01,  1.247460094158783e+00,  2.177931369000000e+01,  4.013221854948473e-02,  4.069140968096379e-01,  8.792838143999999e-06
Al1Ni2Zr1   ,  6.899999999999999e-01,  3.417228596231694e+00,  1.136849148000000e+01,  9.591494124230554e-03, -2.016903014553944e-01,  6.294227929999998e-07
Rh1Te2      ,  7.550000000000000e-01, -1.189028352782308e-01,  8.024041830000000e+00,  3.766355140186916e-02,  3.880839798481246e-01,  1.767172329000000e-06
Zr1         ,  9.966666670000000e-01,  2.105742189480460e+00,  0.000000000000000e+00,  1.849970980847359e-02,  2.851859341814592e-01,  2.072671874999999e-06
Be2Ta3      ,  1.000000000000000e+00,  6.518047497063638e-01,  5.793542820000000e+01,  4.241203330647327e-02,  6.013616907873954e-01,  3.936827538999999e-06
C1Si1       ,  1.075000000000000e+00,  8.840334313589324e+00,  1.249011960000000e+01,  6.680553241126480e-02,  4.363522930278234e-01,  6.443297272900001e-05
Nb3Sb1      ,  1.100000000000000e+00,  2.002607066117140e+00,  8.812971450000001e+00,  2.743149653718759e-02,  3.061465947248537e-01,  6.048464248000001e-06
Nb1O1       ,  1.380000000000000e+00,  3.869904819728893e+00,  1.318762782500000e+02,  4.880998829496684e-02,  4.000553743386860e-01,  1.566253000800000e-05
Sb1         ,  1.416666667000000e+00,  4.114663431273181e+00,  0.000000000000000e+00,  8.372598767669446e-03, -1.410878689064093e+00,  7.888890240000000e-07
Sb1Sn1      ,  1.430000000000000e+00,  3.230961846735330e+00,  9.882000000000000e-01,  9.119496855345912e-03, -2.070637315122225e-01,  4.800486870000000e-07
S2Ta1       ,  1.488116666500000e+00,  4.807086468225267e+00,  7.704799868000002e+01,  4.647135904155747e-03,  8.041606328227876e-01,  9.791466569999998e-07
B2C2Y1      ,  1.800000000000000e+00,  4.769832733198244e+00,  4.824280736000000e+01,  7.831299040976460e-02,  2.740500261640667e-01,  4.638436885699999e-05
Re2Y1       ,  1.830000000000000e+00,  1.904266250228528e+00,  3.389975550000000e+01,  2.569548872180451e-02,  5.255146907821100e-01,  2.554497863000000e-06
S1Y1        ,  1.900000000000000e+00,  3.464501487115400e+00,  5.887182284999999e+01,  2.040467369620975e-02, -1.555203522553461e-02,  2.936493567999999e-06
Ga2Pt1      ,  1.900000000000000e+00,  4.575583970981160e+00,  7.774053480000001e+01,  1.021408305390766e-02, -5.134774102699609e-03,  4.967930880000000e-07
Mo0.5Rh0.5  ,  1.940000000000000e+00,  1.531773830735846e+00,  6.381762999999999e-01,  2.902909447531873e-02,  3.439726617751060e-01,  5.601816576000001e-06
Pd2Sc1Sn1   ,  2.122500000000000e+00,  3.033507068788963e+00,  1.770203079000000e+01,  1.160700913583945e-02,  1.886394925189489e-01,  4.654843749999999e-07
Be2Nb1      ,  2.150000000000000e+00,  1.799717796720032e+00,  4.506795081000000e+01,  5.192148760330578e-02,  2.983904653374836e-01,  1.587001969700000e-05
In1Te1      ,  2.206000000000000e+00,  3.596635840301119e+00,  1.030229200000000e+01,  6.044317683194383e-03,  7.413782427464325e-04,  1.672841510000000e-07
C2Cl2Y2     ,  2.300000000000000e+00,  2.845129343338666e+00,  8.301741580000001e+01,  4.961240310077520e-03,  3.872999351104710e+00,  3.489136640000000e-07
Be2Nb3      ,  2.300000000000000e+00,  1.254187698357945e+00,  5.058214212000000e+01,  4.310498220640570e-02,  3.158311144444578e-01,  7.278825672000002e-06
Pb1Pd2Sc1   ,  2.400000000000000e+00,  5.051676443783137e+00,  6.310169400000000e+01,  3.420957868203097e-03, -1.175287306666498e-01,  2.314912500000000e-08
As1Pt1Sr1   ,  2.425000000000000e+00,  4.754959249770911e+00,  8.979094835999999e+01,  1.111710012127746e-02, -4.122665285259754e-02,  5.615156250000001e-07
Bi1Nb3      ,  2.516666667000000e+00,  2.114135943192270e+00,  9.989630099999999e+00,  2.136867325546571e-02,  3.238685683238013e-01,  2.905841483000000e-06
Re1         ,  2.581333333000000e+00,  2.403654907613011e+00,  0.000000000000000e+00,  1.831773270930837e-02,  7.209773565146443e-02,  2.797260929000000e-06
Hf1In1Pd2   ,  2.630000000000000e+00,  3.464128416858661e+00,  2.805559750000000e+01,  9.953129307968017e-03,  1.295816261340249e-01,  3.763670480000000e-07
Nb3Rh1      ,  2.742333333000000e+00,  1.455017051634726e+00,  1.136534070000000e+00,  2.873295643498503e-02,  3.999133625460642e-01,  5.159780352000000e-06
Ga1Ni2Zr1   ,  2.870000000000000e+00,  4.715347951996809e+00,  7.609652479999999e+00,  3.906309029089536e-03, -1.478078131233225e+00,  1.381884130000000e-07
N1Ni3Zn1    ,  3.000000000000000e+00,  5.798713599595014e+00,  3.961013247000000e+01,  6.265088618029795e-03, -2.253389995300652e+00,  1.204550144000000e-06
B1Hf1       ,  3.100000000000000e+00,  1.585162876533646e+00,  6.174631875000001e+01,  5.771288452964779e-02,  5.676552667225856e-01,  1.735386246900000e-05
Pt0.25V0.75 ,  3.102500000000000e+00,  4.579667343258088e+00,  5.179396788000000e+01,  2.150569886022796e-02, -3.271781949284335e-02,  9.952248951000003e-06
C2Y1        ,  3.150000000000000e+00,  3.276165378952953e+00,  8.124565388000001e+01,  3.900880676912451e-02,  2.165763149056580e-01,  1.152785997900000e-05
Pb1Pd2Y1    ,  3.215000000000000e+00,  3.105244779984840e+00,  3.480015872000000e+01,  1.207865168539326e-02,  4.907621323429587e-01,  2.683361250000000e-07
In1Sb1      ,  3.320000000000000e+00,  4.671398406375977e+00,  4.953117000000001e+00,  4.672330097087379e-03, -1.610616036835210e+00,  2.337448960000000e-07
Bi2K1       ,  3.575000000000000e+00,  5.817605800425339e+00,  1.049267970400000e+02,  5.556164383561644e-03, -3.198138726773980e-01,  1.303238430000000e-07
Al1Hf1Pd2   ,  3.621666666500000e+00,  6.217523117588930e+00,  3.919731631000000e+01,  2.886438654399888e-03, -2.654079536633304e+00,  6.942653100000000e-08
