# c0 + a0 * ((lambda-1.038743e+00) * (EA_range-1.850499e+00)) + a1 * (w_log^3)
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 2.92237890262143; Max AE: 9.45004424535573
# Coefficients
# Task   a0                      a1                      c0
# all , -3.515081424306886e+00,  1.451018174138045e+05,  3.840817012989953e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; eV;                                               0|33|mult:-1.0387431351240e+00,-1.8504988649529e+00; ((lambda-1.038743e+00) * (EA_range-1.850499e+00)); $\left(\left(lambda-1.039e+00\right) * \left(EA_{range}-1.850e+00\right)\right)$; ((lambda-1.038743e+00) .* (EA_range-1.850499e+00)); ((newdata$lambda-1.038743e+00) * (newdata$EA_range-1.850499e+00)); lambda,EA_range
# 1;  1; eV^3;                                             1|cb; (w_log^3); $\left(w_{log}^3\right)$; (w_log).^3; (newdata$w_log)^3; w_log
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
C8Cs1       ,  6.750000000000000e-02,  4.242539736428191e+00,  6.264214305751034e-01,  1.794357303199999e-05
Se2Ta1      ,  1.250000000000000e-01,  5.753202390491818e+00, -5.399808694292504e-01,  9.861112800000000e-08
Ti1         ,  1.620000000000000e-01,  1.507749918741861e+00,  1.003975455735010e+00,  8.242407999999999e-06
B1Mo1       ,  2.500000000000000e-01,  5.197487934516414e+00,  6.312664225218699e-01,  2.464217100000000e-05
Al1Hf1Ni2   ,  3.700000000000000e-01,  2.936123440680386e+00,  3.117210478855389e-01,  1.316532736000000e-06
Pt1Te1      ,  5.900000000000000e-01,  2.572948114614981e+00,  3.792474451465460e-01,  4.494550960000001e-07
Sb1V3       ,  6.500000000000000e-01,  2.710038449457308e+00,  6.846599176367631e-01,  8.792838143999999e-06
Al1Ni2Zr1   ,  6.899999999999999e-01,  3.360086293104874e+00,  1.627447680486811e-01,  6.294227929999998e-07
Rh1Te2      ,  7.550000000000000e-01,  1.532685959784303e+00,  7.295850821813102e-01,  1.767172329000000e-06
Zr1         ,  9.966666670000000e-01,  1.867908251918855e+00,  6.468291747991023e-01,  2.072671874999999e-06
Be2Ta3      ,  1.000000000000000e+00,  8.313935220480648e-01,  1.018657575592733e+00,  3.936827538999999e-06
C1Si1       ,  1.075000000000000e+00,  1.052504424535572e+01,  7.581941611812725e-01,  6.443297272900001e-05
Nb3Sb1      ,  1.100000000000000e+00,  2.515215878440757e+00,  6.267975115059702e-01,  6.048464248000001e-06
Nb1O1       ,  1.380000000000000e+00,  3.741579061918556e+00,  6.747779735993302e-01,  1.566253000800000e-05
Sb1         ,  1.416666667000000e+00,  4.377157721709744e+00, -1.200175548373746e-01,  7.888890240000000e-07
Sb1Sn1      ,  1.430000000000000e+00,  2.821022464414436e+00,  3.099360595099583e-01,  4.800486870000000e-07
S2Ta1       ,  1.488116666500000e+00,  4.351495603483978e+00, -1.048631842493823e-01,  9.791466569999998e-07
B2C2Y1      ,  1.800000000000000e+00,  8.808951370915000e+00,  5.013601820519488e-01,  4.638436885699999e-05
Re2Y1       ,  1.830000000000000e+00,  1.194945651275485e+00,  8.581689241552228e-01,  2.554497863000000e-06
S1Y1        ,  1.900000000000000e+00,  4.171566115157259e+00,  2.712353993115272e-02,  2.936493567999999e-06
Ga2Pt1      ,  1.900000000000000e+00,  3.892076010963240e+00,  5.924921633426020e-03,  4.967930880000000e-07
Mo0.5Rh0.5  ,  1.940000000000000e+00,  2.463322622414183e+00,  6.231230211129579e-01,  5.601816576000001e-06
Pd2Sc1Sn1   ,  2.122500000000000e+00,  2.444344053364035e+00,  4.164954980252915e-01,  4.654843749999999e-07
Be2Nb1      ,  2.150000000000000e+00,  4.276494246991295e+00,  5.311659222216712e-01,  1.587001969700000e-05
In1Te1      ,  2.206000000000000e+00,  3.784868888783876e+00,  2.282204844131619e-02,  1.672841510000000e-07
C2Cl2Y2     ,  2.300000000000000e+00,  1.940626409937190e+00,  5.549853258959260e-01,  3.489136640000000e-07
Be2Nb3      ,  2.300000000000000e+00,  2.914116765503893e+00,  5.641038831760506e-01,  7.278825672000002e-06
Pb1Pd2Sc1   ,  2.400000000000000e+00,  2.648940429182690e+00,  3.400306905129467e-01,  2.314912500000000e-08
As1Pt1Sr1   ,  2.425000000000000e+00,  4.211651258988981e+00, -8.231880670085351e-02,  5.615156250000001e-07
Bi1Nb3      ,  2.516666667000000e+00,  1.918709528834087e+00,  6.667698643475204e-01,  2.905841483000000e-06
Re1         ,  2.581333333000000e+00,  2.493419775404154e+00,  4.987892656028712e-01,  2.797260929000000e-06
Hf1In1Pd2   ,  2.630000000000000e+00,  2.470734455138492e+00,  4.053089896237198e-01,  3.763670480000000e-07
Nb3Rh1      ,  2.742333333000000e+00,  2.119845067162094e+00,  7.025912501717012e-01,  5.159780352000000e-06
Ga1Ni2Zr1   ,  2.870000000000000e+00,  4.856305643299115e+00, -2.831903789066895e-01,  1.381884130000000e-07
N1Ni3Zn1    ,  3.000000000000000e+00,  5.625722876899350e+00, -4.580614940282431e-01,  1.204550144000000e-06
B1Hf1       ,  3.100000000000000e+00,  3.094826106860215e+00,  9.285895532774094e-01,  1.735386246900000e-05
Pt0.25V0.75 ,  3.102500000000000e+00,  5.251374717981939e+00,  9.539382194924667e-03,  9.952248951000003e-06
C2Y1        ,  3.150000000000000e+00,  4.068303795988345e+00,  4.111502626518373e-01,  1.152785997900000e-05
Pb1Pd2Y1    ,  3.215000000000000e+00,  1.040126830298190e+00,  8.078408148587817e-01,  2.683361250000000e-07
In1Sb1      ,  3.320000000000000e+00,  4.936882197743832e+00, -3.021689250747628e-01,  2.337448960000000e-07
Bi2K1       ,  3.575000000000000e+00,  3.236030232289540e+00,  1.774345831249264e-01,  1.303238430000000e-07
Al1Hf1Pd2   ,  3.621666666500000e+00,  5.602104380325580e+00, -4.981999675458729e-01,  6.942653100000000e-08
Hg0.5In0.5  ,  3.810000000000000e+00,  8.697489113015779e+00, -1.381117507939176e+00,  1.331205300000000e-08
C1W2        ,  3.835000000000000e+00,  3.137398152824963e+00,  4.850446044632087e-01,  6.902411264000002e-06
Ba1Ge3      ,  4.000000000000000e+00,  4.190565516435541e+00, -5.968792550826011e-02,  9.644302719999999e-07
Bi2Rb1      ,  4.250000000000000e+00,  1.169769149465235e+00,  7.689330670553871e-01,  2.192562270000000e-07
Ba1Sn3      ,  4.300000000000000e+00,  2.568402345425681e+00,  3.895467796830147e-01,  6.676276239999998e-07
Rh1Se2      ,  4.350000000000000e+00,  3.429176169166616e+00,  2.348042643454769e-01,  2.851206632000000e-06
Al1Au2Sc1   ,  4.400000000000000e+00,  3.863573886367247e+00, -1.467350030578947e-03,  1.212873750000000e-07
B2Nb1       ,  4.597500000000000e+00,  6.652370437381605e+00,  3.817602993050949e-01,  2.862453437900000e-05
Pb3Y1       ,  4.720000000000000e+00,  3.775401814829963e+00,  2.811851762975904e-02,  2.303463970000000e-07
Bi2Cs1      ,  4.750000000000000e+00,  1.387238855503030e+00,  7.067538927160879e-01,  2.117087360000000e-07
Al1Si1Sr1   ,  4.750000000000000e+00,  3.828042279396231e+00,  6.723811545047538e-02,  1.540798875000000e-06
Pd2Sn1Y1    ,  4.814444444333330e+00,  3.934065905162237e+00, -2.178967228862218e-02,  1.147912560000000e-07
Br2C2Y2     ,  5.050000000000000e+00,  5.412509241177853e+00, -3.178663844556331e-01,  3.131359847000001e-06
Ir1Mo1      ,  5.325000000000000e+00,  3.056286299521397e+00,  5.001151435606430e-01,  6.708494455999999e-06
