# c0 + a0 * ((lambda-1.176227e+01) * (lambda4w_low+3.353257e+00)) + a1 * (w_log^3)
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 2.9966452975817; Max AE: 10.2899145969827
# Coefficients
# Task   a0                      a1                      c0
# all ,  1.539556846953003e+00,  1.437365081635909e+05,  5.956766288675645e+01, 
# Feature Rung, Units, and Expressions
# 0;  1; eV;                                               0|2|mult:-1.1762269406913e+01,3.3532567683611e+00; ((lambda-1.176227e+01) * (lambda4w_low+3.353257e+00)); $\left(\left(lambda-1.176e+01\right) * \left(lambda4w_{low}+3.353e+00\right)\right)$; ((lambda-1.176227e+01) .* (lambda4w_low+3.353257e+00)); ((newdata$lambda-1.176227e+01) * (newdata$lambda4w_low+3.353257e+00)); lambda,lambda4w_low
# 1;  1; eV^3;                                             1|cb; (w_log^3); $\left(w_{log}^3\right)$; (w_log).^3; (newdata$w_log)^3; w_log
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
C8Cs1       ,  6.750000000000000e-02,  3.715688787702570e+00, -3.795320760405518e+01,  1.794357303199999e-05
Se2Ta1      ,  1.250000000000000e-01, -2.372807221771342e-01, -3.885476378902716e+01,  9.861112800000000e-08
Ti1         ,  1.620000000000000e-01,  2.569822500517196e+00, -3.779176809623516e+01,  8.242407999999999e-06
B1Mo1       ,  2.500000000000000e-01,  5.332821103010880e+00, -3.752821567531204e+01,  2.464217100000000e-05
Al1Hf1Ni2   ,  3.700000000000000e-01,  2.056334318637826e+00, -3.747868258367448e+01,  1.316532736000000e-06
Pt1Te1      ,  5.900000000000000e-01,  3.058834306914847e+00, -3.674656885706017e+01,  4.494550960000001e-07
Sb1V3       ,  6.500000000000000e-01,  2.738605470922310e+00, -3.773352661999735e+01,  8.792838143999999e-06
Al1Ni2Zr1   ,  6.899999999999999e-01,  3.456429465465515e+00, -3.650511805845059e+01,  6.294227929999998e-07
Rh1Te2      ,  7.550000000000000e-01,  7.534902989498764e-01, -3.836700144239850e+01,  1.767172329000000e-06
Zr1         ,  9.966666670000000e-01,  2.651437806312380e+00, -3.716273537515694e+01,  2.072671874999999e-06
Be2Ta3      ,  1.000000000000000e+00,  1.327215953251649e+00, -3.819690899598075e+01,  3.936827538999999e-06
C1Si1       ,  1.075000000000000e+00,  1.111464454254813e+01, -3.748766339424196e+01,  6.443297272900001e-05
Nb3Sb1      ,  1.100000000000000e+00,  3.082282542806746e+00, -3.725407450086860e+01,  6.048464248000001e-06
Nb1O1       ,  1.380000000000000e+00,  3.712228266156110e+00, -3.774249200863156e+01,  1.566253000800000e-05
Sb1         ,  1.416666667000000e+00,  4.430548781427414e+00, -3.588727910133088e+01,  7.888890240000000e-07
Sb1Sn1      ,  1.430000000000000e+00,  3.274637490349858e+00, -3.660925287037810e+01,  4.800486870000000e-07
S2Ta1       ,  1.488116666500000e+00,  6.949108872067460e+00, -3.426914260461651e+01,  9.791466569999998e-07
B2C2Y1      ,  1.800000000000000e+00,  7.852627058030783e+00, -3.792140781105243e+01,  4.638436885699999e-05
Re2Y1       ,  1.830000000000000e+00,  1.939395606462098e+00, -3.767021789290494e+01,  2.554497863000000e-06
S1Y1        ,  1.900000000000000e+00,  2.830657607607786e+00, -3.712697372882567e+01,  2.936493567999999e-06
Ga2Pt1      ,  1.900000000000000e+00,  2.870657030378105e+00, -3.687321664833608e+01,  4.967930880000000e-07
Mo0.5Rh0.5  ,  1.940000000000000e+00,  2.765476824635225e+00, -3.741815167795939e+01,  5.601816576000001e-06
Pd2Sc1Sn1   ,  2.122500000000000e+00,  2.332224740460335e+00, -3.722002559267144e+01,  4.654843749999999e-07
Be2Nb1      ,  2.150000000000000e+00,  3.600404831914341e+00, -3.783449723591428e+01,  1.587001969700000e-05
In1Te1      ,  2.206000000000000e+00,  3.511160818401517e+00, -3.642642168042185e+01,  1.672841510000000e-07
C2Cl2Y2     ,  2.300000000000000e+00,  5.765909511739120e+00, -3.497883505458837e+01,  3.489136640000000e-07
Be2Nb3      ,  2.300000000000000e+00,  2.198148237615640e+00, -3.794322226579582e+01,  7.278825672000002e-06
Pb1Pd2Sc1   ,  2.400000000000000e+00,  3.125779964765166e+00, -3.666328424838533e+01,  2.314912500000000e-08
As1Pt1Sr1   ,  2.425000000000000e+00,  2.714008991749572e+00, -3.698100807573601e+01,  5.615156250000001e-07
Bi1Nb3      ,  2.516666667000000e+00,  2.661304903629600e+00, -3.723411292322359e+01,  2.905841483000000e-06
Re1         ,  2.581333333000000e+00,  3.134249640758589e+00, -3.691678022597222e+01,  2.797260929000000e-06
Hf1In1Pd2   ,  2.630000000000000e+00,  2.609613807964676e+00, -3.703153077906418e+01,  3.763670480000000e-07
Nb3Rh1      ,  2.742333333000000e+00,  2.652161949381461e+00, -3.745048444438676e+01,  5.159780352000000e-06
