# c0 + a0 * (w_log / lambda) + a1 * ((PE_wtd_range-4.560993e-01) * (lambda3-2.086471e+00)) + a2 * (w_log^3)
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 2.5835618955177; Max AE: 8.56064291821812
# Coefficients
# Task   a0                      a1                      a2                      c0
# all , -1.078508453300524e+02, -2.151168865617916e+00,  1.875172876605715e+05,  5.285852899847025e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; eV;                                               1|0|div; (w_log / lambda); $\left(\frac{ w_{log} }{ lambda } \right)$; (w_log ./ lambda); (newdata$w_log / newdata$lambda); w_log,lambda
# 1;  1; Unitless;                                         28|3|mult:-4.5609932215158e-01,-2.0864707642861e+00; ((PE_wtd_range-4.560993e-01) * (lambda3-2.086471e+00)); $\left(\left(PE_{wtd, range}-4.561e-01\right) * \left(lambda3-2.086e+00\right)\right)$; ((PE_wtd_range-4.560993e-01) .* (lambda3-2.086471e+00)); ((newdata$PE_wtd_range-4.560993e-01) * (newdata$lambda3-2.086471e+00)); PE_wtd_range,lambda3
# 2;  1; eV^3;                                             1|cb; (w_log^3); $\left(w_{log}^3\right)$; (w_log).^3; (newdata$w_log)^3; w_log
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
C8Cs1       ,  6.750000000000000e-02,  1.875368864316276e+00,  5.850279329608938e-02,  2.164583532796934e-01,  1.794357303199999e-05
Se2Ta1      ,  1.250000000000000e-01,  3.019693724747259e+00,  1.003693243536824e-03,  1.011729639812727e+00,  9.861112800000000e-08
Ti1         ,  1.620000000000000e-01,  5.136374822457723e-01,  4.070939137444579e-02,  8.959162470927279e-01,  8.242407999999999e-06
B1Mo1       ,  2.500000000000000e-01,  2.902256620207940e+00,  5.001718803712616e-02,  7.484458159115079e-01,  2.464217100000000e-05
Al1Hf1Ni2   ,  3.700000000000000e-01,  2.603828086492779e+00,  1.857942024071876e-02,  4.300412195468359e-01,  1.316532736000000e-06
Pt1Te1      ,  5.900000000000000e-01,  3.139049513194612e+00,  9.401080019636722e-03,  5.658177651695606e-01,  4.494550960000001e-07
Sb1V3       ,  6.500000000000000e-01,  1.353526992498824e+00,  4.013221854948473e-02,  5.824002901126406e-01,  8.792838143999999e-06
Al1Ni2Zr1   ,  6.899999999999999e-01,  3.672020935294880e+00,  9.591494124230554e-03,  3.241999646598742e-01,  6.294227929999998e-07
Rh1Te2      ,  7.550000000000000e-01, -1.061198655421570e-01,  3.766355140186916e-02,  7.722788745603208e-01,  1.767172329000000e-06
Zr1         ,  9.966666670000000e-01,  1.953369524833591e+00,  1.849970980847359e-02,  8.023246661872248e-01,  2.072671874999999e-06
Be2Ta3      ,  1.000000000000000e+00, -3.995251978748799e-01,  4.241203330647327e-02,  8.597315185769503e-01,  3.936827538999999e-06
C1Si1       ,  1.075000000000000e+00,  9.635642918218121e+00,  6.680553241126480e-02,  2.452030283768145e-01,  6.443297272900001e-05
Nb3Sb1      ,  1.100000000000000e+00,  2.353129197410348e+00,  2.743149653718759e-02,  5.152571888916314e-01,  6.048464248000001e-06
Nb1O1       ,  1.380000000000000e+00,  4.906387577574220e+00,  4.880998829496684e-02, -9.054324195638558e-01,  1.566253000800000e-05
Sb1         ,  1.416666667000000e+00,  3.802426589725391e+00,  8.372598767669446e-03,  3.385902413828323e-01,  7.888890240000000e-07
Sb1Sn1      ,  1.430000000000000e+00,  3.106912425143410e+00,  9.119496855345912e-03,  5.975414009312703e-01,  4.800486870000000e-07
S2Ta1       ,  1.488116666500000e+00,  4.573914954746422e+00,  4.647135904155747e-03,  1.833177028169050e-01,  9.791466569999998e-07
B2C2Y1      ,  1.800000000000000e+00,  5.194729279578800e+00,  7.831299040976460e-02,  1.593889013749993e-01,  4.638436885699999e-05
Re2Y1       ,  1.830000000000000e+00,  2.352679282983699e+00,  2.569548872180451e-02,  2.979338153763526e-01,  2.554497863000000e-06
S1Y1        ,  1.900000000000000e+00,  4.474298032635300e+00,  2.040467369620975e-02, -3.897709491362792e-01,  2.936493567999999e-06
Ga2Pt1      ,  1.900000000000000e+00,  3.415810708262073e+00,  1.021408305390766e-02,  4.005273626403261e-01,  4.967930880000000e-07
Mo0.5Rh0.5  ,  1.940000000000000e+00,  1.622770729331880e+00,  2.902909447531873e-02,  7.357429106501069e-01,  5.601816576000001e-06
Pd2Sc1Sn1   ,  2.122500000000000e+00,  4.285625344263543e+00,  1.160700913583945e-02, -7.638257816402011e-02,  4.654843749999999e-07
Be2Nb1      ,  2.150000000000000e+00,  7.825394075383125e-01,  5.192148760330578e-02,  8.736832529694347e-01,  1.587001969700000e-05
In1Te1      ,  2.206000000000000e+00,  3.818867903015962e+00,  6.044317683194383e-03,  3.934925374982782e-01,  1.672841510000000e-07
