# c0 + a0 * ((at_mass_wtd_range-7.337816e+01) * (L_avg-5.607962e+00)) + a1 * ((lambda3-1.113360e+00) * (IP_wtd_mean-9.066215e+00)) + a2 * (w_log / lambda3) + a3 * (w_log^3)
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 2.30860972497084; Max AE: 7.99382394129861
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# all , -2.081120617067403e-02, -4.386621504702716e-01, -2.060124262178594e+01,  1.773884079339017e+05,  4.953380690461123e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; AA * g * mol^-1;                                  10|4|mult:-7.3378161831778e+01,-5.6079623315781e+00; ((at_mass_wtd_range-7.337816e+01) * (L_avg-5.607962e+00)); $\left(\left(at_{mass, wtd, range}-7.338e+01\right) * \left(L_{avg}-5.608e+00\right)\right)$; ((at_mass_wtd_range-7.337816e+01) .* (L_avg-5.607962e+00)); ((newdata$at_mass_wtd_range-7.337816e+01) * (newdata$L_avg-5.607962e+00)); at_mass_wtd_range,L_avg
# 1;  1; eV;                                               3|20|mult:-1.1133604068506e+00,-9.0662154595897e+00; ((lambda3-1.113360e+00) * (IP_wtd_mean-9.066215e+00)); $\left(\left(lambda3-1.113e+00\right) * \left(IP_{wtd, mean}-9.066e+00\right)\right)$; ((lambda3-1.113360e+00) .* (IP_wtd_mean-9.066215e+00)); ((newdata$lambda3-1.113360e+00) * (newdata$IP_wtd_mean-9.066215e+00)); lambda3,IP_wtd_mean
# 2;  1; eV;                                               1|3|div; (w_log / lambda3); $\left(\frac{ w_{log} }{ lambda3 } \right)$; (w_log ./ lambda3); (newdata$w_log / newdata$lambda3); w_log,lambda3
# 3;  1; eV^3;                                             1|cb; (w_log^3); $\left(w_{log}^3\right)$; (w_log).^3; (newdata$w_log)^3; w_log
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
C8Cs1       ,  6.750000000000000e-02,  2.390837798441804e+00,  1.655018705396854e+01, -1.408050482821101e+00,  2.921548934270728e-01,  1.794357303199999e-05
Se2Ta1      ,  1.250000000000000e-01,  2.833924594304598e+00, -2.963000759044727e+01,  6.275008785009069e+00,  4.737171084471758e-05,  9.861112800000000e-08
Ti1         ,  1.620000000000000e-01, -5.084909105731888e-01,  1.222672670207300e+02,  2.218497692010001e+00,  1.653433739870672e-01,  8.242407999999999e-06
B1Mo1       ,  2.500000000000000e-01,  4.717438700751815e+00,  4.861490785687194e+01,  1.256623541511603e+00,  1.477682425227238e-01,  2.464217100000000e-05
Al1Hf1Ni2   ,  3.700000000000000e-01,  2.585496223332032e+00,  3.303383554514937e+01,  1.855605976063601e+00,  5.339309202513762e-02,  1.316532736000000e-06
Pt1Te1      ,  5.900000000000000e-01,  3.950107019677401e+00,  3.703453658394504e+01,  4.683283866499013e-02,  1.416053536436573e-02,  4.494550960000001e-07
Sb1V3       ,  6.500000000000000e-01,  1.877942350870441e+00,  3.448209565605772e+01,  1.804851171458077e+00,  1.517312357568183e-01,  8.792838143999999e-06
Al1Ni2Zr1   ,  6.899999999999999e-01,  2.870851908308425e+00,  7.590626132722740e+01,  8.365706832665264e-01,  1.201424325688331e-02,  6.294227929999998e-07
Rh1Te2      ,  7.550000000000000e-01, -1.440794267201822e+00, -5.253307970732050e+01,  6.192334298985891e-01,  3.654776299879081e-01,  1.767172329000000e-06
Zr1         ,  9.966666670000000e-01,  9.610320237190249e-01,  1.306543909181022e+02,  1.911698018631217e+00,  3.894675749152335e-02,  2.072671874999999e-06
Be2Ta3      ,  1.000000000000000e+00, -8.937209642047655e-01, -1.900305156139654e+00,  6.402579397111361e-01,  3.060077519379845e-01,  3.936827538999999e-06
C1Si1       ,  1.075000000000000e+00,  9.068823941298605e+00,  1.799198604965965e+02, -5.740469391798908e-01,  1.855073805006709e-01,  6.443297272900001e-05
Nb3Sb1      ,  1.100000000000000e+00,  3.598870763730358e+00,  2.332554479360087e+01,  1.506895975469957e+00,  6.218005596887585e-02,  6.048464248000001e-06
Nb1O1       ,  1.380000000000000e+00,  3.357421870677476e+00,  4.945549806308239e+01, -1.098346667765516e+00,  1.857598930878313e-01,  1.566253000800000e-05
Sb1         ,  1.416666667000000e+00,  1.106931846347540e+00,  1.868180359841449e+02, -9.834904389430005e-02,  6.874437360037497e-03,  7.888890240000000e-07
Sb1Sn1      ,  1.430000000000000e+00,  2.604285658487040e+00,  9.384470807326710e+01,  5.160642859866841e-01,  1.237064539063117e-02,  4.800486870000000e-07
S2Ta1       ,  1.488116666500000e+00,  3.408874260318882e+00, -4.159554008317623e+00,  4.066440034958158e+00,  1.017788232400105e-03,  9.791466569999998e-07
B2C2Y1      ,  1.800000000000000e+00,  4.620537316360795e+00,  4.309813477418666e+01, -3.909931548606236e-04,  3.720231932077034e-01,  4.638436885699999e-05
Re2Y1       ,  1.830000000000000e+00,  3.351701590776475e+00, -2.645805115695527e+01,  1.675751587468108e+00,  9.078833765026233e-02,  2.554497863000000e-06
S1Y1        ,  1.900000000000000e+00,  2.722675660733251e+00,  7.862131478463647e+01,  5.970602518955928e-01,  4.142919137856212e-02,  2.936493567999999e-06
Ga2Pt1      ,  1.900000000000000e+00,  3.577183945803366e+00,  2.516438287215267e+01,  1.346471141173114e+00,  1.698805259432444e-02,  4.967930880000000e-07
Mo0.5Rh0.5  ,  1.940000000000000e+00,  1.255620880234933e+00,  1.152770436966444e+02,  1.583637852396391e+00,  7.755458515283843e-02,  5.601816576000001e-06
Pd2Sc1Sn1   ,  2.122500000000000e+00,  2.400887022052815e+00,  6.494281133040116e+01,  1.703316435669827e+00,  2.603466809997312e-02,  4.654843749999999e-07
Be2Nb1      ,  2.150000000000000e+00,  2.168300397149636e+00,  3.708663769485464e+01,  5.979037445427492e-01,  2.216440289292644e-01,  1.587001969700000e-05
In1Te1      ,  2.206000000000000e+00,  2.818016939384310e+00,  8.432091601316520e+01,  5.935684213910696e-01,  7.273447297208106e-03,  1.672841510000000e-07
C2Cl2Y2     ,  2.300000000000000e+00,  4.314056414381579e+00, -8.519868024085779e+00,  1.887025148084011e+00,  2.463916226848287e-03,  3.489136640000000e-07
Be2Nb3      ,  2.300000000000000e+00,  1.141107872063734e+00,  6.507974733783100e+00,  1.310426696547274e+00,  2.132482394366197e-01,  7.278825672000002e-06
Pb1Pd2Sc1   ,  2.400000000000000e+00,  3.599527442064946e+00,  3.702398166309970e+01,  1.107695401191173e+00,  4.928919788315866e-03,  2.314912500000000e-08
As1Pt1Sr1   ,  2.425000000000000e+00,  4.442481024038101e+00, -4.163145625655737e+00,  6.411995962633062e-01,  2.018694332974455e-02,  5.615156250000001e-07
Bi1Nb3      ,  2.516666667000000e+00,  3.515677385750817e+00,  9.034580110454487e+00,  1.773590077852657e+00,  4.791645680131627e-02,  2.905841483000000e-06
Re1         ,  2.581333333000000e+00,  9.660228389385883e-01,  1.683340770187201e+02,  7.808268088873794e-01,  3.095954824108457e-02,  2.797260929000000e-06
