# c0 + a0 * ((lambda4w_low-5.410006e-02) * (at_mass_range-9.570399e+01)) + a1 * (w_log / lambda) + a2 * (w_log^3)
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 2.56549834609464; Max AE: 7.6315681165903
# Coefficients
# Task   a0                      a1                      a2                      c0
# all , -3.238577642500442e-01, -1.314713143588386e+02,  2.029330738024146e+05,  5.675058836869240e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; eV * g * mol^-1;                                  2|9|mult:-5.4100059547834e-02,-9.5703993451769e+01; ((lambda4w_low-5.410006e-02) * (at_mass_range-9.570399e+01)); $\left(\left(lambda4w_{low}-5.410e-02\right) * \left(at_{mass, range}-9.570e+01\right)\right)$; ((lambda4w_low-5.410006e-02) .* (at_mass_range-9.570399e+01)); ((newdata$lambda4w_low-5.410006e-02) * (newdata$at_mass_range-9.570399e+01)); lambda4w_low,at_mass_range
# 1;  1; eV;                                               1|0|div; (w_log / lambda); $\left(\frac{ w_{log} }{ lambda } \right)$; (w_log ./ lambda); (newdata$w_log / newdata$lambda); w_log,lambda
# 2;  1; eV^3;                                             1|cb; (w_log^3); $\left(w_{log}^3\right)$; (w_log).^3; (newdata$w_log)^3; w_log
# Number of Samples Per Task
# Task, n_samples               
# all , 81                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
C8Cs1       ,  6.750000000000000e-02,  2.057759165954003e+00, -1.336373787441636e+00,  5.850279329608938e-02,  1.794357303199999e-05
Se2Ta1      ,  1.250000000000000e-01,  1.459749022015521e+00,  1.267026718884184e+01,  1.003693243536824e-03,  9.861112800000000e-08
Ti1         ,  1.620000000000000e-01,  3.566088177019681e-01,  5.060832872694998e+00,  4.070939137444579e-02,  8.242407999999999e-06
B1Mo1       ,  2.500000000000000e-01,  3.926232332141178e+00,  5.363853466687610e-01,  5.001718803712616e-02,  2.464217100000000e-05
Al1Hf1Ni2   ,  3.700000000000000e-01,  4.453196367131977e+00, -2.944596053349454e+00,  1.857942024071876e-02,  1.316532736000000e-06
Pt1Te1      ,  5.900000000000000e-01,  4.066660388206919e+00,  1.431601948247693e+00,  9.401080019636722e-03,  4.494550960000001e-07
Sb1V3       ,  6.500000000000000e-01,  1.758774596224150e+00,  1.310471567047355e+00,  4.013221854948473e-02,  8.792838143999999e-06
Al1Ni2Zr1   ,  6.899999999999999e-01,  4.046155748219628e+00,  1.530386195076895e+00,  9.591494124230554e-03,  6.294227929999998e-07
Rh1Te2      ,  7.550000000000000e-01, -1.591482094901936e-01,  3.832386590053448e+00,  3.766355140186916e-02,  1.767172329000000e-06
Zr1         ,  9.966666670000000e-01,  2.075952167315043e+00,  4.901964243565062e+00,  1.849970980847359e-02,  2.072671874999999e-06
Be2Ta3      ,  1.000000000000000e+00,  2.226233833651194e+00, -4.101270351727829e+00,  4.241203330647327e-02,  3.936827538999999e-06
C1Si1       ,  1.075000000000000e+00,  8.706568116590301e+00,  3.893872301537444e+00,  6.680553241126480e-02,  6.443297272900001e-05
Nb3Sb1      ,  1.100000000000000e+00,  2.201627626158515e+00,  3.379291369783005e+00,  2.743149653718759e-02,  6.048464248000001e-06
Nb1O1       ,  1.380000000000000e+00,  2.117585404851075e+00,  9.843996663893568e-01,  4.880998829496684e-02,  1.566253000800000e-05
Sb1         ,  1.416666667000000e+00,  3.482215054656373e+00,  3.866447034416926e+00,  8.372598767669446e-03,  7.888890240000000e-07
Sb1Sn1      ,  1.430000000000000e+00,  3.077987883818960e+00,  4.617880550980729e+00,  9.119496855345912e-03,  4.800486870000000e-07
S2Ta1       ,  1.488116666500000e+00,  2.629540323585926e+00,  8.130898744595459e+00,  4.647135904155747e-03,  9.791466569999998e-07
B2C2Y1      ,  1.800000000000000e+00,  4.492611350397705e+00,  9.246597967416872e-01,  7.831299040976460e-02,  4.638436885699999e-05
Re2Y1       ,  1.830000000000000e+00,  2.842651658673824e+00, -8.466801423193919e-02,  2.569548872180451e-02,  2.554497863000000e-06
S1Y1        ,  1.900000000000000e+00,  2.951087466785543e+00,  1.967696428741566e+00,  2.040467369620975e-02,  2.936493567999999e-06
Ga2Pt1      ,  1.900000000000000e+00,  4.925158593157935e+00, -1.519626781541871e+00,  1.021408305390766e-02,  4.967930880000000e-07
