# c0 + a0 * (ThermalCond_mean + 1.276108e+00*at_mass_wtd_std) + a1 * ((EA_mean-8.617040e-01) * (ThermalCond_std-5.240508e+01)) + a2 * (w_log / lambda) + a3 * ((EA_std-8.277626e-01) * (lambda4w_low-8.774233e-03)) + a4 * (w_log^3)
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 2.15196944262992; Max AE: 7.30314276217528
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# all ,  2.022827735562774e-02,  7.543995383349940e-02, -1.330850230738872e+02, -6.396745369065560e+01,  2.043310276397539e+05,  2.791318269974226e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; W * mK^-1;                                        37|12|add:1.2761076040617e+00,0.0000000000000e+00; (ThermalCond_mean + 1.276108e+00*at_mass_wtd_std); $\left(ThermalCond_{mean} + 1.28at_{mass, wtd, std}\right)$; (ThermalCond_mean + (1.276108e+00.*at_mass_wtd_std)); (newdata$ThermalCond_mean + (1.276108e+00*newdata$at_mass_wtd_std)); ThermalCond_mean,at_mass_wtd_std
# 1;  1; W * eV * mK^-1;                                   31|41|mult:-8.6170397960343e-01,-5.2405077405528e+01; ((EA_mean-8.617040e-01) * (ThermalCond_std-5.240508e+01)); $\left(\left(EA_{mean}-8.617e-01\right) * \left(ThermalCond_{std}-5.241e+01\right)\right)$; ((EA_mean-8.617040e-01) .* (ThermalCond_std-5.240508e+01)); ((newdata$EA_mean-8.617040e-01) * (newdata$ThermalCond_std-5.240508e+01)); EA_mean,ThermalCond_std
# 2;  1; eV;                                               1|0|div; (w_log / lambda); $\left(\frac{ w_{log} }{ lambda } \right)$; (w_log ./ lambda); (newdata$w_log / newdata$lambda); w_log,lambda
# 3;  1; eV^2;                                             35|2|mult:-8.2776257501486e-01,-8.7742333837387e-03; ((EA_std-8.277626e-01) * (lambda4w_low-8.774233e-03)); $\left(\left(EA_{std}-8.278e-01\right) * \left(lambda4w_{low}-8.774e-03\right)\right)$; ((EA_std-8.277626e-01) .* (lambda4w_low-8.774233e-03)); ((newdata$EA_std-8.277626e-01) * (newdata$lambda4w_low-8.774233e-03)); EA_std,lambda4w_low
# 4;  1; eV^3;                                             1|cb; (w_log^3); $\left(w_{log}^3\right)$; (w_log).^3; (newdata$w_log)^3; w_log
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
C8Cs1       ,  6.750000000000000e-02,  1.218978156786832e+00,  1.364839218656777e+02, -2.347836904631859e-03,  5.850279329608938e-02,  3.338897012470601e-03,  1.794357303199999e-05
Se2Ta1      ,  1.250000000000000e-01,  1.064221592306715e+00,  9.010555518549451e+01, -7.486244812807748e+00,  1.003693243536824e-03,  4.489138593370740e-02,  9.861112800000000e-08
Ti1         ,  1.620000000000000e-01,  2.195061894525637e+00,  2.190000000000000e+01,  4.101766263673272e+01,  4.070939137444579e-02,  6.253111677986724e-03,  8.242407999999999e-06
B1Mo1       ,  2.500000000000000e-01,  3.646171301807889e+00,  1.373232626511035e+02, -1.258956198950285e+00,  5.001718803712616e-02,  3.229859916218657e-03,  2.464217100000000e-05
Al1Hf1Ni2   ,  3.700000000000000e-01,  3.374458170027447e+00,  1.902384338354299e+02, -1.185127088048312e+01,  1.857942024071876e-02,  2.616369434060356e-03,  1.316532736000000e-06
Pt1Te1      ,  5.900000000000000e-01,  1.398129467419154e+00,  8.055842277624907e+01, -2.126757968717904e+01,  9.401080019636722e-03,  4.049189821081297e-03,  4.494550960000001e-07
Sb1V3       ,  6.500000000000000e-01,  5.688893381121161e-01,  6.648222251083251e+01,  3.149531189189176e+00,  4.013221854948473e-02,  4.072425314414665e-03,  8.792838143999999e-06
Al1Ni2Zr1   ,  6.899999999999999e-01,  3.967534389687566e+00,  1.452180424540945e+02, -6.762214472712214e+00,  9.591494124230554e-03,  1.614570469422338e-03,  6.294227929999998e-07
Rh1Te2      ,  7.550000000000000e-01,  8.625009472661969e-01,  9.135529622964238e+01,  1.460393096272649e+01,  3.766355140186916e-02,  3.550727563733888e-03,  1.767172329000000e-06
Zr1         ,  9.966666670000000e-01,  2.622406244759950e+00,  2.270000000000000e+01,  2.283310077701442e+01,  1.849970980847359e-02,  4.879025803462062e-03,  2.072671874999999e-06
Be2Ta3      ,  1.000000000000000e+00,  1.517302771469148e+00,  2.309876919869586e+02, -9.876368354148633e+00,  4.241203330647327e-02,  5.650301672218464e-03,  3.936827538999999e-06
C1Si1       ,  1.075000000000000e+00,  8.378142762175276e+00,  1.552565872568853e+02, -2.191517863116712e+01,  6.680553241126480e-02,  2.740588393019536e-03,  6.443297272900001e-05
Nb3Sb1      ,  1.100000000000000e+00,  9.028096856888245e-01,  5.494368840514657e+01, -4.480979415807977e+00,  2.743149653718759e-02,  3.862080223741235e-03,  6.048464248000001e-06
Nb1O1       ,  1.380000000000000e+00,  1.852113097542054e-01,  7.608410375278565e+01, -8.014313240901178e+00,  4.880998829496684e-02,  3.830390483747362e-03,  1.566253000800000e-05
Sb1         ,  1.416666667000000e+00,  1.761057489767140e+00,  2.400000000000000e+01, -1.091576907214579e+01,  8.372598767669446e-03, -4.077365258198685e-03,  7.888890240000000e-07
