# FEAT_ID     Feature Postfix Expression (RPN)
0             14|8|div
1             40|7|div
2             1|exp:8.3896880305800e-01,0.0000000000000e+00
3             1|13|div
4             1|19|div
5             13|1|mult:-1.3293131914898e+00,-1.0302066478510e-02
6             1|34|mult:-1.6270545067417e-02,-7.7238461214253e-01
7             34|1|mult:-7.7226680197220e-01,-1.6267664243917e-02
8             1|20|div
9             1|14|div
10            1|26|div
11            14|7|div
12            1|4|div
13            36|1|mult:-5.8889087874972e-01,-9.9107115353128e-03
14            7|inv
15            1|25|div
16            13|7|div
17            23|1|mult:-2.5293879727262e+00,-1.1075761284128e-02
18            1|21|mult:-1.2146063546892e-02,-4.8967608094487e+00
19            1|22|mult:-1.5800213832584e-02,-2.3229774311513e+00
20            24|1|mult:-2.5411448562018e+00,-1.4464954563726e-02
21            1|40|mult:-1.8228996140856e-02,-2.0178427752089e+01
22            1|5|mult:-2.0062232536589e-02,-1.1916885675552e+01
23            2|3|div
24            1|0|mult
25            1|5|div
26            1|8|div
27            1|sq
28            1|7|div
29            1|cb
#-----------------------------------------------------------------------
30            0|3|div
31            1|3|div
32            3|log
33            37|0|mult
34            38|0|mult:-3.6415748152338e+01,-6.1125219504335e-01
35            0|cos
36            0|nexp
37            0|inv
38            27|3|mult:-1.0242852119239e+00,-2.0710830250936e+00
39            26|0|div
40            3|nexp
41            3|33|mult:-4.7189054208893e-01,-1.6678284453967e+00
42            25|0|div
43            37|0|mult:-3.4138874544671e+01,-5.3756274049214e-01
44            19|0|div
45            20|0|div
46            36|3|mult:-7.8623731353227e-01,-3.6366547139203e-01
47            3|36|mult:-3.6634640428907e-01,-7.8622884038608e-01
48            3|34|mult:-2.7210031350537e-01,-7.4132042896446e-01
49            34|3|mult:-7.4131721901791e-01,-2.7328394084406e-01
50            1|3|mult:-5.0748497602847e-03,-1.0078024945878e+00
51            28|3|mult:-4.5449609048414e-01,-2.2657643755275e+00
52            2|0|mult:-1.9413340217539e+00,-3.0393799349330e-01
53            2|28|mult:-4.2236756971089e-02,-4.4573307561753e-01
54            0|33|mult:-1.0341685522499e+00,-1.8343266415945e+00
55            0|3|mult:-9.1491430285125e+00,1.0007871103033e+02
56            3|0|mult:1.0065491592048e+02,-9.1757063157830e+00
57            28|2|mult:-4.5360341097782e-01,-4.2337813986146e-02
58            3|35|mult:-1.4461219012980e+00,-8.2670610984271e-01
59            35|3|mult:-8.2470079648689e-01,-1.5734516388796e+00
#-----------------------------------------------------------------------
60            3|cos
61            29|0|sub
62            0|sqrt
63            27|0|sub
64            30|0|div
65            29|0|div
66            16|3|div
67            0|8|mult:-3.0975730086126e+00,-1.8852256178174e+02
68            22|8|div
69            18|0|div
70            1|0|div
71            0|cbrt
72            17|0|div
73            15|0|div
74            27|0|div
75            18|3|div
76            17|3|div
77            15|3|div
78            22|0|div
79            23|0|div
80            24|0|div
81            28|3|div
82            29|3|div
83            21|0|div
84            30|3|div
85            27|3|div
86            23|3|div
87            22|3|div
88            24|3|div
89            21|3|div
#-----------------------------------------------------------------------
90            14|37|mult:-2.0480091693694e+00,-9.8108358370177e+01
91            31|8|div
92            37|36|mult:1.3363923059398e+02,-1.0641789249662e+01
93            37|19|mult
94            36|37|mult:-1.2131416928605e+01,1.6557948964730e+02
95            37|3|mult:-6.2580541913573e+01,1.8629669347736e+01
96            3|37|mult:1.8183164066282e+01,-6.1802675673912e+01
97            37|7|mult
98            37|sq
99            40|37|sub
100           37|40|mult:-1.1805639696098e+02,5.4035611068053e+01
101           41|38|abd
102           37|26|mult
103           40|37|mult:5.6088360360629e+01,-1.2042680397104e+02
104           9|4|mult:-6.1746447202097e+01,-5.0122220877635e+00
105           37|34|mult:2.0816437359624e+03,-8.0203750831587e+01
106           37|25|mult
107           40|37|abd
108           22|7|div
109           42|37|sub
110           37|31|mult:2.5573848551119e+02,-4.0956912821078e+00
111           41|37|sub
112           37|4|add:4.7248781934477e+01,0.0000000000000e+00
113           31|7|div
114           26|37|mult:-1.7063040462508e+00,-6.1912248981216e+01
115           34|37|mult:3.0120545185170e-01,-1.2255429464348e+02
116           37|5|mult
117           37|4|mult
118           42|37|abd
119           41|37|abd
#-----------------------------------------------------------------------
120           39|30|mult
121           39|21|mult
122           14|32|mult:-1.5594333903802e+00,-9.6109547027150e-01
123           42|27|mult
124           42|39|mult:-9.4852983746275e+01,-1.0834189924381e+02
125           5|1|mult
126           39|cbrt
127           39|29|mult
128           40|31|mult:-4.7536266379200e+01,-8.4552314253119e-01
129           25|14|mult:-1.8504100929561e+00,-1.1052591073825e+00
130           42|40|mult:-1.0510596604075e+02,-7.0222345343895e+01
131           41|40|mult:-1.1581122556740e+02,-6.6171328130108e+01
132           40|41|mult:-6.6233276765996e+01,-1.1574402079411e+02
133           40|42|mult:-7.1651426887137e+01,-1.0360123110375e+02
134           41|27|mult
135           42|41|mult:-7.0918594068036e+01,-1.1457699098544e+02
136           41|42|mult:-1.1445461666714e+02,-7.1037210989875e+01
137           31|4|div
138           40|1|div
139           7|1|mult
140           42|31|mult:-4.9503805250652e+01,-8.7160705430877e-01
141           39|27|mult
142           32|13|mult:-6.5822810263755e-01,-1.5164210227030e+00
143           31|41|mult:-8.6972404798051e-01,-5.2408714250559e+01
144           42|1|div
145           41|1|div
146           39|1|div
147           32|4|div
148           8|1|mult
149           32|7|div
#-----------------------------------------------------------------------
