# c0 + a0 * ((EA_std-8.252600e-01) * (lambda3-1.647329e+00)) + a1 * (w_log^3)
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 2.91800670304462; Max AE: 9.84432209226845
# Coefficients
# Task   a0                      a1                      c0
# all , -1.458702287362615e+00,  1.387422463453533e+05,  3.575309821821067e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; eV;                                               35|3|mult:-8.2525997575550e-01,-1.6473293692932e+00; ((EA_std-8.252600e-01) * (lambda3-1.647329e+00)); $\left(\left(EA_{std}-8.253e-01\right) * \left(lambda3-1.647e+00\right)\right)$; ((EA_std-8.252600e-01) .* (lambda3-1.647329e+00)); ((newdata$EA_std-8.252600e-01) * (newdata$lambda3-1.647329e+00)); EA_std,lambda3
# 1;  1; eV^3;                                             1|cb; (w_log^3); $\left(w_{log}^3\right)$; (w_log).^3; (newdata$w_log)^3; w_log
# Number of Samples Per Task
# Task, n_samples               
# all , 81                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
C8Cs1       ,  6.750000000000000e-02,  5.088319859511333e+00,  6.694454383813309e-01,  1.794357303199999e-05
Se2Ta1      ,  1.250000000000000e-01,  1.987996669311601e-01,  2.324114875032425e+00,  9.861112800000000e-08
Ti1         ,  1.620000000000000e-01,  2.882880036095301e+00,  1.258652984126205e+00,  8.242407999999999e-06
B1Mo1       ,  2.500000000000000e-01,  5.744348582043916e+00,  8.568378962394610e-01,  2.464217100000000e-05
Al1Hf1Ni2   ,  3.700000000000000e-01,  3.023918903537330e+00,  5.032210025465567e-01,  1.316532736000000e-06
Pt1Te1      ,  5.900000000000000e-01,  2.432477755183201e+00,  8.262072985895561e-01,  4.494550960000001e-07
Sb1V3       ,  6.500000000000000e-01,  3.576668756398480e+00,  8.353858027298280e-01,  8.792838143999999e-06
Al1Ni2Zr1   ,  6.899999999999999e-01,  3.002316439547744e+00,  4.526769582770670e-01,  6.294227929999998e-07
Rh1Te2      ,  7.550000000000000e-01,  2.859157740186741e+00,  6.590334083709848e-01,  1.767172329000000e-06
Zr1         ,  9.966666670000000e-01,  2.273898514409775e+00,  1.089309637101177e+00,  2.072671874999999e-06
Be2Ta3      ,  1.000000000000000e+00,  2.575320104245069e+00,  1.059979152159060e+00,  3.936827538999999e-06
C1Si1       ,  1.075000000000000e+00,  1.091932209226845e+01,  1.093823680476846e+00,  6.443297272900001e-05
Nb3Sb1      ,  1.100000000000000e+00,  2.958992827809640e+00,  9.978009380859271e-01,  6.048464248000001e-06
Nb1O1       ,  1.380000000000000e+00,  4.554079419748643e+00,  8.187311483504686e-01,  1.566253000800000e-05
Sb1         ,  1.416666667000000e+00,  3.319743968349194e+00,  2.502348093515306e-01,  7.888890240000000e-07
Sb1Sn1      ,  1.430000000000000e+00,  2.516973269989476e+00,  7.711920347057513e-01,  4.800486870000000e-07
S2Ta1       ,  1.488116666500000e+00,  3.093222405206021e+00,  4.236206583497032e-01,  9.791466569999998e-07
B2C2Y1      ,  1.800000000000000e+00,  9.179783091475072e+00,  5.696832507064173e-01,  4.638436885699999e-05
Re2Y1       ,  1.830000000000000e+00,  2.299305887099758e+00,  1.117719990325230e+00,  2.554497863000000e-06
S1Y1        ,  1.900000000000000e+00,  4.096157663967583e+00, -7.776235708014430e-02,  2.936493567999999e-06
Ga2Pt1      ,  1.900000000000000e+00,  3.797126333974886e+00, -1.048125614667310e-01,  4.967930880000000e-07
Mo0.5Rh0.5  ,  1.940000000000000e+00,  3.049595242231119e+00,  8.932070692194183e-01,  5.601816576000001e-06
Pd2Sc1Sn1   ,  2.122500000000000e+00,  2.655012034793739e+00,  6.751755607610570e-01,  4.654843749999999e-07
Be2Nb1      ,  2.150000000000000e+00,  4.929647979538459e+00,  5.809986259236678e-01,  1.587001969700000e-05
In1Te1      ,  2.206000000000000e+00,  3.611809965756940e+00, -9.111362313819399e-03,  1.672841510000000e-07
C2Cl2Y2     ,  2.300000000000000e+00,  2.625421145385306e+00,  6.843738784866554e-01,  3.489136640000000e-07
Be2Nb3      ,  2.300000000000000e+00,  3.725255215753773e+00,  5.895207253781666e-01,  7.278825672000002e-06
Pb1Pd2Sc1   ,  2.400000000000000e+00,  2.417371156228875e+00,  7.960160460809460e-01,  2.314912500000000e-08
As1Pt1Sr1   ,  2.425000000000000e+00,  3.746700706171179e+00, -6.408774839766754e-02,  5.615156250000001e-07
Bi1Nb3      ,  2.516666667000000e+00,  2.406076250028512e+00,  1.077942058698239e+00,  2.905841483000000e-06
Re1         ,  2.581333333000000e+00,  2.528204139830102e+00,  9.838909277981692e-01,  2.797260929000000e-06
Hf1In1Pd2   ,  2.630000000000000e+00,  2.524150773692417e+00,  7.564100415674833e-01,  3.763670480000000e-07
Nb3Rh1      ,  2.742333333000000e+00,  2.824423779031939e+00,  1.005527702384144e+00,  5.159780352000000e-06
Ga1Ni2Zr1   ,  2.870000000000000e+00,  4.032928137883795e+00, -3.005724670638131e-01,  1.381884130000000e-07
N1Ni3Zn1    ,  3.000000000000000e+00,  5.071946234459495e+00, -9.114364400072738e-01,  1.204550144000000e-06
B1Hf1       ,  3.100000000000000e+00,  4.423205339386286e+00,  1.069319187105936e+00,  1.735386246900000e-05
Pt0.25V0.75 ,  3.102500000000000e+00,  4.933692378242354e+00,  1.536627413477646e-02,  9.952248951000003e-06
C2Y1        ,  3.150000000000000e+00,  4.438634962343864e+00,  5.046101969506140e-01,  1.152785997900000e-05
Pb1Pd2Y1    ,  3.215000000000000e+00,  2.047433116667278e+00,  1.072944270720013e+00,  2.683361250000000e-07
In1Sb1      ,  3.320000000000000e+00,  4.021502439597053e+00, -2.836509748546992e-01,  2.337448960000000e-07
Bi2K1       ,  3.575000000000000e+00,  2.813033393791244e+00,  5.349671811174821e-01,  1.303238430000000e-07
Al1Hf1Pd2   ,  3.621666666500000e+00,  4.643222683326569e+00, -7.254944876737019e-01,  6.942653100000000e-08
Hg0.5In0.5  ,  3.810000000000000e+00,  9.030273397021453e+00, -3.738334188070085e+00,  1.331205300000000e-08
C1W2        ,  3.835000000000000e+00,  3.379931637074401e+00,  7.904520605079887e-01,  6.902411264000002e-06
C1Ga1Mo2    ,  3.900000000000000e+00,  3.681019785375627e+00,  4.612402745861459e-01,  5.611284433000001e-06
Ba1Ge3      ,  4.000000000000000e+00,  3.688406432392177e+00,  1.419797033915348e-02,  9.644302719999999e-07
Bi2Rb1      ,  4.250000000000000e+00,  2.290662209158596e+00,  9.015326331593995e-01,  2.192562270000000e-07
Ba1Sn3      ,  4.300000000000000e+00,  3.154619196065247e+00,  3.519009920522496e-01,  6.676276239999998e-07
Rh1Se2      ,  4.350000000000000e+00,  3.331689217213254e+00,  4.382000515553894e-01,  2.851206632000000e-06
Al1Au2Sc1   ,  4.400000000000000e+00,  3.646673241669604e+00, -3.738647526652513e-02,  1.212873750000000e-07
B2Nb1       ,  4.597500000000000e+00,  6.596708357892595e+00,  6.512868818341392e-01,  2.862453437900000e-05
Pb3Y1       ,  4.720000000000000e+00,  2.935651838862307e+00,  4.604207214416623e-01,  2.303463970000000e-07
Bi2Cs1      ,  4.750000000000000e+00,  2.315496781444238e+00,  8.837896513559990e-01,  2.117087360000000e-07
Al1Si1Sr1   ,  4.750000000000000e+00,  3.452491051899006e+00,  2.307480216641911e-01,  1.540798875000000e-06
Pd2Sn1Y1    ,  4.814444444333330e+00,  3.295581835605649e+00,  2.026831557714325e-01,  1.147912560000000e-07
Br2C2Y2     ,  5.050000000000000e+00,  4.788463478001899e+00, -5.338318611265983e-01,  3.131359847000001e-06
Ir1Mo1      ,  5.325000000000000e+00,  3.610069040628725e+00,  6.142393683587865e-01,  6.708494455999999e-06
N1Ti1       ,  5.387500000000000e+00,  7.339080454450714e+00,  1.037399112407063e+00,  3.803475314700000e-05
Ga1         ,  5.527454545000000e+00,  4.377389762290936e+00, -5.269702780157259e-01,  2.406418480000000e-07
B6Y1        ,  5.692857143000000e+00,  6.958426857314308e+00, -2.306348813826176e+00,  1.357967440000000e-07
Bi3Sr1      ,  5.700000000000000e+00,  3.039054892230941e+00,  3.837095242181994e-01,  1.691123770000000e-07
Ba1Bi3      ,  5.745000000000000e+00,  3.988611440460525e+00, -2.773838174816609e-01,  6.257077299999998e-08
Nb1S2       ,  5.821818182000000e+00,  5.041447251824994e+00, -7.674231347544800e-01,  2.498846293000000e-06
C1Mo2       ,  6.021666667000000e+00,  4.629860158902487e+00,  8.765449534443449e-01,  1.681656832800000e-05
Rh2Sr1      ,  6.200000000000000e+00,  3.441055337918527e+00,  1.218119057576695e-01,  3.130468390000000e-07
Pb1         ,  6.470100000000000e+00,  2.458407887873146e+00,  7.786735296270494e-01,  1.365908750000000e-07
Sn1Ta3      ,  6.692500000000000e+00,  6.329769555205699e+00, -1.844020818272564e+00,  4.654843749999999e-07
Ag1B2       ,  6.700000000000000e+00,  3.877598396276299e+00,  4.147351685907463e-01,  6.539203000000002e-06
Nb1Se2      ,  6.814619048000000e+00,  7.836274652206510e+00, -2.841306905109791e+00,  8.385618069999998e-07
Li1Pb1      ,  7.200000000000000e+00,  2.387235455585513e+00,  8.365976973328987e-01,  2.326083750000000e-07
Tc1         ,  7.794166667000000e+00,  3.945175562750115e+00,  1.420220368570027e-02,  2.815166528000000e-06
P1Ru1Zr1    ,  8.496153846000000e+00,  4.207120787240958e+00, -2.158624146188482e-01,  2.284322013000000e-06
C1Ta1       ,  8.637499999999999e+00,  4.646316982545181e+00,  4.534788104594643e-01,  1.248716800000000e-05
Hf1N1       ,  8.830000000000000e+00,  4.157706971810873e+00,  9.875385768910087e-01,  1.458043230700000e-05
N1Zr1       ,  9.850000000000000e+00,  6.238425146681993e+00,  7.862944877074894e-01,  2.746160591300000e-05
C2I2Y2      ,  9.917500000000000e+00,  2.341397690412871e+00,  8.717773333961782e-01,  2.720977919999999e-07
C1Mo1       ,  1.015200000000000e+01,  4.860699319482952e+00, -4.995822732885521e-01,  4.012099469000001e-06
Mo3Os1      ,  1.102250000000000e+01,  4.774816396215820e+00, -5.459260648446900e-01,  2.905841483000000e-06
C6Ca        ,  1.130300000000000e+01,  7.083988894259418e+00,  2.353000547519926e-01,  2.776307795200001e-05
Nb3Sn1      ,  1.670900000000000e+01,  1.576037255592246e+01, -8.247291692430432e+00,  1.115157653000000e-06
B2Mg0.98    ,  3.840000000000000e+01,  3.340118024004614e+01,  9.726645881181065e-01,  2.251996007040000e-04
