# c0 + a0 * (EA_mean / at_mass_mean) + a1 * (lambda3 - (2.167470e+01*lambda)) + a2 * (w_log^3)
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 2.75812068303267; Max AE: 8.22344618902255
# Coefficients
# Task   a0                      a1                      a2                      c0
# all , -1.062111933974291e+02, -2.572638057246897e-01,  1.502679237690032e+05, -4.642882954850068e-01, 
# Feature Rung, Units, and Expressions
# 0;  1; eV * g^-1 * mol;                                  31|7|div; (EA_mean / at_mass_mean); $\left(\frac{ EA_{mean} }{ at_{mass, mean} } \right)$; (EA_mean ./ at_mass_mean); (newdata$EA_mean / newdata$at_mass_mean); EA_mean,at_mass_mean
# 1;  1; Unitless;                                         3|0|sub:2.1674697143498e+01,0.0000000000000e+00; (lambda3 - (2.167470e+01*lambda)); $\left(lambda3 - \left(2.167e+01lambda\right)\right)$; (lambda3 - (2.167470e+01.*lambda)); (newdata$lambda3 - (2.167470e+01*newdata$lambda)); lambda3,lambda
# 2;  1; eV^3;                                             1|cb; (w_log^3); $\left(w_{log}^3\right)$; (w_log).^3; (newdata$w_log)^3; w_log
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
C8Cs1       ,  6.750000000000000e-02,  3.432706488653653e+00,  1.197243648398178e-02, -9.609816971715214e+00,  1.794357303199999e-05
Se2Ta1      ,  1.250000000000000e-01, -8.300917659492544e-01,  9.014353713544384e-03, -2.242070951519835e+00,  9.861112800000000e-08
Ti1         ,  1.620000000000000e-01,  3.334427996286573e+00,  1.650406334217728e-03, -1.063281472260355e+01,  8.242407999999999e-06
B1Mo1       ,  2.500000000000000e-01,  5.414428697026572e+00,  9.582150785399162e-03, -1.241340879808695e+01,  2.464217100000000e-05
Al1Hf1Ni2   ,  3.700000000000000e-01,  2.328020137724195e+00,  6.045181571224799e-03, -1.258063384494928e+01,  1.316532736000000e-06
Pt1Te1      ,  5.900000000000000e-01,  2.658321933480175e+00,  1.270283001326375e-02, -1.711960323252191e+01,  4.494550960000001e-07
Sb1V3       ,  6.500000000000000e-01,  2.708871307948853e+00,  9.235583225633115e-03, -1.101126674090086e+01,  8.792838143999999e-06
Al1Ni2Zr1   ,  6.899999999999999e-01,  3.214465075595107e+00,  1.143548102622546e-02, -1.865302189771518e+01,  6.294227929999998e-07
Rh1Te2      ,  7.550000000000000e-01,  1.505953033078026e-01,  1.348340344008996e-02, -6.924497783062757e+00,  1.767172329000000e-06
Zr1         ,  9.966666670000000e-01,  3.110007435802070e+00,  4.669926114314530e-03, -1.461083127129861e+01,  2.072671874999999e-06
Be2Ta3      ,  1.000000000000000e+00,  2.009965509893249e+00,  1.695093703937671e-03, -8.017889746524189e+00,  3.936827538999999e-06
C1Si1       ,  1.075000000000000e+00,  5.494238530707370e+00,  6.604117098378399e-02, -1.279087575581296e+01,  6.443297272900001e-05
Nb3Sb1      ,  1.100000000000000e+00,  3.101634162630962e+00,  9.144421297417760e-03, -1.410331384271116e+01,  6.048464248000001e-06
Nb1O1       ,  1.380000000000000e+00,  2.417197245020648e+00,  2.161501040348632e-02, -1.097575975575691e+01,  1.566253000800000e-05
Sb1         ,  1.416666667000000e+00,  4.528905643001495e+00,  8.787779237844941e-03, -2.257608576756404e+01,  7.888890240000000e-07
Sb1Sn1      ,  1.430000000000000e+00,  3.230047489851043e+00,  9.439846966357550e-03, -1.797694496740711e+01,  4.800486870000000e-07
S2Ta1       ,  1.488116666500000e+00,  7.891737576087881e+00,  1.126218113568229e-02, -3.655804285622585e+01,  9.791466569999998e-07
B2C2Y1      ,  1.800000000000000e+00,  7.283366182178158e+00,  1.653218768879640e-02, -9.847771049436739e+00,  4.638436885699999e-05
Re2Y1       ,  1.830000000000000e+00,  2.670896479988203e+00,  1.661136813699690e-03, -1.138036888034077e+01,  2.554497863000000e-06
S1Y1        ,  1.900000000000000e+00,  1.708255161799670e+00,  1.970707222675036e-02, -1.486565245530667e+01,  2.936493567999999e-06
Ga2Pt1      ,  1.900000000000000e+00,  2.840300178423165e+00,  9.168941908635346e-03, -1.634035016506811e+01,  4.967930880000000e-07
Mo0.5Rh0.5  ,  1.940000000000000e+00,  2.724305650983299e+00,  9.469182663198824e-03, -1.303157971239188e+01,  5.601816576000001e-06
Pd2Sc1Sn1   ,  2.122500000000000e+00,  2.591016390277242e+00,  6.225637897460476e-03, -1.417451528271340e+01,  4.654843749999999e-07
Be2Nb1      ,  2.150000000000000e+00,  3.659526490991243e+00,  8.761894296036249e-03, -1.037717341745288e+01,  1.587001969700000e-05
In1Te1      ,  2.206000000000000e+00,  3.454146648401742e+00,  9.368116228992895e-03, -1.900110391601249e+01,  1.672841510000000e-07
C2Cl2Y2     ,  2.300000000000000e+00,  2.725688544956836e+00,  3.803644811291700e-02, -2.789915524662322e+01,  3.489136640000000e-07
Be2Nb3      ,  2.300000000000000e+00,  2.182515679204353e+00,  8.761894296036249e-03, -9.654063835716558e+00,  7.278825672000002e-06
Pb1Pd2Sc1   ,  2.400000000000000e+00,  3.705507068250728e+00,  3.110685304800130e-03, -1.747897019024792e+01,  2.314912500000000e-08
As1Pt1Sr1   ,  2.425000000000000e+00,  2.780459027338579e+00,  8.215018224371583e-03, -1.567611275018963e+01,  5.615156250000001e-07
Bi1Nb3      ,  2.516666667000000e+00,  2.972475001109566e+00,  6.091687347707817e-03, -1.417655275242775e+01,  2.905841483000000e-06
Hf1In1Pd2   ,  2.630000000000000e+00,  3.311240074524481e+00,  2.144230054795323e-03, -1.534111530789322e+01,  3.763670480000000e-07
Nb3Rh1      ,  2.742333333000000e+00,  2.507474982764246e+00,  1.036709738636793e-02, -1.281764286209951e+01,  5.159780352000000e-06
Ga1Ni2Zr1   ,  2.870000000000000e+00,  5.430012066725438e+00,  8.568173871235631e-03, -2.636815166941918e+01,  1.381884130000000e-07
N1Ni3Zn1    ,  3.000000000000000e+00,  7.037364914837340e+00,  8.371228004614713e-03, -3.191185815880212e+01,  1.204550144000000e-06
B1Hf1       ,  3.100000000000000e+00,  4.466240240316122e+00,  1.463308980068358e-03, -9.632989138573061e+00,  1.735386246900000e-05
Pt0.25V0.75 ,  3.102500000000000e+00,  5.205706585186546e+00,  1.078343066737770e-02, -2.067843208292638e+01,  9.952248951000003e-06
C2Y1        ,  3.150000000000000e+00,  2.794774213426178e+00,  1.555740086368348e-02, -1.235760711579951e+01,  1.152785997900000e-05
Pb1Pd2Y1    ,  3.215000000000000e+00,  2.191539110065226e+00,  3.040798120071280e-03, -1.142201827462777e+01,  2.683361250000000e-07
In1Sb1      ,  3.320000000000000e+00,  5.717779263587724e+00,  5.790901943545047e-03, -2.628431071398735e+01,  2.337448960000000e-07
Bi2K1       ,  3.575000000000000e+00,  3.828519957119848e+00,  5.832824086540245e-03, -1.901836114344164e+01,  1.303238430000000e-07
Al1Hf1Pd2   ,  3.621666666500000e+00,  6.403373117802084e+00,  3.200192377059036e-03, -2.797566126262635e+01,  6.942653100000000e-08
Hg0.5In0.5  ,  3.810000000000000e+00,  8.347757257379801e+00,  9.511429567864049e-04, -3.463785813837878e+01,  1.331205300000000e-08
C1W2        ,  3.835000000000000e+00,  3.224115657911438e+00,  1.061011749760532e-02, -1.468572765072954e+01,  6.902411264000002e-06
C1Ga1Mo2    ,  3.900000000000000e+00,  3.497356650289062e+00,  1.299556459033665e-02, -1.748681006910532e+01,  5.611284433000001e-06
Ba1Ge3      ,  4.000000000000000e+00,  5.055360287439382e+00,  6.429888024690771e-03, -2.354645929217032e+01,  9.644302719999999e-07
Bi2Rb1      ,  4.250000000000000e+00,  1.698596422416407e+00,  4.802202900204518e-03, -1.026178258316364e+01,  2.192562270000000e-07
Ba1Sn3      ,  4.300000000000000e+00,  1.569273852761937e+00,  4.686822607669986e-03, -9.449569273424633e+00,  6.676276239999998e-07
Rh1Se2      ,  4.350000000000000e+00,  2.427783489294888e+00,  1.736342113279003e-02, -1.674474398679546e+01,  2.851206632000000e-06
Al1Au2Sc1   ,  4.400000000000000e+00,  3.695595830807330e+00,  9.028912696971531e-03, -1.982645830232594e+01,  1.212873750000000e-07
B2Nb1       ,  4.597500000000000e+00,  6.606830429121164e+00,  1.128065300518524e-02, -1.542347156618156e+01,  2.862453437900000e-05
Pb3Y1       ,  4.720000000000000e+00,  4.760493838878298e+00,  2.252573235647529e-03, -2.110447264751248e+01,  2.303463970000000e-07
Bi2Cs1      ,  4.750000000000000e+00,  2.018847773614127e+00,  4.147583783824891e-03, -1.124076840947933e+01,  2.117087360000000e-07
Al1Si1Sr1   ,  4.750000000000000e+00,  3.210673017042842e+00,  1.279795131858636e-02, -1.866844165542998e+01,  1.540798875000000e-06
Pd2Sn1Y1    ,  4.814444444333330e+00,  4.466226238990143e+00,  6.572499059024480e-03, -2.181161101782279e+01,  1.147912560000000e-07
Br2C2Y2     ,  5.050000000000000e+00,  1.311803174891267e+00,  2.729225945067069e-02, -1.634233763478245e+01,  3.131359847000001e-06
Ir1Mo1      ,  5.325000000000000e+00,  2.736896810175717e+00,  8.019655269340349e-03, -1.183567474778337e+01,  6.708494455999999e-06
N1Ti1       ,  5.387500000000000e+00,  8.873302883479409e+00,  1.276792438802854e-03, -1.460678633186990e+01,  3.803475314700000e-05
Ga1         ,  5.527454545000000e+00,  5.872215415415833e+00,  4.302740845918850e-03, -2.626619854712950e+01,  2.406418480000000e-07
B6Y1        ,  5.692857143000000e+00,  6.979705924068389e+00,  5.856585851130401e-03, -3.127382522619988e+01,  1.357967440000000e-07
Bi3Sr1      ,  5.700000000000000e+00,  3.669615241467546e+00,  3.189476480813917e-03, -1.728672815824164e+01,  1.691123770000000e-07
Ba1Bi3      ,  5.745000000000000e+00,  6.130148812320177e+00,  2.731677116919823e-03, -2.672420006714743e+01,  6.257077299999998e-08
Nb1S2       ,  5.821818182000000e+00,  5.611887881130535e+00,  2.376524736661855e-02, -3.197035429594786e+01,  2.498846293000000e-06
C1Mo2       ,  6.021666667000000e+00,  2.654909840796613e+00,  1.860860608665367e-02, -9.984496580869473e+00,  1.681656832800000e-05
Rh2Sr1      ,  6.200000000000000e+00,  4.527739521911389e+00,  5.967701978106879e-03, -2.168522560753266e+01,  3.130468390000000e-07
Pb1         ,  6.470100000000000e+00,  4.150597347280378e+00,  1.737451737451738e-03, -1.857586310914119e+01,  1.365908750000000e-07
Sn1Ta3      ,  6.692500000000000e+00,  7.778537948925600e+00,  5.079126924111436e-03, -3.386538958061915e+01,  4.654843749999999e-07
Ag1B2       ,  6.700000000000000e+00,  2.841655678797515e+00,  1.330477455190126e-02, -1.452372007358156e+01,  6.539203000000002e-06
Nb1Se2      ,  6.814619048000000e+00,  7.588231155977342e+00,  1.695394507945780e-02, -3.781025170663032e+01,  8.385618069999998e-07
Li1Pb1      ,  7.200000000000000e+00,  3.230503626939912e+00,  4.567084304266815e-03, -1.611153114791788e+01,  2.326083750000000e-07
Tc1         ,  7.794166667000000e+00,  5.505816662348236e+00,  5.612244897959184e-03, -2.387883106818242e+01,  2.815166528000000e-06
P1Ru1Zr1    ,  8.496153846000000e+00,  5.356193631812880e+00,  9.952715531315380e-03, -2.539926429566762e+01,  2.284322013000000e-06
C1Ta1       ,  8.637499999999999e+00,  4.444494384926396e+00,  8.214197242310008e-03, -1.517820026103089e+01,  1.248716800000000e-05
Hf1N1       ,  8.830000000000000e+00,  5.885944198393632e+00,  0.000000000000000e+00, -1.616730029991967e+01,  1.458043230700000e-05
N1Zr1       ,  9.850000000000000e+00,  7.116926316207226e+00,  4.048321372095852e-03, -1.509964894217125e+01,  2.746160591300000e-05
C2I2Y2      ,  9.917500000000000e+00,  5.428239042647366e+00,  2.031859236795220e-02, -3.113419584562185e+01,  2.720977919999999e-07
C1Mo1       ,  1.015200000000000e+01,  5.108489768103890e+00,  1.860860608665367e-02, -2.700080738830125e+01,  4.012099469000001e-06
Mo3Os1      ,  1.102250000000000e+01,  6.204110920695999e+00,  6.450485708295478e-03, -2.688624703858241e+01,  2.905841483000000e-06
C6Ca        ,  1.130300000000000e+01,  5.239254397021926e+00,  2.424705502910414e-02, -1.596396838905600e+01,  2.776307795200001e-05
Nb3Sn1      ,  1.670900000000000e+01,  8.485553810977454e+00,  9.890537784406123e-03, -3.822051638782673e+01,  1.115157653000000e-06
B2Mg0.98    ,  3.840000000000000e+01,  3.590025026934750e+01,  7.888142157421119e-03, -1.306857416725018e+01,  2.251996007040000e-04
