# c0 + a0 * (lambda3 - (2.173260e+01*lambda)) + a1 * (w_log^3)
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 2.92002761500919; Max AE: 10.0286412911741
# Coefficients
# Task   a0                      a1                      c0
# all , -2.485520816538115e-01,  1.434341182940593e+05, -1.326080786952823e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         3|0|sub:2.1732600575887e+01,0.0000000000000e+00; (lambda3 - (2.173260e+01*lambda)); $\left(lambda3 - \left(2.173e+01lambda\right)\right)$; (lambda3 - (2.173260e+01.*lambda)); (newdata$lambda3 - (2.173260e+01*newdata$lambda)); lambda3,lambda
# 1;  1; eV^3;                                             1|cb; (w_log^3); $\left(w_{log}^3\right)$; (w_log).^3; (newdata$w_log)^3; w_log
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
C8Cs1       ,  6.750000000000000e-02,  3.642620230917344e+00, -9.635728757709485e+00,  1.794357303199999e-05
Se2Ta1      ,  1.250000000000000e-01, -6.884187226680458e-01, -2.508600450808387e+00,  9.861112800000000e-08
Ti1         ,  1.620000000000000e-01,  2.506111289946241e+00, -1.066154640575519e+01,  8.242407999999999e-06
B1Mo1       ,  2.500000000000000e-01,  5.302199156921515e+00, -1.244709701505112e+01,  2.464217100000000e-05
Al1Hf1Ni2   ,  3.700000000000000e-01,  1.998187507731898e+00, -1.261479107971581e+01,  1.316532736000000e-06
Pt1Te1      ,  5.900000000000000e-01,  3.005226045785684e+00, -1.716678294923282e+01,  4.494550960000001e-07
Sb1V3       ,  6.500000000000000e-01,  2.679387284824896e+00, -1.104104647617874e+01,  8.792838143999999e-06
Al1Ni2Zr1   ,  6.899999999999999e-01,  3.413306606875058e+00, -1.870475861455514e+01,  6.294227929999998e-07
Rh1Te2      ,  7.550000000000000e-01,  6.531101943067515e-01, -6.943084784859765e+00,  1.767172329000000e-06
Zr1         ,  9.966666670000000e-01,  2.612682582381798e+00, -1.465073831690140e+01,  2.072671874999999e-06
Be2Ta3      ,  1.000000000000000e+00,  1.236815935494117e+00, -8.039447194402772e+00,  3.936827538999999e-06
C1Si1       ,  1.075000000000000e+00,  1.110364129117408e+01, -1.282562360558986e+01,  6.443297272900001e-05
