# c0 + a0 * (at_rad_wtd_range + 4.216042e-03*at_mass_wtd_mean) + a1 * (lambda3 - (2.177232e+01*lambda)) + a2 * (w_log^3)
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 2.77495296186726; Max AE: 8.83990728293471
# Coefficients
# Task   a0                      a1                      a2                      c0
# all ,  4.718059504890364e+00, -2.663225000214943e-01,  1.540524871253536e+05, -4.728471813181325e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; AA;                                               16|8|add:4.2160416769650e-03,0.0000000000000e+00; (at_rad_wtd_range + 4.216042e-03*at_mass_wtd_mean); $\left(at_{rad, wtd, range} + 0.00422at_{mass, wtd, mean}\right)$; (at_rad_wtd_range + (4.216042e-03.*at_mass_wtd_mean)); (newdata$at_rad_wtd_range + (4.216042e-03*newdata$at_mass_wtd_mean)); at_rad_wtd_range,at_mass_wtd_mean
# 1;  1; Unitless;                                         3|0|sub:2.1772323058536e+01,0.0000000000000e+00; (lambda3 - (2.177232e+01*lambda)); $\left(lambda3 - \left(2.177e+01lambda\right)\right)$; (lambda3 - (2.177232e+01.*lambda)); (newdata$lambda3 - (2.177232e+01*newdata$lambda)); lambda3,lambda
# 2;  1; eV^3;                                             1|cb; (w_log^3); $\left(w_{log}^3\right)$; (w_log).^3; (newdata$w_log)^3; w_log
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
C8Cs1       ,  6.750000000000000e-02,  2.706596495442172e+00,  4.450708564078578e-01, -9.653504568694697e+00,  1.794357303199999e-05
Se2Ta1      ,  1.250000000000000e-01, -7.011223700654186e-01,  6.984579807674951e-01, -2.691443038439516e+00,  9.861112800000000e-08
Ti1         ,  1.620000000000000e-01,  3.380987573885740e-01,  2.018092669512814e-01, -1.068125670164538e+01,  8.242407999999999e-06
B1Mo1       ,  2.500000000000000e-01,  5.101953707336937e+00,  5.750544127372277e-01, -1.247020755545603e+01,  2.464217100000000e-05
Al1Hf1Ni2   ,  3.700000000000000e-01,  1.365725617256742e+00,  5.352919014978784e-01, -1.263822337223017e+01,  1.316532736000000e-06
Pt1Te1      ,  5.900000000000000e-01,  3.177808893170877e+00,  6.902245962448795e-01, -1.719914882809483e+01,  4.494550960000001e-07
Sb1V3       ,  6.500000000000000e-01,  1.185181106769742e+00,  3.419148185611039e-01, -1.106147574900488e+01,  8.792838143999999e-06
Al1Ni2Zr1   ,  6.899999999999999e-01,  2.451028043549059e+00,  4.433147362732111e-01, -1.874025065280159e+01,  6.294227929999998e-07
Rh1Te2      ,  7.550000000000000e-01, -1.453347515237351e-01,  5.210625709167910e-01, -6.955835701789939e+00,  1.767172329000000e-06
Zr1         ,  9.966666670000000e-01,  1.314486392414949e+00,  3.845957538560969e-01, -1.467811505194276e+01,  2.072671874999999e-06
