# c0 + a0 * ((ThermalCond_mean+2.465095e+02) * (EA_wtd_mean-4.921508e+00)) + a1 * (w_log / lambda) + a2 * ((lambda4w_low-4.375885e-02) * (PE_wtd_range-4.532535e-01)) + a3 * (w_log^3)
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 2.33693210360504; Max AE: 8.54523254290612
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# all , -4.044667514450947e-03, -1.208759025877755e+02, -1.160713704239840e+02,  1.849012438942522e+05,  6.589369361451490e-01, 
# Feature Rung, Units, and Expressions
# 0;  1; W * eV * mK^-1;                                   37|32|mult:2.4650950109747e+02,-4.9215079328333e+00; ((ThermalCond_mean+2.465095e+02) * (EA_wtd_mean-4.921508e+00)); $\left(\left(ThermalCond_{mean}+2.465e+02\right) * \left(EA_{wtd, mean}-4.922e+00\right)\right)$; ((ThermalCond_mean+2.465095e+02) .* (EA_wtd_mean-4.921508e+00)); ((newdata$ThermalCond_mean+2.465095e+02) * (newdata$EA_wtd_mean-4.921508e+00)); ThermalCond_mean,EA_wtd_mean
# 1;  1; eV;                                               1|0|div; (w_log / lambda); $\left(\frac{ w_{log} }{ lambda } \right)$; (w_log ./ lambda); (newdata$w_log / newdata$lambda); w_log,lambda
# 2;  1; eV;                                               2|28|mult:-4.3758845919970e-02,-4.5325352283306e-01; ((lambda4w_low-4.375885e-02) * (PE_wtd_range-4.532535e-01)); $\left(\left(lambda4w_{low}-4.376e-02\right) * \left(PE_{wtd, range}-4.533e-01\right)\right)$; ((lambda4w_low-4.375885e-02) .* (PE_wtd_range-4.532535e-01)); ((newdata$lambda4w_low-4.375885e-02) * (newdata$PE_wtd_range-4.532535e-01)); lambda4w_low,PE_wtd_range
# 3;  1; eV^3;                                             1|cb; (w_log^3); $\left(w_{log}^3\right)$; (w_log).^3; (newdata$w_log)^3; w_log
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
C8Cs1       ,  6.750000000000000e-02,  1.450704130069325e+00, -1.253209048519663e+03,  5.850279329608938e-02,  4.508069142987015e-03,  1.794357303199999e-05
Se2Ta1      ,  1.250000000000000e-01,  1.247093057197552e+00, -9.543064900717679e+02,  1.003693243536824e-03,  2.729878453309877e-02,  9.861112800000000e-08
Ti1         ,  1.620000000000000e-01,  2.813839097844700e-01, -1.299775138312322e+03,  4.070939137444579e-02,  1.928088177047905e-02,  8.242407999999999e-06
B1Mo1       ,  2.500000000000000e-01,  3.201504554148732e+00, -1.453139513783779e+03,  5.001718803712616e-02,  1.589878608210309e-02,  2.464217100000000e-05
Al1Hf1Ni2   ,  3.700000000000000e-01,  3.757341047888596e+00, -1.535989023977257e+03,  1.857942024071876e-02,  9.578461436174182e-03,  1.316532736000000e-06
Pt1Te1      ,  5.900000000000000e-01,  1.201893749975064e+00, -8.156775401519549e+02,  9.401080019636722e-03,  1.467139056359066e-02,  4.494550960000001e-07
Sb1V3       ,  6.500000000000000e-01,  6.998894920212789e-01, -1.166698419057207e+03,  4.013221854948473e-02,  1.251594776306046e-02,  8.792838143999999e-06
Al1Ni2Zr1   ,  6.899999999999999e-01,  4.633631065380433e+00, -1.496933594867093e+03,  9.591494124230554e-03,  8.933340731273441e-03,  6.294227929999998e-07
Rh1Te2      ,  7.550000000000000e-01, -1.239168722304326e+00, -1.042838736673701e+03,  3.766355140186916e-02,  1.628462043676946e-02,  1.767172329000000e-06
Zr1         ,  9.966666670000000e-01,  1.550373161876752e+00, -1.210233447777767e+03,  1.849970980847359e-02,  1.852848092257618e-02,  2.072671874999999e-06
Be2Ta3      ,  1.000000000000000e+00,  1.219620601736894e+00, -1.749518859262851e+03,  4.241203330647327e-02,  1.823765778857446e-02,  3.936827538999999e-06
C1Si1       ,  1.075000000000000e+00,  9.620232542906114e+00, -1.408458535977746e+03,  6.680553241126480e-02,  4.945307825613159e-03,  6.443297272900001e-05
Nb3Sb1      ,  1.100000000000000e+00,  1.734854219831865e+00, -1.137529219171812e+03,  2.743149653718759e-02,  1.143754787098705e-02,  6.048464248000001e-06
Sb1         ,  1.416666667000000e+00,  2.425385147013623e+00, -1.041869489383678e+03,  8.372598767669446e-03,  1.362427780552252e-02,  7.888890240000000e-07
Sb1Sn1      ,  1.430000000000000e+00,  2.242768089207879e+00, -1.104938990781692e+03,  9.119496855345912e-03,  1.612554299466790e-02,  4.800486870000000e-07
S2Ta1       ,  1.488116666500000e+00,  3.587612325601813e+00, -9.434987901814111e+02,  4.647135904155747e-03,  4.366125800307231e-03,  9.791466569999998e-07
