# c0 + a0 * ((lambda4w_low-4.292665e-02) * (PE_wtd_range-4.532682e-01)) + a1 * (IP_wtd_std / lambda3) + a2 * (w_log^3)
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 2.61688190256253; Max AE: 10.1087225125432
# Coefficients
# Task   a0                      a1                      a2                      c0
# all , -1.293812391711675e+02, -2.279412882659798e-01,  1.355277536786639e+05,  4.716435214427891e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; eV;                                               2|28|mult:-4.2926652806049e-02,-4.5326818406669e-01; ((lambda4w_low-4.292665e-02) * (PE_wtd_range-4.532682e-01)); $\left(\left(lambda4w_{low}-4.293e-02\right) * \left(PE_{wtd, range}-4.533e-01\right)\right)$; ((lambda4w_low-4.292665e-02) .* (PE_wtd_range-4.532682e-01)); ((newdata$lambda4w_low-4.292665e-02) * (newdata$PE_wtd_range-4.532682e-01)); lambda4w_low,PE_wtd_range
# 1;  1; eV;                                               24|3|div; (IP_wtd_std / lambda3); $\left(\frac{ IP_{wtd, std} }{ lambda3 } \right)$; (IP_wtd_std ./ lambda3); (newdata$IP_wtd_std / newdata$lambda3); IP_wtd_std,lambda3
# 2;  1; eV^3;                                             1|cb; (w_log^3); $\left(w_{log}^3\right)$; (w_log).^3; (newdata$w_log)^3; w_log
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
C8Cs1       ,  6.750000000000000e-02,  6.878936318920341e-01,  4.420842191525971e-03,  2.583305434661310e+01,  1.794357303199999e-05
Se2Ta1      ,  1.250000000000000e-01,  1.198202395711397e+00,  2.728019743759822e-02,  9.000625060496341e-03,  9.861112800000000e-08
Ti1         ,  1.620000000000000e-01,  3.387648653636392e+00,  1.890429878089780e-02,  0.000000000000000e+00,  8.242407999999999e-06
B1Mo1       ,  2.500000000000000e-01,  5.343438598691290e+00,  1.557210374415415e-02,  3.062001726501803e+00,  2.464217100000000e-05
Al1Hf1Ni2   ,  3.700000000000000e-01,  2.919383199149478e+00,  9.391200767274364e-03,  3.336093925074292e+00,  1.316532736000000e-06
Pt1Te1      ,  5.900000000000000e-01,  2.907395371194913e+00,  1.436967343261002e-02,  4.732502680519097e-02,  4.494550960000001e-07
Sb1V3       ,  6.500000000000000e-01,  2.946328770886253e+00,  1.227043196345045e-02,  6.028817172682496e+00,  8.792838143999999e-06
Al1Ni2Zr1   ,  6.899999999999999e-01,  3.446204801886042e+00,  8.739778063124287e-03,  9.860931980037011e-01,  6.294227929999998e-07
Rh1Te2      ,  7.550000000000000e-01, -2.148604138982025e+00,  1.597462887704660e-02,  2.210096735187425e+01,  1.767172329000000e-06
Zr1         ,  9.966666670000000e-01,  2.648827878715184e+00,  1.815187359534709e-02,  0.000000000000000e+00,  2.072671874999999e-06
Be2Ta3      ,  1.000000000000000e+00, -1.655845585310284e-01,  1.788904997595592e-02,  1.360465116279070e+01,  3.936827538999999e-06
C1Si1       ,  1.075000000000000e+00,  1.118372251254325e+01,  4.839129246346501e-03,  7.190782471889316e+00,  6.443297272900001e-05
Nb3Sb1      ,  1.100000000000000e+00,  3.453315924566144e+00,  1.120140491836137e-02,  2.779673742406662e+00,  6.048464248000001e-06
Nb1O1       ,  1.380000000000000e+00,  3.522977457666610e+00, -1.922778857454112e-02,  2.546217239587200e+01,  1.566253000800000e-05
Sb1         ,  1.416666667000000e+00,  3.109372073473858e+00,  1.324751184374547e-02,  0.000000000000000e+00,  7.888890240000000e-07
Sb1Sn1      ,  1.430000000000000e+00,  2.505674608578843e+00,  1.578636412506286e-02,  1.023777549569476e+00,  4.800486870000000e-07
