# FEAT_ID     Score                   Feature Expression
0             0.166899927811342025    (ThermalCond_wtd_std / at_mass_mean)
1             0.16764652303308783     (w_log / IP_mean)
2             0.169704549543829186    (w_log / IP_wtd_mean)
3             0.169963387781188274    (ThermalCond_std / at_mass_mean)
4             0.171061691725718196    (w_log / at_rad_mean)
5             0.171722722057323474    (ThermalCond_wtd_range / at_mass_mean)
6             0.173826551637967591    (w_log / PE_wtd_mean)
7             0.176181426610767689    ((w_log-1.701331e-02) * (V_molar-3.719115e+01))
8             0.177403877128007148    (w_log / at_rad_wtd_mean)
9             0.182410302204591396    (at_rad_wtd_mean / at_mass_mean)
10            0.183139012512292892    ((w_log-1.027443e-02) * (at_rad_mean-1.327681e+00))
11            0.189834160417023362    ((w_log-9.582531e-03) * (EA_wtd_std-5.760998e-01))
12            0.191188672744963539    (w_log / PE_mean)
13            0.192939898242857566    ((EA_wtd_range-5.387183e-01) * (w_log-9.589243e-03))
14            0.19295185593620201     (w_log / L_avg)
15            0.197680355140633424    (1.0 / at_mass_mean)
16            0.199673008781646483    (at_rad_mean / at_mass_mean)
17            0.209556149225591737    ((w_log-1.270200e-02) * (IP_wtd_range-2.347019e+00))
18            0.209569893373057564    ((IP_wtd_range-2.346808e+00) * (w_log-1.270550e-02))
19            0.213888275041769022    ((IP_std-2.486781e+00) * (w_log-1.120820e-02))
20            0.221369290026904086    ((w_log-1.205608e-02) * (IP_range-4.859656e+00))
21            0.232826422727605925    ((w_log-1.444922e-02) * (IP_wtd_std-2.518433e+00))
22            0.28697053155330754     ((density-1.082480e+01) * (w_log-1.679869e-02))
23            0.31027479615514697     (w_log * lambda)
24            0.310291580117176946    (lambda4w_low / lambda3)
25            0.323866051716983627    (w_log / density)
26            0.350459406156251263    (w_log^2)
27            0.351395069008491101    (w_log / at_mass_wtd_mean)
28            0.361701856704549629    (w_log / at_mass_mean)
29            0.493816946908467003    (w_log^3)
#-----------------------------------------------------------------------
30            0.204053614290616719    ln(lambda3)
31            0.206359228072538869    ((lambda-4.436429e-01) * (w_log+1.976905e-03))
32            0.207018469919349274    ((ThermalCond_wtd_mean-2.210175e+01) * (lambda3+6.350321e-01))
33            0.20713070338689113     ((PE_std-4.906978e-01) * (lambda3-5.094893e+00))
34            0.207879358310657042    ((lambda4w_low+2.591579e-02) * (lambda3-9.294360e+01))
35            0.22221578376750889     cos(lambda)
36            0.227166038486949218    (exp(-1.0 * lambda))
37            0.228630745007924602    (1.0 / lambda)
38            0.233545814626076403    (PE_wtd_mean / lambda)
39            0.238059251537571487    (exp(-1.0 * lambda3))
40            0.24071346690807327     (PE_mean / lambda)
41            0.246098399968377374    (lambda4w_low - (4.111981e-01*lambda))
42            0.247961856185607676    (IP_mean / lambda)
43            0.249159037341508738    (IP_wtd_mean / lambda)
44            0.253653678051372344    ((lambda3-3.849274e-01) * (EA_wtd_std-7.865002e-01))
45            0.255485178365754795    ((lambda3+2.641768e-01) * (ThermalCond_wtd_mean-2.139386e+01))
46            0.255640105749416702    ((EA_wtd_range-1.042596e+00) * (lambda-7.698295e-01))
47            0.261366884480945749    ((PE_range-1.024499e+00) * (lambda3-2.080595e+00))
48            0.261603493988721569    ((lambda3-2.986995e-01) * (EA_wtd_range-7.415213e-01))
49            0.26163995102142551     ((EA_wtd_range-7.415183e-01) * (lambda3-2.998145e-01))
50            0.266966673769380824    ((EA_range-1.648881e+00) * (lambda3-2.020752e+00))
51            0.267029467377820129    ((lambda3-2.011273e+00) * (EA_range-1.648374e+00))
52            0.27646156596781013     ((PE_wtd_range-4.561111e-01) * (lambda3-2.072423e+00))
53            0.279091275722468724    ((EA_wtd_std-7.777341e-01) * (lambda3-1.741992e+00))
54            0.282416726453601719    ((EA_range-1.821141e+00) * (lambda-1.039110e+00))
55            0.283478504034318179    ((lambda3-1.647260e+00) * (EA_std-8.253176e-01))
56            0.283555706919915607    ((PE_wtd_range-4.533423e-01) * (lambda4w_low-4.290697e-02))
57            0.284058272036803339    ((lambda3+8.018517e+01) * (lambda-8.222095e+00))
58            0.285581089229313356    ((lambda-1.238424e+01) * (lambda3+1.698749e+02))
59            0.288412671363072248    ((lambda4w_low-1.243965e-02) * (EA_range-1.652861e+00))
#-----------------------------------------------------------------------
60            0.121262236669018683    (IP_wtd_range / at_mass_mean)
61            0.121984597052173682    ((at_mass_wtd_mean-1.917624e+02) * (lambda-3.090336e+00))
62            0.12362794888537465     (at_rad_std / lambda)
63            0.126310590692766872    (IP_mean / lambda3)
64            0.126401730406042412    (at_rad_range / lambda)
65            0.126879099139809687    (PE_wtd_std / lambda)
66            0.127281850627530502    (PE_std / lambda)
67            0.130101342922927216    (EA_wtd_mean * w_log)
68            0.131298081023625834    (IP_wtd_mean / lambda3)
69            0.13421424989620559     (IP_wtd_range / at_mass_wtd_mean)
70            0.134408882461575396    (at_rad_wtd_std / lambda3)
71            0.134709370889719932    (w_log / lambda)
72            0.137250339149693701    (PE_range / lambda)
73            0.138914503868304534    (at_rad_std / lambda3)
74            0.142798165124136567    (lambda / lambda3)
75            0.145295350358210756    (at_rad_range / lambda3)
76            0.149549924201748896    (EA_mean * w_log)
77            0.159845968543769396    (IP_wtd_range / lambda)
78            0.170220447944674752    (IP_std / lambda)
79            0.171905362190000272    (IP_wtd_std / lambda)
80            0.175451809742284387    (PE_wtd_range / lambda3)
81            0.176473098019668762    (PE_std / lambda3)
82            0.182656004968147129    (IP_range / lambda)
83            0.185423181064029302    (PE_wtd_std / lambda3)
84            0.18869012033085289     (PE_range / lambda3)
85            0.193427622917157899    (w_log / lambda3)
86            0.196035974922368128    (IP_std / lambda3)
87            0.201603126389535425    (IP_wtd_range / lambda3)
88            0.207901403797534079    (IP_wtd_std / lambda3)
89            0.209757984881097787    (IP_range / lambda3)
#-----------------------------------------------------------------------
90            0.0975815375521353057   (at_mass_range / V_molar)
91            0.0982461999803638519   ((at_mass_range-9.574275e+01) * (lambda4w_low-5.463674e-02))
92            0.0985912512567196225   (at_mass_wtd_range / L_avg)
93            0.0987829996078259248   (ThermalCond_std - ThermalCond_mean)
94            0.0992177589114839331   (at_rad_wtd_range * at_mass_wtd_std)
95            0.100292360427998731    (ThermalCond_range / w_log)
96            0.10150805387236847     (at_mass_std / V_molar)
97            0.101988894732987848    ((ThermalCond_mean-6.139973e+01) * (PE_wtd_mean-1.700384e+00))
98            0.102349789889845555    (ThermalCond_mean * density)
99            0.103095337230348139    ((ThermalCond_mean+2.305724e+02) * (EA_mean-3.883268e+00))
100           0.103533550750880957    (ThermalCond_mean * L_avg)
101           0.103949337897141461    (at_rad_wtd_std * at_mass_wtd_range)
102           0.10497301449879555     (ThermalCond_mean - (9.385551e+01*EA_mean))
103           0.10521181614706844     (IP_wtd_range * at_mass_wtd_std)
104           0.105623970681134424    (EA_mean / at_mass_wtd_mean)
105           0.105927292647384902    (IP_std * at_mass_wtd_range)
106           0.106085100332781151    (at_mass_wtd_std / V_molar)
107           0.107137072900224395    (|ThermalCond_wtd_std - ThermalCond_mean|)
108           0.108440481710503675    (|ThermalCond_std - ThermalCond_mean|)
109           0.109137228469863387    (at_rad_wtd_range * at_mass_wtd_range)
110           0.109282946397226369    (IP_wtd_std * at_mass_wtd_range)
111           0.110929943334625566    (at_mass_wtd_range / V_molar)
112           0.111580848592783444    (at_rad_wtd_range + 3.878336e-02*density)
113           0.111819023958562427    (EA_mean / at_mass_mean)
114           0.114477555543063714    (IP_wtd_range * at_mass_wtd_range)
115           0.116166995571310966    (ThermalCond_mean - (8.225398e+01*EA_wtd_mean))
