# c0 + a0 * (w_log^2)
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 3.94472725325787; Max AE: 14.2701671612886
# Coefficients
# Task   a0                      c0
# all ,  5.789658915675214e+03,  2.699377940249687e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; eV^2;                                             1|sq; (w_log^2); $\left(w_{log}^2\right)$; (w_log)^2; (newdata$w_log)^2; w_log
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
C8Cs1       ,  6.750000000000000e-02,  6.667566159645719e+00,  6.853923999999999e-04
Se2Ta1      ,  1.250000000000000e-01,  2.822954736009425e+00,  2.134440000000000e-05
Ti1         ,  1.620000000000000e-01,  5.061790364201801e+00,  4.080400000000000e-04
B1Mo1       ,  2.500000000000000e-01,  7.602119006632615e+00,  8.468100000000000e-04
Al1Hf1Ni2   ,  3.700000000000000e-01,  3.394841032654858e+00,  1.201216000000000e-04
Pt1Te1      ,  5.900000000000000e-01,  3.039089650922279e+00,  5.867560000000000e-05
Sb1V3       ,  6.500000000000000e-01,  5.165828219052918e+00,  4.260096000000000e-04
Al1Ni2Zr1   ,  6.899999999999999e-01,  3.124598860345561e+00,  7.344489999999999e-05
Rh1Te2      ,  7.550000000000000e-01,  3.545641383601993e+00,  1.461681000000000e-04
Zr1         ,  9.966666670000000e-01,  3.640559367729138e+00,  1.625625000000000e-04
Be2Ta3      ,  1.000000000000000e+00,  4.142879438707385e+00,  2.493241000000000e-04
C1Si1       ,  1.075000000000000e+00,  1.200456464576011e+01,  1.607208100000000e-03
Nb3Sb1      ,  1.100000000000000e+00,  4.621361747032123e+00,  3.319684000000000e-04
Nb1O1       ,  1.380000000000000e+00,  6.323706737325938e+00,  6.260004000000001e-04
Sb1         ,  1.416666667000000e+00,  3.193685123288639e+00,  8.537759999999999e-05
Sb1Sn1      ,  1.430000000000000e+00,  3.054335559744927e+00,  6.130890000000000e-05
S2Ta1       ,  1.488116666500000e+00,  3.270266678663949e+00,  9.860489999999999e-05
B2C2Y1      ,  1.800000000000000e+00,  1.017362438335845e+01,  1.290964900000000e-03
Re2Y1       ,  1.830000000000000e+00,  3.781285133197107e+00,  1.868689000000000e-04
S1Y1        ,  1.900000000000000e+00,  3.886619292679443e+00,  2.050624000000000e-04
Ga2Pt1      ,  1.900000000000000e+00,  3.062542401257896e+00,  6.272640000000000e-05
Mo0.5Rh0.5  ,  1.940000000000000e+00,  4.525538260250565e+00,  3.154176000000001e-04
Pd2Sc1Sn1   ,  2.122500000000000e+00,  3.047119328872429e+00,  6.006250000000000e-05
Be2Nb1      ,  2.150000000000000e+00,  6.355645390734259e+00,  6.315169000000000e-04
In1Te1      ,  2.206000000000000e+00,  2.875152563895478e+00,  3.036010000000000e-05
C2Cl2Y2     ,  2.300000000000000e+00,  2.986322699564815e+00,  4.956160000000000e-05
Be2Nb3      ,  2.300000000000000e+00,  4.873883510298213e+00,  3.755844000000001e-04
Pb1Pd2Sc1   ,  2.400000000000000e+00,  2.746404444792259e+00,  8.122500000000001e-06
As1Pt1Sr1   ,  2.425000000000000e+00,  3.093436600197831e+00,  6.806250000000001e-05
Bi1Nb3      ,  2.516666667000000e+00,  3.878342975259486e+00,  2.036329000000000e-04
Re1         ,  2.581333333000000e+00,  3.848787924426747e+00,  1.985281000000000e-04
Hf1In1Pd2   ,  2.630000000000000e+00,  3.001183596069571e+00,  5.212840000000000e-05
Nb3Rh1      ,  2.742333333000000e+00,  4.428160829016041e+00,  2.985984000000000e-04
Ga1Ni2Zr1   ,  2.870000000000000e+00,  2.854129154440878e+00,  2.672890000000000e-05
N1Ni3Zn1    ,  3.000000000000000e+00,  3.354822910229712e+00,  1.132096000000000e-04
B1Hf1       ,  3.100000000000000e+00,  6.580140573121349e+00,  6.702921000000000e-04
Pt0.25V0.75 ,  3.102500000000000e+00,  5.378137906320187e+00,  4.626801000000001e-04
