# c0 + a0 * (|ThermalCond_wtd_std - ThermalCond_mean|) + a1 * (w_log / lambda) + a2 * ((lambda4w_low-4.314102e-02) * (PE_wtd_range-4.532469e-01)) + a3 * (w_log^3)
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 2.35887945241666; Max AE: 10.6938932817948
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# all ,  2.324053912647003e-02, -1.227464589228887e+02, -1.083973064635762e+02,  1.903385696491199e+05,  4.978722177543362e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; W * mK^-1;                                        42|37|abd; (|ThermalCond_wtd_std - ThermalCond_mean|); $\left(\left|ThermalCond_{wtd, std} - ThermalCond_{mean}\right|\right)$; abs(ThermalCond_wtd_std - ThermalCond_mean); abs(newdata$ThermalCond_wtd_std - newdata$ThermalCond_mean); ThermalCond_wtd_std,ThermalCond_mean
# 1;  1; eV;                                               1|0|div; (w_log / lambda); $\left(\frac{ w_{log} }{ lambda } \right)$; (w_log ./ lambda); (newdata$w_log / newdata$lambda); w_log,lambda
# 2;  1; eV;                                               2|28|mult:-4.3141018074457e-02,-4.5324693437471e-01; ((lambda4w_low-4.314102e-02) * (PE_wtd_range-4.532469e-01)); $\left(\left(lambda4w_{low}-4.314e-02\right) * \left(PE_{wtd, range}-4.532e-01\right)\right)$; ((lambda4w_low-4.314102e-02) .* (PE_wtd_range-4.532469e-01)); ((newdata$lambda4w_low-4.314102e-02) * (newdata$PE_wtd_range-4.532469e-01)); lambda4w_low,PE_wtd_range
# 3;  1; eV^3;                                             1|cb; (w_log^3); $\left(w_{log}^3\right)$; (w_log).^3; (newdata$w_log)^3; w_log
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
Se2Ta1      ,  1.250000000000000e-01,  1.962447188727188e+00,  2.135100000000001e+00,  1.003693243536824e-03,  2.732047197562283e-02,  9.861112800000000e-08
Ti1         ,  1.620000000000000e-01, -6.429194004459332e-06,  2.190000000000000e+01,  4.070939137444579e-02,  1.900057292811409e-02,  8.242407999999999e-06
B1Mo1       ,  2.500000000000000e-01,  2.460118975099468e+00,  2.700000000000000e+01,  5.001718803712616e-02,  1.565556081211607e-02,  2.464217100000000e-05
Al1Hf1Ni2   ,  3.700000000000000e-01,  2.832217606246565e+00,  3.900930000000000e+01,  1.857942024071876e-02,  9.438709153394018e-03,  1.316532736000000e-06
Pt1Te1      ,  5.900000000000000e-01,  2.414059742721701e+00,  3.000000000000000e+00,  9.401080019636722e-03,  1.444670039250739e-02,  4.494550960000001e-07
Sb1V3       ,  6.500000000000000e-01,  9.575956186689997e-01,  2.444880000000000e+01,  4.013221854948473e-02,  1.233294825582476e-02,  8.792838143999999e-06
Al1Ni2Zr1   ,  6.899999999999999e-01,  3.870813309734476e+00,  3.882490000000000e+01,  9.591494124230554e-03,  8.788981949984901e-03,  6.294227929999998e-07
Rh1Te2      ,  7.550000000000000e-01, -8.807522706090278e-01,  7.203500000000005e+00,  3.766355140186916e-02,  1.605373064062600e-02,  1.767172329000000e-06
Zr1         ,  9.966666670000000e-01,  1.651964058759706e+00,  2.270000000000000e+01,  1.849970980847359e-02,  1.824818301705208e-02,  2.072671874999999e-06
Be2Ta3      ,  1.000000000000000e+00, -7.071570657328517e-02,  5.834360000000000e+01,  4.241203330647327e-02,  1.797810190043708e-02,  3.936827538999999e-06
C1Si1       ,  1.075000000000000e+00,  1.176889328179483e+01,  1.400000000000000e+02,  6.680553241126480e-02,  4.865819255104392e-03,  6.443297272900001e-05
Nb3Sb1      ,  1.100000000000000e+00,  2.146615268774574e+00,  2.600960000000000e+01,  2.743149653718759e-02,  1.126154372005277e-02,  6.048464248000001e-06
Nb1O1       ,  1.380000000000000e+00,  4.064451857449873e+00,  2.660000000000196e-02,  4.880998829496684e-02, -1.932871963691700e-02,  1.566253000800000e-05
Sb1         ,  1.416666667000000e+00,  3.212485068309476e+00,  2.400000000000000e+01,  8.372598767669446e-03,  1.334405118711775e-02,  7.888890240000000e-07
Sb1Sn1      ,  1.430000000000000e+00,  2.787884388053429e+00,  2.400000000000000e+01,  9.119496855345912e-03,  1.587305643426444e-02,  4.800486870000000e-07
S2Ta1       ,  1.488116666500000e+00,  4.161996810710378e+00,  1.829100000000000e+00,  4.647135904155747e-03,  4.383730096747783e-03,  9.791466569999998e-07
B2C2Y1      ,  1.800000000000000e+00,  3.947498692361611e+00,  4.328899999999997e+00,  7.831299040976460e-02,  3.209688766399801e-03,  4.638436885699999e-05
Re2Y1       ,  1.830000000000000e+00,  2.042611893687242e+00,  1.808070000000000e+01,  2.569548872180451e-02,  6.351677367482044e-03,  2.554497863000000e-06
S1Y1        ,  1.900000000000000e+00,  4.012903708311108e+00,  2.050000000000001e-01,  2.040467369620975e-02, -8.995524964859430e-03,  2.936493567999999e-06
Ga2Pt1      ,  1.900000000000000e+00,  3.455185558589327e+00,  3.022960000000000e+01,  1.021408305390766e-02,  9.842543279985606e-03,  4.967930880000000e-07
Mo0.5Rh0.5  ,  1.940000000000000e+00,  3.979353091734329e+00,  1.390000000000000e+02,  2.902909447531873e-02,  1.598588823699082e-02,  5.601816576000001e-06
Pd2Sc1Sn1   ,  2.122500000000000e+00,  4.497843018978174e+00,  2.796070000000000e+01,  1.160700913583945e-02, -1.895053906424724e-03,  4.654843749999999e-07
Be2Nb1      ,  2.150000000000000e+00,  9.800480429051731e-01,  5.788900000000000e+01,  5.192148760330578e-02,  1.837263187822387e-02,  1.587001969700000e-05
In1Te1      ,  2.206000000000000e+00,  3.088143763557416e+00,  3.000000000000000e+00,  6.044317683194383e-03,  1.153370047617056e-02,  1.672841510000000e-07
C2Cl2Y2     ,  2.300000000000000e+00,  5.099823276324948e+00,  9.933799999999998e+00,  4.961240310077520e-03, -3.992693153710448e-03,  3.489136640000000e-07
Be2Nb3      ,  2.300000000000000e+00,  3.454682611322901e-01,  5.537390000000001e+01,  4.310498220640570e-02,  1.858561444962304e-02,  7.278825672000002e-06
Pb1Pd2Sc1   ,  2.400000000000000e+00,  5.369081273473068e+00,  1.679900000000000e+01,  3.420957868203097e-03, -3.832618962620916e-03,  2.314912500000000e-08
As1Pt1Sr1   ,  2.425000000000000e+00,  5.093625042007149e+00,  3.713830000000000e+01,  1.111710012127746e-02, -4.700258330443842e-03,  5.615156250000001e-07
Bi1Nb3      ,  2.516666667000000e+00,  1.874447693159518e+00,  1.108140000000000e+01,  2.136867325546571e-02,  1.191890254770017e-02,  2.905841483000000e-06
Re1         ,  2.581333333000000e+00,  2.500922018349394e+00,  4.800000000000000e+01,  1.831773270930837e-02,  1.731902680158393e-02,  2.797260929000000e-06
Hf1In1Pd2   ,  2.630000000000000e+00,  4.115078753546813e+00,  3.597420000000000e+01,  9.953129307968017e-03,  5.070504354731170e-03,  3.763670480000000e-07
Nb3Rh1      ,  2.742333333000000e+00,  2.959893176975025e+00,  6.043080000000000e+01,  2.873295643498503e-02,  8.104536507377986e-03,  5.159780352000000e-06
Ga1Ni2Zr1   ,  2.870000000000000e+00,  4.138341766975341e+00,  1.491560000000000e+01,  3.906309029089536e-03,  6.769946634261051e-03,  1.381884130000000e-07
N1Ni3Zn1    ,  3.000000000000000e+00,  5.459935382903539e+00,  2.893170000000000e+01,  6.265088618029795e-03, -3.215670223813734e-03,  1.204550144000000e-06
B1Hf1       ,  3.100000000000000e+00,  1.352493178477577e+00,  2.300000000000000e+01,  5.771288452964779e-02,  3.503948219408882e-03,  1.735386246900000e-05
Pt0.25V0.75 ,  3.102500000000000e+00,  4.520407059652934e+00,  3.346660000000000e+01,  2.150569886022796e-02,  4.526361484411297e-03,  9.952248951000003e-06
C2Y1        ,  3.150000000000000e+00,  3.472769079110060e+00,  2.071149999999999e+01,  3.900880676912451e-02, -5.596974809071765e-03,  1.152785997900000e-05
Pb1Pd2Y1    ,  3.215000000000000e+00,  3.635438647047683e+00,  1.760280000000000e+01,  1.207865168539326e-02,  2.959899045199978e-03,  2.683361250000000e-07
In1Sb1      ,  3.320000000000000e+00,  4.161914513003524e+00,  2.400000000000000e+01,  4.672330097087379e-03,  7.800556360598816e-03,  2.337448960000000e-07
Bi2K1       ,  3.575000000000000e+00,  4.912406689435548e+00,  1.063080000000000e+01,  5.556164383561644e-03, -3.171783960055392e-03,  1.303238430000000e-07
Al1Hf1Pd2   ,  3.621666666500000e+00,  5.100783884456916e+00,  2.981120000000000e+01,  2.886438654399888e-03,  2.118881764383637e-03,  6.942653100000000e-08
Hg0.5In0.5  ,  3.810000000000000e+00,  4.641229069892762e+00,  8.299999999999997e+00,  1.228297486395439e-03,  3.525495466964402e-03,  1.331205300000000e-08
