# c0 + a0 * ((PE_wtd_std-4.840307e-01) * (lambda3-2.012678e+00)) + a1 * (w_log^3)
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 2.91013670897169; Max AE: 10.2654878257656
# Coefficients
# Task   a0                      a1                      c0
# all , -2.817751958065401e+00,  1.320552384710691e+05,  3.636834428978813e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         30|3|mult:-4.8403066901734e-01,-2.0126778440742e+00; ((PE_wtd_std-4.840307e-01) * (lambda3-2.012678e+00)); $\left(\left(PE_{wtd, std}-4.840e-01\right) * \left(lambda3-2.013e+00\right)\right)$; ((PE_wtd_std-4.840307e-01) .* (lambda3-2.012678e+00)); ((newdata$PE_wtd_std-4.840307e-01) * (newdata$lambda3-2.012678e+00)); PE_wtd_std,lambda3
# 1;  1; eV^3;                                             1|cb; (w_log^3); $\left(w_{log}^3\right)$; (w_log).^3; (newdata$w_log)^3; w_log
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
C8Cs1       ,  6.750000000000000e-02,  6.380645175128476e+00, -1.328250094244713e-01,  1.794357303199999e-05
Se2Ta1      ,  1.250000000000000e-01,  6.976319203165341e-01,  1.047723386806958e+00,  9.861112800000000e-08
Ti1         ,  1.620000000000000e-01,  2.146864834866765e+00,  9.150637765497915e-01,  8.242407999999999e-06
B1Mo1       ,  2.500000000000000e-01,  4.721482617876731e+00,  7.699327730896002e-01,  2.464217100000000e-05
Al1Hf1Ni2   ,  3.700000000000000e-01,  2.631543832816956e+00,  4.184703473257024e-01,  1.316532736000000e-06
Pt1Te1      ,  5.900000000000000e-01,  2.062145221079408e+00,  5.799098473187170e-01,  4.494550960000001e-07
Sb1V3       ,  6.500000000000000e-01,  3.200329501102471e+00,  5.669928686401052e-01,  8.792838143999999e-06
Al1Ni2Zr1   ,  6.899999999999999e-01,  2.830884821557901e+00,  3.155239345694810e-01,  6.294227929999998e-07
Rh1Te2      ,  7.550000000000000e-01,  1.643841653646391e+00,  7.901182118906428e-01,  1.767172329000000e-06
Zr1         ,  9.966666670000000e-01,  1.611986700153799e+00,  8.157406832674331e-01,  2.072671874999999e-06
Be2Ta3      ,  1.000000000000000e+00,  1.671577485160171e+00,  8.819568508105986e-01,  3.936827538999999e-06
C1Si1       ,  1.075000000000000e+00,  1.134048782576559e+01,  2.857093861781713e-01,  6.443297272900001e-05
Nb3Sb1      ,  1.100000000000000e+00,  3.034563136486818e+00,  4.972058229381076e-01,  6.048464248000001e-06
Sb1         ,  1.416666667000000e+00,  2.829166138843829e+00,  3.236073408507409e-01,  7.888890240000000e-07
Sb1Sn1      ,  1.430000000000000e+00,  1.993394303703653e+00,  6.057428384457725e-01,  4.800486870000000e-07
S2Ta1       ,  1.488116666500000e+00,  3.219122341324838e+00,  1.941311872311951e-01,  9.791466569999998e-07
B2C2Y1      ,  1.800000000000000e+00,  9.776545273802972e+00, -5.114699340991980e-03,  4.638436885699999e-05
