# FEAT_ID     Score                   Feature Expression
0             0.165199030957611265    (ThermalCond_wtd_std / at_mass_mean)
1             0.166827356447058317    ((EA_wtd_range-8.080977e-01) * (w_log-1.752532e-02))
2             0.166838838603308837    ((w_log-1.752246e-02) * (EA_wtd_range-8.079856e-01))
3             0.168238897969972379    (w_log / IP_mean)
4             0.168270761677208391    (ThermalCond_std / at_mass_mean)
5             0.170036895023170126    (exp(2.228024e+00*w_log))
6             0.170063574110380533    (ThermalCond_wtd_range / at_mass_mean)
7             0.170197723939369605    (w_log / at_rad_mean)
8             0.17040205226166788     (w_log / IP_wtd_mean)
9             0.173979124675608415    (w_log / PE_wtd_mean)
10            0.174346839317072733    ((EA_std-5.468847e-01) * (w_log-9.039657e-03))
11            0.176469541247682549    (w_log / at_rad_wtd_mean)
12            0.177272834726000278    ((EA_wtd_std-7.992230e-01) * (w_log-1.540777e-02))
13            0.180589983091094808    ((w_log-1.014800e-02) * (at_rad_mean-1.328079e+00))
14            0.181276276344945697    (at_rad_wtd_mean / at_mass_mean)
15            0.190697254798208982    (w_log / L_avg)
16            0.190863494540819079    (w_log / PE_mean)
17            0.196534161788568307    (1.0 / at_mass_mean)
18            0.198608110142072608    (at_rad_mean / at_mass_mean)
19            0.225938197837768834    ((IP_wtd_range-2.304374e+00) * (w_log-1.623762e-02))
20            0.23526469997344962     ((IP_wtd_std-2.520168e+00) * (w_log-1.493049e-02))
21            0.240161889169166615    ((w_log-1.422680e-02) * (IP_std-2.619486e+00))
22            0.265523505424716755    ((density-1.206285e+01) * (w_log-2.006914e-02))
23            0.304272609059188737    (w_log * lambda)
24            0.304284748502934299    (lambda4w_low / lambda3)
25            0.323407252965477621    (w_log / density)
26            0.348490084103304065    (w_log^2)
27            0.349957465877168195    (w_log / at_mass_wtd_mean)
28            0.360070148360404907    (w_log / at_mass_mean)
29            0.491518216573554212    (w_log^3)
#-----------------------------------------------------------------------
30            0.16419316165371306     (IP_wtd_range / lambda3)
31            0.168048564485913793    ((at_mass_range-9.556315e+01) * (lambda4w_low-5.496272e-02))
32            0.171829700292787574    (IP_wtd_std / lambda3)
33            0.172524801480462758    (IP_std / lambda3)
34            0.17420296560783094     (|PE_mean - lambda|)
35            0.178290422474655874    cbrt(lambda)
36            0.180101632324403987    (IP_range / lambda3)
37            0.190301297147142445    ((PE_wtd_std-4.655240e-01) * (lambda3-4.678830e+00))
38            0.195535805047569761    ((w_log+4.104364e-03) * (lambda-4.494551e-01))
39            0.19884315283365131     (lambda / lambda3)
40            0.202515741317527281    (w_log / lambda3)
41            0.204684308918715974    ln(lambda3)
42            0.223690161921336506    cos(lambda)
43            0.228679853274490419    (exp(-1.0 * lambda))
44            0.230062991728414185    (1.0 / lambda)
45            0.235532856683539127    (PE_wtd_mean / lambda)
46            0.239440210736114101    (exp(-1.0 * lambda3))
47            0.241898705255537694    (PE_mean / lambda)
48            0.247029595212766795    ((PE_range-1.027537e+00) * (lambda3-1.962920e+00))
49            0.249592879922173244    (IP_mean / lambda)
50            0.251192145956869561    (IP_wtd_mean / lambda)
51            0.26094233225893676     (lambda4w_low - (4.636006e-01*lambda))
52            0.262599606457265156    ((PE_std-5.134653e-01) * (lambda3-2.109402e+00))
53            0.26841950481449417     ((EA_range-1.656526e+00) * (lambda3-1.923609e+00))
54            0.268818392555552621    ((PE_wtd_range-4.561698e-01) * (lambda3-2.098143e+00))
55            0.275781703904214026    ((lambda4w_low-1.947414e+00) * (lambda-3.212340e-01))
56            0.283283227206435506    ((lambda-1.046669e+00) * (EA_range-1.829466e+00))
57            0.284498921934112081    ((EA_std-8.288300e-01) * (lambda3-1.772488e+00))
58            0.285422511825130731    ((lambda-9.134196e+00) * (lambda3+1.000462e+02))
59            0.285452780445727194    ((lambda3+1.009778e+02) * (lambda-9.176637e+00))
#-----------------------------------------------------------------------
60            0.0945183912629121992   (at_rad_wtd_range / lambda3)
61            0.0945193492063165497   (at_rad_wtd_std + at_rad_wtd_mean)
62            0.0945609051527195599   ((lambda-5.843262e-01) * (ThermalCond_wtd_mean-3.581313e+01))
63            0.0949711472258881612   (IP_range * w_log)
64            0.0961539949900211272   ((at_mass_wtd_mean+4.034407e+02) * (at_rad_wtd_range+1.565284e+00))
65            0.0962371322203432744   ((at_rad_wtd_range+1.487711e+00) * (at_mass_wtd_mean+3.810046e+02))
66            0.0973465283754789551   (IP_wtd_std / at_mass_wtd_mean)
67            0.0987176472082395562   (PE_range / lambda)
68            0.100020395924953501    (IP_wtd_range / at_mass_mean)
69            0.100232207516056798    (EA_mean / at_mass_mean)
70            0.101913942397653903    ((L_avg-5.574916e+00) * (at_mass_range-1.624230e+02))
71            0.102288255223205532    (at_rad_wtd_range + at_rad_wtd_mean)
72            0.102464070527479467    (EA_wtd_mean * w_log)
73            0.102790134330422209    (EA_mean / at_mass_wtd_mean)
74            0.103723809635944769    (w_log / lambda)
75            0.107828863597355787    (at_rad_wtd_std / lambda3)
76            0.11183069382326126     (ThermalCond_mean * lambda)
