# c0 + a0 * (ThermalCond_mean - (8.556166e+01*EA_wtd_mean)) + a1 * (w_log / lambda) + a2 * ((lambda4w_low-4.297383e-02) * (PE_wtd_range-4.531447e-01)) + a3 * (w_log^3)
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 2.3451000473495; Max AE: 8.43114086733152
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# all ,  1.661709697035762e-02, -1.283051318238460e+02, -1.114668916102758e+02,  1.876208034887605e+05,  6.001190801254912e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; W * mK^-1;                                        37|32|sub:8.5561659593936e+01,0.0000000000000e+00; (ThermalCond_mean - (8.556166e+01*EA_wtd_mean)); $\left(ThermalCond_{mean} - \left(8.556e+01EA_{wtd, mean}\right)\right)$; (ThermalCond_mean - (8.556166e+01.*EA_wtd_mean)); (newdata$ThermalCond_mean - (8.556166e+01*newdata$EA_wtd_mean)); ThermalCond_mean,EA_wtd_mean
# 1;  1; eV;                                               1|0|div; (w_log / lambda); $\left(\frac{ w_{log} }{ lambda } \right)$; (w_log ./ lambda); (newdata$w_log / newdata$lambda); w_log,lambda
# 2;  1; eV;                                               2|28|mult:-4.2973827442331e-02,-4.5314470760409e-01; ((lambda4w_low-4.297383e-02) * (PE_wtd_range-4.531447e-01)); $\left(\left(lambda4w_{low}-4.297e-02\right) * \left(PE_{wtd, range}-4.531e-01\right)\right)$; ((lambda4w_low-4.297383e-02) .* (PE_wtd_range-4.531447e-01)); ((newdata$lambda4w_low-4.297383e-02) * (newdata$PE_wtd_range-4.531447e-01)); lambda4w_low,PE_wtd_range
# 3;  1; eV^3;                                             1|cb; (w_log^3); $\left(w_{log}^3\right)$; (w_log).^3; (newdata$w_log)^3; w_log
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
C8Cs1       ,  6.750000000000000e-02,  1.160377488350909e+00, -1.254350618883471e+01,  5.850279329608938e-02,  4.420645726300704e-03,  1.794357303199999e-05
Se2Ta1      ,  1.250000000000000e-01,  1.231826887397420e+00, -9.570654621129934e+01,  1.003693243536824e-03,  2.753034031523149e-02,  9.861112800000000e-08
Ti1         ,  1.620000000000000e-01,  4.669952718290971e-01,  1.514062889207902e+01,  4.070939137444579e-02,  1.892052592770649e-02,  8.242407999999999e-06
B1Mo1       ,  2.500000000000000e-01,  3.121791800948095e+00,  3.923521111770152e+01,  5.001718803712616e-02,  1.558576094812201e-02,  2.464217100000000e-05
Al1Hf1Ni2   ,  3.700000000000000e-01,  3.771448946181846e+00,  5.744120970149354e+01,  1.857942024071876e-02,  9.396709266739741e-03,  1.316532736000000e-06
Pt1Te1      ,  5.900000000000000e-01,  9.853930820213461e-01, -1.378586213377727e+02,  9.401080019636722e-03,  1.438192033654791e-02,  4.494550960000001e-07
Sb1V3       ,  6.500000000000000e-01,  6.472602992269799e-01, -2.923192548947016e+01,  4.013221854948473e-02,  1.227925626986646e-02,  8.792838143999999e-06
Al1Ni2Zr1   ,  6.899999999999999e-01,  4.715163693558297e+00,  4.822889295473932e+01,  9.591494124230554e-03,  8.746150330152353e-03,  6.294227929999998e-07
Rh1Te2      ,  7.550000000000000e-01, -1.417569621667156e+00, -6.835588969253439e+01,  3.766355140186916e-02,  1.598694746360846e-02,  1.767172329000000e-06
Zr1         ,  9.966666670000000e-01,  1.762821991674614e+00, -1.374926698701692e+01,  1.849970980847359e-02,  1.816830571308370e-02,  2.072671874999999e-06
Be2Ta3      ,  1.000000000000000e+00,  1.080006128189790e+00,  1.069694873664515e+02,  4.241203330647327e-02,  1.790357845663992e-02,  3.936827538999999e-06
C1Si1       ,  1.075000000000000e+00,  9.506140867331521e+00,  3.171636269762814e+01,  6.680553241126480e-02,  4.840516072684663e-03,  6.443297272900001e-05
