# c0 + a0 * (IP_range * lambda4w_low) + a1 * ((at_mass_range-6.183382e+01) * (L_avg-5.057849e+00)) + a2 * ((w_log+2.209752e-03) * (lambda-4.396239e-01)) + a3 * (w_log^3) + a4 * (w_log / at_rad_mean)
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 2.21748966289859; Max AE: 5.95499125336411
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# all , -4.142684196808984e+00, -1.592041366354320e-02,  4.726126062036379e+02,  2.017490876460240e+05, -2.780044020477227e+02,  3.196050626857119e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; eV^2;                                             21|2|mult; (IP_range * lambda4w_low); $\left(IP_{range} lambda4w_{low}\right)$; (IP_range .* lambda4w_low); (newdata$IP_range * newdata$lambda4w_low); IP_range,lambda4w_low
# 1;  1; AA * g * mol^-1;                                  9|4|mult:-6.1833821608113e+01,-5.0578494011570e+00; ((at_mass_range-6.183382e+01) * (L_avg-5.057849e+00)); $\left(\left(at_{mass, range}-6.183e+01\right) * \left(L_{avg}-5.058e+00\right)\right)$; ((at_mass_range-6.183382e+01) .* (L_avg-5.057849e+00)); ((newdata$at_mass_range-6.183382e+01) * (newdata$L_avg-5.057849e+00)); at_mass_range,L_avg
# 2;  1; eV;                                               1|0|mult:2.2097515750365e-03,-4.3962389126096e-01; ((w_log+2.209752e-03) * (lambda-4.396239e-01)); $\left(\left(w_{log}+2.210e-03\right) * \left(lambda-4.396e-01\right)\right)$; ((w_log+2.209752e-03) .* (lambda-4.396239e-01)); ((newdata$w_log+2.209752e-03) * (newdata$lambda-4.396239e-01)); w_log,lambda
# 3;  1; eV^3;                                             1|cb; (w_log^3); $\left(w_{log}^3\right)$; (w_log).^3; (newdata$w_log)^3; w_log
# 4;  1; AA^-1 * eV;                                       1|13|div; (w_log / at_rad_mean); $\left(\frac{ w_{log} }{ at_{rad, mean} } \right)$; (w_log ./ at_rad_mean); (newdata$w_log / newdata$at_rad_mean); w_log,at_rad_mean
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
C8Cs1       ,  6.750000000000000e-02,  2.095024902594848e+00,  7.734300000000000e-03,  1.274244145630591e+01,  2.236007704793980e-04,  1.794357303199999e-05,  1.651735015772871e-02
Se2Ta1      ,  1.250000000000000e-01, -1.255428763264043e+00,  3.861676280000000e+00,  6.447984370637172e+01,  2.843482453612978e-02,  9.861112800000000e-08,  3.186206896551724e-03
Ti1         ,  1.620000000000000e-01,  8.495885155591912e-01,  0.000000000000000e+00,  6.901578295914128e+01,  1.267856541924199e-03,  8.242407999999999e-06,  1.262500000000000e-02
B1Mo1       ,  2.500000000000000e-01,  3.837885665883021e+00,  4.015980000000000e-03, -2.395421365395685e+01,  4.451498644524803e-03,  2.464217100000000e-05,  2.445378151260504e-02
Al1Hf1Ni2   ,  3.700000000000000e-01,  3.351663900016031e+00,  2.199820000000000e-03, -7.161543359901812e+01,  1.979099019756363e-03,  1.316532736000000e-06,  7.828571428571428e-03
Pt1Te1      ,  5.900000000000000e-01,  3.516222716986889e+00,  1.725440000000000e-04, -2.171077663512478e+00,  3.702894990143230e-03,  4.494550960000001e-07,  5.591240875912409e-03
Sb1V3       ,  6.500000000000000e-01,  1.861643386409356e+00,  2.727360000000000e-03, -1.674289437915925e+00,  1.706330533277538e-03,  8.792838143999999e-06,  1.413698630136986e-02
Al1Ni2Zr1   ,  6.899999999999999e-01,  3.925932151122007e+00,  9.030839999999998e-03, -1.868904663997127e+00,  4.892671698051129e-03,  6.294227929999998e-07,  6.121428571428571e-03
Rh1Te2      ,  7.550000000000000e-01,  1.172308402108269e+00,  2.016300000000000e-04, -5.169610095303760e+01, -1.696292175895831e-03,  1.767172329000000e-06,  8.635714285714286e-03
Zr1         ,  9.966666670000000e-01,  2.142015433939672e+00,  0.000000000000000e+00,  7.608338876894861e+01,  3.733596585800374e-03,  2.072671874999999e-06,  7.285714285714285e-03
Be2Ta3      ,  1.000000000000000e+00, -4.849861341720528e-01,  4.299000000000000e-04,  3.770445418904605e+01, -1.211813317762000e-03,  3.936827538999999e-06,  1.187218045112782e-02
C1Si1       ,  1.075000000000000e+00,  5.616970584259647e+00,  1.616160000000000e-02,  1.008276887599249e+02,  6.788099533390050e-03,  6.443297272900001e-05,  4.357608695652174e-02
