# c0 + a0 * ((lambda-1.036326e+00) * (EA_range-1.829774e+00)) + a1 * (w_log^3)
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 2.77405009165791; Max AE: 9.36334611528423
# Coefficients
# Task   a0                      a1                      c0
# all , -3.735974518016267e+00,  1.470783892801777e+05,  3.744853782585123e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; eV;                                               0|33|mult:-1.0363255223797e+00,-1.8297736140509e+00; ((lambda-1.036326e+00) * (EA_range-1.829774e+00)); $\left(\left(lambda-1.036e+00\right) * \left(EA_{range}-1.830e+00\right)\right)$; ((lambda-1.036326e+00) .* (EA_range-1.829774e+00)); ((newdata$lambda-1.036326e+00) * (newdata$EA_range-1.829774e+00)); lambda,EA_range
# 1;  1; eV^3;                                             1|cb; (w_log^3); $\left(w_{log}^3\right)$; (w_log).^3; (newdata$w_log)^3; w_log
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
C8Cs1       ,  6.750000000000000e-02,  4.098832818375452e+00,  6.116564159278119e-01,  1.794357303199999e-05
Se2Ta1      ,  1.250000000000000e-01,  5.501916404641932e+00, -4.664269115814884e-01,  9.861112800000000e-08
Ti1         ,  1.620000000000000e-01,  1.264842503834605e+00,  9.883074291259102e-01,  8.242407999999999e-06
B1Mo1       ,  2.500000000000000e-01,  5.058460684502552e+00,  6.185063377670541e-01,  2.464217100000000e-05
Al1Hf1Ni2   ,  3.700000000000000e-01,  2.814744501807643e+00,  3.007897376183583e-01,  1.316532736000000e-06
Pt1Te1      ,  5.900000000000000e-01,  2.426548542962344e+00,  3.705620486756754e-01,  4.494550960000001e-07
Sb1V3       ,  6.500000000000000e-01,  2.532429615213797e+00,  6.706846170146290e-01,  8.792838143999999e-06
Al1Ni2Zr1   ,  6.899999999999999e-01,  3.250597307656697e+00,  1.570757409262772e-01,  6.294227929999998e-07
Rh1Te2      ,  7.550000000000000e-01,  1.343623472708118e+00,  7.123022806429212e-01,  1.767172329000000e-06
Zr1         ,  9.966666670000000e-01,  1.676753258281587e+00,  6.351611216140874e-01,  2.072671874999999e-06
Be2Ta3      ,  1.000000000000000e+00,  5.834177443481104e-01,  1.001200161700539e+00,  3.936827538999999e-06
C1Si1       ,  1.075000000000000e+00,  1.043834611528423e+01,  7.449744368956936e-01,  6.443297272900001e-05
Nb3Sb1      ,  1.100000000000000e+00,  2.336681216752241e+00,  6.150392445041453e-01,  6.048464248000001e-06
Nb1O1       ,  1.380000000000000e+00,  3.579655410639131e+00,  6.608230451437814e-01,  1.566253000800000e-05
Sb1         ,  1.416666667000000e+00,  4.320769804084052e+00, -1.230970640486032e-01,  7.888890240000000e-07
Sb1Sn1      ,  1.430000000000000e+00,  2.686846246759881e+00,  3.020931534844992e-01,  4.800486870000000e-07
S2Ta1       ,  1.488116666500000e+00,  4.196285190573741e+00, -8.228645386243737e-02,  9.791466569999998e-07
B2C2Y1      ,  1.800000000000000e+00,  8.746448680808752e+00,  4.873007972249869e-01,  4.638436885699999e-05
Re2Y1       ,  1.830000000000000e+00,  9.688133246072268e-01,  8.436224267292685e-01,  2.554497863000000e-06
