# c0 + a0 * ((L_avg-5.594413e+00) * (at_mass_range-1.660821e+02)) + a1 * ((lambda-9.142425e+00) * (lambda3+1.002171e+02)) + a2 * (w_log^3)
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 2.64226440792712; Max AE: 8.19464704990991
# Coefficients
# Task   a0                      a1                      a2                      c0
# all , -8.378641580382441e-03,  7.297013777887700e-02,  1.598490684560694e+05,  6.484072784744727e+01, 
# Feature Rung, Units, and Expressions
# 0;  1; AA * g * mol^-1;                                  4|9|mult:-5.5944128893813e+00,-1.6608206513722e+02; ((L_avg-5.594413e+00) * (at_mass_range-1.660821e+02)); $\left(\left(L_{avg}-5.594e+00\right) * \left(at_{mass, range}-1.661e+02\right)\right)$; ((L_avg-5.594413e+00) .* (at_mass_range-1.660821e+02)); ((newdata$L_avg-5.594413e+00) * (newdata$at_mass_range-1.660821e+02)); L_avg,at_mass_range
# 1;  1; Unitless;                                         0|3|mult:-9.1424253092373e+00,1.0021714961024e+02; ((lambda-9.142425e+00) * (lambda3+1.002171e+02)); $\left(\left(lambda-9.142e+00\right) * \left(lambda3+1.002e+02\right)\right)$; ((lambda-9.142425e+00) .* (lambda3+1.002171e+02)); ((newdata$lambda-9.142425e+00) * (newdata$lambda3+1.002171e+02)); lambda,lambda3
# 2;  1; eV^3;                                             1|cb; (w_log^3); $\left(w_{log}^3\right)$; (w_log).^3; (newdata$w_log)^3; w_log
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
C8Cs1       ,  6.750000000000000e-02,  3.945909469735414e+00,  1.449665709191220e+01, -8.721597828226426e+02,  1.794357303199999e-05
Se2Ta1      ,  1.250000000000000e-01, -7.008391960425335e-02, -6.857246887136779e+01, -8.976428001471824e+02,  9.861112800000000e-08
Ti1         ,  1.620000000000000e-01,  5.527420637498668e-01,  2.744859697473555e+02, -8.675563647256928e+02,  8.242407999999999e-06
B1Mo1       ,  2.500000000000000e-01,  4.993118221073881e+00,  1.266283744067021e+02, -8.596073113151749e+02,  2.464217100000000e-05
Al1Hf1Ni2   ,  3.700000000000000e-01,  2.216573014222728e+00,  1.946415286701444e+01, -8.588652853314111e+02,  1.316532736000000e-06
Pt1Te1      ,  5.900000000000000e-01,  2.924409472758376e+00,  9.079036924641339e+01, -8.390756171486202e+02,  4.494550960000001e-07
Sb1V3       ,  6.500000000000000e-01,  2.487331203483305e+00,  6.886725912611519e+01, -8.658598088575335e+02,  8.792838143999999e-06
Al1Ni2Zr1   ,  6.899999999999999e-01,  3.068274425440155e+00,  1.337294718564539e+02, -8.325679052411006e+02,  6.294227929999998e-07
Rh1Te2      ,  7.550000000000000e-01,  1.605395856728171e+00, -1.209411008201377e+02, -8.843499127406067e+02,  1.767172329000000e-06
Zr1         ,  9.966666670000000e-01,  6.939904725990416e-01,  2.934691497925400e+02, -8.499254778743723e+02,  2.072671874999999e-06
Be2Ta3      ,  1.000000000000000e+00,  1.311832950195001e+00, -1.136265976597134e+00, -8.793694986823285e+02,  3.936827538999999e-06
C1Si1       ,  1.075000000000000e+00,  9.092942630882309e+00,  4.110218399768298e+02, -8.579335754577388e+02,  6.443297272900001e-05
Nb3Sb1      ,  1.100000000000000e+00,  3.213088498760612e+00,  4.930795631381974e+01, -8.521478638252560e+02,  6.048464248000001e-06
Nb1O1       ,  1.380000000000000e+00,  3.102944401021527e+00,  1.250691782663729e+02, -8.660188452969566e+02,  1.566253000800000e-05
Sb1         ,  1.416666667000000e+00,  1.867627024610717e+00,  4.205883624485696e+02, -8.164332241928032e+02,  7.888890240000000e-07
Sb1Sn1      ,  1.430000000000000e+00,  2.190858348848584e+00,  2.107210455723151e+02, -8.354246075903944e+02,  4.800486870000000e-07
B2C2Y1      ,  1.800000000000000e+00,  8.047859731177130e+00,  7.686680892528921e+01, -8.710868413074523e+02,  4.638436885699999e-05
Re2Y1       ,  1.830000000000000e+00,  2.701443092319411e+00, -6.132413281354828e+01, -8.642087531624286e+02,  2.554497863000000e-06
S1Y1        ,  1.900000000000000e+00,  1.783885048917137e+00,  1.895585865313196e+02, -8.488129115579361e+02,  2.936493567999999e-06
Ga2Pt1      ,  1.900000000000000e+00,  2.967132591105466e+00,  5.746609199098399e+01, -8.424202180779042e+02,  4.967930880000000e-07
Mo0.5Rh0.5  ,  1.940000000000000e+00,  1.029658452628386e+00,  2.602694609814172e+02, -8.568684660805350e+02,  5.601816576000001e-06
Pd2Sc1Sn1   ,  2.122500000000000e+00,  1.579679786006303e+00,  1.404638631544325e+02, -8.518355704515611e+02,  4.654843749999999e-07
Be2Nb1      ,  2.150000000000000e+00,  3.289783926468583e+00,  8.333955459987706e+01, -8.687043968664696e+02,  1.587001969700000e-05
In1Te1      ,  2.206000000000000e+00,  2.622204359742157e+00,  1.908912170518655e+02, -8.311051131445828e+02,  1.672841510000000e-07
C2Cl2Y2     ,  2.300000000000000e+00,  6.959376523661406e+00, -1.831785307438242e+01, -7.960873494499001e+02,  3.489136640000000e-07
Be2Nb3      ,  2.300000000000000e+00,  2.251160163116476e+00,  1.504143867084569e+01, -8.719601785156038e+02,  7.278825672000002e-06
Pb1Pd2Sc1   ,  2.400000000000000e+00,  3.215517460987250e+00,  6.127376942147416e+01, -8.375415157562811e+02,  2.314912500000000e-08
As1Pt1Sr1   ,  2.425000000000000e+00,  3.325061383930699e+00, -9.008846423848622e+00, -8.452897032378846e+02,  5.615156250000001e-07
Bi1Nb3      ,  2.516666667000000e+00,  3.026179826996111e+00,  1.445797620419177e+01, -8.518266206698903e+02,  2.905841483000000e-06
Re1         ,  2.581333333000000e+00,  6.041497341742931e-01,  3.787522902405034e+02, -8.429515121065551e+02,  2.797260929000000e-06
Hf1In1Pd2   ,  2.630000000000000e+00,  2.328945617224741e+00,  9.368822071815588e+01, -8.467431474197855e+02,  3.763670480000000e-07
Nb3Rh1      ,  2.742333333000000e+00,  2.429941114632575e+00,  7.646705643358116e+01, -8.578150550659315e+02,  5.159780352000000e-06
Ga1Ni2Zr1   ,  2.870000000000000e+00,  4.874137046516618e+00,  1.775076319354212e+02, -8.017171002407707e+02,  1.381884130000000e-07
N1Ni3Zn1    ,  3.000000000000000e+00,  6.123097022546162e+00,  2.162160299321648e+02, -7.824924299529262e+02,  1.204550144000000e-06
B1Hf1       ,  3.100000000000000e+00,  4.010200238644682e+00, -3.516902121986538e+00, -8.720552702500286e+02,  1.735386246900000e-05
Pt0.25V0.75 ,  3.102500000000000e+00,  6.138220726491169e+00,  1.860942193681273e+01, -8.241377226205259e+02,  9.952248951000003e-06
