# c0 + a0 * ((L_avg-4.600750e+00) * (density-1.113263e+01)) + a1 * ((L_avg-4.993608e+00) * (at_mass_range-6.132963e+01)) + a2 * (w_log / lambda) + a3 * ((EA_wtd_mean-1.437241e+00) * (lambda4w_low+6.333012e-03)) + a4 * (w_log^3)
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 2.26105120953372; Max AE: 5.475984982063
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# all , -2.388826486001090e-01, -1.443224541735058e-02, -1.256222298787381e+02, -6.048623949924044e+01,  2.157705429175232e+05,  4.396175045256919e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; AA * cm^-3 * g;                                   4|5|mult:-4.6007502923097e+00,-1.1132634002876e+01; ((L_avg-4.600750e+00) * (density-1.113263e+01)); $\left(\left(L_{avg}-4.601e+00\right) * \left(density-1.113e+01\right)\right)$; ((L_avg-4.600750e+00) .* (density-1.113263e+01)); ((newdata$L_avg-4.600750e+00) * (newdata$density-1.113263e+01)); L_avg,density
# 1;  1; AA * g * mol^-1;                                  4|9|mult:-4.9936075497057e+00,-6.1329631549108e+01; ((L_avg-4.993608e+00) * (at_mass_range-6.132963e+01)); $\left(\left(L_{avg}-4.994e+00\right) * \left(at_{mass, range}-6.133e+01\right)\right)$; ((L_avg-4.993608e+00) .* (at_mass_range-6.132963e+01)); ((newdata$L_avg-4.993608e+00) * (newdata$at_mass_range-6.132963e+01)); L_avg,at_mass_range
# 2;  1; eV;                                               1|0|div; (w_log / lambda); $\left(\frac{ w_{log} }{ lambda } \right)$; (w_log ./ lambda); (newdata$w_log / newdata$lambda); w_log,lambda
# 3;  1; eV^2;                                             32|2|mult:-1.4372414617854e+00,6.3330124708325e-03; ((EA_wtd_mean-1.437241e+00) * (lambda4w_low+6.333012e-03)); $\left(\left(EA_{wtd, mean}-1.437e+00\right) * \left(lambda4w_{low}+6.333e-03\right)\right)$; ((EA_wtd_mean-1.437241e+00) .* (lambda4w_low+6.333012e-03)); ((newdata$EA_wtd_mean-1.437241e+00) * (newdata$lambda4w_low+6.333012e-03)); EA_wtd_mean,lambda4w_low
# 4;  1; eV^3;                                             1|cb; (w_log^3); $\left(w_{log}^3\right)$; (w_log).^3; (newdata$w_log)^3; w_log
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
C8Cs1       ,  6.750000000000000e-02,  2.098045576432274e+00, -5.454815459070962e+00,  1.667779746675733e+01,  5.850279329608938e-02, -1.935393681483794e-03,  1.794357303199999e-05
Se2Ta1      ,  1.250000000000000e-01,  2.280846412382209e+00, -4.881955568220276e+00,  6.790095507230031e+01,  1.003693243536824e-03,  3.631852588504567e-02,  9.861112800000000e-08
Ti1         ,  1.620000000000000e-01, -2.420774361402824e-01,  4.153357351741084e+00,  6.451310244717628e+01,  4.070939137444579e-02, -1.025881469926683e-02,  8.242407999999999e-06
B1Mo1       ,  2.500000000000000e-01,  3.974204184732391e+00,  1.372845085244038e+00, -2.294288719300448e+01,  5.001718803712616e-02, -8.945451289998938e-03,  2.464217100000000e-05
Al1Hf1Ni2   ,  3.700000000000000e-01,  3.541510892528025e+00,  4.506872243949511e-01, -6.622510418405443e+01,  1.857942024071876e-02, -5.739147761584970e-03,  1.316532736000000e-06
Pt1Te1      ,  5.900000000000000e-01,  2.958875038119231e+00,  9.370410190247937e-02, -1.969444367956073e+00,  9.401080019636722e-03,  5.940752231670054e-03,  4.494550960000001e-07
Sb1V3       ,  6.500000000000000e-01,  1.843292267570275e+00, -8.784295578993564e-01, -1.158662476018245e+00,  4.013221854948473e-02, -6.031402659093842e-03,  8.792838143999999e-06
Al1Ni2Zr1   ,  6.899999999999999e-01,  3.503725690954835e+00,  1.304166680582984e+00, -2.073433573770527e+00,  9.591494124230554e-03, -7.576320170614966e-03,  6.294227929999998e-07
Rh1Te2      ,  7.550000000000000e-01,  1.717717529120204e+00, -4.193152895137917e+00, -5.334780197734919e+01,  3.766355140186916e-02,  1.652970622002924e-03,  1.767172329000000e-06
Zr1         ,  9.966666670000000e-01,  1.240118218974662e+00,  3.393255373701460e+00,  7.152307933323934e+01,  1.849970980847359e-02, -9.316580198451694e-03,  2.072671874999999e-06
Be2Ta3      ,  1.000000000000000e+00, -6.910853768758489e-01,  1.920331300940818e+00,  4.498265299571107e+01,  4.241203330647327e-02, -8.251742530255197e-03,  3.936827538999999e-06
C1Si1       ,  1.075000000000000e+00,  5.633329385901892e+00,  1.237068094656698e+01,  9.680947731051207e+01,  6.680553241126480e-02, -1.306015190986197e-03,  6.443297272900001e-05
Nb3Sb1      ,  1.100000000000000e+00,  2.949504881286593e+00, -1.181371030346375e+00, -7.842716434628729e+00,  2.743149653718759e-02, -4.940927701511239e-03,  6.048464248000001e-06
Nb1O1       ,  1.380000000000000e+00,  1.583250770365698e+00,  1.540398263391813e+00, -1.248849389162765e+01,  4.880998829496684e-02, -2.098330151803276e-03,  1.566253000800000e-05
Sb1         ,  1.416666667000000e+00,  7.464734234536633e-01,  6.293541017482418e+00,  1.184647793209266e+02,  8.372598767669446e-03, -7.356952783753464e-03,  7.888890240000000e-07
Sb1Sn1      ,  1.430000000000000e+00,  2.677610095350701e+00,  1.207245802583647e+00,  4.031246113658517e+01,  9.119496855345912e-03, -3.201647573895277e-03,  4.800486870000000e-07
S2Ta1       ,  1.488116666500000e+00,  3.279830279778298e+00, -6.145992185060781e+00,  1.043091116385315e+02,  4.647135904155747e-03,  1.168180391582211e-02,  9.791466569999998e-07
B2C2Y1      ,  1.800000000000000e+00,  5.187311335522950e+00, -7.972902057191954e-01, -4.573664525491342e+00,  7.831299040976460e-02, -6.020233377581246e-03,  4.638436885699999e-05
