# c0 + a0 * ((ThermalCond_mean+9.323736e+02) * (EA_mean-1.141066e+01)) + a1 * (w_log / lambda) + a2 * ((PE_wtd_range-4.532289e-01) * (lambda4w_low-4.275882e-02)) + a3 * (w_log^3)
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 2.32593003940884; Max AE: 8.24639564491207
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# all , -1.530802316540445e-03, -1.275237529939084e+02, -1.108356699091280e+02,  1.868452279842354e+05, -1.029988419060191e+01, 
# Feature Rung, Units, and Expressions
# 0;  1; W * eV * mK^-1;                                   37|31|mult:9.3237361447518e+02,-1.1410655826717e+01; ((ThermalCond_mean+9.323736e+02) * (EA_mean-1.141066e+01)); $\left(\left(ThermalCond_{mean}+9.324e+02\right) * \left(EA_{mean}-1.141e+01\right)\right)$; ((ThermalCond_mean+9.323736e+02) .* (EA_mean-1.141066e+01)); ((newdata$ThermalCond_mean+9.323736e+02) * (newdata$EA_mean-1.141066e+01)); ThermalCond_mean,EA_mean
# 1;  1; eV;                                               1|0|div; (w_log / lambda); $\left(\frac{ w_{log} }{ lambda } \right)$; (w_log ./ lambda); (newdata$w_log / newdata$lambda); w_log,lambda
# 2;  1; eV;                                               28|2|mult:-4.5322885717594e-01,-4.2758824449611e-02; ((PE_wtd_range-4.532289e-01) * (lambda4w_low-4.275882e-02)); $\left(\left(PE_{wtd, range}-4.532e-01\right) * \left(lambda4w_{low}-4.276e-02\right)\right)$; ((PE_wtd_range-4.532289e-01) .* (lambda4w_low-4.275882e-02)); ((newdata$PE_wtd_range-4.532289e-01) * (newdata$lambda4w_low-4.275882e-02)); PE_wtd_range,lambda4w_low
# 3;  1; eV^3;                                             1|cb; (w_log^3); $\left(w_{log}^3\right)$; (w_log).^3; (newdata$w_log)^3; w_log
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
C8Cs1       ,  6.750000000000000e-02,  1.572756606387317e+00, -1.075795801888257e+04,  5.850279329608938e-02,  4.401484578319259e-03,  1.794357303199999e-05
Se2Ta1      ,  1.250000000000000e-01,  1.622750666486160e+00, -9.841196848907386e+03,  1.003693243536824e-03,  2.736233171738719e-02,  9.861112800000000e-08
Ti1         ,  1.620000000000000e-01,  5.154289909573619e-01, -1.081350016375024e+04,  4.070939137444579e-02,  1.882659393372918e-02,  8.242407999999999e-06
B1Mo1       ,  2.500000000000000e-01,  3.148504310261627e+00, -1.106671524650215e+04,  5.001718803712616e-02,  1.550455157811128e-02,  2.464217100000000e-05
Al1Hf1Ni2   ,  3.700000000000000e-01,  4.003996083553611e+00, -1.140820697359978e+04,  1.857942024071876e-02,  9.351681197153268e-03,  1.316532736000000e-06
Pt1Te1      ,  5.900000000000000e-01,  8.978554756004264e-01, -9.079138037323684e+03,  9.401080019636722e-03,  1.430715769033590e-02,  4.494550960000001e-07
Sb1V3       ,  6.500000000000000e-01,  4.631722264698262e-01, -1.018569627100543e+04,  4.013221854948473e-02,  1.221916873433670e-02,  8.792838143999999e-06
Rh1Te2      ,  7.550000000000000e-01, -1.313641564970904e+00, -9.944119990538111e+03,  3.766355140186916e-02,  1.591030743208205e-02,  1.767172329000000e-06
Zr1         ,  9.966666670000000e-01,  1.784846689193088e+00, -1.049115494418873e+04,  1.849970980847359e-02,  1.807423403081712e-02,  2.072671874999999e-06
Be2Ta3      ,  1.000000000000000e+00,  1.235596893912080e+00, -1.187821475935775e+04,  4.241203330647327e-02,  1.781694798082410e-02,  3.936827538999999e-06
C1Si1       ,  1.075000000000000e+00,  9.321395644912068e+00, -1.086709684599753e+04,  6.680553241126480e-02,  4.816125136045295e-03,  6.443297272900001e-05
Nb3Sb1      ,  1.100000000000000e+00,  1.603978629940156e+00, -1.013060679132325e+04,  2.743149653718759e-02,  1.115212112941487e-02,  6.048464248000001e-06
