# c0 + a0 * ((at_mass_wtd_range - (3.435655e+01*at_mass_wtd_mean)) + 2.128611e+01*((ThermalCond_wtd_mean-1.160425e+02) / (IP_mean-9.210007e+00))) + a1 * ((ThermalCond_wtd_mean + 8.336890e+01*L_avg) + 1.389709e+02*((ThermalCond_mean-9.933155e+01) / (ThermalCond_wtd_mean-1.240526e+02))) + a2 * (((at_mass_range-1.785509e+01) / (L_avg-2.836408e+00)) + 1.285527e+02*((lambda3-1.629436e+00) / (at_mass_wtd_mean-9.799982e+01))) + a3 * (((at_mass_mean-8.313745e+01) / (w_log-2.999381e-02)) + 3.402791e+03*((lambda-7.224567e-01) / (w_log-6.039118e-02)))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.26196044292026; Max AE: 4.17205769944397
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# all , -2.325996090742980e-04,  5.041666233354892e-03,  8.856411794417702e-03, -4.404254580300851e-05, -8.314564444569619e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; g * mol^-1;                                       10|8|sub|38|19|div|add:2.1286112984877e+01,0.0000000000000e+00,-1.1604245409861e+02,-9.2100067003462e+00,3.4356547163031e+01,0.0000000000000e+00; ((at_mass_wtd_range - (3.435655e+01*at_mass_wtd_mean)) + 2.128611e+01*((ThermalCond_wtd_mean-1.160425e+02) / (IP_mean-9.210007e+00))); $\left(\left(at_{mass, wtd, range} - \left(3.436e+01at_{mass, wtd, mean}\right)\right) + 21.3\left(\frac{ ThermalCond_{wtd, mean} -1.160e+02 }{ IP_{mean}-9.210e+00 } \right)\right)$; ((at_mass_wtd_range - (3.435655e+01.*at_mass_wtd_mean)) + (2.128611e+01.*((ThermalCond_wtd_mean-1.160425e+02) ./ (IP_mean-9.210007e+00)))); ((newdata$at_mass_wtd_range - (3.435655e+01*newdata$at_mass_wtd_mean)) + (2.128611e+01*((newdata$ThermalCond_wtd_mean-1.160425e+02) / (newdata$IP_mean-9.210007e+00)))); at_mass_wtd_range,at_mass_wtd_mean,ThermalCond_wtd_mean,IP_mean
# 1;  2; W * mK^-1;                                        38|4|add|37|38|div|add:1.3897094476561e+02,0.0000000000000e+00,-9.9331547783714e+01,-1.2405257222324e+02,8.3368899749823e+01,0.0000000000000e+00; ((ThermalCond_wtd_mean + 8.336890e+01*L_avg) + 1.389709e+02*((ThermalCond_mean-9.933155e+01) / (ThermalCond_wtd_mean-1.240526e+02))); $\left(\left(ThermalCond_{wtd, mean} + 83.4L_{avg}\right) + 139.0\left(\frac{ ThermalCond_{mean} -9.933e+01 }{ ThermalCond_{wtd, mean}-1.241e+02 } \right)\right)$; ((ThermalCond_wtd_mean + (8.336890e+01.*L_avg)) + (1.389709e+02.*((ThermalCond_mean-9.933155e+01) ./ (ThermalCond_wtd_mean-1.240526e+02)))); ((newdata$ThermalCond_wtd_mean + (8.336890e+01*newdata$L_avg)) + (1.389709e+02*((newdata$ThermalCond_mean-9.933155e+01) / (newdata$ThermalCond_wtd_mean-1.240526e+02)))); ThermalCond_wtd_mean,L_avg,ThermalCond_mean,ThermalCond_wtd_mean
# 2;  2; AA^-1 * g * mol^-1;                               9|4|div|3|8|div|add:1.2855274130777e+02,0.0000000000000e+00,-1.6294363661866e+00,-9.7999820505729e+01,-1.7855093839546e+01,-2.8364080961560e+00; (((at_mass_range-1.785509e+01) / (L_avg-2.836408e+00)) + 1.285527e+02*((lambda3-1.629436e+00) / (at_mass_wtd_mean-9.799982e+01))); $\left(\left(\frac{ at_{mass, range} -1.786e+01 }{ L_{avg}-2.836e+00 } \right) + 129.0\left(\frac{ lambda3 -1.629e+00 }{ at_{mass, wtd, mean}-9.800e+01 } \right)\right)$; (((at_mass_range-1.785509e+01) ./ (L_avg-2.836408e+00)) + (1.285527e+02.*((lambda3-1.629436e+00) ./ (at_mass_wtd_mean-9.799982e+01)))); (((newdata$at_mass_range-1.785509e+01) / (newdata$L_avg-2.836408e+00)) + (1.285527e+02*((newdata$lambda3-1.629436e+00) / (newdata$at_mass_wtd_mean-9.799982e+01)))); at_mass_range,L_avg,lambda3,at_mass_wtd_mean
# 3;  2; eV^-1 * g * mol^-1;                               7|1|div|0|1|div|add:3.4027906112287e+03,0.0000000000000e+00,-7.2245670843461e-01,-6.0391180881896e-02,-8.3137453333752e+01,-2.9993805092064e-02; (((at_mass_mean-8.313745e+01) / (w_log-2.999381e-02)) + 3.402791e+03*((lambda-7.224567e-01) / (w_log-6.039118e-02))); $\left(\left(\frac{ at_{mass, mean} -8.314e+01 }{ w_{log}-2.999e-02 } \right) + 3.40e+03\left(\frac{ lambda -7.225e-01 }{ w_{log}-6.039e-02 } \right)\right)$; (((at_mass_mean-8.313745e+01) ./ (w_log-2.999381e-02)) + (3.402791e+03.*((lambda-7.224567e-01) ./ (w_log-6.039118e-02)))); (((newdata$at_mass_mean-8.313745e+01) / (newdata$w_log-2.999381e-02)) + (3.402791e+03*((newdata$lambda-7.224567e-01) / (newdata$w_log-6.039118e-02)))); at_mass_mean,w_log,lambda,w_log
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
C8Cs1       ,  6.750000000000000e-02, -4.689089917063132e-01, -1.011928790181117e+03,  2.095335900135018e+02,  4.500625413550654e+01,  3.014855543701937e+04
Ti1         ,  1.620000000000000e-01,  5.425225072238734e-01, -8.032680681699372e+02,  4.558550295651968e+02, -1.228919112318412e+01,  2.275735067852323e+04
B1Mo1       ,  2.500000000000000e-01,  2.641532586580297e-01, -1.327147822212914e+03,  4.742621329448743e+02,  6.049814181266161e+01,  4.858829480938888e+04
Al1Hf1Ni2   ,  3.700000000000000e-01,  1.822000922288959e+00, -2.670405971953078e+03,  2.969483705767045e+02,  1.045257356693685e+02,  8.866779666539374e+03
Pt1Te1      ,  5.900000000000000e-01,  2.016682600201329e+00,  1.901110569509471e+03,  5.264111480565530e+02,  2.480435817389026e+01, -9.460617955518790e+03
Sb1V3       ,  6.500000000000000e-01,  1.670336984904555e+00, -1.110887272943323e+03,  5.404243975927750e+02,  3.256534613303833e+01,  1.747514941801404e+04
Al1Ni2Zr1   ,  6.899999999999999e-01,  1.894569255932009e+00, -1.954351346482699e+03,  3.005921065744386e+02,  3.511485938584487e+01, -1.010313106422185e+04
Rh1Te2      ,  7.550000000000000e-01,  1.755092057036808e+00, -2.692671298522712e+03,  6.337489335622225e+02, -7.710793771090626e+00,  2.648862372745094e+04
Zr1         ,  9.966666670000000e-01,  1.946221615309073e+00, -2.362763606723291e+03,  4.468605059808487e+02,  6.678477653525533e+00,  1.906536106048862e+03
Be2Ta3      ,  1.000000000000000e+00,  8.664904683497501e-01, -3.565300943920383e+03,  3.179557715981080e+02,  4.578578072853803e+01,  2.588100387990877e+04
C1Si1       ,  1.075000000000000e+00,  1.012383205637947e+00,  5.619997145805014e+02,  6.859451456728564e+02, -9.661895664286634e+01,  1.426004415138115e+04
Nb3Sb1      ,  1.100000000000000e+00,  1.924452901681321e+00, -2.448955847511885e+03,  5.910561209877051e+02, -7.645330372931370e+01,  2.645682052198307e+03
Nb1O1       ,  1.380000000000000e+00,  1.747259292348656e+00, -3.769097592422683e+03,  4.800551010062567e+02,  4.797749512180349e+01,  2.595583237681648e+04
Sb1         ,  1.416666667000000e+00,  1.761654378017594e+00, -7.460548546238097e+02,  3.839095262989907e+02, -8.069149766570537e+01, -2.721623306094361e+04
Sb1Sn1      ,  1.430000000000000e+00,  2.680129694812083e+00, -2.893026084373250e+03,  4.992915903300901e+02, -1.586366220338619e+01, -1.048765388230522e+04
S2Ta1       ,  1.488116666500000e+00,  1.361241523679353e+00,  2.152516695103190e+04,  6.284606239561548e+02, -2.494052856742739e+01, -9.653933925149209e+04
B2C2Y1      ,  1.800000000000000e+00,  8.761092377039923e-01,  6.770870964701256e+02,  5.617661078774571e+02,  3.473959484007551e+01,  2.894586303427704e+04
Re2Y1       ,  1.830000000000000e+00,  3.364536986748933e+00, -4.468700757038103e+03,  6.858993919118152e+02,  1.835983937795200e+01,  1.053759974997734e+04
S1Y1        ,  1.900000000000000e+00,  1.530713199445907e+00,  4.298055814246632e+02,  4.396274172801284e+02,  4.251525106091132e+01,  2.970877804425071e+03
Ga2Pt1      ,  1.900000000000000e+00,  3.097785306500694e+00, -2.881332964805270e+03,  4.761532845421955e+02,  6.875530481297054e+01, -5.665285603500026e+03
Mo0.5Rh0.5  ,  1.940000000000000e+00,  2.442409689134438e+00, -3.725647300975446e+03,  7.815281899724816e+02, -1.357842337017773e+02,  7.500955339608765e+03
Pd2Sc1Sn1   ,  2.122500000000000e+00,  2.571374794984625e+00, -3.508729122960700e+03,  5.377138410006460e+02, -4.524647049352524e+00,  1.911773246949318e+03
Be2Nb1      ,  2.150000000000000e+00,  2.060431122412707e+00, -1.754323121513763e+03,  6.793498613487561e+02,  4.106040621801141e+01,  2.962749777748836e+04
In1Te1      ,  2.206000000000000e+00,  2.977826901978576e+00, -3.294009430078488e+03,  5.019327126217528e+02, -8.182733922703276e+00, -1.328239507114427e+04
C2Cl2Y2     ,  2.300000000000000e+00,  5.055922083398056e+00, -2.976482708534661e+03,  6.269481856508049e+02,  1.691917328449705e+01, -4.278461009893157e+04
Be2Nb3      ,  2.300000000000000e+00,  5.492439539011025e-01, -1.859587921470537e+03,  3.582812160543748e+02,  3.076353868094279e+01,  2.567126582806741e+04
Pb1Pd2Sc1   ,  2.400000000000000e+00,  3.654191021185138e+00, -4.176492345135940e+03,  5.445748425311820e+02,  4.221229513925212e+01, -8.963671558922077e+03
As1Pt1Sr1   ,  2.425000000000000e+00,  3.337634491796960e+00, -2.758009109701461e+03,  6.261580904704595e+02,  2.723182882404318e+01, -2.940854160556910e+03
Bi1Nb3      ,  2.516666667000000e+00,  3.298720645277016e+00, -3.429275411732490e+03,  6.012384737433498e+02,  3.262757514128000e+01, -2.797753118507435e+02
Re1         ,  2.581333333000000e+00,  2.601477220176087e+00, -5.308443059447693e+03,  4.180743878329005e+02, -3.910495859069987e+01, -9.916092917992733e+03
Hf1In1Pd2   ,  2.630000000000000e+00,  3.085743629352986e+00, -3.807276778527442e+03,  5.362624794162392e+02,  2.515467646919683e+01, -2.388426316288092e+03
Nb3Rh1      ,  2.742333333000000e+00,  2.558049899483307e+00, -2.888655066681157e+03,  4.955040707536868e+02,  6.651790081475112e+01,  8.393469357973210e+03
