# c0 + a0 * (((PE_mean-5.937345e+00) / (density-2.706163e+00)) + 7.449129e+00*((ThermalCond_mean-2.958294e+01) * (lambda4w_low+1.852505e-05)))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 2.33059108930378; Max AE: 6.54198833605081
# Coefficients
# Task   a0                      c0
# all ,  1.700420811634621e-01,  3.623889978327115e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; cm^3 * g^-1;                                      25|5|div|37|2|mult|add:7.4491286402500e+00,0.0000000000000e+00,-2.9582939906030e+01,1.8525048589494e-05,-5.9373447437777e+00,-2.7061631195152e+00; (((PE_mean-5.937345e+00) / (density-2.706163e+00)) + 7.449129e+00*((ThermalCond_mean-2.958294e+01) * (lambda4w_low+1.852505e-05))); $\left(\left(\frac{ PE_{mean} -5.937e+00 }{ density-2.706e+00 } \right) + 7.45\left(\left(ThermalCond_{mean}-2.958e+01\right) * \left(lambda4w_{low}+1.853e-05\right)\right)\right)$; (((PE_mean-5.937345e+00) ./ (density-2.706163e+00)) + (7.449129e+00.*((ThermalCond_mean-2.958294e+01) .* (lambda4w_low+1.852505e-05)))); (((newdata$PE_mean-5.937345e+00) / (newdata$density-2.706163e+00)) + (7.449129e+00*((newdata$ThermalCond_mean-2.958294e+01) * (newdata$lambda4w_low+1.852505e-05)))); PE_mean,density,ThermalCond_mean,lambda4w_low
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
C8Cs1       ,  6.750000000000000e-02,  1.431369859557232e+00, -1.289398544035818e+01
Se2Ta1      ,  1.250000000000000e-01,  1.352245986045266e+00, -1.335930480701485e+01
Ti1         ,  1.620000000000000e-01,  3.259869076913045e+00, -2.140769502016005e+00
B1Mo1       ,  2.500000000000000e-01,  3.742086420467472e+00,  6.951011263308059e-01
Al1Hf1Ni2   ,  3.700000000000000e-01,  3.668454939392334e+00,  2.620819550095904e-01
Pt1Te1      ,  5.900000000000000e-01,  3.592265781377798e+00, -1.859786514781379e-01
Sb1V3       ,  6.500000000000000e-01,  3.485315443502023e+00, -8.149425946620823e-01
Al1Ni2Zr1   ,  6.899999999999999e-01,  4.056066175887705e+00,  2.541583792691513e+00
Rh1Te2      ,  7.550000000000000e-01,  3.529252760196036e+00, -5.565517516814179e-01
Zr1         ,  9.966666670000000e-01,  3.404637474196734e+00, -1.289401438927414e+00
Be2Ta3      ,  1.000000000000000e+00,  3.592649619303732e+00, -1.837213400919938e-01
C1Si1       ,  1.075000000000000e+00,  3.916685663967108e+00,  1.721901329580456e+00
Nb3Sb1      ,  1.100000000000000e+00,  3.559927175923579e+00, -3.761586659366271e-01
Nb1O1       ,  1.380000000000000e+00,  3.493469675476642e+00, -7.669883946262620e-01
Sb1         ,  1.416666667000000e+00,  3.374444356622895e+00, -1.466964059704883e+00
S2Ta1       ,  1.488116666500000e+00,  3.221049860516787e+00, -2.369061323256070e+00
B2C2Y1      ,  1.800000000000000e+00,  3.307637181279298e+00, -1.859850190517265e+00
Re2Y1       ,  1.830000000000000e+00,  3.562703337591005e+00, -3.598323445435271e-01
S1Y1        ,  1.900000000000000e+00,  3.224640129860518e+00, -2.347947318304085e+00
Ga2Pt1      ,  1.900000000000000e+00,  3.617684651267924e+00, -3.649289056410365e-02
Mo0.5Rh0.5  ,  1.940000000000000e+00,  3.917985450950661e+00,  1.729545243220303e+00
Pd2Sc1Sn1   ,  2.122500000000000e+00,  3.554153653918176e+00, -4.101121553664149e-01
Be2Nb1      ,  2.150000000000000e+00,  3.515057289701861e+00, -6.400338544470768e-01
In1Te1      ,  2.206000000000000e+00,  3.525220999739097e+00, -5.802621204874949e-01
C2Cl2Y2     ,  2.300000000000000e+00,  3.866802782630272e+00,  1.428545232104310e+00
Be2Nb3      ,  2.300000000000000e+00,  3.550509977181851e+00, -4.315402437042800e-01
Pb1Pd2Sc1   ,  2.400000000000000e+00,  3.556681580578259e+00, -3.952456785344067e-01
As1Pt1Sr1   ,  2.425000000000000e+00,  3.576440398971691e+00, -2.790460986525453e-01
Bi1Nb3      ,  2.516666667000000e+00,  3.542810770654075e+00, -4.768184858611414e-01
Re1         ,  2.581333333000000e+00,  3.702332774252537e+00,  4.613140193809759e-01
Hf1In1Pd2   ,  2.630000000000000e+00,  3.624503878412685e+00,  3.610283297932892e-03
Nb3Rh1      ,  2.742333333000000e+00,  3.733272611047206e+00,  6.432680191378144e-01
Ga1Ni2Zr1   ,  2.870000000000000e+00,  3.859295105695199e+00,  1.384393355794019e+00
N1Ni3Zn1    ,  3.000000000000000e+00,  7.932535828385191e+00,  2.533870334082867e+01
B1Hf1       ,  3.100000000000000e+00,  3.534656066700800e+00, -5.247754615549167e-01
Pt0.25V0.75 ,  3.102500000000000e+00,  4.134424744141403e+00,  3.002402477793182e+00
C2Y1        ,  3.150000000000000e+00,  3.427505765559299e+00, -1.154915368149551e+00
Pb1Pd2Y1    ,  3.215000000000000e+00,  3.548204946323444e+00, -4.450958932390042e-01
In1Sb1      ,  3.320000000000000e+00,  4.023245439387148e+00,  2.348568415109738e+00
Bi2K1       ,  3.575000000000000e+00,  3.565134740386219e+00, -3.455335146387317e-01
Al1Hf1Pd2   ,  3.621666666500000e+00,  5.258846427202201e+00,  9.615010811961286e+00
Hg0.5In0.5  ,  3.810000000000000e+00,  4.186079271573624e+00,  3.306177443841536e+00
C1W2        ,  3.835000000000000e+00,  4.294238914817298e+00,  3.942253187584638e+00
C1Ga1Mo2    ,  3.900000000000000e+00,  4.312830787897848e+00,  4.051590082036530e+00
Ba1Ge3      ,  4.000000000000000e+00,  3.607788430876634e+00, -9.469154541223479e-02
