# c0 + a0 * (((IP_wtd_range-2.087119e+01) * (at_mass_wtd_mean-1.118734e+03)) + 1.105197e+01*((ThermalCond_wtd_mean-1.047857e+02) / (IP_mean-9.226771e+00))) + a1 * (((lambda4w_low-1.991795e+02) / (lambda3+2.476756e-01)) + 4.314860e+00*((at_mass_wtd_std-6.027480e+00) / (L_avg-2.908062e+00))) + a2 * (((IP_std-2.537812e+00) / (density-2.604308e+00)) + 5.019201e+01*((EA_wtd_range-7.322562e-01) * (lambda4w_low-1.175624e-02)))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.60579131857585; Max AE: 5.1024666109362
# Coefficients
# Task   a0                      a1                      a2                      c0
# all , -6.169477293969673e-04,  3.833529760873458e-03, -1.341290347890344e+00,  1.661139121838388e+01, 
# Feature Rung, Units, and Expressions
# 0;  2; eV * g * mol^-1;                                  22|8|mult|38|19|div|add:1.1051965033515e+01,0.0000000000000e+00,-1.0478569475515e+02,-9.2267707374600e+00,-2.0871191230645e+01,-1.1187344072760e+03; (((IP_wtd_range-2.087119e+01) * (at_mass_wtd_mean-1.118734e+03)) + 1.105197e+01*((ThermalCond_wtd_mean-1.047857e+02) / (IP_mean-9.226771e+00))); $\left(\left(\left(IP_{wtd, range}-2.087e+01\right) * \left(at_{mass, wtd, mean}-1.119e+03\right)\right) + 11.1\left(\frac{ ThermalCond_{wtd, mean} -1.048e+02 }{ IP_{mean}-9.227e+00 } \right)\right)$; (((IP_wtd_range-2.087119e+01) .* (at_mass_wtd_mean-1.118734e+03)) + (1.105197e+01.*((ThermalCond_wtd_mean-1.047857e+02) ./ (IP_mean-9.226771e+00)))); (((newdata$IP_wtd_range-2.087119e+01) * (newdata$at_mass_wtd_mean-1.118734e+03)) + (1.105197e+01*((newdata$ThermalCond_wtd_mean-1.047857e+02) / (newdata$IP_mean-9.226771e+00)))); IP_wtd_range,at_mass_wtd_mean,ThermalCond_wtd_mean,IP_mean
# 1;  2; eV;                                               2|3|div|12|4|div|add:4.3148601323025e+00,0.0000000000000e+00,-6.0274800718920e+00,-2.9080618114416e+00,-1.9917952159520e+02,2.4767558755712e-01; (((lambda4w_low-1.991795e+02) / (lambda3+2.476756e-01)) + 4.314860e+00*((at_mass_wtd_std-6.027480e+00) / (L_avg-2.908062e+00))); $\left(\left(\frac{ lambda4w_{low} -1.992e+02 }{ lambda3+2.477e-01 } \right) + 4.31\left(\frac{ at_{mass, wtd, std} -6.027e+00 }{ L_{avg}-2.908e+00 } \right)\right)$; (((lambda4w_low-1.991795e+02) ./ (lambda3+2.476756e-01)) + (4.314860e+00.*((at_mass_wtd_std-6.027480e+00) ./ (L_avg-2.908062e+00)))); (((newdata$lambda4w_low-1.991795e+02) / (newdata$lambda3+2.476756e-01)) + (4.314860e+00*((newdata$at_mass_wtd_std-6.027480e+00) / (newdata$L_avg-2.908062e+00)))); lambda4w_low,lambda3,at_mass_wtd_std,L_avg
# 2;  2; cm^3 * eV * g^-1;                                 23|5|div|34|2|mult|add:5.0192008071215e+01,0.0000000000000e+00,-7.3225616798199e-01,-1.1756240749397e-02,-2.5378121152262e+00,-2.6043083515714e+00; (((IP_std-2.537812e+00) / (density-2.604308e+00)) + 5.019201e+01*((EA_wtd_range-7.322562e-01) * (lambda4w_low-1.175624e-02))); $\left(\left(\frac{ IP_{std} -2.538e+00 }{ density-2.604e+00 } \right) + 50.2\left(\left(EA_{wtd, range}-7.323e-01\right) * \left(lambda4w_{low}-1.176e-02\right)\right)\right)$; (((IP_std-2.537812e+00) ./ (density-2.604308e+00)) + (5.019201e+01.*((EA_wtd_range-7.322562e-01) .* (lambda4w_low-1.175624e-02)))); (((newdata$IP_std-2.537812e+00) / (newdata$density-2.604308e+00)) + (5.019201e+01*((newdata$EA_wtd_range-7.322562e-01) * (newdata$lambda4w_low-1.175624e-02)))); IP_std,density,EA_wtd_range,lambda4w_low
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
C8Cs1       ,  6.750000000000000e-02, -2.488618950902673e+00,  2.106905349648969e+04, -5.322257943136289e+02,  3.027832145713917e+00
Se2Ta1      ,  1.250000000000000e-01,  9.423337434732498e-02,  2.248636420499401e+04,  4.628442167268125e+01,  2.103705001499034e+00
Ti1         ,  1.620000000000000e-01,  1.435422142681577e+00,  2.273216145437821e+04, -5.637058364951098e+02, -7.526852184029940e-01
B1Mo1       ,  2.500000000000000e-01,  2.155653393814632e+00,  2.174998391014746e+04, -3.074471136066415e+02, -1.054753158740206e-01
Al1Hf1Ni2   ,  3.700000000000000e-01,  2.765844300617717e+00,  2.100004608508023e+04, -2.740385661413425e+02, -1.199731518524582e-01
Pt1Te1      ,  5.900000000000000e-01,  1.671470768218096e+00,  2.302559941907959e+04, -1.848318314884235e+02,  1.921347144070218e-02
Sb1V3       ,  6.500000000000000e-01,  1.468197682369735e+00,  2.171662860098930e+04, -4.649467292443679e+02, -2.774812579621183e-02
Al1Ni2Zr1   ,  6.899999999999999e-01,  3.223026842124654e+00,  2.139230175099022e+04, -1.548291083399353e+02, -3.005386647966528e-01
Rh1Te2      ,  7.550000000000000e-01,  1.206521422641189e+00,  2.075702395764831e+04, -7.026015150301407e+02, -7.050883652332390e-02
Zr1         ,  9.966666670000000e-01,  2.113088822985143e+00,  2.179530707521926e+04, -3.746563243394059e+02, -2.866784109993859e-01
Be2Ta3      ,  1.000000000000000e+00,  1.882779484177912e+00,  2.021933864538932e+04, -5.301427262270596e+02,  1.655262403638797e-01
C1Si1       ,  1.075000000000000e+00,  1.296715951497226e+00,  2.215095411101362e+04, -5.910678876202228e+02, -4.601404272677357e-01
Nb3Sb1      ,  1.100000000000000e+00,  2.265697964603496e+00,  2.096294899672595e+04, -3.563794809035430e+02,  3.463688727096270e-02
Nb1O1       ,  1.380000000000000e+00,  3.577529302432661e+00,  1.766912748142323e+04, -4.119284810751428e+02,  4.128813311597105e-01
Sb1         ,  1.416666667000000e+00,  2.570600993763865e+00,  2.232966109329150e+04, -2.940702084919377e+02, -6.432390887529329e-01
Sb1Sn1      ,  1.430000000000000e+00,  3.132463727281772e+00,  2.072527837247657e+04, -2.401129210707750e+02, -1.699601962923401e-01
B2C2Y1      ,  1.800000000000000e+00,  1.526129969955591e+00,  2.147304495382546e+04, -5.191274707969071e+02, -1.137529158397564e-01
Re2Y1       ,  1.830000000000000e+00,  2.406823970054503e+00,  1.976689102171155e+04, -4.520932836356658e+02,  2.060073407472193e-01
S1Y1        ,  1.900000000000000e+00,  3.094364346116347e+00,  2.102651671277469e+04, -2.341106321593975e+02, -2.629594308800507e-01
Ga2Pt1      ,  1.900000000000000e+00,  4.061092053387254e+00,  2.008553927157206e+04, -9.942939708760102e+01, -1.659552948431377e-01
Mo0.5Rh0.5  ,  1.940000000000000e+00,  2.114648810475207e+00,  2.086215919569036e+04, -4.283163627246641e+02, -1.199058935295400e-02
Pd2Sc1Sn1   ,  2.122500000000000e+00,  2.980916426661433e+00,  1.957674920098703e+04, -3.526714022469131e+02,  1.496078065369700e-01
Be2Nb1      ,  2.150000000000000e+00,  2.252479745359447e+00,  2.097308640903200e+04, -4.651672978024381e+02, -2.710965943778753e-01
In1Te1      ,  2.206000000000000e+00,  4.114220605415180e+00,  1.958794898878697e+04, -1.970519100748798e+02, -2.557048154827238e-01
C2Cl2Y2     ,  2.300000000000000e+00,  3.844012988301249e+00,  1.895940687465076e+04, -2.511838395291852e+01,  7.262582163192230e-01
Be2Nb3      ,  2.300000000000000e+00,  1.921438787026218e+00,  2.077316859549881e+04, -5.278673414537914e+02, -1.115358277999136e-01
Pb1Pd2Sc1   ,  2.400000000000000e+00,  3.829540126061287e+00,  1.917461302768533e+04, -1.542026990936546e+02,  2.691262836654559e-01
As1Pt1Sr1   ,  2.425000000000000e+00,  3.722823862783186e+00,  1.976271364453551e+04, -2.317959854818920e+02, -1.435861841671351e-01
Bi1Nb3      ,  2.516666667000000e+00,  2.553198462521851e+00,  2.091894222962064e+04, -2.855183447647225e+02,  4.305985953838137e-02
