# c0 + a0 * (((at_mass_mean+9.394858e+01)^2) + 5.303849e+01*((ThermalCond_wtd_mean-4.051661e+01) / (IP_mean-7.857127e+00))) + a1 * (((PE_wtd_range-6.846518e-01) / (lambda+2.725359e-01)) + 2.080363e-01*((EA_std+3.312757e-01) / (IP_mean-9.108738e+00))) + a2 * (((at_mass_wtd_std-6.769546e+01) * (L_avg-5.800560e+00)) + 2.436587e+01*((PE_wtd_range+4.563037e-03) / (L_avg-3.261563e+00))) + a3 * (((IP_std-2.537812e+00) / (density-2.604308e+00)) + 5.019201e+01*((EA_wtd_range-7.322562e-01) * (lambda4w_low-1.175624e-02)))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.3181120996573; Max AE: 4.14257490169798
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# all ,  3.901603396955485e-05,  2.917882576879777e+00, -1.295386109448946e-02, -1.289137996869665e+00,  3.387832245372543e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; g^2 * mol^-2;                                     7|sq|38|19|div|add:5.3038485408091e+01,0.0000000000000e+00,-4.0516613027942e+01,-7.8571267863178e+00,1.0000000000000e+00,9.3948581500670e+01; (((at_mass_mean+9.394858e+01)^2) + 5.303849e+01*((ThermalCond_wtd_mean-4.051661e+01) / (IP_mean-7.857127e+00))); $\left(\left(\left(at_{mass, mean}+9.395e+01\right)^2\right) + 53.0\left(\frac{ ThermalCond_{wtd, mean} -4.052e+01 }{ IP_{mean}-7.857e+00 } \right)\right)$; ((at_mass_mean+9.394858e+01).^2 + (5.303849e+01.*((ThermalCond_wtd_mean-4.051661e+01) ./ (IP_mean-7.857127e+00)))); ((newdata$at_mass_mean+9.394858e+01)^2 + (5.303849e+01*((newdata$ThermalCond_wtd_mean-4.051661e+01) / (newdata$IP_mean-7.857127e+00)))); at_mass_mean,ThermalCond_wtd_mean,IP_mean
# 1;  2; Unitless;                                         28|0|div|35|19|div|add:2.0803633150431e-01,0.0000000000000e+00,3.3127573299639e-01,-9.1087380920789e+00,-6.8465184214517e-01,2.7253589690390e-01; (((PE_wtd_range-6.846518e-01) / (lambda+2.725359e-01)) + 2.080363e-01*((EA_std+3.312757e-01) / (IP_mean-9.108738e+00))); $\left(\left(\frac{ PE_{wtd, range} -6.847e-01 }{ lambda+2.725e-01 } \right) + 0.208\left(\frac{ EA_{std} +3.313e-01 }{ IP_{mean}-9.109e+00 } \right)\right)$; (((PE_wtd_range-6.846518e-01) ./ (lambda+2.725359e-01)) + (2.080363e-01.*((EA_std+3.312757e-01) ./ (IP_mean-9.108738e+00)))); (((newdata$PE_wtd_range-6.846518e-01) / (newdata$lambda+2.725359e-01)) + (2.080363e-01*((newdata$EA_std+3.312757e-01) / (newdata$IP_mean-9.108738e+00)))); PE_wtd_range,lambda,EA_std,IP_mean
# 2;  2; AA * g * mol^-1;                                  12|4|mult|28|4|div|add:2.4365869082807e+01,0.0000000000000e+00,4.5630366851500e-03,-3.2615630579509e+00,-6.7695458355109e+01,-5.8005601387886e+00; (((at_mass_wtd_std-6.769546e+01) * (L_avg-5.800560e+00)) + 2.436587e+01*((PE_wtd_range+4.563037e-03) / (L_avg-3.261563e+00))); $\left(\left(\left(at_{mass, wtd, std}-6.770e+01\right) * \left(L_{avg}-5.801e+00\right)\right) + 24.4\left(\frac{ PE_{wtd, range} +4.563e-03 }{ L_{avg}-3.262e+00 } \right)\right)$; (((at_mass_wtd_std-6.769546e+01) .* (L_avg-5.800560e+00)) + (2.436587e+01.*((PE_wtd_range+4.563037e-03) ./ (L_avg-3.261563e+00)))); (((newdata$at_mass_wtd_std-6.769546e+01) * (newdata$L_avg-5.800560e+00)) + (2.436587e+01*((newdata$PE_wtd_range+4.563037e-03) / (newdata$L_avg-3.261563e+00)))); at_mass_wtd_std,L_avg,PE_wtd_range,L_avg
# 3;  2; cm^3 * eV * g^-1;                                 23|5|div|34|2|mult|add:5.0192008071215e+01,0.0000000000000e+00,-7.3225616798199e-01,-1.1756240749397e-02,-2.5378121152262e+00,-2.6043083515714e+00; (((IP_std-2.537812e+00) / (density-2.604308e+00)) + 5.019201e+01*((EA_wtd_range-7.322562e-01) * (lambda4w_low-1.175624e-02))); $\left(\left(\frac{ IP_{std} -2.538e+00 }{ density-2.604e+00 } \right) + 50.2\left(\left(EA_{wtd, range}-7.323e-01\right) * \left(lambda4w_{low}-1.176e-02\right)\right)\right)$; (((IP_std-2.537812e+00) ./ (density-2.604308e+00)) + (5.019201e+01.*((EA_wtd_range-7.322562e-01) .* (lambda4w_low-1.175624e-02)))); (((newdata$IP_std-2.537812e+00) / (newdata$density-2.604308e+00)) + (5.019201e+01*((newdata$EA_wtd_range-7.322562e-01) * (newdata$lambda4w_low-1.175624e-02)))); IP_std,density,EA_wtd_range,lambda4w_low
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
C8Cs1       ,  6.750000000000000e-02, -1.996098958405953e+00,  1.104316255881050e+04, -5.666739610296524e-01,  1.991761858331392e+01,  3.027832145713917e+00
Se2Ta1      ,  1.250000000000000e-01,  1.408098764929146e-01,  4.896987980505795e+04, -8.984109500168159e-01, -1.357053664912543e+01,  2.103705001499034e+00
Ti1         ,  1.620000000000000e-01,  8.611781302642877e-01,  2.107111038391686e+04, -9.208375037911267e-01,  1.259998596552475e+02, -7.526852184029940e-01
B1Mo1       ,  2.500000000000000e-01,  8.492798322663029e-01,  7.807756953881120e+03, -8.144106674487245e-01,  4.653420780871961e+01, -1.054753158740206e-01
Al1Hf1Ni2   ,  3.700000000000000e-01,  2.667350968164973e+00,  2.958167446818133e+04, -6.033795458685378e-01,  2.074379026424285e+01, -1.199731518524582e-01
Pt1Te1      ,  5.900000000000000e-01,  1.787216420964982e+00,  6.503134860881344e+04, -1.232505258305631e+00,  3.989595780258507e+01,  1.921347144070218e-02
Sb1V3       ,  6.500000000000000e-01,  2.145635412471033e+00,  3.622144574342349e+04, -7.586862716712440e-01,  3.685601511774901e+01, -2.774812579621183e-02
Al1Ni2Zr1   ,  6.899999999999999e-01,  2.266789369825054e+00,  2.004769853841800e+04, -4.578296711408148e-01,  7.370521788730734e+01, -3.005386647966528e-01
Rh1Te2      ,  7.550000000000000e-01,  2.220204112666299e+00,  4.537916790023960e+04, -1.196790294190634e+00, -3.574645697762206e+01, -7.050883652332390e-02
Zr1         ,  9.966666670000000e-01,  1.234011925268186e+00,  3.506072660589854e+04, -7.397400974495955e-01,  1.337704718656062e+02, -2.866784109993859e-01
Be2Ta3      ,  1.000000000000000e+00,  1.298619831615602e+00,  4.062599905058164e+04, -1.213549314564215e+00, -6.183700268016227e+00,  1.655262403638797e-01
C1Si1       ,  1.075000000000000e+00,  1.779760265776228e+00,  1.599255037684354e+04, -2.755080096291350e-01,  1.560401444182482e+02, -4.601404272677357e-01
Nb3Sb1      ,  1.100000000000000e+00,  2.625599625492583e+00,  3.850105699965857e+04, -6.126594670273025e-01,  3.335461547850794e+01,  3.463688727096270e-02
Nb1O1       ,  1.380000000000000e+00,  4.000355543370070e+00,  2.171580081834485e+04,  4.182990582646497e-01,  7.125502114881310e+01,  4.128813311597105e-01
Sb1         ,  1.416666667000000e+00,  1.713840305560083e+00,  4.541121638604765e+04, -6.445451063042055e-01,  1.848309548905754e+02, -6.432390887529329e-01
Sb1Sn1      ,  1.430000000000000e+00,  2.305085685136197e+00,  4.775565911662334e+04, -6.393170506505222e-01,  1.003278507380646e+02, -1.699601962923401e-01
B2C2Y1      ,  1.800000000000000e+00,  1.536190837399886e+00,  1.935722144561929e+04, -7.395725125529433e-01,  4.597400500541033e+01, -1.137529158397564e-01
Re2Y1       ,  1.830000000000000e+00,  3.876399962504957e+00,  5.377711621391094e+04, -5.167473772620814e-01, -1.264317891814519e+01,  2.060073407472193e-01
S1Y1        ,  1.900000000000000e+00,  2.241444657578097e+00,  1.993837915573676e+04, -3.132574138572023e-01,  1.041578800637942e+02, -2.629594308800507e-01
Ga2Pt1      ,  1.900000000000000e+00,  3.543594164169199e+00,  5.084028269828315e+04, -6.129393466259455e-01,  1.955235680650849e+01, -1.659552948431377e-01
Mo0.5Rh0.5  ,  1.940000000000000e+00,  6.955096048022101e-01,  2.791219081213889e+04, -7.661299819230502e-01,  1.205297642559168e+02, -1.199058935295400e-02
Pd2Sc1Sn1   ,  2.122500000000000e+00,  3.202493831476922e+00,  4.485188815146031e+04, -2.505068528529237e-01,  7.808224195628287e+01,  1.496078065369700e-01
Be2Nb1      ,  2.150000000000000e+00,  2.248032334118558e+00,  5.104053223441759e+04, -1.038943037543301e+00,  3.467430910955093e+01, -2.710965943778753e-01
In1Te1      ,  2.206000000000000e+00,  2.607540258320273e+00,  4.606366332711203e+04, -5.849544003195368e-01,  9.266148309675920e+01, -2.557048154827238e-01
C2Cl2Y2     ,  2.300000000000000e+00,  4.207418765895796e+00,  1.970890744456671e+04,  3.694984619888743e-01,  7.046774965104168e+00,  7.262582163192230e-01
Be2Nb3      ,  2.300000000000000e+00,  1.827589599487133e+00,  4.057935194486353e+04, -1.079692494729148e+00,  1.056497160974530e+01, -1.115358277999136e-01
Pb1Pd2Sc1   ,  2.400000000000000e+00,  4.345162406623266e+00,  5.861326704708204e+04, -1.597952953563199e-01,  3.985855852101383e+01,  2.691262836654559e-01
As1Pt1Sr1   ,  2.425000000000000e+00,  4.251090884093119e+00,  4.753084545239033e+04, -3.779998268942690e-01,  5.662384241542401e+00, -1.435861841671351e-01
Bi1Nb3      ,  2.516666667000000e+00,  3.790452411895274e+00,  5.984581629823913e+04, -5.963020038976121e-01,  1.056649483150597e+01,  4.305985953838137e-02
Re1         ,  2.581333333000000e+00,  2.689566167003135e+00,  9.583965291942154e+04, -7.133100286612468e-01,  1.704599549697450e+02,  1.148672595705105e-01
Hf1In1Pd2   ,  2.630000000000000e+00,  3.356195184347676e+00,  5.029700047113012e+04, -4.100723058657579e-01,  5.120808061814888e+01,  1.040550666487172e-01
Nb3Rh1      ,  2.742333333000000e+00,  2.545927795006694e+00,  3.415075550410285e+04, -5.387836404573494e-01,  4.753804816181231e+01, -1.053198542181349e-02
Ga1Ni2Zr1   ,  2.870000000000000e+00,  2.738330735636776e+00,  2.707899206458338e+04, -3.632267243628858e-01,  8.862905918466505e+01, -3.893493709121522e-01
N1Ni3Zn1    ,  3.000000000000000e+00,  3.304165537304459e+00,  2.033503248123541e+04, -2.445044994445653e-02,  1.234528755857731e+02, -6.155089057509575e-01
B1Hf1       ,  3.100000000000000e+00,  2.837325554795783e+00,  3.835269908576804e+04, -4.994925162968376e-01,  3.402461477614907e+01,  1.153222208204777e-01
Pt0.25V0.75 ,  3.102500000000000e+00,  3.626802317476680e+00,  4.136771515723113e+04, -5.339569517668017e-01,  9.643113051871579e+00, -2.388457452894832e-01
C2Y1        ,  3.150000000000000e+00,  1.531749988126518e+00,  2.437672195588065e+04, -5.645806213848943e-01,  7.617799872042649e+01,  1.341874161645747e-01
Pb1Pd2Y1    ,  3.215000000000000e+00,  3.602225344108647e+00,  5.119203288320961e+04, -4.241658423429109e-01,  2.737323419995209e+01,  1.478986741960297e-01
In1Sb1      ,  3.320000000000000e+00,  3.016859072733897e+00,  4.401688787437696e+04, -4.240929781564761e-01,  1.019080502147741e+02, -3.639786235393166e-01
Bi2K1       ,  3.575000000000000e+00,  4.590295414757699e+00,  4.756680635372602e+04, -1.626963244149563e-01,  1.448147122360794e+01, -6.915298357378891e-03
Al1Hf1Pd2   ,  3.621666666500000e+00,  4.144532272938798e+00,  3.523054103927971e+04, -2.417125282506070e-01,  2.595437390453791e+01, -3.286243767466780e-01
Hg0.5In0.5  ,  3.810000000000000e+00,  5.331454101458069e+00,  6.429372145158441e+04, -3.614143830195262e-01,  2.621341091251148e+01, -6.432712812243085e-01
C1W2        ,  3.835000000000000e+00,  3.931433900948693e+00,  4.049067954273120e+04, -3.957959001247703e-01, -2.261303176983023e+01,  1.351478156982497e-01
C1Ga1Mo2    ,  3.900000000000000e+00,  3.308758767776423e+00,  3.800131991247251e+04, -5.992652550871653e-01, -1.770843236307300e+01,  3.299971963942007e-02
Ba1Ge3      ,  4.000000000000000e+00,  4.816056918424801e+00,  3.920578943431027e+04, -2.670086999316234e-01, -1.103331226694114e+01, -4.148091987562296e-01
